"encriptado"	"seg_gol"	"sex_enc"	"p3 pensando en su cuenta empresa, en general, con escala 1 a 7, donde 1 = muy insatisfecho y 7 = muy satisfecho, ¿cuán satisfecho está usted con entel?"	"p4 ¿por qué evalúa con esa nota?"	"fecha_stock"
"316"	"yqrlea041b3r"	"MP"	"Mujer"	"6"	"PORQUE ESTOY UN 90 POR CIENTO DE ACUERDO CON TODO LO QUE ME ENTREGAN YA QUE CUANDO TENGO UN PROBLEMA ME LO TRATAN DE SOLUCIONAR LO ANTES POSIBLE"	"2019_q1"
"317"	"4mhTNlmXP6Fu"	"Mas"	"Hombre"	"7"	"PORQUE NO HE TENIDO NINGÚN PROBLEMA CON LO QUE TENGO CONTRATADO EN ENTEL, EN CUANTO AL INTERNET  Y TAMPOCO CON EL TELÉFONO."	"2019_q1"
"318"	"YKxE6bXBcm7W"	"MV"	"Hombre"	"5"	"PORQUE HAY PROBLEMAS,  CAÍDAS DE RED"	"2019_q1"
"319"	"JANs5ufEwEG6"	"AV"	"Mujer"	"6"	"LA DEMORA EN GENERAL DE LOS SERVICIOS, SE DEMORA MUCHO EN REVISAR LA FACTIBILIDAD Y DESPUÉS EN INSTALAR (NO DIO MAS INFORMACIÓN)"	"2019_q1"
"320"	"J03oTaSEKs22"	"MV"	"Mujer"	"5"	"POR QUE ES PÉSIMO SERVICIO, EN CUANTO A EL SERVICIO CLÍNICO, CUANDO HABLAMOS POR TELÉFONO, CUANDO ADQUIRÍ UN PLAN CON ELLOS, ME FACTURARON DOS VECES EL MISMO PLAN, ADEMÁS LOS EJECUTIVOS PÉSIMA LA ATENCIÓN, TE MANDAN OFERTAS Y FINALMENTE HACEN LO QUE ELLOS QUIEREN, POR QUE TE OFRECEN UN SERVICIO Y FINALMENTE TE ENTREGAN OTRA COSA QUE NO ES LO QUE TU QUERÍAS. FINALMENTE ME QUEDÉ CON ELLOS POR QUE YA TENÍAMOS LA CUENTA CON ELLOS Y LOS NÚMEROS DE TELÉFONO Y COMO ES EMPRESA ES COMPLICADO CAMBIAR LOS NÚMEROS DE TELÉFONO PARA QUE LOS TENGAN LOS CLIENTES."	"2019_q1"
"321"	"8g04Huwfu36c"	"AV"	"Hombre"	"7"	"POR QUE ES BUEN SERVICIO, EN LA ENTREGA DE LO QUE NOS OFRECEN Y LO QUE NOS ENTREGAN."	"2019_q1"
"322"	"cedmLEpFpoGd"	"MV"	"Mujer"	"6"	"PORQUE DE REPENTE ES UN POCO LENTO EL SISTEMA, EL INTERNET."	"2019_q1"
"323"	"tv7oqIOjf8Qz"	"AP"	"Mujer"	"6"	"LES FALTA FIDELIZACIÓN, LO BUENO HA SIDO QUE LOS EQUIPOS NO SE CAEN."	"2019_q1"
"324"	"DJkypyYaPfP3"	"MV"	"Hombre"	"6"	"POR QUE A VECES HE TENIDO ALGUNOS PROBLEMAS Y ME HA COSTADO MUCHO COMUNICARME."	"2019_q1"
"325"	"MAA9QCOrXga2"	"MV"	"Hombre"	"5"	"POR MUCHOS PROBLEMAS, HAY MUCHAS FALLAS, ES QUE SE CORTA LA FIBRA ÓPTICA, HA TENIDO CAÍDAS, ESTUVE SIN INTERNET UNA VEZ, EL SERVICIO TÉCNICO ES LENTO EN CUANTO A LA RESPUESTA, SON PRONTOS PARA COBRAR NADA MAS, CUANDO TIENEN QUE COBRAR SON RÁPIDOS."	"2019_q1"
"326"	"wN98exe55k01"	"MasPrem"	"Mujer"	"3"	"POR QUE NO ES BUENO SERVICIO, POR QUE TE DICEN QUE TE COBRAN ALGO Y TE COBRAN DESPUÉS OTRO MONTO DIFERENTE."	"2019_q1"
"327"	"sWwQmg4eKsvF"	"AP"	"Mujer"	"6"	"POR QUE CREO QUE ESTÁN MUY CAROS LOS SERVICIOS, ESTOY PENSANDO EN CAMBIARME, ESTA MUY CARO."	"2019_q1"
"328"	"HV2Gy05MdLjI"	"MasPrem"	"Mujer"	"6"	"PORQUE EN GENERAL EL SERVICIO ES BUENO, PERO TENEMOS CORTES EN LA CALLE Y NOS QUEDAMOS SIN SERVICIOS."	"2019_q1"
"329"	"XVQaMiDKwXt0"	"MP"	"Mujer"	"6"	"A VECES POR LA ENTREGA DE SERVICIO NO ES MUY BUENA EN EL SECTOR DONDE ESTOY CON EL INTERNET BASICAMENTE ES DE FRECUENCIA BAJA DE VELOCIDAD NOS CAMBIAMOS DE DOMICILIARIO A EMPRESAS Y AUN ASI EL INTERNET NO ES TAN BUENO COMO ESPERABAMOS A VECES SE VA LA SEÑAL"	"2019_q1"
"330"	"G1fP5QumjDTM"	"AP"	"Mujer"	"5"	"PORQUE TENIA VARIAS CAÍDAS DE LOS SERVICIOS Y SE DEMORAN EN LA RESPUESTA A LOS REQUERIMIENTOS"	"2019_q1"
"331"	"bpH0od8gJHkk"	"MV"	"Mujer"	"7"	"PORQUE EL INTERNET ES BUENO Y RÁPIDO"	"2019_q1"
"332"	"diLFd12RknOb"	"MasPrem"	"Hombre"	"7"	"PORQUE EL SERVICIO POST VENTA A SERVICIO POST VENTA EN GENERAL YO DIRÍA QUE ES EL MEJOR DE TODAS LAS EMPRESAS. (NO DA MÁS INFORMACIÓN)."	"2019_q1"
"333"	"4vfTMjloYjEx"	"AV"	"Hombre"	"7"	"PORQUE NUNCA HEMOS TENIDO MAYORES PROBLEMAS CON ELLOS Y TODO HA FUNCIONADO BIEN"	"2019_q1"
"334"	"O1T4RxMuJ80E"	"AV"	"Hombre"	"5"	"COBROS INJUSTIFICADOS, LA FACTURA NO SE ENTIENDE MUY BIEN, CUANDO UNO SOLICITA INFORMACIÓN SOBRE LA CUENTA LA INFORMACIÓN NO CONCUERDA O SIMPLEMENTE NO LA DAN, ES UN SERVICIO ESTABLE DENTRO DE LO QUE TENEMOS HA SIDO ESTABLE"	"2019_q1"
"335"	"aXQUsTVmPcG2"	"AV"	"Hombre"	"4"	"PORQUE LA SEÑAL DE LOS TELÉFONOS MÓVILES ES MUY MALA, EN CUANTO A INTERNET BANDA ANCHA ES BUENO YA QUE LA SEÑAL ES BUENA Y SE PUEDE SUBIR INFORMACIÓN FÁCIL"	"2019_q1"
"336"	"R9Kt9OHHYHcj"	"MV"	"Mujer"	"7"	"POR QUE NUNCA HEMOS TENIDO PROBLEMAS CON LA CONECTIVIDAD."	"2019_q1"
"337"	"JGWacUBVBOUb"	"MasPrem"	"Hombre"	"5"	"POR EL PRECIO YA QUE ES MUY ALTO (NO DA MAS INFORMACIÓN)"	"2019_q1"
"338"	"f3H5Cbsw5IG5"	"MasPrem"	"Mujer"	"6"	"PORQUE HEMOS TENIDO ALGUNOS TEMAS DE QUE SE CAEN LA LÍNEA O SE PIERDE EL ACENTO TELEFÓNICO, PERO SOLUCIONAN RÁPIDO ESE TEMA."	"2019_q1"
"339"	"3g1HCJCcHIQJ"	"AP"	"Hombre"	"6"	"POR DIVERSAS FALLAS, QUE HEMOS TENIDO DE SERVICIO DE INTERNET Y DE TELEFONIA"	"2019_q1"
"340"	"a29STSfz3lQZ"	"MV"	"Hombre"	"6"	"BÁSICAMENTE PORQUE SON BASTANTE AGILES A VECES SE DEMORAN UN POQUITO PERO EN GENERAL RESUELVEN LOS PROBLEMAS Y HAN MEJORADO MUCHO SU INTENCIÓN EN CUANTO  EFECTIVIDAD PRINCIPALMENTE, NO DICEN MIRE LLAME DESPUÉS O NO PUEDO RESOLVERLO SIEMPRE SE PREOCUPAN DE QUE EL TEMA ESTE RESUELTO ÚLTIMAMENTE EN LOS ÚLTIMOS TRES MESES A MEJORADO UN MONTÓN"	"2019_q1"
"341"	"9JF8xIfy1oHn"	"AV"	"Hombre"	"5"	"PORQUE LO QUE OFRECEN NO ES LO MISMO QUE DAN, A VECES DICEN UNA VELOCIDAD EN INTERNET Y NO ES LO QUE OFRECEN, LA SUBIDA ES IGUAL TENEMOS 200 MEGAS Y AL FINAL SON 20 MEGAS, ESO ES."	"2019_q1"
"342"	"Gj5HrkBjViMT"	"MV"	"Hombre"	"5"	"DEJEMOS LO ASÍ NO MAS, 5. SI FUERA EXCELENTE EL SERVICIO SERÍA MAYOR, PERO NO LO ES."	"2019_q1"
"343"	"vE5p4jAHzFQC"	"Mas"	"Hombre"	"6"	"POR QUE A VECES SE NOS CAE EL INTERNED Y HACE 3 DÍAS NO TENÍAMOS"	"2019_q1"
"344"	"wxl8MNfNlPcE"	"MV"	"Hombre"	"7"	"PORQUE ME RESUELVEN LOS PROBLEMAS Y LA COMUNICACION ES MUY BUENA POR EJEMPLO HABLO CON USTES Y YO LA ESCUCHO BIEN Y USTED ME ESCUCHA BIEN"	"2019_q1"
"345"	"Ra4tjpSlngV0"	"MP"	"Hombre"	"5"	"PORQUE LA CONECTIVIDAD NO ES MUY BUENA POR NO SER FIBRA ÓPTICA; SI, ES MEDIO LENTO EL TEMA."	"2019_q1"
"346"	"vZGLSryBellA"	"AV"	"Hombre"	"7"	"ES SUPER ESTABLE LO QUE ES LA COMPAÑIA NO SE CAE, LO GENERALES ESTAN BIEN SON RAPIDOS EN TEMAS DE LOS COBROS NUNCA HEMOS TENIDO PROBLEMAS, SUPER BIEN TODO"	"2019_q1"
"347"	"W2ah3nKLF4t2"	"MV"	"Hombre"	"6"	"POR QUE A VECES E CAE UN POCO EL INTERNET, A VECES NO TENEMOS LAS RESPUESTAS RÁPIDAS CUANDO LAS SOLICITAMOS."	"2019_q1"
"348"	"dXWsvbeLsazQ"	"AV"	"Hombre"	"7"	"PORQUE FUNCIONAN Y CUANDO TENEMOS PROBLEMA LOS RESUELVEN PARIDO"	"2019_q1"
"349"	"xyyoyvReIMII"	"AV"	"Hombre"	"6"	"PORQUE A PESAR DE TODO, HAY SERVICIOS QUE NO OPERAN AL 100% EN CUANTO A SERVICIOS, CAÍDA DE SERVICIOS, AUNQUE ACTUALMENTE HA ESTADO TRABAJANDO BASTANTE BIEN PERO EN GENERAL SI RESUMO LO QUE FUE EL AÑO PASADO, NO FUE 100% BUENO EN CUANTO A CAÍDA DE FIBRAS, PERDIDAS DE CONEXIÓN, O DE HECHO IGUAL NO ES PERFECTO TAMPOCO ENTEL."	"2019_q1"
"350"	"3Qy1oPDPRrRZ"	"MV"	"Hombre"	"6"	"PORQUE HE TENIDO RAPIDEZ CON RESPECTO AL TEMA DE COMUNICACIÓN, NO HE TENIDO PROBLEMAS. NO SIETE BÁSICAMENTE PORQUE EN MUY POCAS OCASIONES HEMOS TENIDO ALGÚN EVENTO DE COMUNICACIÓN, SE HA CORTADO LA FIBRA PERO ALGÚN ACCIDENTE AJENO A LA EMPRESA MAS BIEN."	"2019_q1"
"351"	"u0QTTSochREu"	"MP"	"Hombre"	"3"	"PORQUE NO ME HAN PODIDO MEJORAR EL INTERNET DESDE MIS REQUERIMIENTOS YA QUE TENGO 2 MEGAS DE BAJADA Y NECESITO 20 O 30 Y NO HAN PODIDO MEJORAR LA VELOCIDAD"	"2019_q1"
"352"	"HJ4RJFCxRwe8"	"Mas"	"Hombre"	"4"	"PORQUE NO RESPONDE DE FORMA RÁPIDA Y OPORTUNA A LAS EMERGENCIAS QUE SE SOLICITAN."	"2019_q1"
"353"	"ZlXYK6IeClGh"	"MV"	"Mujer"	"5"	"POR LAS RESPUESTA, ES DECIR CUANDO SE CAÍA EL SISTEMA NO NOS DAN SOLUCIONES INMEDIATAMENTE."	"2019_q1"
"354"	"PvkTa3FkCocV"	"AP"	"Mujer"	"6"	"NO HEMOS TENIDO INCONVENIENTES (NO DA MAS INFORMACIÓN)"	"2019_q1"
"355"	"EUTGGKqybUIP"	"MP"	"Hombre"	"7"	"PORQUE ES BUEN SERVICIO EN CUANTO A LA CONECTIVIDAD, Y AL SERVICIO DE POST VENTA."	"2019_q1"
"356"	"e1XMj7lkk3lP"	"MV"	"Hombre"	"5"	"PORQUE HE TENIDO ALGUNOS INCONVENIENTES CON LA EMPRESA EN CUANTO A LOS COBROS DE MI CUENTA."	"2019_q1"
"357"	"qFFPGCrZOIBa"	"MP"	"Hombre"	"6"	"POR QUE AVECES FALLA UN POCO LA SEÑAL."	"2019_q1"
"358"	"h37XLAm7xUA0"	"MP"	"Hombre"	"6"	"EN REALIDAD ES UN SERVICIO BASTANTE BUENO EN CUANTO A ESTABILIDAD, PERO DE REPENTE SE HA CAÍDO POR ESO NO LO EVALUÓ CON EL 7."	"2019_q1"
"359"	"DBK7sLeXO2Qn"	"AP"	"Hombre"	"7"	"HE TENIDO BUENA ATENCIÓN Y NO HE TENIDO PROBLEMA, BUENA ATENCIÓN CADA VEZ QUE ME LLAMAN, ME CONTESTAN INMEDIATAMENTE Y NO TENGO MAYOR INCONVENIENTE CON ESO ES DECIR ME RESPONDEN RÁPIDO."	"2019_q1"
"360"	"PRzhpDC3R5SD"	"MV"	"Hombre"	"4"	"PORQUE  TENGO ARTOS PROBLEMA Y PAGO UN SERVICIOS MUY CARO PARA LO QUE TENGO DE CONECTIVIDAD, SERVICIOS, CUANDO QUIERO LLAMAR A LA PLATAFORMA DE SERVICIOS NO ME CONTESTAN"	"2019_q1"
"361"	"7yit1R0puzg6"	"MV"	"Mujer"	"5"	"POR QUE AVECES SE CAE LA BANDA, EL INTERNET."	"2019_q1"
"362"	"98b0bRkShpz2"	"AV"	"Hombre"	"5"	"PORQUE SON LENTOS PARA REACCIONAR; EN SOLICITUDES PRINCIPALMENTE."	"2019_q1"
"363"	"vPDDKAaBLsX5"	"AP"	"Mujer"	"7"	"POR QUE ME HA DADO LOS SERVICIOS QUE LA EMPRESA REQUIERE."	"2019_q1"
"364"	"Mqy6IpSK8OdV"	"MV"	"Hombre"	"6"	"PORQUE HAY PARTES DONDE SE PIERDE LA SEÑAL."	"2019_q1"
"365"	"lJmKZBLLcFbw"	"MasPrem"	"Mujer"	"5"	"PORQUE A RATOS NO ES TAN BUENO EL INTERNET; ES LENTO."	"2019_q1"
"366"	"1ho6pNRnNSnP"	"MasPrem"	"Hombre"	"7"	"PORQUE LA VERDAD ES QUE SIEMPRE HE RECIBIDO UN BUEN SERVICIO, EL SERVICIO DE SOPORTE, Y NO HE TENIDO NINGÚN PROBLEMA CON ENTEL"	"2019_q1"
"367"	"Bhuld5sVQHJy"	"MasPrem"	"Mujer"	"6"	"PORQUE ES UNA BUENA EMPRESA, ES UNA BUENA CALIFICACIÓN, REPRESENTA BIEN SU TRABAJO, PERO NO SE SI ES PROBLEMA DE ELLOS O DEL EDIFICIO DONDE ESTAMOS PERO DE REPENTE COMO QUE CUESTA TENER COBERTURA, SE CAE."	"2019_q1"
"368"	"CoVqFIOml3ub"	"MP"	"Hombre"	"6"	"PORQUE NO HAN SOLUCIONADO UNOS PROBLEMAS QUE TENEMOS PENDIENTES;PEDÍ SUBIR LA VELOCIDAD Y NO HAN SOLUCIONADO"	"2019_q1"
"369"	"flQckBh3I2KZ"	"AV"	"Hombre"	"6"	"PORQUE ÚLTIMAMENTE HAN ESTADO FALLANDO LAS SEÑALES EN CUANTO A TELEFONÍA Y TRASMISIÓN DE DATOS"	"2019_q1"
"370"	"zvriz0uHAupK"	"AV"	"Hombre"	"6"	"POR QUE ES MUY RECURRENTE, HAY PROBLEMAS MUY RECURRENTES. ME GUSTA LA SOLUCIÓN DEL PROCESO."	"2019_q1"
"371"	"hS7h1dRobfLG"	"AV"	"Hombre"	"6"	"PORQUE TRABAJAN BIEN, PERO LES FALTA LOS TIEMPOS DE RESPUESTA EN GESTIONES NO TÉCNICAS MAS QUE NADA ADMIRATIVAS SE DEMORAN UN POCO ALGO MAS INTERNAMENTE, TRABAJAN BIEN EN CUANTO A LO TÉCNICO."	"2019_q1"
"372"	"8hFLIDl5Xg6P"	"AV"	"Hombre"	"6"	"NO ES MALO UN SEIS ES BUENO SOLAMENTE PODRIAN MEJORAR REPORTES CUANDO HAY FALLAS LO SOLUCIONAN Y YA PERO NO INFORMAN EL PROBLEMA Y ES BUENO EN QUE ATIENDEN SIEMPRE EL LLAMADO DE ATENCION ES EXPEDITA Y DAN SOLUCIONES RAPIDAS, EL EXPERTIS ES BUENO TECNICAMENTE"	"2019_q1"
"373"	"7jYa1cvTz6Xr"	"MasPrem"	"Mujer"	"7"	"PORQUE YO LOS MOLESTO ARTO Y ME HAN ATENDIDO BIEN, EN CUANTO RAPIDEZ, AMABILIDAD, ME HAN SOLUCIONADO EL PROBLEMA ESO SON LOS TRES PUNTOS QUE POR LO MENOS A MI ME FUNCIONAN"	"2019_q1"
"374"	"yY965SD3vzEY"	"AV"	"Hombre"	"7"	"POR BUENA CALIDAD DE SERVICIO EN CUANTO A LA TRANSMISIÓN DE DATOS QUE ES LO QUE LO QUE NOS IMPORTA A NOSOTROS"	"2019_q1"
"375"	"v7PKKPz96laL"	"MasPrem"	"Mujer"	"6"	"BUENO POR QUE DE REPENTE HE TENIDO ALGUNOS INCONVENIENTES, EN CUANTO A INTERMITENCIA EN EL INTERNET."	"2019_q1"
"376"	"fk11PHbARz7r"	"MV"	"Hombre"	"6"	"PORQUE HEMOS TENIDO PROBLEMAS EN LA PRESTACIÓN DE RECONEXION DEL SERVICIO"	"2019_q1"
"377"	"cqASloyQHJpl"	"AV"	"Mujer"	"7"	"PORQUE NO HE TENIDO NINGÚN PROBLEMA CON ENTEL EN EL INTERNET, EL SERVICIO ES BUENO NO SE CAE NO TIENE INTERMITENCIA"	"2019_q1"
"378"	"ga80ea5FBvlZ"	"Mas"	"Hombre"	"7"	"PORQUE EN COMPARACIÓN CON OTRAS COMPAÑÍAS SON MUCHO MÁS ESTABLES, EN CUANTO A LA COMUNICACIÓN MISMA DE LO CONTRATADO, A LOS DATOS Y MÁS ABIERTOS AL DIALOGO."	"2019_q1"
"379"	"rKv5jO4hEuUt"	"MasPrem"	"Hombre"	"7"	"POR LA CALIDAD DEL SERVICIO, EN CUANTO A QUE ES SIEMPRE PERMANENTE, NO TIENE CAÍDAS, ES CONSTANTE NO TIENE PROBLEMAS."	"2019_q1"
"380"	"9pewvd8h9HRC"	"MasPrem"	"Mujer"	"5"	"PORQUE ES MALA LA SEÑAL DE LA BANDA ANCHA; SOLAMENTE TIENEN QUE PONER FIBRA ÓPTICA Y ES MUY CARA EN ESTE SECTOR."	"2019_q1"
"381"	"gk708P0opkAz"	"MV"	"Hombre"	"7"	"PORQUE NUNCA ME HA FALLADO NI POST VENTA NI DADA, TIENEN BUENAS TARIFAS, BUENA SEÑAL Y BUENA REALIDAD."	"2019_q1"
"382"	"HT2PseWi6zXW"	"MP"	"Hombre"	"6"	"PORQUE HEMOS TENIDO UN PAR DE PROBLEMAS DE PARTE DE INTERNET QUE SE CAE EL SITEMA Y TENEMOS QUE ESTAR LLAMANDO Y QUEDAMOS SIN INTERNET Y ESTO ES UN NEGOCIO"	"2019_q1"
"383"	"drO4FtgB8mS3"	"MP"	"Hombre"	"7"	"PORQUE LA VERDAD NUNCA TENGO PROBLEMAS DE SEÑAL NI TAMPOCO DE INTERNED BASTANTE ESTABLE LA SEÑAL DE PARTE CABLEADA Y DE TELÉFONO Y TODO ESO"	"2019_q1"
"384"	"unRDjrXp19IQ"	"MP"	"Hombre"	"5"	"PORQUE HAY PAGINAS LAS CUELES INCLUYENDO NUESTRA EMPRESA SE BLOQUEAN NO PUEDO INGRESAR ESTANDO CONMEMORADO A LA RED DE INTERNED VARIAS  VECES ME PASADO E LLAMADO HAN VENIDO REINICIAN Y 5 A 10 DÍAS Y SE VUELVE A CAER ENTRO A TRAVÉS DEL CELULAR Y SIRVE PERO NO A ESTE RED WIFI"	"2019_q1"
"385"	"7wbuK458zFt6"	"MV"	"Hombre"	"7"	"PORQUE NUNCA HEMOS TENIDO PROBLEMAS Y CUANDO LOS HEMOS TENIDO LO HAN SOLUCIONANDO DE INMEDIATO, NO HEMOS TENIDO NUNCA PROBLEMAS CON ENTEL EN REALIDAD Y ME HA GUSTADO QUE SON MUCHO MAS PREOCUPADOS CON SUS CLIENTES."	"2019_q1"
"386"	"k9ZFfOK81Val"	"MasPrem"	"Hombre"	"6"	"PORQUE TODO NO ES PERFECTO Y 7 ES PERFECTO, ME HA GUSTADO QUE NO HE TENIDO PROBLEMA CON LA RED, SIEMPRE TENGO DISPONIBILIDAD, ME ATIENDEN BIEN Y NO HE TENIDO PROBLEMA CON LOS EJECUTIVOS."	"2019_q1"
"387"	"OJHQ06Z3KvB4"	"MasPrem"	"Hombre"	"6"	"POR QUE ES UN BUEN SERVICIO NO HE TENIDO MUCHOS PROBLEMAS DURANTE EL TIEMPO QUE HEMOS TENIDO, HE TENIDO PROBLEMAS PERO HAN SIDO MENORES, BUEN SERVICIO POR QUE ME DAN EL SERVICIO QUE CONTRATE."	"2019_q1"
"388"	"FhyrnbCflUkc"	"MP"	"Hombre"	"6"	"POR QUE DE REPENTE SE CAE Y ANDA LENTO :EN CUANTO A LA VELOCIDAD"	"2019_q1"
"389"	"DTsY8er1Euuk"	"MV"	"Mujer"	"6"	"POR QUE PODRÍA SER MEJOR. ME GUSTA QUE TIENE BUENA SEÑAL, NO TENGO PROBLEMA DE COBERTURA."	"2019_q1"
"390"	"fCgE0u0XFD99"	"MV"	"Hombre"	"4"	"PORQUE LAS ÁREAS COMERCIALES SON MUY MALAS, LA EMPRESA LAS GESTIONES COMERCIALES, EL TEMA DE LA UBICACIÓN DEL ENLACE NUEVO, EL TEMA DE LAS FACTIBILIDADES, LA OPCIÓN DE COMPETITIVIDAD DE LOS PRODUCTOS, CAMBIAR UNA PLATAFORMA EN LA CUAL UNO PUEDA TRABAJAR A LA PAR CON ELLOS."	"2019_q1"
"391"	"wVF6WMcklpFZ"	"MV"	"Mujer"	"6"	"ME CAMBIARON EL EJECUTIVO Y EL QUE TENGO AHORA NO LO CONOZCO TODAVÍA Y HE PEDIDO ALGUNAS COSAS Y EN COMPARACIÓN DEL OTRO EJECUTIVO NO JUNTAN BUENOS RESULTADOS, NO ES MALO, EL OTRO ERA MUY BUENO, MENOS INTERÉS EN CUANTO A CAMBIOS DE TELÉFONOS, NOS ROBARON AHORA HACE POCO UN TELÉFONO, NO HABÍA SEGURO EN LOS EQUIPOS, LA ATENCIÓN ES MAS A LO LEJOS, NO HAY TANTA PREOCUPACIÓN"	"2019_q1"
"392"	"tM6bEp0wr6UY"	"MV"	"Mujer"	"6"	"PORQUE NO TODO ES EFICIENTE EN ESTA VIDA, ASÍ QUE POR ESO UN SEIS,EN REALIDAD TIENE TODO BUENO SOLO QUE SE CAE LA SEÑAL PERO YO CREO QUE ES UN TEMA QUE PASA EN TODAS LAS COMPAÑÍAS, PERO NO TENEMOS PROBLEMAS EN REALIDAD,BUENO EN CUANTO AL SERVICIO, QUE SIEMPRE ESTÁN INFORMANDO LOS EJECUTIVOS EN LOS CAMBIOS Y TODO."	"2019_q1"
"393"	"pwsQC2bY9xTD"	"MP"	"Hombre"	"6"	"PORQUE ES EFICIENTE, TRABAJAN BIEN YA QUE FUNCIONA EL INTERNET Y FUNCIONAN LOS TELÉFONOS, NO HAY NI UN PROBLEMA EN CUANTO A ESO"	"2019_q1"
"394"	"Jerdpp0MhIUz"	"AP"	"Hombre"	"7"	"PORQUE ESTOY SATISFECHO CON LOS SERVICIOS DE TELEFONÍA FIJA Y DE INTERNET, MANTENGO UN SERVICIO CONSTANTE EN CUANTO SEÑAL SIEMPRE ESTA EL SERVICIO CONSTANTE, NO SE NOS CAE"	"2019_q1"
"395"	"7a5ZmfhK8JRK"	"MV"	"Mujer"	"3"	"POR QUE LA VERDAD EL INTERNED DEJA HARTO QUE DESEAR, ES MUY INTERMITENTE NO TENEMOS UN SERVICIO ESTABLE;EN CUANTO A QUE PRESENTA CORTES ES LENTO , NOS OFRECIERON UN SERVICIO Y DESUDES ME DIJERON QUE EL SERVICIO PARA LA CANTIDAD DE GIGAS EL SERVICIO TENIA QUE SER CABLEADO Y SOMOS UNA EMPRESA Y NO PUEDO TENER CABLEADO TODA LA OFICINA CUANDO LO CONTRATE PEDÍ WIFI ME HUBIERAN OFRECIDO ALGO MAS POTENTE NO TENGO PROBLEMA CON EL PRECIO,PERO ME DICEN QUE CON ESO ME IVA A IR BIEN Y NO ES ASÍ"	"2019_q1"
"396"	"XL1RKaTD8X11"	"MV"	"Mujer"	"7"	"PORQUE NO HEMOS TENIDO PROBLEMAS, NI FALLAS Y TODO FUNCIONA BIEN"	"2019_q1"
"397"	"F4f1oWTB6JFu"	"AP"	"Hombre"	"7"	"PORQUE SE HIZO POS VENTA, LA COMUNICACIÓN QUE MANTENGO CON EL EJECUTIVO Y EL SERVICIO ES OPTIMO EN TÉRMINOS DE CONECTIVIDAD."	"2019_q1"
"398"	"37sa3QLPRWep"	"MP"	"Hombre"	"5"	"PORQUE HEMOS TENIDO ALGUNOS PROBLEMAS DE CONEXIÓN CON EL INTERNET, SE CAE A VECES"	"2019_q1"
"399"	"svLSgUtU5Xks"	"MasPrem"	"Hombre"	"6"	"PORQUE ESE UN SERVICIO QUE FUNCIONA MUY BIEN, PERO NO TAN BIEN, EL INTERNET ES LENTO DENTRO DE LA OFICINA, HAY DÍAS QUE NO SE PUEDE CONECTARSE BIEN, SE DESCONECTA Y SE CAE EL INTERNET CUANDO NO HAY MUCHO USUARIOS, Y DE RESTO TENGO TELEFONÍA FIJA Y MÓVIL, Y TODO ESTA BIEN"	"2019_q1"
"400"	"07kKVNj3bHLx"	"Mas"	"Hombre"	"4"	"EL SERVICIO A VECES SE CAE Y NO TIENE BUENA COBERTURA (NO DA MAS INFORMACIÓN)"	"2019_q1"
"401"	"5AAk4JMAdmUt"	"AP"	"Hombre"	"7"	"PORQUE ES BUENO Y DA UN BUEN SERVICIO EN CUANTO A TODO SIEMPRE NOS DAN UN BUEN SERVICIO, CUANDO TENEMOS ALGÚN PROBLEMA NOS DAN LA RESPUESTA AL TIRO."	"2019_q1"
"402"	"UDM465F7IFyL"	"Mas"	"Hombre"	"4"	"PORQUE LLEVO 4 MESES DE TRATAR UN SOLUCIONAR UN TEMA DE TELÉFONO Y ME LO SOLUCIONARON EN MARZO Y LA PETICIÓN ESTABA DESDE NOVIEMBRE"	"2019_q1"
"403"	"kG9fXlBqXFna"	"AV"	"Hombre"	"7"	"PORQUE CLARO ES MUY INESTABLE;ES QUE YO E PROBADO TODOS Y ENTEL ES LA CONEXIÓN ES ESTABLE ME DA BUEN SERVICIO EL CALL CENTER CONTESTA ESE TIPO DE COSAS"	"2019_q1"
"404"	"T8dMCL7zhiqN"	"AP"	"Hombre"	"7"	"PORQUE EL SERVICIO NO ES MALO, ES BUENO LA  ATENCIÓN ES RÁPIDA A LA RESPUESTA A MIS NECESIDADES"	"2019_q1"
"405"	"xgKsIQkiZSbG"	"AV"	"Mujer"	"7"	"PORQUE CUMPLE CON EL FIN POR EL CUAL FUE CONTRATADO, YA QUE NOS MANTIENE BIEN CON EL ESTADO, ES UN SERVICIOS SÚPER ESTABLE Y LA VELOCIDAD STA PERFECTA PARA NOSOTROS"	"2019_q1"
"406"	"k8zXA9byUlHS"	"MP"	"Mujer"	"6"	"HEMOS TENIDO ALGUNOS PROBLEMAS PEQUEÑOS PERO LA MAYORÍA LOS HAN SOLUCIONADO. EL SERVICIO NO ES TAN BUENO POR QUE DE REPENTE SE PONE LENTO NO SE POR QUE SERA SI ES POR QUE HAY MUCHOS COMPUTADORES."	"2019_q1"
"407"	"xewVAuowKvQJ"	"AP"	"Hombre"	"6"	"PORQUE FALTA OFICINA TÉCNICA, EL SERVICIO FUNCIONA BIEN PERO NO HAY COMO SEGUIMIENTO, NUNCA HEMOS TENIDO PROBLEMAS DE RED"	"2019_q1"
