"encriptado"	"seg_gol"	"seg_corfo"	"p3 pensando en su cuenta empresa, en general, con escala 1 a 7, donde 1 = muy insatisfecho y 7 = muy satisfecho, ¿cuán satisfecho está usted con entel?"	"p4 ¿por qué evalúa con esa nota?"	"bench"	"fecha_bench"
"545"	"StSsSwVyFxS1"	"Mas"	"PEQUEÑA"	5	"A VECES LA BANDA ANCHA SE CAE, UNO QUIERE PEDIR OTRA LÍNEA Y EL SISTEMA ES MUY ENGORROSO, HAY QUE CONTRATAR AL EJECUTIVO, MUCHAS VECES NO HAY UN EJECUTIVO ASIGNADO EN LA EMPRESA, TENGO QUE LLAMAR AL CALL CENTER."	"fijo"	"2019_q2"
"546"	"EslBz3Nz1EWp"	"MP"	"PEQUEÑA"	6	"DE REPENTE TIENE SUS CAIDAD DE SISTEMA, AL INTERNET NO ES FRECUENTE SOLO CADA 2 O 3 MESES"	"fijo"	"2019_q2"
"547"	"RmVd06Ap8Tvm"	NA	"GGEE"	7	"POR QUE NUNCA HA TENIDO PROBLEMA SIEMPRE NOS HA FUNCIONADO BIEN Y NO HEMOS TENIDO NINGUN RECLAMO TAMPOCO"	"fijo"	"2019_q2"
"548"	"MOxClDUnymIZ"	"MP"	"PEQUEÑA"	7	"PORQUE SIEMPRE NOS HAN SOLUCIONADO LOS PROBLEMAS Y NO HEMOS TENIDO NINGÚN INCONVENIENTE CON ELLOS BUENO TENEMOS LA CONECTIVIDAD Y CUALQUIER DUDA O CONSULTA QUE NOSOTROS TENEMOS ES DE FÁCIL ACCESO"	"fijo"	"2019_q2"
"549"	"FpRYC86e6fZr"	"MasPrem"	"PEQUEÑA"	5	"PORQUE ÚLTIMAMENTE HAN TENIDO PÉSIMA SEÑAL EN EL INTERNET  DE REPENTE SE CAE DE REPENTE NO HAY LE AFECTA EN TODO YA QUE TRABAJAN EN BASE AL INTERNET"	"fijo"	"2019_q2"
"550"	"1pK084I5pxQu"	"MasPrem"	"PEQUEÑA"	5	"PORQUE  PAR DE VECES SE ME HA CAIDO LA FIBRA OPTICA Y NOS QUEDAMOS SIN INTERNET Y NOS HA PASADO 3 VECES EN EL AÑO Y ES MUY IMPORTANTE EL INTERNET PARA NOSOTROS."	"fijo"	"2019_q2"
"551"	"HN0o4ktIEePk"	"MV"	"MEDIANA"	6	"PORQUE ES UN BUEN SERVICIO NUNCA SE CAE LA SEÑAL SIEMPRE ESTÁ DISPONIBLE ES RÁPIDO EL NAVEGADOR  EL INTERNET RESPONDE BIEN"	"fijo"	"2019_q2"
"552"	"6fNziHA6iFGh"	"AP"	"GGEE"	6	"PORQUE SI BIEN LOS SERVICIOS FUNCIONARON LOS CORRECTA A SIDO COMPLEJO DAR DE BAJA O HACER UN CAMBIO DE MANERA COMPLETA"	"fijo"	"2019_q2"
"553"	"NqzKyd7jBTwc"	"MV"	"MEDIANA"	6	"POR LA VELOCIDAD DE LA RED Y CAIDA DEL SERVICIO ES EXPORADICO NO TIENE NI DIA HORA ESPECIFICO"	"fijo"	"2019_q2"
"554"	"Wf9RDo34i4OJ"	"Mas"	"PEQUEÑA"	5	"PORQUE PARA HACER SOLICITUDES ES DIFICIL CONTACTARSE POR EJEMPLO CUANDO HE TENIDO PROBLEMAS DE RED PORQUE NO HAY UN EJECUTIVO FIJO ENTONCES HAY QUE LLAMAR AL CALL CENTER Y TE DERIVAN A UNA PARTEY TE DERIVAN A OTRA PARTE Y ASI..."	"fijo"	"2019_q2"
"555"	"ZJJ0eUntBp6W"	"MP"	"PEQUEÑA"	5	"PORQUE LOS SERVICIOS DE CONEXIÓN ES MALA, MALISIMA, EN ALGUNOS SECTORES SE PIERDEN, AQUÍ EN LA REGIÓN DEL AYSEN, A CONEXIONES PARA LLAMAR, EL TELÉFONO NO FUNCIONA, LAS ANTENAS, NO TIENEN BUENAS SALIDAS, PORQUE UNO VA A OTRO LUGAR, Y QUEDA SIN RED, EN CUANTO A TELEFONÍA, LA ANTENA ES MALISIMA, EL SERVICIO DE ENTEL ES MALO, YO LO TENGO HACE COMO 10 AÑOS"	"fijo"	"2019_q2"
"556"	"aiIJ4Crxrmen"	"Mas"	"MICRO"	7	"PORQUE NUNCA HE TENIDO PROBLEMAS FUNCIONA BIEN PARA LOS REQUERIMIENTOS NUESTROS"	"fijo"	"2019_q2"
"557"	"OXGGyjeZ4jas"	"AV"	"GGEE"	6	"TENIAMOS UN EJECUTIVO Y NUNCA NOS VENIA A VISITAR, NO NOS ACTULIZABA PLANES, NO RECIBIAMOS INFORMACION EN ESE SENTIDO, MUY DESINFORMADOS DE PARTE DEL EJECUTIVO ASIGNADO."	"fijo"	"2019_q2"
"558"	"C1r5QUSJCr4Q"	"Mas"	"PEQUEÑA"	6	"PORQUE NO HE TENIDO PROBLEMAS PERO TAMPOCO...ESTA BIEN PORQUE ME GUSTA. NO PORQUE ENCUENTRO QUE FUNCIONA BIEN HASTA LA FECHA ME HA FUNCIONADO NO HE TENIDO NINGUN PROBLEMA. PARA LLEGAR AL 7 ES MAS RESPECTO AL MOVIL ENCUENTRO QUE ES MUY CARO LOS EQUIPOS LA RENOVACION DE EQUIPOS EN RELACION A LA COMPETENCIA."	"fijo"	"2019_q2"
"559"	"3y7migua8QNC"	"AV"	"MEDIANA"	5	"Atencion SAC"	"fijo"	"2019_q2"
"560"	"nq2nDWXCQZIF"	"MP"	"MEDIANA"	7	"PORQUE NO HE TENIDO PROBLEMA DE COBROS, ES EFICIENTE EL SERVICIO, COMO USUARIO, NO HAY CORTES INDEBIDOS, NO HE TENIDO PROBLEMA EN GENERAL."	"fijo"	"2019_q2"
"561"	"RwMzQon8AroO"	"Mas"	"PEQUEÑA"	6	"PORQUE EL INTERNET NO ESTA MUY BUENO DE REPENTE"	"fijo"	"2019_q2"
"562"	"bwQwABiLveS3"	"Mas"	"MICRO"	5	"PORQUE LA BANDA ANCHA A VECES ES INESTABLE Y EL PRECIO LA VERDAD QUE YA NO SE CONVIERTE EN TEMA DE TELEFONOS FIJOS CUANDO TODAS LAS COMUNICACIONES SON POR INTERNET"	"fijo"	"2019_q2"
"563"	"aygn2dXubsl7"	"Mas"	"MICRO"	6	"PORQUE ALGUNAS VECES SE A CAIDO LA FIBRA,PASAN A PODAR LOS ARBOLES NO ES CULPA DE ENTEL,DEPENDE DE TIEMPO QUE SE DEMORAN EN REPONER"	"fijo"	"2019_q2"
"564"	"abAKhYBWgHpo"	"Mas"	"MICRO"	7	"PORQUE NO FALLA, TIENE BUENA COBERTURA"	"fijo"	"2019_q2"
"565"	"ioQpK45u0urd"	"AV"	"PEQUEÑA"	7	"PORQUE HAY BUEN ACOMUNICACION BUENAS RESPUESTAS TODO BIEN"	"fijo"	"2019_q2"
"566"	"cKfu98Qd4hKe"	"Mas"	"MICRO"	6	"POR LA COBERTURA, A NIVEL NACIONAL NO HE TENIDO NINGÚN PROBLEMA CON LA CONECTIVIDAD Y POR LA DISPONIBILIDAD, TENGO CIEN POR CIENTO EL TIEMPO DISPONIBLE."	"fijo"	"2019_q2"
"567"	"lKYXVGZYm3Bo"	"Mas"	"PEQUEÑA"	6	"PORQUE ME FUNCIONA BIEN EL SISTEMA EN GENERAL A TODO INTERNET Y LLAMADAS"	"fijo"	"2019_q2"
"568"	"tlqavTV0Wo0z"	"MP"	"PEQUEÑA"	7	"PORQUE ES MUY BUENO EL SERVICIO. TIENE BUENA COBERTURA, SEÑAL, UNA DE LAS MEJORES COMPAÑIAS QUE HEMOS CONTRATADO Y NO HEMOS TENIDO NINGUN PROBLEMA"	"fijo"	"2019_q2"
"569"	"GtNwmZWTMHAA"	"AP"	"MEDIANA"	6	"POR LOS CORTES DE INTERNET Y EL CORTE DE LA LINEA FIJA. RELATIVAMENTE PASA CON EL TELEFONO MUY SEGUIDO Y CON INTERNET CADA 15 20 DIAS. SI RELATIVAMENTE DESDE QUE ESTRENAMOS EL SERVICIO."	"fijo"	"2019_q2"
"570"	"io6MFO2Bp7cP"	"Mas"	"PEQUEÑA"	6	"NECESITO MEJORAR LOS VALORES DE LAS TARIFAS DE LO QUE ES TELEFONIA. A LO QUE ES TELEFONIA FIJA EL PRECIO VOY A VER SI LOGRO DISMINUIRLO. HAY MUCHA COMPETENCIA HAYU QUE EVALUARLO. EL SERVICIO ES BUENO. (LE GUSTA) LA PERMANENCIA DE CONEXION"	"fijo"	"2019_q2"
"571"	"IfiNgqt8xHt6"	"AP"	"GGEE"	7	"POR QUE ES MUY SATISFECHO CON LOS SERVICIOS QUE PRESTA LLEVAMOS AÑOS CON ELLOS"	"fijo"	"2019_q2"
"572"	"YKpfWmPQQLWK"	"AV"	"MEDIANA"	6	"POR EL SERVICIO QUE ENTREGAN. EL SERVICIO CONTRATADO ES SASTIFACTORIO"	"fijo"	"2019_q2"
"573"	"ZFQQDsJfqpp7"	"Mas"	"PEQUEÑA"	5	"POR QUE CUANDO INSTALARON TODDO NO TUVO BUENA EXPERIENCIA Y SE SINTIÓ UN POCO MAS Y SOLUCIONOS SIN PROBLEMAS POR SU CUENTA, SE SINTIO ENGAÑADO POR QUE OFRECIEREN"	"fijo"	"2019_q2"
"574"	"hM8TvaLnk7Ys"	"AV"	"GGEE"	7	"PORQUE HAN RESPONDIDO BIEN, NO HE TENIDO PROBLEMAS DE CONECTIVIDAD O ANCHO DE BANDA Y CUANDO TENEMOS CONTINGENCIA NOS HAN ATENDIDO BIEN, NINGUN PROBLEMA."	"fijo"	"2019_q2"
"575"	"0PZXaIZhdWTs"	"MV"	"GGEE"	2	"EL SERVICIO QUE TENGO ES MALO Y CARO SE CAE A VECES NO DAN BUENA RESPUESTA EL SERVICIO DEBERÍA SER INFALIBLE Y NO LO ES MALA ATENCION AL CLIENTE CON EL EJECUTIVO EMPRESA"	"fijo"	"2019_q2"
"576"	"vxEMvdG2hq7p"	"Mas"	"PEQUEÑA"	6	"PORQUE SIEMPRE HAY COSAS PARA MEJORAR"	"fijo"	"2019_q2"
"577"	"6LZHam4v9NF4"	"AP"	"GGEE"	6	"PORQUE LA VERDAD ES QUE ES EL UNICO SERVICIO QUE LLEGA ACA Y CUANDO HAY REQUERIMIENTOS HAY QUE ESPERAR BASTANTE."	"fijo"	"2019_q2"
"578"	"NlTEgAC97Mpv"	"Mas"	"PEQUEÑA"	5	"POR QUE ENCUENTRO QUE ENTREGA UN BUEN SERVICIO Y PERO NO LO AL MEJOR PRECIO"	"fijo"	"2019_q2"
"579"	"L2hBlC38ZI4J"	"MP"	"PEQUEÑA"	6	"PORQUE NO ES LO OPTIMO PERO TAMPOCO ES MALO QUE PODRIA SER MEJOR PODRIA SER MEJOR EN EL PRECIO CALIDAD EN LA RESPUESTA CUANDO ALGUNO TIENE ALGUN PROBLEMA"	"fijo"	"2019_q2"
"580"	"I8gBke2avhTt"	"Mas"	"MICRO"	7	"TIENE BUEN PLAN A BUEN PRECIO, BUEN SERVICIO AL CLIENTE"	"fijo"	"2019_q2"
"581"	"m4d1Et4YoRwm"	"MP"	"MEDIANA"	7	"EL SERVICIO ES BUENO, NO HE TENIDO NINGUN PROBLEMA."	"fijo"	"2019_q2"
"582"	"68hCCE37VKkv"	"MP"	"PEQUEÑA"	7	"PORQUE TIENE BUENA COBERTURA Y NO SE ME VA LA SEÑAL"	"fijo"	"2019_q2"
"583"	"QYKEII2pukaV"	"Mas"	"PEQUEÑA"	5	"PORQUE HE TENIDO UN SERVICIO RACIONABLE, QUE LA VELOCIDAD ES ESTABLE, SE CAE POCAS VECES, NO COMO OTROS QUE SE CAEN A CADA RATO, OTROS QUE SON MÁS LENTOS, NO ES ÓPTIMO, PERO POR ESO LE DOY UN 5, NO ES ÓPTIMO, PERO LO CALIFICO CON 5."	"fijo"	"2019_q2"
"584"	"cPM38D4mPZgd"	"Mas"	"PEQUEÑA"	5	"EN TERRENO LAS OFICINAS DE ENTEL SON DEFICIENTES FALTA GENTE EN LAS CAJAS Y EN SERVICIO AL CLIENTE EN LA DEL GOLF CABLE ES ILIMITADO EN LOS CANALES NECESITO MAS CANALES DISPONIBLES Y TIENE UNA OFERTA LIMITADA"	"fijo"	"2019_q2"
"585"	"v7kxGCDZrnqk"	"MP"	"PEQUEÑA"	5	"PORQUE DE REPENTE SE NOS CAE EL INTERNET SIN EXPLICACIÓN ES QUE LLAMO A LA CENTRAL Y AHÍ LO VUELVEN A DAR"	"fijo"	"2019_q2"
"586"	"sGVgcWKmZKR5"	"MP"	"PEQUEÑA"	6	"PORQUE POR LO GENERAL ELLA RESPONDEN; POR EJEMPLO CUANDO NOSOTROS NECESITAMOS TAN URGENTE UNA NUEVA LÍNEA O CUANDO NECESITO POR EJEMPLO CORREGIR POR ALGÚN MOTIVO SE HA CAÍDO EL SISTEMA, PERO HAY COSAS PUNTUALES QUE DE REPENTE NO SUCEDEN."	"fijo"	"2019_q2"
"587"	"3GEf1xAY4mbw"	"Mas"	"MICRO"	5	"PORQUE TIENE PROBLEMAS DE WIFI NO LLEGA BIEN LA SEÑAL"	"fijo"	"2019_q2"
"588"	"iq7dNjvyLbHV"	"Mas"	"MEDIANA"	7	"PORQUE EN REALIDAD NUNCA HE TENIDO PROBLEMAS CON LA CUENTA NI POR COBERTURA, NO HE TENIDO NUNCA PROBLEMAS EN REALIDAD, ESO, COMO LE DIGO NUNCA HE TENIDO PROBLEMAS DE COBERTURA O QUE TENGA PROBLEMAS QUE ME COBREN DE MÁS O COSAS POR EL ESTILO, NUNCA HE TENIDO ESE TIPO DE PROBLEMAS."	"fijo"	"2019_q2"
"589"	"WRcrRmBb8McD"	"AV"	"GGEE"	5	"Atencion SAC"	"fijo"	"2019_q2"
"590"	"Xk8LXKb9HoDo"	"MV"	"MICRO"	5	"HACE TIEMPO HEMOS TENIDO CON LA FACTURACION  NOS HICIERON UN COBRO PAGAMOS UN MONTO DEMAS Y ELLOS EN VEZ DE REINTEGRAR EL DINERO FUERON DESCONTADO DE A POCO DE FORMA  MENSUAL Y AHORA EL PRECIO ES MAS ALTO"	"fijo"	"2019_q2"
"591"	"sGqWLXPPwsy7"	"AP"	"GGEE"	7	"EL SERVICIO ES MUY ESTABLE PRÁCTICAMENTE NO REQUERIMOS MANTENCIONES"	"fijo"	"2019_q2"
"592"	"Qf3CzCJJzMzw"	"Mas"	"PEQUEÑA"	5	"POR QUE A TENIDO ALGUNOS PROBLEMAS DE COMUCACION Y CON EQUIPOS EL TELEFONO ES MALO, AVECES NO FUNCIONA CUESTA COMUNICARSE. NO SABEN EL ORIGEN DE LA FALLA. LLEVAN MUCHO TIEMPO CON ENTEL CON LA NOTA QUE LE PONE ES UN 5 PERO TAMPOCO ES REGULAR"	"fijo"	"2019_q2"
"593"	"x7BBA41GQ8Pi"	"Mas"	"PEQUEÑA"	1	"PORQUE REALMENTE AHORA HA ESTADO MAS MALA, ANDA LENTO EL INTERNET, ESTA MAS MAL A COMO SE COMENZO."	"fijo"	"2019_q2"
"594"	"Ml9ztqpUzuqD"	"MV"	"MEDIANA"	6	"PORQUE EL SERVICIO ES BUENO; ES BUENO EN CUANTO A LO QUE HEMOS PACTADO, PERO HE TENIDO DÍAS QUE FALLA."	"fijo"	"2019_q2"
"595"	"e6TvdVJSZuXU"	"Mas"	"MICRO"	7	"POR QUE HEMOS TENIDO MUY BUEN SERVICIO EN PARTE TÉCNICA Y COMERCIAL Y PRECIOS QUE SON BASTANTE BUENOS Y ADECUADOS"	"fijo"	"2019_q2"
"596"	"5r8z96Re3BPx"	"Mas"	"PEQUEÑA"	6	"SIEMPRE HAY PEQUEÑOS DETALLES PARA SER MEJOR DE COBERTURAS EN PLENO CENTRO DE TALCA DICEN PRESTAR EL SERVICIO DE 4G Y NO ES 4G PARA TODO TIPO DE COBERTURA"	"fijo"	"2019_q2"
"597"	"PtUwqCFBqIfZ"	"MV"	"GGEE"	5	"FALTA MAYOR DEDICACIÓN DE LOS EJECUTIVOS PREGUNTANDO LOS QUE NOS FALTA PORQUE A VECES SE CAE LA SEÑAL Y UNO TIENE QUE ESTAR LLAMANDO NO ES MUY BUENA LA CONECTIVIDAD EN EL SECTOR QUE ESTAMOS NOSOTROS EN TENO"	"fijo"	"2019_q2"
"598"	"xe9AowxOtmWo"	"MV"	"MEDIANA"	6	"FUNCIONA BIEN EN EL SENTIDO DE QUE  EL PRODUCTO ES OPERATIVO PERO EL SERVICIO  POST VENTA NO ES RAPIDO SE DEMORAN MUCHO EN QUE ELLOS RESPONDAN CUANDO LOS TRATAMOS DE CONTACTAR"	"fijo"	"2019_q2"
"599"	"CcQdg5NIUDj9"	"Mas"	"MICRO"	7	"NUNCA HEMOS TENIDO PROBLEMA EL SERVICIO ES CONSTANTE NUNCA SE CAE"	"fijo"	"2019_q2"
"600"	"nChYm6nI5MPQ"	"MasPrem"	"PEQUEÑA"	5	"PORQUE SE CAE EL SERVICIO, BAJA LA VELOCIDAD."	"fijo"	"2019_q2"
"601"	"dYUef2HfRobD"	"MV"	"GGEE"	6	"PORQUE SE ACAIDO MUY POQUITAS VECES Y LA VELOCIDAD CUMPLE CON EL CONTRATO"	"fijo"	"2019_q2"
"602"	"Tz7LcpR70LbG"	"AP"	"GGEE"	3	"Redes"	"fijo"	"2019_q2"
"603"	"JIvh5zIvCpXO"	"Mas"	"MICRO"	5	"PORQUE ME ES PERFECTO TIENE AREAS QUE PUEDEN MEJORAR, SON HOSTILES EN EL COBRO, PERO EL SERVICIO EN GENERAL ES BASTANTE BUENO, HAY MICROCORTES EN EL INTERNET CUANDO FUNCIONA FUNCIONA BIEN, HAY VECE DONDE LA VELOCIDAD NORMAL SE CAE. Y OTRAS ESTOY EN VIDEOCONFERENCIA Y Y ACCESO A OTRAS FUENTES DE INFORMACION SE CORTA Y TENGO REINICIAR"	"fijo"	"2019_q2"
"604"	"hvqvZjSfbBRg"	"Mas"	"PEQUEÑA"	5	"PORQUE FALLA HARTO SE CORTA UNA VEZ AL DIA O VARIAS VECES BASTANTE A VECES 10 MINUTOS OTRA VECES 1 ES RELATIVO"	"fijo"	"2019_q2"
"605"	"2YHSmpvzCAjq"	"AP"	"PEQUEÑA"	6	"PORQUE NO ES UN SERVICIO CIEN POR CIENTO EN CUANTO A LA CONECTIVIDAD, O SEA NO HAY NADIE QUE TENGA UN SERVICIO CIEN POR CIENTO; DE REPENTE NO PODEMOS COMUNICARNOS Y HAY SECTORES QUE SE CORTA LA LLAMADA."	"fijo"	"2019_q2"
"606"	"nbeLpBghjbdg"	"MasPrem"	"MEDIANA"	6	"PORQUE EN GENERAL A VECES CUESTA UN POCO CONTACTARSE CON EJECUTIVOS, CAMBIAN MUCHO ROTATIVO CUANDO ASIGNAN EJECUTIVOS Y CUANDO UNO SE QUIERE CONTACTAR CON ELLOS LO HAN CAMBIADO Y CUESTA DESPUÉS UBICARLOS."	"fijo"	"2019_q2"
"607"	"flZVCWldVYL6"	"MV"	"PEQUEÑA"	6	"PORQUE SIENTO QUE LAS COSAS FALLAN, POR EJEMPLO QUE HAY UN MAL SERVICIO EN POST VENTA, EN EL SENTIDO QUE NO OFRECEN ALTERNATIVAS, O DE MONTAR PLANES O DE CUALQUIER COSTO NO DAN INFORMACIÓN DE ESO."	"fijo"	"2019_q2"
"608"	"70ckFV8kTmua"	"Mas"	"MICRO"	7	"POR QUE NUNCA HE TENIDO UN PROBLEMA,O CON ELLOS EN CUANTO A SERVICIOS SOLICITUDES TECNICAS E INCLUSO NO HE TENIDO PROBLEMA"	"fijo"	"2019_q2"
"609"	"qTlKufACqjje"	"Mas"	"PEQUEÑA"	6	"EL SERVICIO ES BUENO EL INTERNET DE REPENTE TIENE ALGUNAS INTERMITENCIAS. NO MUY SEGUIDO PERO PASA"	"fijo"	"2019_q2"
"610"	"KR5qnCLKshfd"	"Mas"	"MICRO"	5	"PORQUE HAY MUCHAS VECES QUE ME QUEDO SIN SEÑAL Y MI EMPRESA ESTA EN UNA ZONA RURAL, ENTONCES DE REPENTE ME QUEDO TODO EL FIN DE SEMANA SIN INTERNET. SIN SERVICIO."	"fijo"	"2019_q2"
"611"	"lvr8xN8OpMNG"	"Mas"	"PEQUEÑA"	5	"PORQUE SE CAE EL SERVICIO, NO ES FLUIDO Y RAPIDO."	"fijo"	"2019_q2"
"612"	"yZOoEQUTzCQn"	"Mas"	"PEQUEÑA"	7	"PORQUE TODOS LOS SERVICIOS QUE HE TENIDO ME HAN FUNCIONADO BIEN Y NO HEMOS TENIDO PROBLEMAS."	"fijo"	"2019_q2"
"613"	"Ujkvnvw8Y67x"	"MV"	"PEQUEÑA"	6	"POR QUE EN GENERAL NO HE TENIDO  PROBLEMAS CON ENTEL ,  MAYOR FLEXIBILIDAD EN CASO DE DIFILCUTADES DE PAGO PARA LLEGAR A UN 7"	"fijo"	"2019_q2"
"614"	"S70fR9wemxIp"	"Mas"	"PEQUEÑA"	5	"PORQUE PODRIA SER MAS BARATO ECONOMICO"	"fijo"	"2019_q2"
"615"	"MsihSbGnzQS6"	"AV"	"GGEE"	6	"PORQUE EL SERVICIO ES BUENO PERO IGUAL SE DEMORAN MUCHO EN CONTESTAR, A FUNCIONADO OK PERO CUANDO NECESITAMOS ALGO EN ESPECIFICO EL EJECUTIVO SE DEMORA."	"fijo"	"2019_q2"
"616"	"6N1w4go1MgVU"	"Mas"	"MICRO"	6	"DE REPENTE TIENE ALGUNAS CAÍDAS DE SISTEMA EN ALGUNOS MOMENTOS EN EL MEDIO DIA  Y DIFICULTA LA COMUNICACIÓN PERO EN GENERAL ES UN  BUEN SERVICIO"	"fijo"	"2019_q2"
"617"	"iQscYpRiVTGJ"	"MasPrem"	"MICRO"	4	"PORQUE NO TIENE UNA POLITICA PROACTIVA DE RETENCION DE CLIENTES POR EJEMPLO AL REQUERIR NUEVAS OFERTAS DE DISTINTOS PLANES UNO SE ENTERA POR TERCEROS NO LE NOTIFICAN NUEVOS PRECIOS NI PLANES"	"fijo"	"2019_q2"
"618"	"vUW4nZDQmtwu"	"MP"	"PEQUEÑA"	6	"POR QUE TIENE INTERMITENCIA EN LA SEÑAL DE INTERNET, SUCEDE FRECUENTEMENTE."	"fijo"	"2019_q2"
"619"	"H8PwbPzi2tFA"	"Mas"	"PEQUEÑA"	7	"NO TENGO PROBLEMAS EN QUE FUNCIONA BIEN EN QUE ESTOY BIEN CONECTADA, NO TENGO PROBLEMAS DE CORTES NI NADA Y SI LLEGARA A TENER ALGUNA SITUACIÓN, SOLICITO SERVICIO TÉCNICO O ALGO Y ME LO SOLUCIONAN DE INMEDIATO."	"fijo"	"2019_q2"
"620"	"f9LgXUXQryiL"	"AV"	"PEQUEÑA"	5	"Redes"	"fijo"	"2019_q2"
"621"	"E0FbafJuHgWF"	"MP"	"PEQUEÑA"	7	"PORQUE DAN UN BUEN SERVICIO Y CUANDO HE NECESITADO ALGUNA SOLUCIÓN POR FALLA HA SIDO BASTANTE RÁPIDO, NO TENGO INTERRUPCIONES, LA ASISTENCIA TÉCNICA Y LA ATENCIÓN ES BUENA DEL SERVICIO TÉCNICO POR FALLA."	"fijo"	"2019_q2"
"622"	"6nIL8FtC6Gsa"	"MV"	"MICRO"	6	"PORQUE ESTOY MUY SATISFECHA LO ENCUENTRO BUENO EN GENERAL. DE SEÑAL, PERO LA SEÑAL COMO TAL A VECES ES MALA. LA SEÑAL DEL INTERNET HA SIDO INTERMITENTE."	"fijo"	"2019_q2"
"623"	"KyeoKsJhGN7m"	"MP"	"MEDIANA"	6	"BUENO A VECES HAY COMO TODO FALLAS PERO LO RESUELVEN TODO RAPIDO PERO DENTRO DE LO QUE CABE ES BUEN SERVICIO. LA SEÑAL ES BUENA PERO A VECES FALLA PERO POCO NO ES TAN SEGUIDO."	"fijo"	"2019_q2"
"624"	"IM3Gvm5nF8pI"	"Mas"	"PEQUEÑA"	7	"PRESTA EL SERVICIO ESTABLE QUE NECESITADOS E INTERRUMPIDAMENTE EL SERVICIO EN INTERNET BANDA ANCHA"	"fijo"	"2019_q2"
"625"	"qc5fEjWBi17I"	"AP"	"MEDIANA"	6	"PORQUE ENTEL NO TIENE BUENA SEÑAL HAY SECTORES QUE NO ENTREGA RECIBE SEÑAL GEOGRAFICAMENTE ENTRE TALCA Y TACLAMENTE ES QUE NO HAY BUENA SEÑAL Y YO ME MUEVO A TRAVES DE LA REGION 7 MA"	"fijo"	"2019_q2"
"626"	"cjvxiOEHRdTT"	"Mas"	"PEQUEÑA"	7	"POR QUE EL SERVICIO QUE TENGO DISPONIBILIDAD DE SERVICIO Y SIEMPRE TENGO SEÑAL EN TODOS LADOS"	"fijo"	"2019_q2"
"627"	"cmgMRnXUlHbY"	"MV"	"PEQUEÑA"	7	"PORQUE HACE TRES MESES NO HE TENIDO INCONVENIENTES"	"fijo"	"2019_q2"
"628"	"AjBuOLFlXJ47"	"MP"	"MEDIANA"	6	"PORQUE ESTA BIEN. (LE FALTAN) OFERTAS"	"fijo"	"2019_q2"
"629"	"CuVr9myKg7Nt"	"MasPrem"	"PEQUEÑA"	5	"NO ES EXELENTE SIEMPRE HAY TEMAS QUE CUESTA SOLUCIONAR COBERTURA LOS APARATOS MOVIL Y FIJOS LOS PLANES . SIEMPRE HYA ALGO TERMINA EN UN PROBLEMA SIGFICA COSTO ADICIONAL"	"fijo"	"2019_q2"
"630"	"QSkDV5L9OdF2"	"MV"	"MEDIANA"	6	"PORQUE EL SERVICIO ES BUENO, EN LA RAPIDEZ DE LA CONEXIÓN."	"fijo"	"2019_q2"
"631"	"XzToI4rulIWe"	"Mas"	"PEQUEÑA"	6	"PORQUE A VECES LA BANDA ANCHA TENGO PROBLEMAS DE CONECTIVIDAD QUE BAJA LA VELOCIDAD Y EN OCASIONES SE VUELVE INTEMITENTE ESTO"	"fijo"	"2019_q2"
"632"	"pNv1JdDKDA8l"	"AV"	"PEQUEÑA"	6	"PORQUE SIETE SERIA PERFECTO"	"fijo"	"2019_q2"
"633"	"EcOanqXt2lsU"	"MV"	"PEQUEÑA"	5	"PORQUE DE TODAS MANERAS A PESAR DEL SERVICIOP QUE SE PAGA HAY PROBLEMAS CON EL INTERNET"	"fijo"	"2019_q2"
"634"	"760JnaapsokH"	"Mas"	"MICRO"	5	"PORQUE ULTIMAMENTE LOS SERVICIOS HAN ESTADO MALO EL INTERNET"	"fijo"	"2019_q2"
"635"	"QnCdR9gzdYWB"	"Mas"	"PEQUEÑA"	5	"HAY ALGUNAS PERSONAS NUNCA HE TENIDO PROBLEMAS CON ENTEL QUE NO TENIDO GRANDES PROBLEMAS COMPLICACIONES CUANDO HE NESECITADO ALGO ME HAN DADO UNA RESPUESTA RAPIDA"	"fijo"	"2019_q2"
"636"	"pisR4DeVg9fy"	"Mas"	"MICRO"	6	"PORQUE ENCUENTRO TODO BUENO SALVO EL PRECIO. TIENE BUENA INTERNET"	"fijo"	"2019_q2"
"637"	"FANe4q7gCcpi"	"Mas"	"MICRO"	7	"PORQUE HA SIDO ESTABLE EL SERVICIO Y VEZ QUE HE TENIDO UN PROBLEMA LO HAN SOLUCIONADO RAPIDAMENTE. A VECES NO PAGO EN LA FECHA Y ME AGRADA QUE NO ME ESTEN HINCHANDO CUANDO VOY A PAGAR LA CUENTA."	"fijo"	"2019_q2"
"638"	"tM0ijwnz6yti"	"Mas"	"MICRO"	5	"PORQUE LE FALTA AGILIZAR MAS LOS TRAMITES EN MODIFICAR COSAS REPARAR COSAS SE DEMORAN MUCHO"	"fijo"	"2019_q2"
"639"	"wVLZl6PYdY5B"	"Mas"	"MICRO"	6	"PORQUE BUSCA EMPATIA CON LOS CLIENTE BUSCA A CLIENTE QUE ESTA AFUERA  PARA TRAERLOS  LA ATENCION ES BUENA Y NINGUNA HE TENIDO PROBLEMAS CON ELLOS"	"fijo"	"2019_q2"
