"V1"	"encriptado"	"seg_gol"	"p3 pensando en su cuenta empresa, en general, con escala 1 a 7, donde 1 = muy insatisfecho y 7 = muy satisfecho, ¿cuán satisfecho está usted con entel?"	"p4 ¿por qué evalúa con esa nota?"	"periodo"
"3357"	3357	"l2yRmz8nTByB"	"AV"	"6"	"POR QUE TODAVIA LE FALTA ORDENAR COSAS, TEMAS DE COBRANZA"	"2019_q2"
"3358"	3358	"RpmK3hlopi3x"	"AV"	"5"	"PORQUE SI BIEN CUMPLEN CON LO QUE EXIGIMOS PODRÍA SER MEJOR LOS PLANES QUE PEDIMOS CON INTERNET Y MINUTOS LA SEÑAL PODRÍA SER MEJOR EL TIPO DE EQUIPO MÓVILES QUE NOS ENTREGAN PODRÍAN SER MEJORES LA SEÑAL DE INTERNET DE EMPRESAS Y OFFICE"	"2019_q2"
"3359"	3359	"aQZExpZjVSn9"	"AV"	"6"	"PORQUE EL SERVICIO EN GENERAL ES  BUENO NO HEMOS TENIDO PROBLEMAS MAYORES CON ELLOS LA CALIDAD DEL SERVICIO ES BUENA"	"2019_q2"
"3360"	3360	"g2bgHXXroY6c"	"AP"	"5"	"PORQUE HAY UNOS DETALLITOS EN ATENCION AL CLIENTE EN LOS EJECUTIVOS Y POSTVENTA HA DECAIDO MUCHO EN LA RESPUESTA CUANDO YO LLAMO A ATENCION AL CLIENTE ES MAS O MENOS NO ES SATISFACTORIA"	"2019_q2"
"3361"	3361	"W8sgL58k3k9A"	"Mas"	"6"	"PORQUE FUNCIONA PERO IGUAL HAN TENIDO TIEMPO EN QUE HAN ESTADO SIN CONEXION A INTERNET Y LLAMADAS"	"2019_q2"
"3362"	3362	"4ooSrhg1eEzj"	"Mas"	"5"	"PORQUE MIRE EN REALIDAD LA GRAN MAYORIA DIFIEREN EN ALGUNOS PRECIOS PERO AL FINAL ME QUEDO CON ENTEL PORQUE TIENEN UNA MEJOR COMUNICACION LOS OTROS SE CORTAN LAS LLAMADAS HAY VARIOS PROBLEMAS, ENTEL ES MAS CONTINUO NO TIENE ESOS CAMBIOS QUE SE PRODUCEN QUE DE REPENTE NO PASA NADA Y A UNA HORA VUELVE A APARECER."	"2019_q2"
"3363"	3363	"jizYBdSHWfXf"	"MP"	"5"	"PORQUE HE TENIDO PROBLEMAS CON DEVOLUCION DE DINERO, HICIMOS DEVOLUCION DE UN TELEFONO Y TODAVIA NO NOS SUELTAN LA PLATA, EL SISTEMA ES MUY BUROCRATICO ES MUY ENGORROSO HACER LOS TRAMITES."	"2019_q2"
"3364"	3364	"qdkziDP9Jwd1"	"AP"	"5"	"POR QUE NO TIENE BUENA COBERTURA ESTA UBICADO LAMPA , A COMUNICADO VARIAS VECES Y NO LE HAN ENTREGADO NINGUNA SOLUCION"	"2019_q2"
"3365"	3365	"DGBPm3AgKqkf"	"MP"	"6"	"PORQUE NO TIENE BUENA SEÑAL EN EL CAMPO NI EN OTROS LADOS, SOLO EN STGO"	"2019_q2"
"3366"	3366	"Sty7GR5xjuwV"	"AV"	"7"	"PORQUE RESPONDE A LO QUE QUEREMOS. MIENTRAS ESL SERVICIO SEA DADO Y SEA BUENO NO HAY MAS QUE ESO, AL FINAL LO QUE CONTRATAMOS ES UN SERVICIO."	"2019_q2"
"3367"	3367	"zDB51aYETgcC"	"AP"	"7"	"EN GENERQAL ESTA TODO MOUY BIEN"	"2019_q2"
"3368"	3368	"xlGX4A6Eue0y"	"Mas"	"6"	"POR QUE PODRIA SER MEJOR EN TODO"	"2019_q2"
"3369"	3369	"VFQyX0TEL0bd"	"AP"	"7"	"POR LA INFORMACIÓN ES CLARA LOS PRECIOS TAMBIÉN  Y TIENE EJECUTIVO   Y  POR LOS SERVICIOS CONTRATADOS ATENCIÓN PERSONALIZADA LOS PRECIOS Y LA FACTURACIÓN ES CLARA"	"2019_q2"
"3370"	3370	"WzoDrBSh7qMM"	"Mas"	"6"	"PORQUE ESTOY MEDIANAMENTE SATISFECHO CON ELLOS, NO TENGO PROBLEMAS, A PARTE ALGUNAS INTERRUPCIONES A NIVEL DE BANDA ANCHA."	"2019_q2"
"3371"	3371	"sQg6TBOuKXAO"	"AP"	"6"	"HEMOS TENIDOP BUEN SERVICIO PERO HAY DETALLES COMO LA COBERTURA A VECES SE CAEN LAS LINEAS"	"2019_q2"
"3372"	3372	"tCqG5Ux8Xm3e"	"MV"	"6"	"FUNCIONA BIEN EL SISTEMA PERO LO UNICO SON LOS COSTOS, SON MAS CAROS QUE LOS DEMAS."	"2019_q2"
"3373"	3373	"jbq3KiZvH4DV"	"AV"	"6"	"NADA ES PERFECTO LA RAPIDEZ DE LOS EJECUTIVOS CUANDO SOLICITA ALGO"	"2019_q2"
"3374"	3374	"GvgfdTmujrcO"	"MP"	"6"	"PORQUE NO TIENE BUEN AFUNCIONS LOS GPS"	"2019_q2"
"3375"	3375	"VgNK1IhMrbQj"	"AP"	"6"	"NINGUN SERVICIO ES PERFECTO ES BUEN SERVICIO PERO TIENE DEBILIDADES CON ESO DE SACAR LOS EJECUTIVOS HACE QUE EL SISTEMA DE ATENCION A CLIENTE SE CAIGA NO HAY UN EJECUTIVO ASIGNADO SOLO GENERALIZADO"	"2019_q2"
"3376"	3376	"jEHF6SMQwcYp"	"AV"	"7"	"PORQUE ES BUEN SERVICIO, BUEN MARGEN DE SEÑAL TODO, NO HE TENIDO PROBLEMAS.NO HE TENIDO CAIDAS, NADA, ESO MAS QUE NADA."	"2019_q2"
"3377"	3377	"RjDumYmsyZNU"	"AV"	"6"	"PORQUE EN GENERAL EL SERVICIO ES BUENO, PERO NO ES PERFECTO COMO PARA UN 7."	"2019_q2"
"3378"	3378	"ozNXe4PllVQr"	"AV"	"7"	"PORQUE HE TENIDO BUEN FEED BACK BUEN SERVICIO BUENA CALIDAD DE LOS SERVICIOS QUE PAGAMOS TODO BIEN"	"2019_q2"
"3379"	3379	"nVyka0N4fuOj"	"AP"	"5"	"POR QUE CUANDO SE CAMBIARON DE UBICACION FISICA LA SEÑAL DE ENTEL BAJO AHORA ESTA ESTAN EN PUDAHUAL Y ESTABAN EN VITACURA"	"2019_q2"
"3380"	3380	"xQ7GpfmInwjm"	"AP"	"6"	"POR QUE FUNCIONA BASTANTE BIEN, YA SEA EN COBERTURA, EQUIPO NO SE VA LA SEÑAL, VELOCIDAD DE TRANSFERENCIA DE DATOS ES BASTANTE BUENA"	"2019_q2"
"3381"	3381	"BaVweMNKrgtk"	"AP"	"7"	"PORQUE TENGO FACILIDAD PARA CONECTARME PARA HACER LOS CAMBIOS QUE NECESITE EN LINEA. LA UCENTA DE COBRO ES BIEN CLARITA. NO TENGO PROBLEMA."	"2019_q2"
"3382"	3382	"qe8zKRVhYbL7"	"AV"	"6"	"PORQUE PODRIA SER MEJOR DE REPENTE HAY COSAS QUE UNO QUIERE MAS RAPIDO. CUANDO UNO HACE UNO PEDIDO CUANDO UNO ESPERA UNA RESPUESTA DE UNA COTIZACION. POR ESO LE PONGO UN 6 Y NO LE PONGO UN 7 PORQUE NO TENGO MAS PROBLEMA"	"2019_q2"
"3383"	3383	"v47tzqCj7xbJ"	"AP"	"5"	"POR DONDE NOSOTROS TRABAJAMOS HAY MUY POCA SEÑAL DE RED MÓVIL"	"2019_q2"
"3384"	3384	"oQzxMjdAebGF"	"MP"	"7"	"PORQUE NO HEMOS TENIDO NINGUN PROBLEMAS LAS CUENTAS SON CLARAS"	"2019_q2"
"3385"	3385	"Vw6pEq2CERLh"	"AV"	"6"	"POR QUE  ESTA SATIFECHA CON EL SERVICIO . POR  NO PUEDO PONER    PONER UN 7 NO ES PERFECTO ."	"2019_q2"
"3386"	3386	"2kNQQmtwLgvQ"	"AV"	"7"	"POR QUE ES BUEN SERVICIO NO TENGO PROBLEMA Y LA COMUNICACIÓN ES BUENA"	"2019_q2"
"3387"	3387	"txu7lhj8fECb"	"AP"	"7"	"por que tiene un buen servicio y una muy buena"	"2019_q2"
"3388"	3388	"3wb9BRg5GFlN"	"MP"	"5"	"PORQUE NUNCA SE HAN COMUNICADO CON NOSOTROS EN LA EMPRESA"	"2019_q2"
"3389"	3389	"Jl1eSbBRymlv"	"MasPrem"	"7"	"PORQUE SE HA CUMPLIDO EL PLAN, SE MANTIENE LOS PRECIOS Y EL SERVICIO ES BUENO. CUANDO REQUIERE CAMBIAR LOS EQUIPOS SON ACCESIBLE"	"2019_q2"
"3390"	3390	"JOyBHerjTpsy"	"AV"	"7"	"PORQUE LA VERDA TODOS LOS SERVICIOS LOS DAN Y LA ATENCIÓN ES BUENA"	"2019_q2"
"3391"	3391	"2kzP8urBFu8T"	NA	"4"	"por el internet , utilizamos mucho  el internet  se cae  cuando hacemos tramites ,es todos entre los horarios des las 16: 00 a las 18:00. cuidad de temuco"	"2019_q2"
"3392"	3392	"Q2AH8bHLDYf6"	"MV"	"5"	"HAY DEFICIENCIA EN LA ENTREGA DE LOS SERVICIOS LA RESPUESTA SE CAEN LOS SERVICIOS PERO IGUAL QUE MOVISTAR Y NO ES CONSTANTE EL SERVICIO HACER UN CAMBIO ETC. HAY  DEMORA"	"2019_q2"
"3393"	3393	"9V6D0xn0bi8c"	"MV"	"6"	"PORQUE ULTIMAMENTE SE ESTA CAYENDO MUCHO EL SERIVICIO, SOLO ESO."	"2019_q2"
"3394"	3394	"SAYef5CtBdHp"	"Mas"	"5"	"GENERALMENTE PROBLEMITAS CON FACTURACION HICE UN CAMBIO DE EMPRESA Y DEMORO MUCHO PERO MUY BIEN JECUTIVO NUEVO"	"2019_q2"
"3395"	3395	"lnQr4uzbNFt9"	"AV"	"6"	"PORQUE EN GENERAL ESTA BASTANTE BIEN PERO PODRÍA MODIFICAR ALGUNAS COSAS COMO LA  INFORMACIÓN QUE PUEDA DISPONER CON FACILIDAD  AUTOMATIZACIÓN EN LA INFORMACIÓN DE LOS RECURSOS."	"2019_q2"
"3396"	3396	"vPci88CBLhHz"	"MV"	"6"	"ES UN SERVICIO ESTABLE, LO RECOMIENDA, CONFIABLE CON SU IMAGEN"	"2019_q2"
"3397"	3397	"EDaJV0IHRwDw"	"AP"	"6"	"POR QUE EN ALGUNOS LUGARES NO HAY COBERTURA,EN LUGARES ESPECIFICOS"	"2019_q2"
"3398"	3398	"IjquiV3bmoff"	"MV"	"6"	"POR QUE LA PLATAFORMA DE PAGO A VECES TIENE ERRORES CUANDO PAGO FACTURAS DE SERVICIOS SE MEZCLAN CON LA FACTURA DE COMPRAS Y QUEDAN LOS PAGOS COMO CRUZADOS EN VEZ DE ABONAR LA PLATA QUE PAGUE POR SERVICIOS LA ABONAN POR VENTAS Y QUEDA SALDO PENDIENTE"	"2019_q2"
"3399"	3399	"MPfkUmwdgOig"	"AV"	"6"	"DEBERIA SER MEJOR EL SERVICIO"	"2019_q2"
"3400"	3400	"H91wgwpzO4ro"	"AV"	"6"	"POR QUE LA EJECUTIVA NO AH ATENDIDO LOS REQUERIMIENTOS CON RAPIDEZ DEBIDA"	"2019_q2"
"3401"	3401	"1wDYRxFbvbb2"	"MV"	"6"	"PORQUE DEMORAN UN POCO EN LLEGAR LOS EQUIPOS"	"2019_q2"
"3402"	3402	"a4gffMqVkxiT"	"AV"	"6"	"POR UN TEMA DE COBERTURA EN ALGUNOS SECTORES QUE NO SE ESCUCHA BIEN DE HECHO ESTOY EN UN SECTOR QUE NO SE ESCUCHA BIEN LIMACHE"	"2019_q2"
"3403"	3403	"GEiVepiSVGzq"	"Mas"	"7"	"PORQUE NO TENEMOS PROBLEMAS DE COMUNICACION, NO HEMOS TENIDO NINGUN PROBLEMA EN GENERAL"	"2019_q2"
"3404"	3404	"MtJNmdThdd56"	"MV"	"7"	"PORQUE TIENE BUENA SEÑAL EN GENERAL NUNCA SE CAE FUNCIONA BIEN"	"2019_q2"
"3405"	3405	"ZtSXeb78eBjC"	"AP"	"5"	"POR QUE NO HAY UN SEGUIMIENTO EN LAS CUENTAS"	"2019_q2"
"3406"	3406	"h7AU4eMAb1jC"	"MV"	"5"	"POS VENTA HA TENIDO PROBLEMA .. MUY LENTO LA SOLUCIÓN"	"2019_q2"
"3407"	3407	"SDEDVMWyw73L"	"AV"	"7"	"POR QUE NO AH TENIDO PORBLEMAS CON SERVICIOS Y CUANDO REQUIERE SE ADAPTAN A LA EMPRESA"	"2019_q2"
"3408"	3408	"vSxR6kczLMhN"	"AV"	"5"	"POR LOS PLANES Y LA COBERTURA"	"2019_q2"
"3409"	3409	"7HUW3i42jM4Q"	"MV"	"6"	"PORQUE EN GENERAL EL SERVICO ES BUENO BUENA COBERTURA Y BUENA ATENCIÓN EN LAS SUCURSALES"	"2019_q2"
"3410"	3410	"OtDcEFNw1yo1"	"Mas"	"5"	"POR QUE SE SUPONE QUE NO DEBE TENER PROBLEMAS Y LOS TIENE ,NO LLEGA COBERTURA PROBLEMAS DE INTERNET."	"2019_q2"
"3411"	3411	"JQNz51JjIdAY"	"AP"	"7"	"POR QUE NO TENGO NINGUN PROBLEMA"	"2019_q2"
"3412"	3412	"8Io17vW0h32E"	"Mas"	"6"	"POR QUE LA HA TENIDO VARIOS PROBLEMAS LA SEÑAL ES MALA , EN ZONAS DE SANTIAGO EN LA COMUNA ESTACION CENTRAL"	"2019_q2"
"3413"	3413	"3WUSJDkcnL5p"	"Mas"	"5"	"PORQUE HE TENIDO ALGUNOS PROBLEMAS CON LAS CUENTAS Y ESO."	"2019_q2"
"3414"	3414	"wgePu6Uwg2A7"	"Mas"	"5"	"NO HAY CONTACTO CON LA EMPRESA TOME EL  PLAN Y NO ME PRESENTAN NADA NUEVO"	"2019_q2"
"3415"	3415	"yjmcxg3q13O2"	"Mas"	"6"	"POR LOS PRECIOS NO SON LOS MÁS BAJOS Y TAMPOCO TIENE UN BUEN PRECIO EN EL ROAMING CUANDO VIAJA"	"2019_q2"
"3416"	3416	"98ZWPA1x0NiY"	"AV"	"7"	"NIUN PROBLEMA CON ENTEL, HEMOS TENIDO UN EXCELENTE SERVICIO CON ELLOS."	"2019_q2"
"3417"	3417	"1LN9l385oV9p"	"MasPrem"	"7"	"POR TIENE BUENA COBERTURA BUEN SERVICIO POST VENTA Y NO ES CARO"	"2019_q2"
"3418"	3418	"0Cv28eUyOKJk"	"Mas"	"6"	"PORQUE RECIEN LLEVAMOS UN PARB DE MESES Y NO TE PUEDO DAR UNA EVALUACION DEFINITIVA PORQUE LAS COSAS PUEDEN CAMBIAR EN EL CAMINO"	"2019_q2"
"3419"	3419	"8IbzIB6XbXuu"	"AP"	"5"	"POR ES LO MENOS MALO NO SON COMO DEBIESEN SER LO QUE OFRECEN NO ES SIEMPRE LO QUE DAN"	"2019_q2"
"3420"	3420	"Gujoikj6V47V"	"AV"	"5"	"ANTES ESTABAMOS EN MOVISTAR Y ERA MAS FACIL CONTACTAR A LOS EJECUTIVOS HACER LOS CAMBIOS DE EQUIPOS. Y CON ENTEL NOS HA COSTADO UN POCO LA PAGINA DE ENTEL NO ES MUY AMIGABLE. NO ESTA OPERATIVA UNO ENTRA A ALGUNAS AREAS Y NO FUNCIONA. HEMOS TENIDO ALREDEDOR DE 3 O 4 EJECUTIVOS ALREDEDOR DEL TIEMPO QUE ESTAMOS CON ELLOS."	"2019_q2"
"3421"	3421	"FnjeDpkKu1BG"	"Mas"	"7"	"NO HE TENIDO INCONVENIENTE RESPECTO DE LAS TAREAS QUE QUIERO REALIZAR CUMPLEN"	"2019_q2"
"3422"	3422	"ewPcnVA67p3I"	"AV"	"4"	"POR QUE A VECES TENEMOS PROBLEMAS DE SEÑAL Y HEMOS TENIDO DESDE MARZO PROBLEMAS CON LA FACTURACION, NOS COBRAN SERVICIOS QUE NO CORRESPONDEN Y TIENE QUE ESTAR ANULANDO LAS BOLETAS Y A VECES NOS CORTAN LOS SERVICIOS POR QUE NO PAGAMOS LAS BOLETAS QUE NO CORRESPONDEN"	"2019_q2"
"3423"	3423	"UTLwSxky5hqF"	"MasPrem"	"5"	"PORQUE SI BIEN NO HE TENIDO PROBLEMAS, NO SE HAN CONTACTADO CONMIGO, SI ESTOY BIEN O NECESITO ALGO, LA POSTVENTA ES CERO"	"2019_q2"
"3424"	3424	"6kCH0HFor76j"	NA	"7"	"PORQUE NO HEMOS TENIDO PROBLEMAS NI TAMPOCO BAJAS DE LA SEÑAL NI NADA."	"2019_q2"
"3425"	3425	"iuuoBUB9DFLc"	"Mas"	"6"	"POR QUE SIEMPRE HAY ALGUNA COSA EN ALGUN MINUTO QUE NO ES OPTIMO,COMO POR EJEMPLO EL TEMA DE LA BANDA ANCHA, EL INTERNET"	"2019_q2"
"3426"	3426	"KveYyYawv2hm"	"Mas"	"6"	"PORQUE SIEMPRE NADA ES PERFECTO SIEMPRE HAY ALGUNA FALLA. A VECES SE CAE EL INTERNET MOVIL, PERO NO MUCHO."	"2019_q2"
"3427"	3427	"AsuCYlZ5Jit8"	NA	"6"	"POR PROBLEMAS CON LA SEÑAL FUE SOLO EN UN TIEMPO FUE SOLUCIONADO"	"2019_q2"
"3428"	3428	"PiqmNK0tOwE6"	"AV"	"5"	"DE PRONTO TUVE PROBLEMAS DE SEÑAL BASICAMENTE, NOS QUEDAMOS SIN SEÑAL, HAY QUE BUSCAR, HAY OCACIONES O DIAS EN QUE LA SEÑAL ESTA MAS DEBIL. LA SEÑAL SE NOS VA ESPORADICAMENTE Y EN ALGUNOS LUGARES ESPECIFICOS"	"2019_q2"
"3429"	3429	"irz0pHBCLp4A"	"MV"	"6"	"RESPONDEN A TIEMPO LA POST VENTA PO REL EJCUTIVOLOS PRECIOS LOS COSTOS SON BASTANTE ACEPTABLES LOS PLANES TAMBIEN"	"2019_q2"
"3430"	3430	"TMGldcnIYUOB"	"AV"	"7"	"POR FUNCIONA BINE Y NO AH TENIDO PROBLEMAS"	"2019_q2"
"3431"	3431	"mmvsMd0bEtRi"	"Mas"	"6"	"PORQUE NOS CAMBIAMOS HACE POCO Y EN REALIDAD SALE BIEN LA CUENTA Y LOS SERVICIO FUNCIONA BIEN"	"2019_q2"
"3432"	3432	"45A27UQhaPpT"	"AP"	"6"	"PORQUE SON BUENO PERO LES FALTA NO TIRAN BUENAS OFERTAS PARA TELEFONOS SIEMPRE SALEN MAS CARO LO EQUIPOES"	"2019_q2"
"3433"	3433	"nRW4hrwkyD4q"	"AP"	"6"	"EN ALGUNAS ZONAS QUE SON MAS RURALES NO FUNCIONA LA COBERTURA EN EL CAMPO EN PAINE EN LAS ZONAS AFECTADAS ES COTIDIANO TODOS LOS DIAS"	"2019_q2"
"3434"	3434	"wgTEqg2w56Uw"	"Mas"	"6"	"POR QUE DERREPNTE FALTA POCO INFORMACION . AVECES LA INFORMACION NO SON TAN CLARAS"	"2020_q1"
"3435"	3435	"UI3Gyi8Xu9mg"	"Mas"	"7"	"DEBIDO A LA VELOCIDAD AL INTERNET POR EJEMPLO TRABAJAMOS MUCHO CON INTERNET MOVIL Y NO HEMOS TENIDO PROBLEMA CON ESO"	"2020_q1"
"3436"	3436	"euyPu8HfP8lF"	"Mas"	"4"	"POR EL ANTES Y EL DESPUÉS. QUE ANTES ESTABAMOS BIEN Y DESPUÉS PÉSIMAMENTE MALO CON RESPECTO A QUERER COMUNICARSE CON ENTEL, NO PODER COMUNICARSE CON ENTEL, TRATAR DE SOLUCIONAR PROBLEMAS COMO TIENES EL TELÉFONO CORTADO NO PUEDES CONTACTARTE AL 103 NI AL 106 PARA SOLUCIONAR AL PROBLEMA, NI LA LÍNEA 800 PORQUE NO TE CONTESTA NADIE. Y LAS GRABACIONES NO TE LLEVAN A NINGÚN LADO. POR EJEMPLO SI QUIERES COMUNICARTE CON UN EJECUTIVO NO PUEDES SOLUCIONAR EL PROBLEMA CON UNA GRABACIÓN. ADEMÁS DE CORTARTE EL TELÉFONO TE CORTAN LA SALIDA A CONTACTARTE CON UN EJECUTIVO AL 106 Y 103 NO HAY NINGUNA SOLUCIÓN. QUE TE DEJEN ABIERTO PARA COMUNICARTE CON UNA OPERADORA Y PODER SOLUCIONAR EL PROBLEMA. YO LLEVO TRATANDO DE COMUNICARME CON ENTEL DESDE QUE PARTIÓ LA PANDEMIA. BUENO QUE LAS GRABACIONES NO SIRVEN DE MUCHO LA GENTE NO TIENE TIEMPO DE ESCUCHAR TODA LA GRABACIÓN PARA COMUNICARSE CON UN EJECUTIVO. DERREPENTE NO SABES CUAL TECLA APRETAR CUAL OPCIÓN APRETAR. ENTONCES SERÍA SOLUCIÓN QUE TE CONTESTE UNA OPERADORA Y QUE LA OPERADORA TE DERIVARA. Y LO OTRO QUE CUANDO TE DERIVEN TE CONTESTEN PORQUE EN GENERAL NO TE CONTESTAN, MÁS DE ALGUNA VEZ TE CONTESTAN EN GENERAL O SE DEMORAN Y TE DICEN ESTA LLAMADA SE RETRASARÁ POR CONGESTIÓN. YO HE ESPERADO HASTA 45 MINUTOS SABIENDO QUE NO ME VAN A CONTESTAR"	"2020_q1"
"3437"	3437	"FjWHC6egF1JW"	"Mas"	"7"	"ENTEL TIENE  MUY BUENA  COBERTURA.  LA BANDA ANCHA ES RAPIDA Y  DAN  RAPIDAS  SOLUCIONES CUANDO UNO TIENE  PROBLEMAS A VECES"	"2020_q1"
"3438"	3438	"mHOBwi96SZxM"	"Mas"	"5"	"ÚLTIMAMENTE LA SEÑAL ESTA MUY DÉBIL, CUESTA CONECTARSE, REUNIONES A TRAVÉS DE ZOOM O MEED ES MUY INESTABLE."	"2020_q1"
"3439"	3439	"7tDvPvGgbo9S"	"Mas"	"5"	"PORQUE LA CAÍDA DE LA SEÑAL, QUEDA SIN COBERTURA EN CUALQUIER MINUTO"	"2020_q1"
"3440"	3440	"janwOgDOpLXj"	"Mas"	"4"	"SE CAE EL SISTEMA BAJO  INTERNET."	"2020_q1"
"3441"	3441	"ZfgoBpvcP2WD"	"Mas"	"7"	"ESTOY MUY SATISFECHO CON ENTEL HASTA SORPRENDIDO , DURANTE EL TIEMPO HAN HECHO CAMBIOS QUE HAN FAVORECIDO AL CLIENTE, HAN BENEFICIADO AL CLIENTE, SE DESTACA MUCHO POR SOBRE LAS EMPRESAS DE LA COMPETENCIA."	"2020_q1"
"3442"	3442	"bnzKVk8tmNZr"	"Mas"	"5"	"POR QUE ME SUBEN LAS CUENTAS TENGO QUE ESTAR RECLAMANDO Y PIDIENDO LA REBAJADEL MONTO QUE COBRA DE MAS."	"2020_q1"
"3443"	3443	"5VO4mJeKbJpy"	"Mas"	"6"	"ANTES YO TENIA PONIA UN 7 PERO HACE MESES ATRAS LAS COMUNICACIONES NO SE ESCUCHAN BIEN FUI A ENTEL ME CONFIGURARON EL EQUIPO Y SIGO CON EL PROBLEMA, EL SERVICIO NO HA SIDO TAN BUENA COMO ANTES LA SEÑAL TELEFONICA NO HA SIDO TAN BUENA COMO ANTES, EL TEMA ES CON LA SEÑAL NO RECIBE LA LLAMADA"	"2020_q1"
"3444"	3444	"vjj8oDrEI1i1"	"Mas"	"4"	"TIENEN BASTANTE COBERTURA EN TODOS LADOS PERO EL SERVICIO ENTREGADO ES MUY MALO EL INTERNET NO FUNCIONA EN ALGUNOS SECTORES ES MUY MALO, Y LAS LLAMADAS SE ESCUCHA CORTADO SE CORTA"	"2020_q1"
"3445"	3445	"8BtJ1iCj1Vew"	"Mas"	"7"	"PORQUE TENEMOS CONECTIVIDAD EN TODO MOMENTO NO SE NOS CAE EL SERVICIO Y NOS CUBRE EN TODAS LAS PARTES RURALES."	"2020_q1"
"3446"	3446	"Ya1v75Z5TxMB"	"Mas"	"7"	"PORQUE NUNCA A TENIDO PROBLEMAS DE CORTE , COMUNICACIÓN , COBERTURA"	"2020_q1"
"3447"	3447	"EgJ66wje8Mj2"	"Mas"	"7"	"PORQUE ME HAN ENTREGADO UN SERVICIO EFICIENTE, TIENE BUENA COBERTURA LA COBERTURA ES PRIMORDIAL, QUE ESTA ENTRE LOS RANGOS QUE UNO NECESITA"	"2020_q1"
"3448"	3448	"vKOnZKhcOWkh"	"Mas"	"6"	"LA SEÑAL DE REPENTE ES MALA LA SEÑAL, ES MALA LA SEÑAL, SEÑAL MALA, ES QUE VIVO EN LE CAMPO."	"2020_q1"
"3449"	3449	"B6DaSH5SRPTQ"	"Mas"	"1"	"MALA CALIDAD DE LA EMPRESA DE TODO SOLICITUD UN TELÉFONO UN RECAMBIO Y NADIE SABE DONDE ESTA NADA"	"2020_q1"
"3450"	3450	"cIilOl4EzxV9"	"Mas"	"6"	"VECES HAY PROBLEMAS DE CONECCION, EL INTERNET ESTA UN POCO LENTO, EN ALGUNOS LUGARES DE LA CIUDAD YO ESCUCHO PERO NO ME ESCUCHAN ENTONCES AHÍ FALLA LA CONECCION."	"2020_q1"
"3451"	3451	"TyPIjshf46YB"	"Mas"	"4"	"PORQUE LA SEÑAL ES INESTABLE EN ESTOS TIEMPOS  SE PIERDE MUCHO LA SEÑAL Y CUESTA COMUNICARSE"	"2020_q1"
"3452"	3452	"TVRaRYFSnAq7"	"Mas"	"7"	"MUY BUENA SEÑAL, QUE ES LO PRINCIPAL QUE UNO NADA BUSCANDO, TE PUEDEN OFRECER MAS BARATO, PERO SI TIENEN MALA SEÑAL LO DE MAS ES PROPAGANDA."	"2020_q1"
"3453"	3453	"ehCKpgHJK5ip"	"Mas"	"4"	"PORQUE NO LO TRATAN BIEN POR LA ANTIGÜEDAD QUE EL TIENE EN LA EMPRESA Y LE GUSTARÍA ESTAR MEJOR"	"2020_q1"
"3454"	3454	"4YboJVYqvEZ7"	"Mas"	"6"	"LA ULTIMA VEZ QUE INSTALARON TUVIERON ERRORES EN LA INSTALACIÓN DE LA FIBRA ÓPTICA Y EN LA PUESTA EN MARCHA DEL SERVICIOS, PROBLEMA CON LOS APARATOS Y EQUIPOS, EL RESTO FUNCIONA BIEN"	"2020_q1"
"3455"	3455	"leW50y5DazIh"	"Mas"	"6"	"POR QUE HEMOS TENIDO PROBLEMAS DE SEÑAL Y DE INTERNET IGUAL AVECES HEMOS ESTADO SIN INTERNET"	"2020_q1"
"3456"	3456	"1UK5ybV5jK85"	"Mas"	"6"	"PORQUE HE TENIDO ALGUNO PROBLEMAS DE SEÑAL"	"2020_q1"
"3457"	3457	"GD7PXCJ9T7XU"	"Mas"	"6"	"PORQUE NO HE TENIDO PROBLEMA COMO PARA PREGUNTARLE A ELLOS Y QUE ME LO SOLUCIONEN."	"2020_q1"
"3458"	3458	"G90DPtlY7nx5"	"Mas"	"6"	"PORQUE SIEMPRE DIGAMOS IGUAL HEMOS ANDADO BIEN SE CAE LA SEÑAL DE VEZ EN CUANDO TIENE MEJOR COBERTURA"	"2020_q1"
"3459"	3459	"evpmr6Js3pgp"	"Mas"	"5"	"PORQUE TIENE BASTANTES CAÍDAS DE SEÑAL Y LA CALIDAD DE NAVEGACIÓN HA BAJADO BASTANTE. AHORA CUESTA NAVEGAR. LA CALIDAD HA BAJADO CON LOS AÑOS"	"2020_q1"
"3460"	3460	"VblG4g3Ah5eE"	"Mas"	"6"	"EL VALOR."	"2020_q1"
"3461"	3461	"AFYOnZ6w8Twg"	"Mas"	"6"	"PORQUE TENGO BUENA SEÑAL PERO HAY PARTES DONDE NO TENGO SEÑAL"	"2020_q1"
"3462"	3462	"VObXpsaiIHHt"	"Mas"	"2"	"PORQUE HACE POCO QUE ESTOY EN LA EMPRESA Y EL INTERNET ES MUY LENTO, EN ESTOS MOMENTOS APREMIA EL INTERNET ES MUY IMPORTANTE PERO EN MUY LENTO"	"2020_q1"
"3463"	3463	"CqUhjkln5Xay"	"MV"	"6"	"PORQUE HE TENIDO BUENA ATENCIONES BUENOS PLANES, BUENOS PRECIOS Y LA CALIDAD DEL SERVICIO, LA CALIDAD SI EVALUO VOZ DATOS VEMOS QUE HAY CIERTA ESTABILIDAD EN LO BENEFICIOS QUE OFRECE"	"2020_q1"
