"encriptado"	"seg_gol"	"seg_corfo"	"principal compañía"	"filtro1 - filtro 1: ¿es usted la persona que administra la (s) cuenta (s) que su empresa tiene con el (los) operadores de productos o servicios móviles?"	"p3 pensando en su cuenta empresa, en general, con escala 1 a 7, donde 1 = muy insatisfecho y 7 = muy satisfecho, ¿cuán satisfecho está usted con entel?"	"p4 ¿por qué evalúa con esa nota?"	"p7 - 7. y en lo que respecta a servicio a clientes, en escala de 1 a 7 ¿cuán satisfecho está ud . {#principal}{#princ_text}?"	"p9__1 - a) precio en relación al mercado (competitividad) :"	"p9__2 - b) competitividad de planes en cuanto a minutos :"	"p9__1 - contratación de nuevos servicios :"	"p10__6 - 'consultas de la factura, como fecha pago, montos, detalles de cobros' :"	"p16 - facturación: 16. en cuanto a la facturación de todos los servicios móviles que tiene con {#principal}, en una escala de 1 a 7 ¿cómo evalúa el proceso de facturación de {#principal} en general?"	"p17 - problemas 17. en los últimos 3 meses, ¿ha tenido su empresa algún problema con el servicio entregado por {#principal}?"	"p15 - 15. ¿qué problema ha tenido? sondear literal"	"p19 - 19. ¿comunicó este problema a {#principal}?"	"p20 - 20. ¿y fue solucionado su problema?"	"18. utilizando una escala de 1 a 7, donde 1 significa nada dispuesto y 7 significa muy dispuesto, ¿qué tan dispuesto estaría usted a continuar con {#principal}{#princ_text}?"	"p24 - 24. en base a una escala de 0 a 10, donde 0 significa que definitivamente no recomendaría, y 10 que definitivamente si recomendaría, ¿qué tan dispuesto estaría usted a recomendar a {#principal}?"	"p_3a - 3) 3) para servicios fijos, ¿hace cuánto tiempo que tiene esta cuenta con {#principal}{#princ_text}? años"	"p_3b - meses"	"p_4 - 4) ¿ pensando en su relación con {#principal}{#princ_text} ¿tiene asignado un ejecutivo para sus necesidades comerciales y/o de post venta?"	"bench"	"fecha_bench"
"562"	"bwQwABiLveS3"	"Mas"	"MICRO"	"Entel"	"SI -> CONTINUAR"	5	"PORQUE LA BANDA ANCHA A VECES ES INESTABLE Y EL PRECIO LA VERDAD QUE YA NO SE CONVIERTE EN TEMA DE TELEFONOS FIJOS CUANDO TODAS LAS COMUNICACIONES SON POR INTERNET"	"5"	"4"	"4"	"No"	"7"	"7"	"Sí"	"NO ME LLAGABAN LAS FACTURAS"	"No"	NA	4	4	8	0	"No"	"fijo"	"2019_q2"
"563"	"aygn2dXubsl7"	"Mas"	"MICRO"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE ALGUNAS VECES SE A CAIDO LA FIBRA,PASAN A PODAR LOS ARBOLES NO ES CULPA DE ENTEL,DEPENDE DE TIEMPO QUE SE DEMORAN EN REPONER"	"6"	"4"	"9. NS/NR"	"No"	NA	"7"	"No"	NA	NA	NA	5	8	2	0	"No"	"fijo"	"2019_q2"
"564"	"abAKhYBWgHpo"	"Mas"	"MICRO"	"Entel"	"SI -> CONTINUAR"	7	"PORQUE NO FALLA, TIENE BUENA COBERTURA"	"5"	"6"	"7"	"Si"	NA	"7"	"No"	NA	NA	NA	7	8	2	0	"9. NS/NR"	"fijo"	"2019_q2"
"565"	"ioQpK45u0urd"	"AV"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	7	"PORQUE HAY BUEN ACOMUNICACION BUENAS RESPUESTAS TODO BIEN"	"6"	"6"	"7"	"Si"	NA	"7"	"No"	NA	NA	NA	7	10	3	0	"Sí"	"fijo"	"2019_q2"
"566"	"cKfu98Qd4hKe"	"Mas"	"MICRO"	"Entel"	"SI -> CONTINUAR"	6	"POR LA COBERTURA, A NIVEL NACIONAL NO HE TENIDO NINGÚN PROBLEMA CON LA CONECTIVIDAD Y POR LA DISPONIBILIDAD, TENGO CIEN POR CIENTO EL TIEMPO DISPONIBLE."	"4"	"4"	"3"	"No"	NA	"7"	"No"	NA	NA	NA	5	6	4	0	"9. NS/NR"	"fijo"	"2019_q2"
"567"	"lKYXVGZYm3Bo"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE ME FUNCIONA BIEN EL SISTEMA EN GENERAL A TODO INTERNET Y LLAMADAS"	"7"	"7"	"7"	"No"	"7"	"7"	"No"	NA	NA	NA	6	8	3	0	"No"	"fijo"	"2019_q2"
"568"	"tlqavTV0Wo0z"	"MP"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	7	"PORQUE ES MUY BUENO EL SERVICIO. TIENE BUENA COBERTURA, SEÑAL, UNA DE LAS MEJORES COMPAÑIAS QUE HEMOS CONTRATADO Y NO HEMOS TENIDO NINGUN PROBLEMA"	"5"	"5"	"5"	"No"	"7"	"7"	"No"	NA	NA	NA	7	7	4	0	"Sí"	"fijo"	"2019_q2"
"569"	"GtNwmZWTMHAA"	"AP"	"MEDIANA"	"Entel"	"SI -> CONTINUAR"	6	"POR LOS CORTES DE INTERNET Y EL CORTE DE LA LINEA FIJA. RELATIVAMENTE PASA CON EL TELEFONO MUY SEGUIDO Y CON INTERNET CADA 15 20 DIAS. SI RELATIVAMENTE DESDE QUE ESTRENAMOS EL SERVICIO."	"7"	"7"	"7"	"No"	NA	"7"	"Sí"	"CONECTIVIDAD DE TELEFONIA FIJA E INTERNET. HA SIDO SOLUCIONADO RAPIDAMENTE. LO QUE PASA QUE TENEMOS UN SERVICIO DE INTERNET INALAMBRICO Y SI SE CORTA NOS QUEDAMOS SIN CONEXION PERO SE SOLUCIONA RAPIDO."	"Sí"	"Si"	7	10	5	0	"Sí"	"fijo"	"2019_q2"
"570"	"io6MFO2Bp7cP"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	6	"NECESITO MEJORAR LOS VALORES DE LAS TARIFAS DE LO QUE ES TELEFONIA. A LO QUE ES TELEFONIA FIJA EL PRECIO VOY A VER SI LOGRO DISMINUIRLO. HAY MUCHA COMPETENCIA HAYU QUE EVALUARLO. EL SERVICIO ES BUENO. (LE GUSTA) LA PERMANENCIA DE CONEXION"	"7"	"6"	"6"	"No"	NA	"7"	"Sí"	"UN PROBLEMA NO TUVIMOS SERVICIO POR UN CORTE DE FIBRA NOS QUEDAMOS SIN INTERNET POR UN DIA Y SIN TELEFONIA FIJA PORQUE ERA TODO JUNTO."	"Sí"	"Si"	7	10	10	0	"9. NS/NR"	"fijo"	"2019_q2"
"571"	"IfiNgqt8xHt6"	"AP"	"GGEE"	"Entel"	"SI -> CONTINUAR"	7	"POR QUE ES MUY SATISFECHO CON LOS SERVICIOS QUE PRESTA LLEVAMOS AÑOS CON ELLOS"	"7"	"7"	"7"	"Si"	NA	"7"	"No"	NA	NA	NA	7	10	2	0	"Sí"	"fijo"	"2019_q2"
"572"	"YKpfWmPQQLWK"	"AV"	"MEDIANA"	"Entel"	"SI -> CONTINUAR"	6	"POR EL SERVICIO QUE ENTREGAN. EL SERVICIO CONTRATADO ES SASTIFACTORIO"	"4"	"5"	"5"	"Si"	"5"	"5"	"No"	NA	NA	NA	5	8	5	0	"Sí"	"fijo"	"2019_q2"
"573"	"ZFQQDsJfqpp7"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	5	"POR QUE CUANDO INSTALARON TODDO NO TUVO BUENA EXPERIENCIA Y SE SINTIÓ UN POCO MAS Y SOLUCIONOS SIN PROBLEMAS POR SU CUENTA, SE SINTIO ENGAÑADO POR QUE OFRECIEREN"	"6"	"5"	"9. NS/NR"	"No"	NA	"7"	"No"	NA	NA	NA	6	7	3	0	"No"	"fijo"	"2019_q2"
"574"	"hM8TvaLnk7Ys"	"AV"	"GGEE"	"Entel"	"SI -> CONTINUAR"	7	"PORQUE HAN RESPONDIDO BIEN, NO HE TENIDO PROBLEMAS DE CONECTIVIDAD O ANCHO DE BANDA Y CUANDO TENEMOS CONTINGENCIA NOS HAN ATENDIDO BIEN, NINGUN PROBLEMA."	"6"	"7"	"7"	"No"	"7"	"6"	"No"	NA	NA	NA	7	10	5	0	"Sí"	"fijo"	"2019_q2"
"575"	"0PZXaIZhdWTs"	"MV"	"GGEE"	"Entel"	"SI -> CONTINUAR"	2	"EL SERVICIO QUE TENGO ES MALO Y CARO SE CAE A VECES NO DAN BUENA RESPUESTA EL SERVICIO DEBERÍA SER INFALIBLE Y NO LO ES MALA ATENCION AL CLIENTE CON EL EJECUTIVO EMPRESA"	"3"	"2"	"9. NS/NR"	"Si"	NA	"5"	"No"	NA	NA	NA	2	0	3	0	"Sí"	"fijo"	"2019_q2"
"576"	"vxEMvdG2hq7p"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE SIEMPRE HAY COSAS PARA MEJORAR"	"6"	"5"	"6"	"No"	NA	"6"	"No"	NA	NA	NA	6	8	5	0	"9. NS/NR"	"fijo"	"2019_q2"
"577"	"6LZHam4v9NF4"	"AP"	"GGEE"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE LA VERDAD ES QUE ES EL UNICO SERVICIO QUE LLEGA ACA Y CUANDO HAY REQUERIMIENTOS HAY QUE ESPERAR BASTANTE."	"6"	"4"	"4"	"Si"	"6"	"5"	"Sí"	"POR EJEMPLO LAS CAIDAS DE INTERNET, PROBLEMAS CON LA FIBRA OPTICA. COBROS EXTRAS, Y SE RECLAMA CON EJECUTIVO."	"Sí"	"Está en trámite"	5	4	4	0	"Sí"	"fijo"	"2019_q2"
"578"	"NlTEgAC97Mpv"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	5	"POR QUE ENCUENTRO QUE ENTREGA UN BUEN SERVICIO Y PERO NO LO AL MEJOR PRECIO"	"6"	"3"	"5"	"Si"	"7"	"6"	"No"	NA	NA	NA	6	5	5	0	"No"	"fijo"	"2019_q2"
"579"	"L2hBlC38ZI4J"	"MP"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE NO ES LO OPTIMO PERO TAMPOCO ES MALO QUE PODRIA SER MEJOR PODRIA SER MEJOR EN EL PRECIO CALIDAD EN LA RESPUESTA CUANDO ALGUNO TIENE ALGUN PROBLEMA"	"5"	"6"	"7"	"Si"	"6"	"4"	"Sí"	"DE TODO LO QUE ME HABIA NOMBRADO, A VER HE TENIDO PROBLEMAS CON LOS SERVICIOS CON FACTURACION HE TENIDO PROBLEMAS CON INGRESOS CON EL EJECUTIVO ASIGNADO NUNCA LLAMA LO QUE PASA ES QUE A VER LA CALIDAD NO HA SIDO BUENO ESTOY SIN INTERNET DE REPENTE NO SE PUEDE COMUNICAR MONTON COSAS"	"Sí"	"Si"	6	8	8	0	"Sí"	"fijo"	"2019_q2"
"580"	"I8gBke2avhTt"	"Mas"	"MICRO"	"Entel"	"SI -> CONTINUAR"	7	"TIENE BUEN PLAN A BUEN PRECIO, BUEN SERVICIO AL CLIENTE"	"7"	"7"	"7"	"No"	"7"	"6"	"No"	NA	NA	NA	7	9	4	0	"No"	"fijo"	"2019_q2"
"581"	"m4d1Et4YoRwm"	"MP"	"MEDIANA"	"Entel"	"SI -> CONTINUAR"	7	"EL SERVICIO ES BUENO, NO HE TENIDO NINGUN PROBLEMA."	"7"	"7"	"9. NS/NR"	"No"	NA	"7"	"No"	NA	NA	NA	7	10	4	0	"Sí"	"fijo"	"2019_q2"
"582"	"68hCCE37VKkv"	"MP"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	7	"PORQUE TIENE BUENA COBERTURA Y NO SE ME VA LA SEÑAL"	"7"	"7"	"7"	"Si"	NA	"7"	"No"	NA	NA	NA	7	10	7	0	"Sí"	"fijo"	"2019_q2"
"583"	"QYKEII2pukaV"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	5	"PORQUE HE TENIDO UN SERVICIO RACIONABLE, QUE LA VELOCIDAD ES ESTABLE, SE CAE POCAS VECES, NO COMO OTROS QUE SE CAEN A CADA RATO, OTROS QUE SON MÁS LENTOS, NO ES ÓPTIMO, PERO POR ESO LE DOY UN 5, NO ES ÓPTIMO, PERO LO CALIFICO CON 5."	"6"	"5"	"5"	"No"	"5"	"6"	"No"	NA	NA	NA	6	7	3	99	"No"	"fijo"	"2019_q2"
"584"	"cPM38D4mPZgd"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	5	"EN TERRENO LAS OFICINAS DE ENTEL SON DEFICIENTES FALTA GENTE EN LAS CAJAS Y EN SERVICIO AL CLIENTE EN LA DEL GOLF CABLE ES ILIMITADO EN LOS CANALES NECESITO MAS CANALES DISPONIBLES Y TIENE UNA OFERTA LIMITADA"	"5"	"5"	"4"	"No"	NA	"4"	"Sí"	"INTERRUPCIÓN DEL SERVICIO EN HORARIO DE TRABAJO"	"Sí"	"Si"	5	5	1	0	"9. NS/NR"	"fijo"	"2019_q2"
"585"	"v7kxGCDZrnqk"	"MP"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	5	"PORQUE DE REPENTE SE NOS CAE EL INTERNET SIN EXPLICACIÓN ES QUE LLAMO A LA CENTRAL Y AHÍ LO VUELVEN A DAR"	"2"	"3"	"4"	"No"	NA	"3"	"No"	NA	NA	NA	3	0	6	0	"9. NS/NR"	"fijo"	"2019_q2"
"586"	"sGVgcWKmZKR5"	"MP"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE POR LO GENERAL ELLA RESPONDEN; POR EJEMPLO CUANDO NOSOTROS NECESITAMOS TAN URGENTE UNA NUEVA LÍNEA O CUANDO NECESITO POR EJEMPLO CORREGIR POR ALGÚN MOTIVO SE HA CAÍDO EL SISTEMA, PERO HAY COSAS PUNTUALES QUE DE REPENTE NO SUCEDEN."	"6"	"6"	"6"	"Si"	"7"	"7"	"No"	NA	NA	NA	6	9	1	0	"Sí"	"fijo"	"2019_q2"
"587"	"3GEf1xAY4mbw"	"Mas"	"MICRO"	"Entel"	"SI -> CONTINUAR"	5	"PORQUE TIENE PROBLEMAS DE WIFI NO LLEGA BIEN LA SEÑAL"	"6"	"7"	"7"	"Si"	NA	"7"	"Sí"	"LA POCA LLEGADA DEL WIFI Y CABLE"	"Sí"	"No"	5	8	1	0	"No"	"fijo"	"2019_q2"
"588"	"iq7dNjvyLbHV"	"Mas"	"MEDIANA"	"Entel"	"SI -> CONTINUAR"	7	"PORQUE EN REALIDAD NUNCA HE TENIDO PROBLEMAS CON LA CUENTA NI POR COBERTURA, NO HE TENIDO NUNCA PROBLEMAS EN REALIDAD, ESO, COMO LE DIGO NUNCA HE TENIDO PROBLEMAS DE COBERTURA O QUE TENGA PROBLEMAS QUE ME COBREN DE MÁS O COSAS POR EL ESTILO, NUNCA HE TENIDO ESE TIPO DE PROBLEMAS."	"7"	"7"	"7"	"Si"	NA	"7"	"No"	NA	NA	NA	7	10	5	0	"No"	"fijo"	"2019_q2"
"589"	"WRcrRmBb8McD"	"AV"	"GGEE"	"Entel"	"SI -> CONTINUAR"	5	"Atencion SAC"	"5"	"5"	"6"	"Si"	"2"	"2"	"No"	NA	NA	NA	2	2	5	0	"Sí"	"fijo"	"2019_q2"
"590"	"Xk8LXKb9HoDo"	"MV"	"MICRO"	"Entel"	"SI -> CONTINUAR"	5	"HACE TIEMPO HEMOS TENIDO CON LA FACTURACION  NOS HICIERON UN COBRO PAGAMOS UN MONTO DEMAS Y ELLOS EN VEZ DE REINTEGRAR EL DINERO FUERON DESCONTADO DE A POCO DE FORMA  MENSUAL Y AHORA EL PRECIO ES MAS ALTO"	"5"	"4"	"4"	"No"	"5"	"5"	"No"	NA	NA	NA	5	5	10	0	"Sí"	"fijo"	"2019_q2"
"591"	"sGqWLXPPwsy7"	"AP"	"GGEE"	"Entel"	"SI -> CONTINUAR"	7	"EL SERVICIO ES MUY ESTABLE PRÁCTICAMENTE NO REQUERIMOS MANTENCIONES"	"7"	"7"	"7"	"No"	NA	"7"	"No"	NA	NA	NA	7	10	5	0	"Sí"	"fijo"	"2019_q2"
"592"	"Qf3CzCJJzMzw"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	5	"POR QUE A TENIDO ALGUNOS PROBLEMAS DE COMUCACION Y CON EQUIPOS EL TELEFONO ES MALO, AVECES NO FUNCIONA CUESTA COMUNICARSE. NO SABEN EL ORIGEN DE LA FALLA. LLEVAN MUCHO TIEMPO CON ENTEL CON LA NOTA QUE LE PONE ES UN 5 PERO TAMPOCO ES REGULAR"	"6"	"5"	"9. NS/NR"	"No"	NA	"5"	"Sí"	"LA COMUNICACION QUE FALLAN LOS TELEFONOS,EN ANTOFAGASTA LES CUESTA COMUNICARSE CON IQUIQUE, LES FALTA COBERTURA Y COMUNICACION ES MALA SE CORTA"	"No"	NA	5	6	8	0	"No"	"fijo"	"2019_q2"
"593"	"x7BBA41GQ8Pi"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	1	"PORQUE REALMENTE AHORA HA ESTADO MAS MALA, ANDA LENTO EL INTERNET, ESTA MAS MAL A COMO SE COMENZO."	"4"	"4"	"4"	"No"	NA	"4"	"Sí"	"SE CAE EL INTERNET SE QUEDA PEGADO. NO VA RAPIDO COMO ANTES. NO ES RAPIDA LA INFORMACION."	"Sí"	"No"	4	2	20	0	"No"	"fijo"	"2019_q2"
"594"	"Ml9ztqpUzuqD"	"MV"	"MEDIANA"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE EL SERVICIO ES BUENO; ES BUENO EN CUANTO A LO QUE HEMOS PACTADO, PERO HE TENIDO DÍAS QUE FALLA."	"5"	"6"	"6"	"Si"	"6"	"6"	"No"	NA	NA	NA	7	9	1	99	"Sí"	"fijo"	"2019_q2"
"595"	"e6TvdVJSZuXU"	"Mas"	"MICRO"	"Entel"	"SI -> CONTINUAR"	7	"POR QUE HEMOS TENIDO MUY BUEN SERVICIO EN PARTE TÉCNICA Y COMERCIAL Y PRECIOS QUE SON BASTANTE BUENOS Y ADECUADOS"	"7"	"6"	"7"	"Si"	NA	"7"	"Sí"	"NOSOTROS TENEMOS EN TALAMA Y CON LOS VIENTOS QUE CORRIERON SE CORRIERON LAS ANTENAS Y LO ARREGLARON EN MENOS DE 4 HORAS"	"Sí"	"Si"	7	9	1	0	"Sí"	"fijo"	"2019_q2"
"596"	"5r8z96Re3BPx"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	6	"SIEMPRE HAY PEQUEÑOS DETALLES PARA SER MEJOR DE COBERTURAS EN PLENO CENTRO DE TALCA DICEN PRESTAR EL SERVICIO DE 4G Y NO ES 4G PARA TODO TIPO DE COBERTURA"	"6"	"4"	"5"	"No"	"6"	"6"	"No"	NA	NA	NA	6	6	2	0	"Sí"	"fijo"	"2019_q2"
"597"	"PtUwqCFBqIfZ"	"MV"	"GGEE"	"Entel"	"SI -> CONTINUAR"	5	"FALTA MAYOR DEDICACIÓN DE LOS EJECUTIVOS PREGUNTANDO LOS QUE NOS FALTA PORQUE A VECES SE CAE LA SEÑAL Y UNO TIENE QUE ESTAR LLAMANDO NO ES MUY BUENA LA CONECTIVIDAD EN EL SECTOR QUE ESTAMOS NOSOTROS EN TENO"	"5"	"4"	"5"	"No"	NA	"5"	"Sí"	"CONECTIVIDAD"	"Sí"	"Está en trámite"	5	6	2	0	"Sí"	"fijo"	"2019_q2"
"598"	"xe9AowxOtmWo"	"MV"	"MEDIANA"	"Entel"	"SI -> CONTINUAR"	6	"FUNCIONA BIEN EN EL SENTIDO DE QUE  EL PRODUCTO ES OPERATIVO PERO EL SERVICIO  POST VENTA NO ES RAPIDO SE DEMORAN MUCHO EN QUE ELLOS RESPONDAN CUANDO LOS TRATAMOS DE CONTACTAR"	"5"	"6"	"6"	"No"	"7"	"6"	"No"	NA	NA	NA	6	9	5	0	"Sí"	"fijo"	"2019_q2"
"599"	"CcQdg5NIUDj9"	"Mas"	"MICRO"	"Entel"	"SI -> CONTINUAR"	7	"NUNCA HEMOS TENIDO PROBLEMA EL SERVICIO ES CONSTANTE NUNCA SE CAE"	"6"	"6"	"6"	"No"	NA	"7"	"No"	NA	NA	NA	7	10	2	10	"9. NS/NR"	"fijo"	"2019_q2"
"600"	"nChYm6nI5MPQ"	"MasPrem"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	5	"PORQUE SE CAE EL SERVICIO, BAJA LA VELOCIDAD."	"5"	"4"	"4"	"No"	NA	"6"	"No"	NA	NA	NA	5	6	5	0	"9. NS/NR"	"fijo"	"2019_q2"
"601"	"dYUef2HfRobD"	"MV"	"GGEE"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE SE ACAIDO MUY POQUITAS VECES Y LA VELOCIDAD CUMPLE CON EL CONTRATO"	"6"	"6"	"7"	"No"	NA	"6"	"No"	NA	NA	NA	7	9	3	0	"No"	"fijo"	"2019_q2"
"602"	"Tz7LcpR70LbG"	"AP"	"GGEE"	"Entel"	"SI -> CONTINUAR"	3	"Redes"	"4"	"5"	"5"	"Si"	"5"	"4"	"Sí"	"QUE NOS HEMOS QUEDADO SIN INTERNET PORQUE LOS TÉCNICOS MUEVEN LOS CONECTORES Y POR UN CAMBIO DE SERVICIO NOS QUEDAMOS SIN SERVICIO INTERNET Y TELÉFONO POR 15 DÍAS, QUE TRATEN DE MEJORAR SUS SERVICIOS LAS EMPRESAS LAS NECESITAN  PARA TRABAJAR"	"Sí"	"Si"	3	5	3	0	"Sí"	"fijo"	"2019_q2"
"603"	"JIvh5zIvCpXO"	"Mas"	"MICRO"	"Entel"	"SI -> CONTINUAR"	5	"PORQUE ME ES PERFECTO TIENE AREAS QUE PUEDEN MEJORAR, SON HOSTILES EN EL COBRO, PERO EL SERVICIO EN GENERAL ES BASTANTE BUENO, HAY MICROCORTES EN EL INTERNET CUANDO FUNCIONA FUNCIONA BIEN, HAY VECE DONDE LA VELOCIDAD NORMAL SE CAE. Y OTRAS ESTOY EN VIDEOCONFERENCIA Y Y ACCESO A OTRAS FUENTES DE INFORMACION SE CORTA Y TENGO REINICIAR"	"4"	"5"	"9. NS/NR"	"No"	"5"	"7"	"Sí"	"EL TEMA DE LAS CAIDAS DE LA BAJADA DE ANCHO DE BANDA Y LOS MICROCORTES."	"Sí"	"No"	4	4	5	0	"No"	"fijo"	"2019_q2"
"604"	"hvqvZjSfbBRg"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	5	"PORQUE FALLA HARTO SE CORTA UNA VEZ AL DIA O VARIAS VECES BASTANTE A VECES 10 MINUTOS OTRA VECES 1 ES RELATIVO"	"6"	"6"	"5"	"No"	NA	"7"	"No"	NA	NA	NA	7	10	10	0	"No"	"fijo"	"2019_q2"
"605"	"2YHSmpvzCAjq"	"AP"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE NO ES UN SERVICIO CIEN POR CIENTO EN CUANTO A LA CONECTIVIDAD, O SEA NO HAY NADIE QUE TENGA UN SERVICIO CIEN POR CIENTO; DE REPENTE NO PODEMOS COMUNICARNOS Y HAY SECTORES QUE SE CORTA LA LLAMADA."	"7"	"7"	"7"	"No"	"7"	"7"	"Sí"	"LA COMUNICACIÓN; O SEA QUE SE PIERDE LA SEÑAL."	"Sí"	"Si"	7	8	3	0	"Sí"	"fijo"	"2019_q2"
"606"	"nbeLpBghjbdg"	"MasPrem"	"MEDIANA"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE EN GENERAL A VECES CUESTA UN POCO CONTACTARSE CON EJECUTIVOS, CAMBIAN MUCHO ROTATIVO CUANDO ASIGNAN EJECUTIVOS Y CUANDO UNO SE QUIERE CONTACTAR CON ELLOS LO HAN CAMBIADO Y CUESTA DESPUÉS UBICARLOS."	"6"	"7"	"7"	"No"	NA	"7"	"No"	NA	NA	NA	7	10	4	0	"Sí"	"fijo"	"2019_q2"
"607"	"flZVCWldVYL6"	"MV"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE SIENTO QUE LAS COSAS FALLAN, POR EJEMPLO QUE HAY UN MAL SERVICIO EN POST VENTA, EN EL SENTIDO QUE NO OFRECEN ALTERNATIVAS, O DE MONTAR PLANES O DE CUALQUIER COSTO NO DAN INFORMACIÓN DE ESO."	"7"	"6"	"6"	"No"	NA	"7"	"No"	NA	NA	NA	7	8	7	99	"Sí"	"fijo"	"2019_q2"
"608"	"70ckFV8kTmua"	"Mas"	"MICRO"	"Entel"	"SI -> CONTINUAR"	7	"POR QUE NUNCA HE TENIDO UN PROBLEMA,O CON ELLOS EN CUANTO A SERVICIOS SOLICITUDES TECNICAS E INCLUSO NO HE TENIDO PROBLEMA"	"7"	"7"	"7"	"No"	NA	"7"	"No"	NA	NA	NA	7	10	5	0	"Sí"	"fijo"	"2019_q2"
"609"	"qTlKufACqjje"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	6	"EL SERVICIO ES BUENO EL INTERNET DE REPENTE TIENE ALGUNAS INTERMITENCIAS. NO MUY SEGUIDO PERO PASA"	"6"	"6"	"9. NS/NR"	"No"	NA	"6"	"No"	NA	NA	NA	4	4	0	6	"No"	"fijo"	"2019_q2"
"610"	"KR5qnCLKshfd"	"Mas"	"MICRO"	"Entel"	"SI -> CONTINUAR"	5	"PORQUE HAY MUCHAS VECES QUE ME QUEDO SIN SEÑAL Y MI EMPRESA ESTA EN UNA ZONA RURAL, ENTONCES DE REPENTE ME QUEDO TODO EL FIN DE SEMANA SIN INTERNET. SIN SERVICIO."	"6"	"6"	"9. NS/NR"	"No"	NA	"7"	"No"	NA	NA	NA	6	7	11	0	"No"	"fijo"	"2019_q2"
"611"	"lvr8xN8OpMNG"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	5	"PORQUE SE CAE EL SERVICIO, NO ES FLUIDO Y RAPIDO."	"4"	"4"	"6"	"No"	"4"	"5"	"Sí"	"NO ME LLEGA LA FACTURA"	"Sí"	"No"	5	6	3	0	"No"	"fijo"	"2019_q2"
"612"	"yZOoEQUTzCQn"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	7	"PORQUE TODOS LOS SERVICIOS QUE HE TENIDO ME HAN FUNCIONADO BIEN Y NO HEMOS TENIDO PROBLEMAS."	"7"	"5"	"5"	"Si"	"6"	"7"	"No"	NA	NA	NA	7	9	10	0	"Sí"	"fijo"	"2019_q2"
"613"	"Ujkvnvw8Y67x"	"MV"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	6	"POR QUE EN GENERAL NO HE TENIDO  PROBLEMAS CON ENTEL ,  MAYOR FLEXIBILIDAD EN CASO DE DIFILCUTADES DE PAGO PARA LLEGAR A UN 7"	"4"	"5"	"9. NS/NR"	"No"	NA	"6"	"No"	NA	NA	NA	6	8	3	0	"Sí"	"fijo"	"2019_q2"
"614"	"S70fR9wemxIp"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	5	"PORQUE PODRIA SER MAS BARATO ECONOMICO"	"5"	"5"	"9. NS/NR"	"No"	"2"	"2"	"No"	NA	NA	NA	5	5	2	0	"No"	"fijo"	"2019_q2"
"615"	"MsihSbGnzQS6"	"AV"	"GGEE"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE EL SERVICIO ES BUENO PERO IGUAL SE DEMORAN MUCHO EN CONTESTAR, A FUNCIONADO OK PERO CUANDO NECESITAMOS ALGO EN ESPECIFICO EL EJECUTIVO SE DEMORA."	"5"	"6"	"6"	"Si"	NA	"7"	"No"	NA	NA	NA	6	8	2	0	"Sí"	"fijo"	"2019_q2"
