encriptado	GOL (BASE STOCK SEP 2019)	SEGMENTO CORFO	Principal compañía	Filtro1 - Filtro 1: ¿Es usted la persona que administra la (s) cuenta (s) que su empresa tiene con el (los) operadores de productos o servicios móviles?	P1 - 1. En su empresa, ¿con qué compañías tiene contratado los servicios móviles como teléfonos o banda ancha móvil? (respuesta múltiple)	3. Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 =  Muy insatisfecho y 7 =  Muy satisfecho, ¿Cuán satisfecho está Ud. con {#Principal}?	"P4 - 4.	¿Por qué evalúa con esa nota? LITERAL"	P5__1 - a) {#Principal} es una empresa con buena imagen en general :	P6 - 6. ¿Y con qué nota de 1 a 7, evalúa a {#Principal} en cuanto a la Calidad y Cobertura de las llamadas?	"P7 - 7.	Ahora pensando en la navegación a través de su celular, es decir internet móvil empresa contratado con {#Principal}, ¿Con qué nota de 1 a 7, evalúa la navegación a través del celular?"	"P8 - 8.	Y en lo que respecta  a Servicio a Clientes, ¿cuán satisfecho está Ud. con {#Principal}"	"P9__1 - a)	Precio del Plan en relación al mercado (Competitividad) :"	"P9__2 - b)	Competitividad de planes en cuanto a minutos :"	"P9__3 - c)	Competitividad de planes en cuanto a Internet Móvil o internet en su celular :"	"P9__4 - d)	El precio de los equipos en relación al mercado :"	P10__1 - Contratación de nuevas líneas :	"P10__2 - 'Consultas de la factura; como fechas de pago, montos, detalles de cobros.' :"	P10__3 - Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles :	P10__5 - Solicitar cambio de plan :	P10__6 - Servicio Técnico por falla de equipo celular o Banda Ancha Móvil :	P10__7 - Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) :	P11__1 - Contratación de nuevas líneas :	"P11__2 - 'Consultas de la factura; como fechas de pago, montos, detalles de cobros.' :"	P11__3 - Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles :	P11__5 - Solicitar cambio de plan :	P11__6 - Servicio Técnico por falla de equipo celular o Banda Ancha Móvil :	P11__7 - Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) :	P12__1 - Contratación de nuevas líneas :	"P12__2 - 'Consultas de la factura; como fechas de pago, montos, detalles de cobros.' :"	P12__3 - Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles :	P12__5 - Solicitar cambio de plan :	P12__6 - Servicio Técnico por falla de equipo celular o Banda Ancha Móvil :	P12__7 - Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) :	P13__1 - 1: Ejecutivo asignado para su empresa :	P13__2 - 2: Call center :	P13__3 - 3: Página Web {#Principal} Empresas :	P13__4 - 4: En tiendas/ sucursales :	P13__5 - 5: App Administradores Empresa :	"P16 - FACTURACIÓN: 
       16. En cuanto a la Facturación de todos los servicios móviles que tiene con {#Principal}, en una escala de 1 a 7 ¿Cómo evalúa el proceso de facturación de {#Principal} en general?"	"P17 - PROBLEMAS 
         17. En los últimos 3 meses, ¿ha tenido su empresa algún problema con el servicio entregado por {#Principal}?"	"P18 - 18.	¿Qué problema ha tenido? Sondear LITERAL"	"P19 - 19.	¿Comunicó este problema a {#Principal}?"	"P20 - 20.	¿Y fue solucionado su problema?"	"P21 - LEALTAD 
         Ahora pensando en todos los servicios que recibe con {#Principal} en general y en la relación que tiene con esta compañía, me podría decir… 
     
         21. Utilizando una escala de 1 a 7, donde 1 significa nada dispuesto y 7"	P22 - 22. Pensando como cliente empresa, y en su opinión ¿Cuál diría Ud. qué es la mejor compañía de servicios móviles? (Leer opciones, respuesta única)	"P24 - 24.	En base a una escala de 0 a 10, donde 0 significa que definitivamente no recomendaría, y 10 que definitivamente si recomendaría, ¿Qué tan dispuesto estaría usted a recomendar a {#Principal}?"	P_2 - 2) ¿Cuál de estas categorías calza mejor con el giro de su empresa? (Leer opciones, respuesta única)	"P_3A - 3)	¿Hace cuánto tiempo que tiene esta cuenta con {#Principal}? 
            AÑOS"	P_3B - MESES	"P_4 - 4)	¿ Pensando en su relación con {#Principal} ¿Tiene asignado un ejecutivo para sus necesidades comerciales y/o de post venta?"
zHwKf9LbhEMv	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	6	POR EL VALOR DE LOS CONTRATOS	7	7	6	6	5	6	5	5	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	No	NA	NA	NA	7	Entel	9	"5.	Salud"	8	0	No
9ZpBaB7fIawK	Mas	MICRO	Entel	SI -> CONTINUAR	Entel	6	PORQUE EN REALIDAD PRECIO CALIDAD ME ACOMODA BUENA SEÑAL ATENCION RAPIDA EN SERVICIO AL CLIENTE	7	6	6	6	6	6	6	2	No	Si	Si	Si	No	No	NA	6	6	7	NA	NA	NA	4.En tiendas/ sucursales	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	NA	NA	6	NA	NA	6	NA	6	No	NA	NA	NA	7	Entel	8	"6.	Servicios"	5	0	9. NS/NR
va7Ju6QyC5Ea	Mas	MEDIANA	Entel	SI -> CONTINUAR	Entel	4	PORQUE DONDE VIVO TRABAJO EL UTLIMO AÑO HAY MUY MALA SEÑAL	7	4	4	4	3	3	3	5	No	No	No	Si	Si	Si	NA	NA	NA	6	6	6	NA	NA	NA	3.Página Web <b>{#\.Principal}</b> Empresas	2.Call center	3.Página Web <b>{#\.Principal}</b> Empresas	NA	6	6	NA	NA	6	Sí	LA SEÑAL, EL CAMBIO DE PLAN LOS TELÉFONOS TIENEN MENOS CAPACIDAD DE GIGAS, EL INTERNET ES MAS LENTO	Sí	No	3	Otra (NO Leer)	2	"1.	Agro"	2	6	9. NS/NR
DbC8x4KhYRdM	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	6	REGULAR EL SERVICIO SE ENCUENTRA DISPONIBLE RED NO ES EXTRODINARIO	7	7	6	6	7	5	6	7	No	Si	No	No	No	No	NA	6	NA	NA	NA	NA	NA	3.Página Web <b>{#\.Principal}</b> Empresas	NA	NA	NA	NA	NA	NA	6	NA	NA	6	No	NA	NA	NA	6	Entel	8	"8.	Comercio (al por mayor y menor)"	1	6	No
Nu20AuUVgNMd	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel,Claro	6	PORQUE AL FINAL NO HA TENIDO PROBLEMAS CON ELLOS PERO ROAMING ES MUY CARO POR ESO NO LE PONE UN SIETE	7	7	7	9. NS/NR	6	6	6	4	No	Si	No	No	No	No	NA	6	NA	NA	NA	NA	NA	3.Página Web <b>{#\.Principal}</b> Empresas	NA	NA	NA	NA	NA	NA	5	NA	NA	7	No	NA	NA	NA	7	Entel	5	"8.	Comercio (al por mayor y menor)"	3	0	9. NS/NR
yiYBMORE2MfW	NA	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	7	POR QUE LA COBERTURA QUE TIENE Y POR QUE ME HA FUNCIONADO	7	7	7	7	7	7	7	9. NS/NR	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	No	NA	NA	NA	7	Entel	10	"8.	Comercio (al por mayor y menor)"	0	1	Sí
eHN84h3uqqWD	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	6	PORQUE EN GENERAL HA FUNCIONADO BIEN CON ALGUNOS INCONVENIENTES PERO EN GENERAL BIEN  BUENO TENGO PROBLEMAS DE REPENTE QUE EL INTERNET SE ME AGOTA	6	6	6	5	9. NS/NR	6	5	9. NS/NR	No	No	Si	No	No	No	NA	NA	6	NA	NA	NA	NA	NA	3.Página Web <b>{#\.Principal}</b> Empresas	NA	NA	NA	NA	NA	6	NA	NA	6	No	NA	NA	NA	6	Otra (NO Leer)	8	"1.	Agro"	10	0	No
lOJ6GdhnbeLa	AV	MEDIANA	Entel	SI -> CONTINUAR	Entel	7	PORQUE SIEMPRE CUMPLE CON NOSOTROS, SIEMPRE ESTA ACTIVO Y NO SE CAE ES EXELENTE	7	7	7	7	7	7	7	6	Si	Si	No	No	No	Si	7	7	NA	NA	NA	7	1.Ejecutivo asignado para su empresa	3.Página Web <b>{#\.Principal}</b> Empresas	NA	NA	NA	1.Ejecutivo asignado para su empresa	7	NA	7	NA	NA	7	No	NA	NA	NA	7	Entel	10	"5.	Salud"	3	6	Sí
zFSaxbjoImYy	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	5	HAY POCAS INFORMACION DE LOS PLANES	6	6	6	5	5	6	6	6	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	No	NA	NA	NA	6	Entel	7	"6.	Servicios"	8	0	No
JLq3kh5H0jS0	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	7	POR LA SEÑAL NUNCA HA TENIDO PROBLEMAS CON LA SEÑAL	7	7	7	7	5	5	5	1	No	Si	Si	No	No	No	NA	7	7	NA	NA	NA	NA	3.Página Web <b>{#\.Principal}</b> Empresas	3.Página Web <b>{#\.Principal}</b> Empresas	NA	NA	NA	NA	NA	7	NA	NA	7	No	NA	NA	NA	7	Entel	10	"6.	Servicios"	5	0	Sí
brOxKViOrLMx	Mas	MICRO	Entel	SI -> CONTINUAR	Entel	6	ES BUENA LA EMPRESA EN RELACION AL VALOR, TENGO UNA BANDA ANCHA CON MOVISTAR VALEN LO MISMO PERO, SI COMPARO CANTIDAD UNA TIENE MAS MEGAS QUE LA OTRA Y PAGO LO MISMO.	7	6	6	7	6	7	6	5	Si	No	Si	No	No	No	7	NA	7	NA	NA	NA	4.En tiendas/ sucursales	NA	5.App Administradores Empresa	NA	NA	NA	NA	NA	NA	7	7	5	No	NA	NA	NA	7	Entel	9	"6.	Servicios"	1	0	9. NS/NR
mkjws2bGiQGw	AV	GGEE	Entel	SI -> CONTINUAR	Entel	6	PORQUE COBERTURA EN TODOS LADOS NO TIENE BUENA COBERTURA EN TODOS LADOS	7	6	6	7	7	7	7	6	Si	Si	Si	Si	No	Si	7	7	7	7	NA	7	1.Ejecutivo asignado para su empresa	3.Página Web <b>{#\.Principal}</b> Empresas	3.Página Web <b>{#\.Principal}</b> Empresas	1.Ejecutivo asignado para su empresa	NA	1.Ejecutivo asignado para su empresa	7	NA	7	NA	NA	7	No	NA	NA	NA	7	Entel	10	"3.	Industria"	7	0	Sí
ZnsDsE3dQnP0	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	5	PORQUE A VECES PERDEMOS COBERTURAS EN CIERTOS SECTORES	6	5	5	5	6	6	6	6	No	No	No	No	No	Si	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	4.En tiendas/ sucursales	NA	NA	NA	5	NA	6	No	NA	NA	NA	6	Entel	7	"3.	Industria"	5	0	No
JStqIg7KYptW	Mas	MICRO	Entel	SI -> CONTINUAR	Entel	7	PORQUE SIEMPRE QUE PREGUNTO ALGO ME LO DICEN INMEDIATAMENTE.	7	7	7	7	7	7	7	7	No	Si	Si	Si	Si	No	NA	7	6	7	7	NA	NA	2.Call center	2.Call center	2.Call center	2.Call center	NA	NA	7	NA	NA	NA	7	No	NA	NA	NA	7	Entel	10	"6.	Servicios"	5	0	Sí
K4Qhyzx9DO5l	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	5	PORQUE EN REALIDAD ESTA DENTRO DE LO QUE YO ESPERABA	6	5	3	5	5	4	3	1	No	No	Si	No	No	No	NA	NA	5	NA	NA	NA	NA	NA	3.Página Web <b>{#\.Principal}</b> Empresas	NA	NA	NA	3	NA	3	NA	NA	6	No	NA	NA	NA	3	Movistar	1	"6.	Servicios"	0	5	No
wRqFw2VfX6kP	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	7	POR QUE NO HEMOS TENIDO NINGUN PROBLEMA LA INTERNET ES RAPIDA ESTA TODO BIEN	7	7	7	7	7	7	7	6	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	No	NA	NA	NA	7	Entel	10	"3.	Industria"	6	0	9. NS/NR
rRMlKmz3mYOE	MP	GGEE	Entel	SI -> CONTINUAR	Entel	6	A VECES TENEMOS PROBLEMAS QUE LA SEÑAL SE PIERDE EL INTERNET ESTA MUY LENTO POR ZONA NO SE AQUI SE VA LA LINEA DESDE LA SEMANA PASADA 2 DIAS SEGUIDO	7	6	7	6	6	6	6	6	Si	Si	Si	Si	Si	No	7	7	7	7	6	NA	4.En tiendas/ sucursales	5.App Administradores Empresa	2.Call center	2.Call center	2.Call center	NA	NA	7	NA	6	7	7	Sí	LOS PROBLEMAS DE SEÑAL CAIDA DEL INTERNET NO SABEMOS SI EL INTERNET O LA ZONA	Sí	Está en trámite	6	Entel	6	"8.	Comercio (al por mayor y menor)"	2	0	Sí
RhfkMPWf3DAV	MP	GGEE	Entel	SI -> CONTINUAR	Entel	7	PORQUE TIENEN BUEN PRODUCTO Y SERVICIO A COSTOS BAJOS	7	7	7	7	7	7	7	5	No	No	Si	No	No	Si	NA	NA	7	NA	NA	7	NA	NA	3.Página Web <b>{#\.Principal}</b> Empresas	NA	NA	2.Call center	NA	7	7	NA	NA	7	No	NA	NA	NA	7	Entel	10	"6.	Servicios"	6	0	Sí
6veJygdCB50E	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel,Movistar	7	PORQUE LE GUSTAN LOS SERVICIOS,LOS PLANES TIENE BUENA COBERTURA	6	6	6	6	5	6	6	4	No	No	No	No	No	Si	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	2.Call center	NA	6	NA	NA	NA	6	No	NA	NA	NA	7	Entel	7	"6.	Servicios"	1	0	Sí
nHCYNzHcx5gz	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	6	PORQUE EN GENERAL NO HE TENIDO PROBLEMAS Y TODO HA ANDADO BIEN	7	6	6	6	6	6	6	5	No	No	Si	No	Si	No	NA	NA	6	NA	6	NA	NA	NA	3.Página Web <b>{#\.Principal}</b> Empresas	NA	3.Página Web <b>{#\.Principal}</b> Empresas	NA	NA	NA	7	NA	NA	7	No	NA	NA	NA	6	Entel	8	"8.	Comercio (al por mayor y menor)"	1	6	No
Sman6hx1CY7R	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	6	PORQUE HAY PROBLEMAS DE SEÑAL MUCHAS VECES EN LAS TARDES, EN LA 7MA REGIÓN EN LA CIUDAD VILLA ALEGRE	7	5	5	6	5	6	5	3	Si	Si	Si	No	No	Si	5	7	5	NA	NA	6	2.Call center	1.Ejecutivo asignado para su empresa	5.App Administradores Empresa	NA	NA	4.En tiendas/ sucursales	7	6	NA	5	6	7	No	NA	NA	NA	7	Entel	7	"6.	Servicios"	0	10	No
OAfnR2l627bh	MP	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	4	TIENE MAL SERVICIO CUANDO LO HE NECESITA SERVICIO TÉCNICO Y LA SEÑAL AHORA ESTA HORRIBLE POR UNA MALA GESTION DE SU VENDEDORA ME VENDIO ALGUO QUE NO ERA CORRECTO	5	4	5	5	5	5	4	4	No	Si	Si	Si	No	Si	NA	5	5	5	NA	5	NA	3.Página Web <b>{#\.Principal}</b> Empresas	3.Página Web <b>{#\.Principal}</b> Empresas	3.Página Web <b>{#\.Principal}</b> Empresas	NA	2.Call center	NA	5	4	NA	NA	4	Sí	INTERNET CONEXION MALA ADMINISTRACIÓN DE LA LLAMADA	Sí	No	4	Otra (NO Leer)	4	"8.	Comercio (al por mayor y menor)"	10	0	Sí
ujWPrsK0q83D	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	7	POR QUE TIENE HARTA COBERTURA Y DONDE YO ANDO POR AHI HAY BUENA COBERTURA ANDO EN TERRENO	7	7	7	7	7	7	7	7	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	No	NA	NA	NA	7	Entel	10	"8.	Comercio (al por mayor y menor)"	1	0	No
x9xGjnml9JgI	Mas	MEDIANA	Entel	SI -> CONTINUAR	Entel	5	PORQUE A VECES SE VA LA SEÑAL NO LE CONECTA EL INTERNET ES INTERMITENTE	6	6	5	4	4	5	5	5	No	No	Si	No	Si	No	NA	NA	6	NA	6	NA	NA	NA	2.Call center	NA	2.Call center	NA	NA	6	NA	NA	NA	6	Sí	PROBLEMAS DE NAVEGACIÓN	Sí	Si	6	Entel	6	"3.	Industria"	12	0	No
WnX4h2QIQkov	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	5	PORQUE NO TIENEN  BUENAS COBERTURA EN LOS SECTORES DONDE TRABAJO YO DONDE ESTA MI HUERTA A VECES SI Y A VECES SE PIERDE LA SEÑAL	5	5	5	4	6	6	4	1	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	No	NA	NA	NA	5	Entel	6	"1.	Agro"	10	0	Sí
InWN2wdzFrZ4	AP	GGEE	Entel	SI -> CONTINUAR	Entel	6	PORQUE BUEN SERVICIO SEÑAL Y ATENCION AL CLIENTE	7	5	5	6	5	5	5	6	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	No	NA	NA	NA	6	Entel	7	"6.	Servicios"	5	0	Sí
g4AtDmDFI4tU	NA	MICRO	Entel	SI -> CONTINUAR	Entel	3	PORQUE YO ESTABA EN CLARO Y CLARO ME PRESTABA UN SERVICIO DISTINTO NO TENGO LLAMADAS EN ESPERAS NO SE QUE PASO CON LAS CUENTAS QUE ME CONTARON UNA BOLETA QUE NO TENÍA CLARIDAD LAS BOLETAS SE PIERDEN Y NO TENGO CLARIDAD DE LAS BOLETAS POR TELÉFONO FALTA DE SERVICIO EN CUANTO AL CLIENTE HORROROSO	5	3	3	1	1	5	5	2	No	Si	No	No	No	No	NA	3	NA	NA	NA	NA	NA	2.Call center	NA	NA	NA	NA	NA	3	NA	NA	NA	1	No	NA	NA	NA	1	Claro	1	"6.	Servicios"	1	12	No
wPUNANNBehac	NA	PEQUEÑA	Entel	SI -> CONTINUAR	Entel,Otros	7	LOS PLANES SON MAS ECONOMICOS Y DAN MAS BENEFICIOS EN CUANTO A DATOS	7	6	6	6	6	6	6	2	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	No	NA	NA	NA	5	Movistar	5	"6.	Servicios"	0	3	No
3qJVfoQyLEj0	Mas	MICRO	Entel	SI -> CONTINUAR	Entel	5	TENGO UNA PROPIEDAD EN PAINE NO TENGO COBERTURA ESTOY AHI NO MAS EN PAINE	5	5	6	6	6	6	6	5	No	No	No	No	No	Si	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	4.En tiendas/ sucursales	NA	NA	6	9. NS/NR	NA	6	Sí	COBERTURA EN PAINE	No	NA	6	Entel	8	"6.	Servicios"	1	0	No
30NS44ouxlAg	MP	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	7	PORQUE NUNCA E TENIDO PROBLEMA CON ENTEL De NINGUN TIPO	7	7	7	7	7	7	7	7	No	No	No	Si	Si	No	NA	NA	NA	7	7	NA	NA	NA	NA	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	NA	7	NA	NA	NA	NA	7	No	NA	NA	NA	7	Entel	10	"6.	Servicios"	10	0	Sí
L70vHXHdYpTS	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	5	POR LOS COSTOS, VALOR DE PLANES MUY CAROS	3	6	4	1	1	1	1	1	No	No	No	No	Si	No	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	2.Call center	NA	NA	5	NA	NA	NA	3	Sí	DATOS, EN ANTENA MÁS CERCANO AL DOMICILIO SE HABÍA CAÍDO EL SISTEMA DE DATOS Y NO SE HABÍAN DADO CUENTA Y TUVIERON DOS SEMANAS SIN INTERNET MÓVIL	Sí	Si	5	Entel	1	"3.	Industria"	9	0	No
PPMyqrCq4bmk	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	6	PORQUE NO ES PERFECTO. NADA ES PERFECTO. ESTA BIEN.	7	7	7	7	7	7	7	7	No	No	Si	Si	No	No	NA	NA	7	7	NA	NA	NA	NA	4.En tiendas/ sucursales	4.En tiendas/ sucursales	NA	NA	NA	NA	NA	7	NA	7	No	NA	NA	NA	7	Entel	10	"7.	Transporte"	3	0	Sí
qxgB3RhBOvad	Mas	MICRO	Entel	SI -> CONTINUAR	Entel	5	PORQUE LOS SERVICIOS DE BANDA ANCHA MÓVIL SON MUY CAROS	6	6	5	5	5	5	4	2	No	Si	No	Si	No	No	NA	7	NA	5	NA	NA	NA	3.Página Web <b>{#\.Principal}</b> Empresas	NA	4.En tiendas/ sucursales	NA	NA	NA	NA	7	5	NA	5	No	NA	NA	NA	4	Movistar	5	"5.	Salud"	10	0	No
4wF5Y1j3lXG8	AP	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	7	POR CALIDAD COSTO Y LA SEÑAL ES BUENA IGUAL	7	7	7	7	7	7	7	5	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	No	NA	NA	NA	7	Entel	10	"8.	Comercio (al por mayor y menor)"	4	0	No
RH2OE4OoeE8l	MasPrem	MEDIANA	Entel	SI -> CONTINUAR	Entel	6	PORQUE NO ME HA DADO PROBLEMAS DE REPENTE LAS SUCURSALES ESTAN LLENAS LAS CUENTAS SON CLARAS	6	6	6	6	5	5	5	6	Si	Si	Si	Si	No	Si	6	6	6	6	NA	6	4.En tiendas/ sucursales	2.Call center	2.Call center	4.En tiendas/ sucursales	NA	4.En tiendas/ sucursales	NA	6	NA	5	NA	6	No	NA	NA	NA	6	Entel	7	"8.	Comercio (al por mayor y menor)"	8	0	Sí
DkIhieffziEu	Mas	MICRO	Entel	SI -> CONTINUAR	Entel,Movistar	5	PORQUE HAY POCA PREOCUPACIÓN Y POCOS BENEFICIOS, O SEA SOY CLIENTE DE HACE AÑOS CON ENTEL Y LAS OFERTAS QUE HAY CON LA COMPETENCIA CON PRECIOS SON MÁS BAJOS, EN EL MERCADO HAY MUCHOS MAYORES BENEFICIOS Y CON ELLOS NO, Y ESTAMOS CON ELLOS PORQUE TENEMOS MEJOR COBERTURA, NO DAN GB, NI PRECIOS BAJOS EN EQUIPOS.	2	5	4	3	3	2	4	1	Si	Si	Si	Si	Si	Si	5	4	3	3	1	1	2.Call center	3.Página Web <b>{#\.Principal}</b> Empresas	2.Call center	2.Call center	4.En tiendas/ sucursales	4.En tiendas/ sucursales	NA	4	4	2	NA	5	Sí	PROBLEMAS DE FALLA DE EQUIPO Y PROBLEMAS DE SEÑAL, EN CONCEPCIÓN Y VIAJÓ A OTRAS PARTES, EN ESTOS MOMENTOS ESTOY EN UN EDIFICIO Y SE ME VA LA SEÑAL.	Sí	No	4	Claro	4	"6.	Servicios"	10	0	No
vzXSYh0Wd3Mn	AP	GGEE	Entel	SI -> CONTINUAR	Entel,Movistar,WOM (No leer)	6	POR TEMAS ADMINITRATIVOS EJECUTIVOS PARA COMINICARME POR CUALQUIER PROBLEMA O CAMBIAR EL CHIP O CUALQUIER PROBLEMA PROBLEMAS DE COMUNICACION CON EL EJECUTIVO	7	7	5	1	5	5	5	7	Si	No	No	Si	No	Si	3	NA	NA	3	NA	3	1.Ejecutivo asignado para su empresa	NA	NA	1.Ejecutivo asignado para su empresa	NA	1.Ejecutivo asignado para su empresa	3	NA	NA	NA	NA	7	No	NA	NA	NA	7	Entel	6	"3.	Industria"	7	0	Sí
IZtG1eWhHMzq	Mas	MEDIANA	Entel	SI -> CONTINUAR	Entel	6	PORQUE SIETE SERIA PERFECTO Y NO ÚEDE SER PERFECTO HAY ZONAS QUE SE PIERDE LACONEXION NOPUEDOLLAMAR	7	6	7	6	5	6	6	3	Si	No	No	No	No	No	7	NA	NA	NA	NA	NA	4.En tiendas/ sucursales	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	7	No	NA	NA	NA	7	Entel	10	"8.	Comercio (al por mayor y menor)"	2	0	9. NS/NR
5amH36dBFumY	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel,Movistar	6	PORQUE TODAVIA LE FALTA	7	6	6	6	7	7	7	9. NS/NR	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	No	NA	NA	NA	7	Movistar	10	"6.	Servicios"	1	12	Sí
cwmqdJ6h88Jp	MasPrem	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	5	POR LOS COSTO LO ENCUENTRO CARO	7	7	5	5	3	3	3	3	Si	No	No	No	No	Si	7	NA	NA	NA	NA	7	1.Ejecutivo asignado para su empresa	NA	NA	NA	NA	1.Ejecutivo asignado para su empresa	7	NA	NA	NA	NA	7	No	NA	NA	NA	7	Entel	5	"8.	Comercio (al por mayor y menor)"	7	0	Sí
Ptir5VoM1cvd	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	6	PORQUE ANTES TUVE MOVISTAR Y LA COBERTURA ES MAS MEJOR QUEENTEL	7	6	6	7	7	7	7	9. NS/NR	No	No	Si	No	No	No	NA	NA	4	NA	NA	NA	NA	NA	3.Página Web <b>{#\.Principal}</b> Empresas	NA	NA	NA	NA	7	4	NA	NA	4	No	NA	NA	NA	6	Movistar	9	"6.	Servicios"	1	0	No
MBZBnfGhxjgi	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	7	BUENA COBERTURA, BUEN PRECIO ME MEJORAN EL PLAN TODOS LOS AÑOS,	6	6	6	6	7	9. NS/NR	7	5	No	No	No	Si	No	Si	NA	NA	NA	7	NA	4	NA	NA	NA	2.Call center	NA	2.Call center	NA	7	NA	NA	NA	5	No	NA	NA	NA	7	Entel	10	"3.	Industria"	5	0	No
OpYHFbHBwh7A	Mas	MICRO	Entel	SI -> CONTINUAR	Entel	7	PORQUE NUNCA HE TENIDO NINGUN PROBLEMA CON ELLOS NINGUNO EN TODOS ESTOS AÑOS. QUE FUNCIONA BIEN TANTO LA LINEA TELEFONICA COMO LA BANDA ANCHA LA VERDAD NO TENGO PROBLEMAS DE CONEXION Y SI HE TENIDO UN PROBLEMA LO SOLUCIONAN DE MANERA INMEDIATA.	6	7	7	7	6	6	6	6	No	Si	No	No	No	Si	NA	7	NA	NA	NA	7	NA	3.Página Web <b>{#\.Principal}</b> Empresas	NA	NA	NA	4.En tiendas/ sucursales	NA	NA	7	7	NA	7	No	NA	NA	NA	7	Entel	10	"5.	Salud"	7	0	Sí
ML5SBQzQCcz1	AP	GGEE	Entel	SI -> CONTINUAR	Entel,Otros	7	TIENE TRES EJECUTIVOS QUE LE ATIENDE SE COMUNICA POR CORREO ES BUENA COBERTURA Y LA SEÑAL	7	7	7	7	7	7	7	6	Si	Si	No	Si	No	No	7	7	NA	7	NA	NA	1.Ejecutivo asignado para su empresa	3.Página Web <b>{#\.Principal}</b> Empresas	NA	1.Ejecutivo asignado para su empresa	NA	NA	7	NA	6	NA	NA	6	No	NA	NA	NA	7	Entel	10	"3.	Industria"	15	0	Sí
Fc57uPcOdixw	AV	GGEE	Entel	SI -> CONTINUAR	Entel,Movistar	7	porque he tenido buen servicio han respondido bastante rápido no he tenido problemas mas allá	7	7	7	7	7	7	7	6	No	No	No	No	Si	No	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	2.Call center	NA	NA	7	NA	NA	NA	7	No	NA	NA	NA	7	Entel	10	"2.	Tecnología"	3	0	Sí
