Column1	encriptado	...2	SEGMENTO GOL	SEGMENTO CORFO	Principal compañía	Filtro1 - Filtro 1: ¿Es usted la persona que administra la (s) cuenta (s) que su empresa tiene con el (los) operadores de productos o servicios móviles?	P1__1 - A: Internet Banda Ancha :	P1__2 - B: Telefonía Fija :	P1__3 - C: Red privada de datos/Transmisión de datos (MPLS) :	P1__4 - 'D: Servicios de Data Center y almacenamiento Cloud (servicios de alojamiento, arriendo, monitoreo y administración de servidores físicos o virtuales)' :	P1__5 - 'E: Servicios de correo electrónico, videoconferencias, creación y edición de documentos en línea y de manera colaborativa' :	P2__1 - A: Internet Banda Ancha :	P2__2 - B: Telefonía Fija :	P2__3 - C: Red privada de datos/Transmisión de datos (MPLS) :	P2__4 - 'D: Servicios de Data Center y almacenamiento Cloud (servicios de alojamiento, arriendo, monitoreo y administración de servidores físicos o virtuales)' :	P2__5 - 'E: Servicios de correo electrónico, videoconferencias, creación y edición de documentos en línea y de manera colaborativa' :	EMPTY LABEL - No Information Provided...17	EMPTY LABEL - No Information Provided...18	3. Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 =  Muy insatisfecho y 7 =  Muy satisfecho, ¿Cuán satisfecho está Ud. con {#Principal}?	"P4 - 4.	¿Por qué evalúa con esa nota? LITERAL"	P5__1 - a) {#Principal} es una empresa con buena imagen en general :	P6 - 6. Pensando en el funcionamiento del servicio {#P6txt},¿con qué nota de 1 a 7 evalúa el Funcionamiento de este servicio en general?	"P7 - 7.	Y en lo que respecta  a Servicio a Clientes, en escala de 1 a 7 ¿cuán satisfecho está Ud…. {#Principal}{#Princ_text}?"	"P9__1 - a)	Precio en relación al mercado (Competitividad) :"	"P9__2 - b)	Competitividad de planes en cuanto a minutos :"	"P8__3 - c)	Competitividad de planes en cuanto a Internet banda ancha fija :"	P9__1 - Contratación de nuevos servicios :	P9__2 - Solicitar aumentos o disminuciones  de velocidad (cambios de plan) :	P9__4 - Consultas del contrato/ alcances del contrato/ condiciones del contrato :	P9__5 - Consultas sobre seguimiento o estado de solicitudes :	"P10__2 - 'Consultas de la factura; como fechas de pago, montos, detalles de cobros.' :"	P9__7 - Reclamos por fallas  técnicas de los servicios fijos :	P10__1 - Contratación de nuevos servicios :	P10__2 - Solicitar aumentos o disminuciones  de velocidad (cambios de plan) :	P10__4 - Consultas del contrato/ alcances del contrato/ condiciones del contrato :	P10__5 - Consultas sobre seguimiento o estado de solicitudes :	P10__6 - 'Consultas de la factura, como fecha pago, montos, detalles de cobros' :	P10__7 - Reclamos por fallas  técnicas de los servicios fijos :	P11__2 - Solicitar aumentos o disminuciones  de velocidad (cambios de plan) :	P11__4 - Consultas del contrato/ alcances del contrato/ condiciones del contrato :	P11__5 - Consultas sobre seguimiento o estado de solicitudes :	P11__6 - 'Consultas de la factura, como fecha pago, montos, detalles de cobros' :	P11__7 - Reclamos por fallas  técnicas de los servicios fijos :	P12__1 - 1: Ejecutivo asignado para su empresa :	P12__2 - '2: A través del Call center, empresa' :	P12__3 - 3: P: A través de la web con clave :	P12__4 - 4: En tiendas/ sucursales :	"P16 - FACTURACIÓN: 
       16. En cuanto a la Facturación de todos los servicios móviles que tiene con {#Principal}, en una escala de 1 a 7 ¿Cómo evalúa el proceso de facturación de {#Principal} en general?"	"P17 - PROBLEMAS 
         17. En los últimos 3 meses, ¿ha tenido su empresa algún problema con el servicio entregado por {#Principal}?"	"P15 - 15.	¿Qué problema ha tenido? Sondear LITERAL"	"P19 - 19.	¿Comunicó este problema a {#Principal}?"	"P20 - 20.	¿Y fue solucionado su problema?"	18. Utilizando una escala de 1 a 7, donde 1 significa nada dispuesto y 7 significa muy dispuesto, ¿Qué tan dispuesto estaría usted a continuar con {#Principal}{#Princ_text}?	"P24 - 24.	En base a una escala de 0 a 10, donde 0 significa que definitivamente no recomendaría, y 10 que definitivamente si recomendaría, ¿Qué tan dispuesto estaría usted a recomendar a {#Principal}?"	"P_3A - 3) 3)	Para servicios fijos, ¿Hace cuánto tiempo que tiene esta cuenta con {#Principal}{#Princ_text}? 
            AÑOS"	P_3B - MESES	"P_4 - 4)	¿ Pensando en su relación con {#Principal}{#Princ_text} ¿Tiene asignado un ejecutivo para sus necesidades comerciales y/o de post venta?"	Bench
343	XZRyqxM2IDKd	43617	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	Sí	No	No	No	Entel	Entel	NA	NA	NA	NA	NA	6	PORQUE TIENEN UN BUEN SERVICIO EN TELEFONÍA FIJA, BANDA ANCHA, INTERNET.	7	7	7	7	7	7	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	No	NA	NA	NA	7	10	8	6	Sí	fijo
344	1Qs4YzGBJCnW	43617	AV	GGEE	Entel	SI -> CONTINUAR	Sí	Sí	Sí	Sí	Sí	Entel	Telefónica/ Movistar	Entel	Entel	Entel	NA	NA	6	HASTA EL MOMENTO NO HE TENIDO PROBLEMAS. SI YO CONTRATO UN SERVICIO Y ME ESTA FUNCIONANDO, LO CONSIDERO QUE ES UNA BUENA EVALUACIÓN. CONSTANCIA DE SERVICIO, NO HE TENIDO CAÍDAS, ES DECIR NINGUNA FALLA.	6	6	6	5	5	5	Si	No	No	No	No	No	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	6	No	NA	NA	NA	7	8	8	0	Sí	fijo
345	Pes5Xdb21rXZ	43617	MasPrem	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	Sí	No	No	No	Entel	Entel	NA	NA	NA	NA	NA	5	PORQUE NO HAN PUESTO TODAVÍA EN EL SECTOR QUE ESTOY FIBRA ÓPTICA Y NO FUNCIONA BIEN EL INTERNET SE CAE LA SEÑAL	7	5	7	7	7	7	No	No	No	Si	No	Si	NA	NA	NA	7	NA	7	NA	NA	2. A través del Call center, empresa	NA	1. Ejecutivo asignado	7	7	NA	NA	7	Sí	LO QUE PASA ES QUE EL SISTEMA DE INTERNET SE CAE PORQUE ES MUY ANTIGUO ME ENTIENDE Y YO HE PEDIDO QUE ME PONGAN FIBRA OPTICA PERO PARA EL SECTOR QUE YO ESTOY EL BARRIO EN EL QUE ESTOY YO PARA QUE USTED ME ENTIENDA NO HAY FIBRA OPTICA TODAVIA NO LA INSTALAN	Sí	No	7	10	18	99	No	fijo
346	XlJHFVPMTjFG	43617	MP	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	Sí	No	No	No	Entel	Entel	NA	NA	NA	NA	NA	6	SIEMPRE HAY ALGUNA INTERMITENCIA NUNCA TODO ES PERFECTO SIEMPRE HAY ALGUN PEQUEÑO INCONVENIENTE PERO NUNCA ES TAN PERFECTO TODO	6	6	6	6	6	6	Si	Si	No	No	No	No	7	7	NA	NA	NA	NA	2. A través del Call center, empresa	NA	NA	NA	NA	NA	7	NA	NA	7	No	NA	NA	NA	6	8	4	99	Sí	fijo
347	cl1K8BtvGHbN	43617	AP	MEDIANA	Entel	SI -> CONTINUAR	Sí	No	No	No	No	Entel	NA	NA	NA	NA	NA	NA	7	PORQUE NO HE TENIDO PROBLEMAS EN LA SEÑAL, ESO ES LO MÁS IMPORTANTE.	7	7	7	7	7	6	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	No	NA	NA	NA	7	7	7	6	Sí	fijo
348	qWt37fqxk8NC	43617	AP	MEDIANA	Entel	SI -> CONTINUAR	Sí	Sí	No	No	No	Entel	Entel	NA	NA	NA	NA	NA	7	PORQUE NO HEMOS TENIDO PROBLEMAS.	7	7	7	7	7	7	No	No	No	No	Si	No	NA	NA	NA	NA	7	NA	NA	NA	NA	2. A través del Call center, empresa	NA	NA	7	NA	NA	7	No	NA	NA	NA	7	10	20	0	Sí	fijo
349	NsQJhKJttYBp	43617	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	No	Sí	No	No	Entel	NA	Entel	NA	NA	NA	NA	5	FALTAN ALGUNAS COSAS, REALMENTE SE DEMORAN, SE CAE EL SISTEMA, REALMENTE NO ES COMPLETO, MUCHAS VECES SE CAE O EN ALGUNOS MOMENTOS LA INFORMACIÓN QUE ME LLEGA NO ME LLEGA A TIEMPO.	7	6	7	5	6	4	No	Si	No	No	No	No	NA	7	NA	NA	NA	NA	4. En tiendas/ sucursales	NA	NA	NA	NA	NA	NA	NA	7	6	No	NA	NA	NA	7	6	3	99	No	fijo
350	l08tggCb2E1k	43617	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	No	No	No	No	Entel	NA	NA	NA	NA	NA	NA	6	BIEN EN GENERAL BIEN, HAY CONTINUIDAD HAY BUEN SERVICIO, O SEA NO SE CAE EL SISTEMA ESTA OPERATIVO CUMPLE CON MI EXPECTATIVA.	7	6	6	6	6	6	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	No	NA	NA	NA	6	10	2	99	No	fijo
351	Gu5mfopLU87e	43617	MasPrem	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	Sí	No	No	Sí	Entel	Entel	NA	NA	Otra ¿Cúal?	NA	NA	4	PORQUE TENEMOS SERVICIOS DE INTERNET PERO EL ANCHO DE BANDA ES MUY BAJO, LA VELOCIDAD DE NAVEGACIÓN TENEMOS 7 MEGAS.	7	4	6	4	4	4	Si	Si	No	No	Si	No	4	4	NA	NA	7	NA	2. A través del Call center, empresa	NA	NA	3. A través de la web con clave <b>{#\.Principal}{#\.Princ_text}</b> Empresas	NA	NA	7	7	NA	6	No	NA	NA	NA	5	8	9	0	Sí	fijo
352	IBP1cb0506sF	43617	MasPrem	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	Sí	No	No	Sí	Entel	Entel	NA	NA	Otra ¿Cúal?	NA	NA	5	PORQUE LE FALTA TODAVIA PARA EL 7 A LA HORA DE HACER CAMBIOS SON MUY ENGORROSOS	7	7	4	6	6	6	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	No	NA	NA	NA	6	8	3	99	No	fijo
353	w0vZEERNldPx	43617	AP	GGEE	Entel	SI -> CONTINUAR	Sí	Sí	Sí	Sí	No	Entel	Entel	Entel	Entel	NA	NA	NA	7	NO HE TENIDO FALLAS EN EL SERVICIO, CUMPLEN CON LA VELOCIDAD Y TODO LO TIENEN AL DÍA.	7	7	7	7	6	7	No	No	No	No	Si	Si	NA	NA	NA	NA	7	7	NA	NA	NA	1. Ejecutivo asignado	2. A través del Call center, empresa	7	7	NA	NA	7	No	NA	NA	NA	7	10	1	99	Sí	fijo
354	pyCwcTzY5cz0	43617	MasPrem	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	Sí	No	Sí	Sí	Entel	Entel	NA	Otra ¿Cúal?	Entel	NA	NA	1	PORQUE ES MUY DIFICULTOSO LOGRAR  RENOVACIONES DE PLANES COMPRENDER LOS SISTEMAS QUE TIENE POR LA WEB ME ENTERE UN PLAN CLINI TIENE CERO DE INICIATIVA PARA UNO ENCONTRAR LAS RESPUESTA QUE NECESITA PARA LA OFICINA Y MUY ENGORROSO EL SISTEMA ADEMAS	6	4	2	3	3	2	Si	Si	Si	Si	Si	Si	1	1	3	2	2	3	2. A través del Call center, empresa	4. En tiendas/ sucursales	2. A través del Call center, empresa	3. A través de la web con clave <b>{#\.Principal}{#\.Princ_text}</b> Empresas	2. A través del Call center, empresa	NA	3	6	6	4	Sí	LA LINEAS FIJAS SE CAYERON EN DOS OPORTUNIDADES	Sí	Si	2	1	5	8	Sí	fijo
355	N1jwVXNxG15m	43617	AV	GGEE	Entel	SI -> CONTINUAR	Sí	Sí	Sí	Sí	Sí	Entel	Telefónica/ Movistar	Entel	Otra ¿Cúal?	Otra ¿Cúal?	NA	NA	7	"NO SÉ SON MUY BUENOS; ATENCIÓN AL CLIENTE, EN LA COBERTURA, EQUIPO."	7	7	7	6	7	6	Si	Si	Si	Si	Si	No	7	7	6	7	7	NA	1. Ejecutivo asignado	1. Ejecutivo asignado	1. Ejecutivo asignado	1. Ejecutivo asignado	NA	7	NA	NA	NA	7	No	NA	NA	NA	7	10	10	99	Sí	fijo
356	oMlVOeNdvURd	43617	MV	MEDIANA	Entel	SI -> CONTINUAR	Sí	Sí	No	No	No	Entel	Entel	NA	NA	NA	NA	NA	7	PORQUE NO TENGO PROBLEMAS CON ELLOS, NINGÚN PROBLEMA EN LOS SERVICIOS, EL PRECIO ES COMPETITIVO EN TODOS LOS SERVICIOS QUE ME DAN TELEFONÍA MÓVIL, EL FIJO ESTÁN DENTRO DEL MERCADO, YO NO TENGO PROBLEMAS, NOS ATIENDEN BIEN, TIENEN BUENAS COMPENSAS	7	6	7	7	7	6	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	No	NA	NA	NA	7	10	17	0	Sí	fijo
357	mQCNCsjtPvLE	43617	MV	MEDIANA	Entel	SI -> CONTINUAR	Sí	Sí	Sí	No	No	Entel	Entel	Telefónica/ Movistar	NA	NA	NA	NA	6	"PORQUE NO SIEMPRE ESTÁN ENTREGANDO EL SERVICIO QUE DICEN QUE VAN A DAR EN EL MOMENTO QUE DICEN QUE LO VAN A DAR; QUE VAN A ESTAR AQUÍ A PASAR ALGÚN ENLACE O UN PROBLEMA CON LA SEÑAL Y NO LO HACEN."	7	6	6	4	4	4	No	No	Si	No	Si	Si	NA	NA	4	NA	5	6	NA	1. Ejecutivo asignado	NA	1. Ejecutivo asignado	2. A través del Call center, empresa	5	5	NA	NA	6	No	NA	NA	NA	6	10	14	0	Sí	fijo
358	tvnEzybmi5ru	43617	MasPrem	MEDIANA	Entel	SI -> CONTINUAR	Sí	Sí	Sí	No	Sí	Entel	Entel	Entel	NA	Entel	NA	NA	7	PORQUE TIENEN UN SERVICIO ESPECIAL PARA LAS EMPRESAS EN TODO SENTIDO TENEMOS UNA LINEA PRIVADA ES DECIR EL INGRESO DE LAS LLAMADAS ES MUY RAPIDO CUANDO UNO ES EMPRESA SE SUPONE QUE TODO ES EFICIENTE SI UNO TIENE PROBLEMA TECNICO O COMERCIAL TODO ES EFICIENTE DEBIDO A QUE HAY UNA LINEA PRIVADA	7	7	7	5	7	7	Si	Si	No	Si	No	Si	7	7	NA	7	NA	5	2. A través del Call center, empresa	NA	2. A través del Call center, empresa	NA	2. A través del Call center, empresa	NA	7	NA	NA	7	Sí	TECNICOS POR LA LLUVIA LA LLUVIA DESTROZO LOS APARATOS	Sí	Si	7	10	99	99	Sí	fijo
359	VV9ttfFpnc0p	43617	MP	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	Sí	No	No	No	Entel	VTR	NA	NA	NA	NA	NA	7	PORQUE ES BUENO, EXCELENTE, EN LAS COMUNICACIONES, EN LAS SEÑALES, ES BUENO EN EL EXTERIOR ME COMUNICO SIN NINGÚN PROBLEMA.	7	6	6	6	6	6	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	No	NA	NA	NA	7	10	13	99	Sí	fijo
360	yCn5kOIIaXmz	43617	Mas	MICRO	Entel	SI -> CONTINUAR	Sí	No	No	No	No	Entel	NA	NA	NA	NA	NA	NA	6	EN GENERAL ESTOY SATISFECHO PERO HAY OPORTUNIDADES QUE HEMOS TENIDO DEFICIENTE SERVICIO DE BANDA ANCHA, ES UNA COMPAÑÍA EN LA CUAL ES FÁCIL ACUDIR PARA SOLUCIONAR LOS PROBLEMAS	7	6	7	6	6	6	No	Si	No	No	No	No	NA	7	NA	NA	NA	NA	4. En tiendas/ sucursales	NA	NA	NA	NA	NA	NA	NA	7	7	No	NA	NA	NA	7	10	10	0	No	fijo
361	KUKJLaqPxx8P	43617	MasPrem	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	Sí	Sí	Sí	Sí	Entel	Telefónica/ Movistar	Telefónica/ Movistar	Otra ¿Cúal?	Telefónica/ Movistar	NA	NA	1	PORQUE HE SOLICITADO COSAS Y SE DEMORAN MUCHO ES MUY UN SERVICIO LENTO,A LA RESPUESTA TÉCNICA CUANDO UNO TIENE PROBLEMAS EN LA CONTINUIDAD DEL SERVICIO,CADA VES QUE SE LLAMA AL CALL CENTER SON MUY DEMORADOS.	3	4	7	6	2	4	No	No	No	No	No	Si	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	2. A través del Call center, empresa	NA	6	NA	NA	4	Sí	HUBO PROBLEMAS DE CONECTIVIDAD SE CORTO EN UNA OPORTUNIDAD SE DEMORARON UN MONTÓN EN LLEGAR.	Sí	Está en trámite	2	2	6	4	No	fijo
362	KFv5ikpr5Poy	43617	Mas	MICRO	Entel	SI -> CONTINUAR	Sí	Sí	No	No	No	Entel	Entel	NA	NA	NA	NA	NA	6	PORQUE ME A DADO UN BUEN SERVICIO HASTA HORA, NO HEMOS TENIDO INCONVENIENTE CON LOS TELÉFONOS FIJOS.IGUAL ES CARO	6	6	6	5	5	6	Si	Si	Si	No	Si	No	6	6	5	NA	6	NA	4. En tiendas/ sucursales	2. A través del Call center, empresa	NA	2. A través del Call center, empresa	NA	5	5	NA	5	6	No	NA	NA	NA	7	8	2	6	No	fijo
363	oLSHOtQBix0l	43617	MP	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	Sí	No	No	No	Entel	Entel	NA	NA	NA	NA	NA	6	PORQUE PODRÍA MEJORAR EL SERVICIO, COMPARADO CON OTRAS EMPRESAS, MÁS QUE NADA POR LA COBERTURA.	7	7	6	7	7	7	No	Si	Si	Si	Si	Si	NA	6	6	7	7	7	1. Ejecutivo asignado	1. Ejecutivo asignado	3. A través de la web con clave <b>{#\.Principal}{#\.Princ_text}</b> Empresas	3. A través de la web con clave <b>{#\.Principal}{#\.Princ_text}</b> Empresas	1. Ejecutivo asignado	7	NA	7	NA	7	No	NA	NA	NA	7	10	20	0	Sí	fijo
364	XrKi6tNfdjT7	43617	MV	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	Sí	No	No	Sí	Entel	Entel	NA	NA	Entel	NA	NA	5	PORQUE LA SEÑAL,EN EL SITIO QUE ESTOY ESTA A 30 KM DE LA CIUDAD DE AUTOFAGASTA MUCHAS VECES LA SEÑAL SE CAE Y NO LLEGA CON LA NECESIDAD  QUE DE REPENTE LA SITUACIÓN LO AMERITA  Y NO HAY FORMA DE ESPERAR POR COSA DE TIEMPO A QUE VUELVA, LA SEÑAL SE CAEN EN LO QUE ES INTERNET.	6	5	5	5	5	5	Si	Si	Si	Si	Si	Si	2	5	5	5	6	4	2. A través del Call center, empresa	2. A través del Call center, empresa	2. A través del Call center, empresa	2. A través del Call center, empresa	2. A través del Call center, empresa	NA	6	NA	NA	5	Sí	LA SEÑAL SE CAE, HAY HORARIOS QUE DISMINUYE LA FACTIBILIDAD DE PODER CONECTARSE,Y DESPUÉS LLEGA E INCLUSO ME GENERA PROBLEMAS, HAY HORAS PIC NO SE SI SERA POR LA FRECUENCIA POR EL USO, DESCONOZCO, PERO HAY HORA EN QUE LA SEÑAL ES BAJA EN INTENSIDAD EN INTERNET, DE ENVIAR CORREO, ESO SE CAE.	Sí	No		5	5	0	Sí	fijo
365	gtKI45dXa9Rc	43617	MasPrem	MICRO	Entel	SI -> CONTINUAR	Sí	Sí	No	Sí	No	Entel	VTR	NA	Otra ¿Cúal?	NA	NA	NA	7	PORQUE EL SERVICIO HA SIDO EXCELENTE, NO TENGO NINGÚN PROBLEMA, NO SE CAE LA LÍNEA, ESTÁ SIEMPRE ACTIVA, NO, NO HE TENIDO NINGÚN PROBLEMA.	7	7	6	7	6	6	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	No	NA	NA	NA	7	10	10	99	Sí	fijo
366	1onxPcRe04zo	43617	Mas	MICRO	Entel	SI -> CONTINUAR	Sí	Sí	Sí	No	Sí	Entel	Entel	Otra ¿Cúal?	NA	Entel	NA	NA	4	"PORQUE NO ESTOY SATISFECHA; PORQUE FALLA MUCHO EN CUANTO A LA CONECTIVIDAD Y RESPUESTAS POCO CLARAS CON RESPECTO A LAS FALLAS."	5	4	4	4	4	4	No	Si	Si	Si	Si	Si	NA	4	5	1	4	1	4. En tiendas/ sucursales	4. En tiendas/ sucursales	2. A través del Call center, empresa	2. A través del Call center, empresa	4. En tiendas/ sucursales	NA	1	NA	5	4	Sí	CONECTIVIDAD Y EL ACCESO A INTERNET ES MUY MALO.	Sí	Si	1	3	10	0	No	fijo
367	RC3zeVRCd7pa	43617	MasPrem	MICRO	Entel	SI -> CONTINUAR	Sí	No	No	No	No	Entel	NA	NA	NA	NA	NA	NA	7	PORQUE TODO FUNCIONA BIEN, EL SERVICIO YA EN VARIOS AÑOS NO TIENE INTERRUPCIONES FUNCIONA BIEN	7	7	5	6	9. NS/NR	6	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	No	NA	NA	NA	7	6	5	0	Sí	fijo
368	NZEac3R3WAXn	43617	MasPrem	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	Sí	No	No	Sí	Entel	GTD/ Manquehue	NA	NA	Entel	NA	NA	7	PORQUE EL SERVICIO ES RÁPIDO, TIENE BUENA COBERTURA A LO LARGO DE DISTINTAS PARTES, TIENE BUEN SOPORTE AL LLAMAR POR TELÉFONO SI UNO TIENE ALGUNA CONSULTA.	7	6	6	5	6	5	Si	No	No	No	No	No	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	7	No	NA	NA	NA	7	7	20	99	Sí	fijo
369	yuJQsCAJMItD	43617	AP	GGEE	Entel	SI -> CONTINUAR	No	No	Sí	Sí	Sí	NA	NA	Entel	Entel	Otra ¿Cúal?	NA	NA	5	PORQUE NO CUMPLE LOS PLAZOS ESTABLECIDOS EN INSTALACIÓN O COORDINACIÓN.	4	6	5	5	5	5	Si	No	No	Si	Si	Si	5	NA	NA	7	6	5	NA	NA	2. A través del Call center, empresa	1. Ejecutivo asignado	2. A través del Call center, empresa	6	3	NA	NA	5	Sí	CAÍDA EN LA MPLS Y SOLUCIÓN DE PROBLEMAS EN TELEFONÍA.	Sí	Si	5	7	15	0	Sí	fijo
370	xgma9krI6ee5	43617	AV	GGEE	Entel	SI -> CONTINUAR	Sí	Sí	Sí	Sí	Sí	Entel	Entel	Entel	Otra ¿Cúal?	Otra ¿Cúal?	NA	NA	4	PORQUE MAL SERVICIO Y MUY CARO,  TIENE ALGUNOS LUGARES DE QUE TENEMOS SUCURSALES Y  EL SERVICIO QUE OFRECE ES MUY BÁSICO, ES CARO	5	4	4	3	5	4	No	Si	Si	Si	Si	Si	NA	1	7	7	7	1	1. Ejecutivo asignado	2. A través del Call center, empresa	2. A través del Call center, empresa	2. A través del Call center, empresa	1. Ejecutivo asignado	7	7	NA	NA	7	No	NA	NA	NA	3	2	15	0	Sí	fijo
371	gNZBSpGf9puZ	43617	AV	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	Sí	No	No	Sí	Entel	Entel	NA	NA	Entel	NA	NA	7	ME GUSTA, EL SERVICIO, TODO EL SERVICIO.	7	7	7	6	7	7	Si	No	No	Si	No	No	7	NA	NA	7	NA	NA	NA	NA	1. Ejecutivo asignado	NA	NA	7	NA	NA	NA	7	No	NA	NA	NA	7	7	6	6	Sí	fijo
372	GKigF9y9h2FU	43617	AP	GGEE	Entel	SI -> CONTINUAR	Sí	No	No	No	No	Entel	NA	NA	NA	NA	NA	NA	4	PORQUE CUANDO CONTRATE EL SERVICIO DE INTERNET DE ENTEL ERA MUY BUENO, Y AL PASAR UN PAR DE MESES, EL SERVICIO BAJO AUTOMÁTICAMENTE, MUCHO, ASÍ QUE FUE LA VARIACIÓN DEL SERVICIO, DE LA CALIDAD DEL SERVICIO, POR ESO LO EVALUÓ BAJA ESA NOTA	6	4	6	6	7	5	Si	No	No	Si	No	Si	6	NA	NA	5	NA	5	NA	NA	2. A través del Call center, empresa	NA	2. A través del Call center, empresa	NA	5	NA	7	7	Sí	EL PROBLEMA DE SEÑAL, DE LA BAJA CALIDAD DEL SERVICIO CON EL INTERNET	Sí	Si	5	8	0	6	Sí	fijo
373	FjigeWEzd5Ct	43617	AP	MEDIANA	Entel	SI -> CONTINUAR	Sí	Sí	Sí	No	No	Entel	Entel	Entel	NA	NA	NA	NA	5	POR LA MALA GESTION DEL EJECUTIVO NO TENEMOS CONTACTO CON EL EJECUTIVO ANTES TENIAMOS UNA EJECUTIVA Y DESPUES CUANDO ELLA SE FUE DEJO LA EMPRESA NOS QUEDAMOS SIN EJECUTIVO	6	5	4	6	6	6	No	No	No	Si	No	No	NA	NA	NA	1	NA	NA	NA	NA	2. A través del Call center, empresa	NA	NA	NA	1	NA	NA	7	Sí	GPS NO TUVIMOS LA ATENCION POST VENTA NO TUVIMOS LA INSTALACION DE LOS GPS NO TUVIMOS NADA FUE PESIMO QUE NO LO INSTALARON QUE NO NOS DIERON ATENCION POST VENTA NO SE QUE MAS PUEDE SER	Sí	No	5	4	1	99	No	fijo
374	v80M3Br9FnMR	43617	MasPrem	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	Sí	No	No	Sí	Entel	Entel	NA	NA	Entel	NA	NA	6	PORQUE HEMOS DESCUBIERTO ALGUNAS DEFICIENCIAS DE VEZ EN CUANDO, NO ES PERFECTA.	7	7	7	7	7	7	No	No	No	No	No	Si	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	1. Ejecutivo asignado	7	7	NA	NA	5	Sí	EN PRIMER LUGAR, ENTEL TIENE TODO DERECHO, PERO FACTURA MUY TEMPRANO SUS SERVICIO, POR EJEMPLO: YA ME LLEGÓ UNA FACTURA QUE SE CANCELA EL 17 DE JULIO, PERO ME LLEGÓ HACE MUCHOS DÍAS ATRÁS, FACTURAN MUY TEMPRANO, ENTONCES ESO DA MUCHO TERRENO PARA ERROR DE FACTURACIÓN. EN SEGUNDO LUGAR, SIEMPRE TENGO QUE PAGAR 4 FACTURAS MENSUALMENTE A ENTEL Y SIEMPRE CUANDO PAGO HAY UNA QUE NO PUEDO PAGARLA Y TENGO QUE IR AL METRO, IR A LA OFICINA DE ENTEL Y PAGAR, ESO ME PRODUCE UNA INCOMODIDAD Y SE LA PRODUCE A CUALQUIER PERSONA.	Sí	No	6	9	20	99	No	fijo
