encriptado	SEG_CORFO_FINAL	CL_SEGMENTO_GOL_original	P36	sex_enc	P27	F1	P1	P1._5	P2	P3	P4	P4_COD	P5[{_1}].resP5	P5[{_2}].resP5	P5[{_3}].resP5	P5[{_4}].resP5	P5[{_5}].resP5	P6	P7	P8[{_1}].resP8	P8[{_2}].resP8	P8[{_3}].resP8	P8[{_4}].resP8	P9	P10	P11[{_1}].rp11	P11[{_2}].rp11	P11[{_3}].rp11	P11[{_4}].rp11	P11[{_5}].rp11	P11[{_6}].rp11	P11[{_7}].rp11	P11[{_8}].rp11	P12[{_1}].rp12	P12[{_2}].rp12	P12[{_3}].rp12	P12[{_4}].rp12	P12[{_5}].rp12	P12[{_6}].rp12	P12[{_7}].rp12	P12[{_8}].rp12	P13[{_1}].rp13	P13[{_2}].rp13	P13[{_3}].rp13	P13[{_4}].rp13	P13[{_5}].rp13	P13[{_6}].rp13	P13[{_7}].rp13	P13[{_8}].rp13	P14[{_1}].rp	P14[{_2}].rp	P14[{_3}].rp	P14[{_4}].rp	P14[{_5}].rp	P15	P16[{_1}].rp16	P16[{_2}].rp16	P16[{_3}].rp16	P16[{_4}].rp16	P17[{_1}].rp17	P17[{_2}].rp17	P17[{_3}].rp17	P17[{_4}].rp17	P18	P18A[{_1}].Rp	P18A[{_2}].Rp	P18A[{_3}].Rp	P18A[{_4}].Rp	P18B[{_1}].Rp	P18B[{_2}].Rp	P18B[{_3}].Rp	P18B[{_4}].Rp	P19	P20	P20_COD	P21	P22	P23	P24	P25	P26	P28	P29	P30	P31	P33	Fecha_Enc
mYq0rOrCDfTT	MICRO	Mas	Regiones	Hombre	No	Sí	Entel	NA	NA	7	PORQUE HABIA TENIDO OTRAS 2 EMPRESAS Y TUVE MALA EXPERIENCIA	Buena empresa / es la mejor empresa / es mejor que otras	7. En absoluto acuerdo	NA	NA	NA	NA	7	7	6	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	Sí	Sí	NA	NA	6	6	NO	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	CHILLAN	NA	V2. POST CRISIS
dNcBn63l4hOB	GGEE	MP	Santiago	Hombre	Sí	Sí	Entel	NA	NA	5	PORQUE SIEMPRE ESPERA ALGO MAS	Faltan cosas por mejorar / no es perfecta	6	NA	NA	NA	NA	6	5	5	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	Sí	No	NA	NA	5	NA	NO	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	PUENTE ALTO	NA	V2. POST CRISIS
juUrKwaRlcxk	PYME	AP	Regiones	Hombre	Sí	Sí	Entel	NA	NA	7	BUENA COBERTURA, ASISTENCIA Y BUENA RESPUESTA LOS REQUIRIMIENTOS	Buena cobertura,Buen soporte / servicio técnico,Responden / resuelven requerimientos	7. En absoluto acuerdo	NA	NA	NA	NA	7	7	5	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	Sí	No	No	6	6	NA	NA	NO	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NACIMIENTO	NA	V2. POST CRISIS
RnW4vSlsrZYN	MICRO	Mas	Regiones	Hombre	Sí	Sí	Entel	NA	NA	6	PORQUE AVECES TIENE PROBLEMAS CON EL SERVICIO SE PIERDE LA SEÑAL	Mala señal / pérdida de señal / interferencias	5	NA	NA	NA	NA	6	6	4	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	CHILLAN	NA	V2. POST CRISIS
26l5STZ4eqDz	PYME	AV	Regiones	Hombre	Sí	Sí	Entel	NA	NA	7	NUNCA HEMOS TENIDOS PROBLEMAS CON ENTEL EN NADA Y LOS PRECIOS SON CONVENIENTES LA ATENCION ES SUPER BUENA	Funciona bien /sin problemas,Buenos precios / económicos / barato	7. En absoluto acuerdo	NA	NA	NA	NA	7	7	7	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	No	Sí	No	7	NA	7	NA	NO	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	TEMUCO	NA	V2. POST CRISIS
Da1prK2ggCsi	PYME	AP	Santiago	Mujer	Sí	Sí	Entel	NA	NA	6	CUMPLEN LOS CONTRATOS	Cumplen con lo que ofrecen	6	NA	NA	NA	NA	6	6	6	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	No	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	PEDRO AGUIRRE CERDA	NA	V2. POST CRISIS
9Lw55qALAq84	PYME	Mas	Santiago	Hombre	Sí	Sí	Entel,Claro,Movistar	NA	Entel	6	PORQUE A ANDADO BIEN DONDE NOSOTROS ESTAMOS PERO NO COMO YO QUIERO PODRÍA SER MAS RÁPIDO Y EFICIENTE EL SERVICIO PROBLEMAS DE FACTIBILIDAD	Internet lento / inestable,Mala conectividad,Lentitud / ineficiencia en solución de problemas	6	NA	NA	NA	NA	5	5	4	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	PUDAHUEL	NA	V2. POST CRISIS
3phF2D8m7Gd3	GGEE	MP	Santiago	Hombre	Sí	Sí	Entel	NA	NA	6	PORQUE SON BUENOS LOS SERVICIOS PERO DERREPENTE ES UN POCO ENGORROSO COMUNICARSE CON LA EJECUTIVA PARA OTRAS COSAS	Buenos servicios/ productos,Mal servicio Call center/ Cuesta contactarlos / Call center no atiende	6	NA	NA	NA	NA	7	7	5	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	Sí	Sí	NA	NA	5	5	NO	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	SANTIAGO CONCHALI	NA	V2. POST CRISIS
d1oqSxIJfZUA	GGEE	Mas	Regiones	Hombre	Sí	Sí	Entel	NA	NA	7	PORQUE ES BUENIO	Buen servicio / conforme / satisfecho con el servicio	7. En absoluto acuerdo	NA	NA	NA	NA	7	7	Ns/Nr	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	PARRAL	NA	V2. POST CRISIS
ljpNJRMxIEnJ	PYME	Mas	Santiago	Hombre	Sí	Sí	Entel	NA	NA	5	EN REALIDAD ES POR EL TIPO DE GIGAS EFECTIVAMENTE HAY PUNTOS QUE LLEGA LA SEÑAL MALA EN PARTICULAR FUERA DE SANTIAGO EN ALGUNOS PUNTOS MALA CALIDAD SECTOR DE VILLARICA EN ESA ZONA NO ESO EN PARTICULAR	Mala señal / pérdida de señal / interferencias	6	NA	NA	NA	NA	5	5	6	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	SANTIAGO COMUNA DE SAN JOAQUIN	NA	V2. POST CRISIS
65CZljzQepNK	GGEE	MV	Santiago	Hombre	Sí	Sí	Entel	NA	NA	7	PORQUE HEMOS TENIDO NINGÚN TIPO DE INCONVENIENTE TE CON ENTEL CADA VEZ QUE HACEMOS UNA SOLICITUD O UN RECLAMO NOS ATIENDEN SIN NINGÚN INCONVENIENTE EL SERVICIO ES BUENO NO HEMOS TENIDO NINGÚN INCONVENIENTE EN RELACIÓN A SEÑAL O CON LA LINEA NADA	Funciona bien /sin problemas,Buena atención / amabilidad,Buen servicio / conforme / satisfecho con el servicio,Buena señal / no hay caídas de la señal / señal nítida,Buen servicio de telefonía	7. En absoluto acuerdo	NA	NA	NA	NA	6	7	6	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	Sí	No	NA	NA	5	NA	NO	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	SANTIAGO RENCA	NA	V2. POST CRISIS
Mnt3pCsm4f9r	PYME	AV	Santiago	Hombre	No	Sí	Entel	NA	NA	6	A VECES SE DEMORA EN LOS TIEMPOS DE RESPUESTA COSAS QUE DEBERIA SER AUTOMATICA QUE NO  REQUIERE LA INTERVENCION DE LA EJECUTIVA	Lentitud / ineficiencia en solución de problemas	7. En absoluto acuerdo	NA	NA	NA	NA	7	7	5	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	No	Sí	No	7	NA	6	NA	NO	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	PROVIDENCIA	NA	V2. POST CRISIS
FgtcefE6kg8p	PYME	Mas	Santiago	Mujer	Sí	Sí	Entel	NA	NA	6	"PORQUE ES BUENO EL SERVICIO; QUE UNO LLAMA Y TE RESPONDEN ALTIRO  PERO UNA VEZ TUVIMOS ESTAFA"	Buen servicio / conforme / satisfecho con el servicio,Rapidez en la atención,Poca transparencia en cuentas / cobros indebidos / problemas de facturación	6	NA	NA	NA	NA	6	5	6	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	LA REINA	NA	V2. POST CRISIS
B1QGb3Qe0gzP	PYME	Mas	Regiones	Hombre	Sí	Sí	Entel	NA	NA	6	ES UN POCO MAS CARA QUE EL RESTO LOS PLANES MEJOR COBERTURA PERO MAS CARA	Precios altos / es caro / alzas de precio,Buena cobertura	7. En absoluto acuerdo	NA	NA	NA	NA	6	7	5	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	No	No	NA	7	NA	NA	NO	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	CONCEPCION	NA	V2. POST CRISIS
3aPbpPBWu3nb	PYME	Mas	Regiones	Hombre	Sí	Sí	Entel	NA	NA	6	PORQUE NO ES MALA LE FALTA ALGO LOS CALLCENTER QUE SEAN MÁS RAPIDO	Buena empresa / es la mejor empresa / es mejor que otras,Mal servicio Call center/ Cuesta contactarlos / Call center no atiende	7. En absoluto acuerdo	NA	NA	NA	NA	6	6	6	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	Sí	No	NA	NA	7	NA	SI	FALTA DE COBERTURA EN TALCA	Cobertura	SI	SI	NA	6	NA	NA	NA	NA	NA	TALCA	NA	V2. POST CRISIS
LrLYXaSXPkMi	PYME	Mas	Santiago	Mujer	Sí	Sí	Entel	NA	NA	6	ES BUENA LA ATENCIÓN PERO PODRÍA SER MAS BAJO LOS PRECIOS EN LOS CELULARES MAS QUE NADA	Buena atención / amabilidad,Precios altos / es caro / alzas de precio,Equipos caros	7. En absoluto acuerdo	NA	NA	NA	NA	7	6	5	5	5	5	7	7	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	6	Está Igual	8	3	INFORMÁTICA	5 AÑOS	SANTIAGO CENTRO	ADMINISTRATIVO	V1. PRE CRISIS
KV9WCSJFc8eD	S/Info	Mas	Santiago	Hombre	Sí	Sí	Entel	NA	NA	6	TENGO LA CUENTA HACE MUCHOS AÑOS NO HE TENIDO PROBLEMAS DE COBERTURA SIEMPRE TENGO SEÑAL TENGO UN PRECIO RAZONABLE CON EL PLAN CUANDO HUBO UN ERROR DE COBRO ME DEVOLVIERON TODA LA PLATA QUE HABÍA COBRADO DEMÁS	Es cliente antiguo/ lleva años,Buena cobertura,Buena señal / no hay caídas de la señal / señal nítida,Buenos precios / económicos / barato,Responden / resuelven requerimientos	6	NA	NA	NA	NA	7	7	5	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	SANTIAGO PROVIDENCIA	NA	V2. POST CRISIS
tohMQUudtW4f	PYME	Mas	Santiago	Mujer	Sí	Sí	Entel	NA	NA	5	CONSIDERO QUE TIENE MALA COBERTURA EN LOS SERVICIOS DESDE QUE EMPEZAMOS A TRABAJAR DESDE LA CASA	Mala / poco cobertura	5	NA	NA	NA	NA	5	5	5	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	SI	COBERTURA	Cobertura	SI	NO	NA	5	NA	NA	NA	NA	NA	MAIPU SANTIAGO	NA	V2. POST CRISIS
mhEcvG0zpiwe	PYME	Mas	Regiones	Hombre	Sí	Sí	Entel	NA	NA	4	MALA SEÑAL QUE NO SE PUEDE HABLAR BIEN EN TODOS LADOS Y LOS EQUIPOS SON CAROS	Mala señal / pérdida de señal / interferencias,Precios altos / es caro / alzas de precio	5	NA	NA	NA	NA	3	5	2	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	SI	SEÑAL, QUE NO SE ESCUCHA BIEN Y SE CORTA	Caída de señal /señal / interferencias / corte de llamadas,Corte de servicio	NO	NA	NA	5	NA	NA	NA	NA	NA	LA SERENA	NA	V2. POST CRISIS
C4AdT8RqCGUh	PYME	Mas	Regiones	Hombre	Sí	Sí	Entel	NA	NA	6	PORQUE ES SIETE ME LO DEJO PARA MI TAMBIÉN HAY PARTES QUE NO TENGO COBERTURA EN ALGUNOS LUGARES PUNTUALES	Faltan cosas por mejorar / no es perfecta,Mala / poco cobertura	6	NA	NA	NA	NA	6	6	5	Ns/Nr	Ns/Nr	Ns/Nr	Ns/Nr	6	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	6	Está Igual	7	8	CONSTRUCTORA	3 AÑOS	PENCO	REPERESENTANTE LEGAL	V1. PRE CRISIS
fJvXt6vZ0UQO	PYME	Mas	Santiago	Hombre	Sí	Sí	Entel	NA	NA	6	NO ESTOY TOTALMENTE SATISFECHO POCA VARIAS DE CELULARES PARA REPONER	Equipos de mala calidad / básicos	6	NA	NA	NA	NA	7	6	5	5	5	5	5	6	No	Si	Si	No	No	Si	Si	Si	NA	5	4	NA	NA	4	5	5	NA	2.Call center	3.Página Web Entel Empresas	NA	NA	2.Call center	2.Call center	2.Call center	NA	5	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SI	FACTURACION DE LOS REPORTES DE LOS MINUTOS DE LOS TELEFONOS	Problemas con la facturación / cobros desfasados / cobros poco claros	SI	NO	NA	5	Está Igual	5	7	TRANSPORTE	5 AÑOS	PUDAHUEL	ADMINISTRADOR	V1. PRE CRISIS
e0mdhKeHgurj	PYME	MV	Santiago	Mujer	Sí	Sí	Entel	NA	NA	6	PORQUE LO QUE NO ME GUSTA NO ES LA EMPRESA SINO LA GENTE LA CALIDAD QUE TE TRATA LA GENTE LA GENTE NO ES CLARA EN EXPLICAR LAS COSAS LA GENTE QUE TE HACE LA ENTREVISTA LA GENTE QUE TE HACE LA VENTA MUCHA BUROCRACIA	Mala post venta /atención,No mantiene bien informado / poca claridad en la información,Tramitan / Burocracia	7. En absoluto acuerdo	NA	NA	NA	NA	7	7	7	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	No	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	SAN BERNARDO	NA	V2. POST CRISIS
2pzkYJZ4YVN8	PYME	MV	Santiago	Mujer	Sí	Sí	Entel	NA	NA	6	DE REPENTE HAY PROBLEMAS CON LAS SEÑALES BAJA SEÑAL CON EL TEMA DE INTERNET TAMBIÉN DE HACE UN TIEMPO PARA ACA ESTA MAS LENTO EL INTERNET LA CONEXIÓN	Mala señal / pérdida de señal / interferencias,Internet lento / inestable,Mala conectividad	7. En absoluto acuerdo	NA	NA	NA	NA	6	5	6	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	No	Sí	No	7	NA	7	NA	NO	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	VITACURA SANTIAGO	NA	V2. POST CRISIS
SZQCSCAJgGne	PYME	Mas	Santiago	Hombre	Sí	Sí	Entel	NA	NA	6	EN GENERAL NO TENGO PROBLEMAS, SOO PROBLEMAS DE SEÑAL A VECES, YO TRABAJO EN SECTORES AISLADOS, PERO NINGUNA COMPAÑIA TIENE SEÑAL.	Funciona bien /sin problemas,Mala señal / pérdida de señal / interferencias	Ns/Nr	NA	NA	NA	NA	6	6	7	7	Ns/Nr	7	7	7	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Está Igual	10	5	GEOMESURA	10 AÑOS APROXIMADOS	RENCA	REPRESENTANTE LEGAL	V1. PRE CRISIS
zCMEzdAgfTqD	PYME	Mas	Santiago	Hombre	Sí	Sí	Entel,Movistar	NA	Entel	7	PORQUE HASTA EL MOMENTO NO HE TENDIDO NINGÚN PROBLEMA CON ELLOS POR ESO ESTOY HAY O SI NO HABRÍA CAMBIADO HACE RATO	Funciona bien /sin problemas,Es cliente antiguo/ lleva años	6	NA	NA	NA	NA	6	6	6	6	5	6	6	5	No	No	Si	Si	Si	No	Si	No	NA	NA	6	6	6	NA	6	NA	NA	NA	4.En tiendas/ sucursales,5.App Administradores Empresa	4.En tiendas/ sucursales,5.App Administradores Empresa	4.En tiendas/ sucursales	NA	4.En tiendas/ sucursales	NA	NA	NA	NA	7	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Está Igual	8	15	COMERCIAL	6 AÑOS	RECOLETA SANTIAGO	ADMINISTRATIVO	V1. PRE CRISIS
TSenGAcNGgnH	PYME	MP	Regiones	Hombre	Sí	Sí	Entel,Movistar	NA	Movistar	4	PORQUE CUANDO HE TENIDO QUE CAMBIAR EQUIPOS PONEN MUCHOS PROBLEMAS, NO HAY GARANTÍAS PARA CLIENTES HABÍA UNA CLAUSULA QUE UNO PODÍA CAMBIAR EQUIPOS CADA 2 AÑOS Y AHORA ESTA SIN EFECTO, ES UN CLIENTE MAS NO TIENEN VALOR SU ANTIGÜEDAD	No realizan cambio de equipos/ problemas con cambio de equipos,No cumplen con lo que ofrecen,Malos planes  / planes poco flexibles,Pocos beneficios para clientes antiguos	6	NA	NA	NA	NA	6	5	5	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	Sí	Sí	Sí	6	6	6	6	NO	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	PUNTA ARENAS	NA	V2. POST CRISIS
eGFMXbhjLaAx	MICRO	Mas	Santiago	Mujer	Sí	Sí	Entel	NA	NA	6	PORQU ENCUENTRO BUENO EL SERVICIO FALTA MAS OFERTA PARA EMPRESA SERVICIOS Y FACTURACION NO HE TENIDO PROBLEMAS FALTAN MEJORES OFERTAS POR ULTIMO PREMIOS POR ANTIGUAS	Buen servicio / conforme / satisfecho con el servicio,Pocas / malas ofertas,Transparencia / claridad en las cuentas / facturas / exactitud en cobros	7. En absoluto acuerdo	NA	NA	NA	NA	7	5	5	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	Sí	No	NA	NA	4	NA	NO	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	LA REINA	NA	V2. POST CRISIS
KvrMATpK54bm	S/Info	Mas	Santiago	Hombre	Sí	Sí	Entel,Otros	VTR	Entel	7	PORQUE NUNCA HE TENIDO NINGUN PROBLEMA SIEMPRE HE TENIDO SEÑAL	Funciona bien /sin problemas,Buena señal / no hay caídas de la señal / señal nítida	7. En absoluto acuerdo	NA	NA	NA	NA	7	6	7	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	PEÑALOLEN	NA	V2. POST CRISIS
BZXk3fAeuTZk	PYME	Mas	Santiago	Hombre	Sí	Sí	Entel	NA	NA	7	NO HE TENIDO PROBLEMA ME ATIENDEN BIEN EN LA OFICINA QUE VOY SON MUY GENTILES Y RESUELVEN LOS PROBLEMAS POR LOS CUALES VOY	Funciona bien /sin problemas,Buena atención / amabilidad,Responden / resuelven requerimientos	7. En absoluto acuerdo	NA	NA	NA	NA	6	5	5	5	6	5	7	7	Si	No	No	Si	Si	No	Si	No	6	NA	NA	6	6	NA	7	NA	4.En tiendas/ sucursales	NA	NA	4.En tiendas/ sucursales	3.Página Web Entel Empresas,4.En tiendas/ sucursales	NA	4.En tiendas/ sucursales	NA	NA	NA	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	6	Está Igual	10	5	SOCIEDAD DE INVERSIONES	4 AÑOS	LAS CONDES	GERENTE	V1. PRE CRISIS
UVQPmtapiSJt	PYME	Mas	Regiones	Hombre	Sí	Sí	Entel	NA	NA	6	SERVICIO ES BUENO PERO A VECES FALLAS QUE DEMORA EN SOLUCIONAR	Lentitud / ineficiencia en solución de problemas	7. En absoluto acuerdo	NA	NA	NA	NA	5	5	6	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	No	Sí	NA	5	NA	5	SI	HUBO PROBLEMA CONFIGUARACION EN EQUIPO, SERVICIO DE RED, SERVICIO EN LOS EQUIPOS	Equipos de mala calidad / fallan / se apagan,Caída / Pérdida de señal de Internet / conectividad / sin servicio Internet / navegación	SI	SI	NA	6	NA	NA	NA	NA	NA	LOS ANGELES	NA	V2. POST CRISIS
mGRjpO2eTYMm	GGEE	Mas	Regiones	Mujer	Sí	Sí	Entel	NA	NA	5	PORQUE EL INTERNET PORQUE NO ESTA FUNCIONANDO BIEN SE PEGA ES RELATIVO NOM ES SIEMPRE HAY DIAS QUE ESTA ASI NO SE PUEDE VER LOS VIDEOS NO	Internet lento / inestable	7. En absoluto acuerdo	NA	NA	NA	NA	6	5	7	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	Sí	No	NA	6	7	NA	NO	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	LOS ANDES	NA	V2. POST CRISIS
