encriptado	SEG_CORFO_FINAL	CL_SEGMENTO_GOL_original	P36	sex_enc	P27	F1	P1	P1._5	P2	P3	P4	P4_COD	P5[{_1}].resP5	P5[{_2}].resP5	P5[{_3}].resP5	P5[{_4}].resP5	P5[{_5}].resP5	P6	P7	P8[{_1}].resP8	P8[{_2}].resP8	P8[{_3}].resP8	P8[{_4}].resP8	P9	P10	P11[{_1}].rp11	P11[{_2}].rp11	P11[{_3}].rp11	P11[{_4}].rp11	P11[{_5}].rp11	P11[{_6}].rp11	P11[{_7}].rp11	P11[{_8}].rp11	P12[{_1}].rp12	P12[{_2}].rp12	P12[{_3}].rp12	P12[{_4}].rp12	P12[{_5}].rp12	P12[{_6}].rp12	P12[{_7}].rp12	P12[{_8}].rp12	P13[{_1}].rp13	P13[{_2}].rp13	P13[{_3}].rp13	P13[{_4}].rp13	P13[{_5}].rp13	P13[{_6}].rp13	P13[{_7}].rp13	P13[{_8}].rp13	P14[{_1}].rp	P14[{_2}].rp	P14[{_3}].rp	P14[{_4}].rp	P14[{_5}].rp	P15	P16[{_1}].rp16	P16[{_2}].rp16	P16[{_3}].rp16	P16[{_4}].rp16	P17[{_1}].rp17	P17[{_2}].rp17	P17[{_3}].rp17	P17[{_4}].rp17	P18	P19	P20	P20_COD	P21	P22	P23	P24	P25	P26	P28	P29	P30	P31	P33
kWchex1YqLjx	PEQUEÑA	Mas	SANTIAGO	Hombre	Sí	Sí	Entel	NA	NA	6	EL PRECIO LA CANTIDAD DE LINEAS EL SERVICIO NO HAY MAYORES PROBLEMAS PODRÍA SER MEJOR UN POCO MENOS PLATA PORQUE SON VARIAS LÍNEAS PERO NO EL TIEMPO LO QUE HAY LO QUE ESTÁ CONTRATADO ALCANZA PARA LA EMPRESA ASÍ QUE NO ES PROBLEMA	Precios altos / es caro / alzas de precio,Buen servicio / conforme / satisfecho con el servicio,Funciona bien /sin problemas	6	6	5	5	5	6	6	6	6	6	5	6	7	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	6	Está Igual	7	15	MANTENCIÓN INDUSTRIAL	5 AÑOS	MELIPILLA	DUEÑO
dhIlAe70HC2L	GGEE	Mas	REGIONES	Hombre	Sí	Sí	Entel	NA	NA	5	MUCHO PROBLEMAS PARA CAMBIARLE LOS EQUIPOS, PROBLEMAS CON AMBAS SEÑAL INTERNET Y LLAMADA	No realizan cambio de equipos/ problemas con cambio de equipos,Mala señal / pérdida de señal / interferencias,Internet lento / inestable,Mal servicio de telefonía/ se cortan las llamadas	6	6	6	6	6	5	5	5	5	5	5	5	6	No	No	No	Si	Si	No	Si	No	NA	NA	NA	6	5	NA	4	NA	NA	NA	NA	4.En tiendas/ sucursales	4.En tiendas/ sucursales	NA	4.En tiendas/ sucursales	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SI	SE CAE LA SEÑAL TENER MEJOR MUCHAS BTRABAS PARA RENOVACION DE EQUIPOS Y PLAN, OTRAS COMPAÑIAS ESTAN OFRECIENDO MEJOR EQUIPO Y MAS ECONOMICOS	Caída de señal /señal / interferencias / corte de llamadas,Demora en cambio de equipo / demora en entregar equipos,Con cambio de plan,Cobros excesivos	SI	NO	NA	4	Está Igual	5	160	GRANDES TIENDAS	15 AÑOS	ANFOTAGASTA	ADMINISTRADOR
sg9kk2fzRMc0	GGEE	AV	SANTIAGO	Hombre	Sí	Sí	Entel	NA	NA	6	PORQUE CONSIDERAMOS QUE SERVICIO QUE TENGO CON LOS COSTOS QUE ESTÁN CANCELANDO SON ÓPTIMOS LOS BENEFICIOS QUE RECIBIMOS VERSUS COSTOS QUE TENEMOS SON ÓPTIMOS ESTÁN BUENOS LOS COSTOS EN ESTA COMPAÑIA	Buenos precios / económicos / barato,Buen servicio / conforme / satisfecho con el servicio,Otorga beneficios	7	7	7	7	Ns/Nr	7	6	7	7	7	Ns/Nr	7	7	Si	Si	Si	Si	Si	No	No	No	7	7	7	7	7	NA	NA	NA	1.Ejecutivo asignado para su empresa	3.Página Web Entel Empresas	3.Página Web Entel Empresas	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	NA	NA	NA	7	NA	7	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Ejecutivo de Atención que atiende sus requerimientos Post-Venta	No	Sí	NA	NA	NA	7	NA	NA	1: Cumple las necesidades que usted tiene como administrador	NO	NA	NA	NA	NA	NA	7	Está Igual	7	1000	SALUD	1 AÑO Y MEDIO	SANTIAGO	PRESIDENTE DE SINDICATO
1HTJDKSbAVM4	PEQUEÑA	Mas	SANTIAGO	Mujer	Sí	Sí	Entel	NA	NA	7	JAMAS HEMOS TENIDO PROBLEMAS HEMOS TENIDO BUENOS PRECIOS NADA QUE QUEJARME	Funciona bien /sin problemas,Buenos precios / económicos / barato	7	7	7	7	7	7	7	7	7	7	6	7	7	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Está Igual	10	7	SERVICIO CONTABLES	5 AÑOS	COLINA CUIDAD SANTIAGO REGION METROPOLITANA	DUEÑA DE EMPRESA
khZpKtnZZH4y	MICRO	Mas	REGIONES	Hombre	Sí	Sí	Entel,Movistar	NA	Entel	6	TENGO MIS TELEFONOS EMPRESA, ES DIFICIL ENTRAR A PAGINAS, ES RESPONSABILIDAD MIA DE NO ENTRAR A LA PAG, PORQUE TENGO QUE ADMINISTRARLO YO	Página Web poco amigable	7	7	7	7	7	7	5	7	7	6	Ns/Nr	7	7	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SI	LA INTERNET, YO MANEJO INTERNET Y LA VERDAD ES QUE NO SE SI ES UN PROBLEMA MIO O EL PLAN, LA SEÑAL SE PIERDE,  VECES ES MUY LENTA	Caída / Pérdida de señal de Internet / conectividad / sin servicio Internet / navegación,Baja velocidad de Internet	NO	NA	NA	7	Está Igual	10	4	TRANSPORTE	10 AÑOS	COPIAPO	DUEÑO
p83FxLPnjy6b	PEQUEÑA	Mas	REGIONES	Hombre	Sí	Sí	Entel	NA	NA	4	POR QUE LA EMPRESA NO BRINDA SOLUCIONES AQUÍ DONDE VIVO AQUÍ LO QUE AHÍ ES UNA SUCURSAL Y DICEN QUE NO TIENE SOLUCIÓN NI GARANTÍA LOS SERVICIOS	Lentitud / ineficiencia en solución de problemas	5	5	5	7	Ns/Nr	5	4	6	6	Ns/Nr	Ns/Nr	4	4	No	No	No	Si	No	No	No	Si	NA	NA	NA	5	NA	NA	NA	4	NA	NA	NA	2.Call center,3.Página Web Entel Empresas,4.En tiendas/ sucursales,5.App Administradores Empresa	NA	NA	NA	2.Call center,3.Página Web Entel Empresas,4.En tiendas/ sucursales,5.App Administradores Empresa	NA	5	5	5	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	6	Ha empeorado	5	7	YO SOY CONTRATISTA EN CONSTRUCCIÓN EN OBRAS CIVIL	20 AÑOS	CAUQUENE SÉPTIMA REGIÓN	DUEÑO
WkzA2uEvLWkJ	GGEE	MV	SANTIAGO	Hombre	Sí	Sí	Entel	NA	NA	7	PORQUE EL SERVICIO ES MUCHISIMO MEJOR QUE OTRAS EMPRESAS EN CUANTO SEÑAL DE LLAMADO, COBERTURA	Buena señal / no hay caídas de la señal / señal nítida,Buen servicio de telefonía,Buena cobertura	7	7	6	Ns/Nr	Ns/Nr	7	7	Ns/Nr	Ns/Nr	Ns/Nr	Ns/Nr	7	6	No	Si	Si	No	No	No	No	No	NA	5	7	NA	NA	NA	NA	NA	NA	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios	Sí	NA	NA	NA	7	NA	NA	NA	1: Cumple las necesidades que usted tiene como administrador	SI	NO NOS LLEGA LA FACTURA, ENTONCES NOS CORTAN EL SERVICIO Y AHI LLAMAMOS ALA EJECUTIVO PARA QUE NOS ACTUALICE CUANTO DEBEMOS Y NOSOTROS PAGAMOS	Facturas no llegan oportunamente,Corte de servicio	SI	Está en trámite	NA	7	Está Igual	8	46	FABRICACION DE PARTES Y PIEZAS DE MADERA PARA LA CONSTRUCCION	2 AÑOS APROX	LA GRANJA, SANTIAGO	DIRECTOR DE ADMINISTRACION Y FINANZAS
wkq1NdycIWdM	MICRO	Mas	REGIONES	Hombre	Sí	Sí	Entel	NA	NA	7	EN EL SECTOR DONDE ESTAMOS EN AREA RURAL CLARO NO TIENE SEÑAL NOS LLEGA BUENA SEÑAL Y BUEN SERVICIO NO HEMOS TENIDO NINGUN PROBLEMA, SOLO LLEGA MOVISTAR Y ENTEL AL SECTOR	Buena señal / no hay caídas de la señal / señal nítida,Buen servicio / conforme / satisfecho con el servicio,Funciona bien /sin problemas	7	7	7	7	Ns/Nr	7	7	7	6	7	6	7	6	No	Si	Si	Si	No	No	No	No	NA	7	7	7	NA	NA	NA	NA	NA	3.Página Web Entel Empresas	3.Página Web Entel Empresas,5.App Administradores Empresa	3.Página Web Entel Empresas	NA	NA	NA	NA	NA	NA	7	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Está Igual	10	3	SERVICIOS DE AGUA POTABLE	2 AÑOS	SAN CARLOS	ADMINISTRADOR
YNGLvaCt9ur9	MICRO	Mas	SANTIAGO	Hombre	Sí	Sí	Entel	NA	NA	7	ASTA EL MOMENTO NO E TENIDO NINGÚN PROBLEMA EL COBRO , Y NO HAY PROBLEMA	Funciona bien /sin problemas,Transparencia / claridad en las cuentas / facturas / exactitud en cobros	7	7	7	7	7	7	4	7	7	4	Ns/Nr	7	7	Si	Si	Si	Si	Si	No	No	No	7	7	7	7	4	NA	NA	NA	4.En tiendas/ sucursales	4.En tiendas/ sucursales	4.En tiendas/ sucursales	4.En tiendas/ sucursales	4.En tiendas/ sucursales	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Está Igual	10	4	CONSTRUCCIÓN	6 MESES	SANTIAGO	EL DUEÑO
rRBRobxGFz8I	PEQUEÑA	AV	SANTIAGO	Hombre	Sí	Sí	Entel	NA	NA	5	PORQ NO LE HAN DADO OFERTAS BUENAS, NO LE HAN ACTUALIZADO LOS PLANES, HE SOLICITADO LA RENOVACION DE EQUIPO DE EQUIPOS Y NO LE HAN DADO RESPUESTA	Pocas / malas ofertas,Malos planes  / planes poco flexibles,No realizan cambio de equipos/ problemas con cambio de equipos	6	5	5	5	5	6	6	6	6	6	4	4	5	No	Si	Si	Si	Si	No	No	Si	NA	5	7	7	7	NA	NA	5	NA	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	NA	NA	1.Ejecutivo asignado para su empresa	7	NA	NA	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios	Sí	NA	NA	NA	6	NA	NA	NA	1: Cumple las necesidades que usted tiene como administrador	SI	FACTURACION	Problemas con la facturación / cobros desfasados / cobros poco claros	SI	SI	6	5	Está Igual	4	6	SINDICAL	5 AÑOS	MAIPU	DIRECTOR
uOxNXW5utKhF	PEQUEÑA	Mas	SANTIAGO	Hombre	Sí	Sí	Entel	NA	NA	6	NO HA TENIDO NUNCA PROBLEMAS	Funciona bien /sin problemas	5	5	4	5	5	6	5	5	6	6	3	6	6	No	No	No	Si	No	No	No	No	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	4.En tiendas/ sucursales	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SI	SEÑAL POR LA ANTENA	Caída de señal /señal / interferencias / corte de llamadas	SI	Está en trámite	NA	7	Está Igual	9	6	SERVICIOS	HACE 10 AÑOS	STGO	DUEÑO
0hoIRaMYwBUw	PEQUEÑA	Mas	REGIONES	Hombre	Sí	Sí	Entel	NA	NA	6	PORQUE EL TEMA DE LAS COBERTURAS Y LAS LLAMADAS SE LE CORTAN MUCHO	Mala / poco cobertura,Mal servicio de telefonía/ se cortan las llamadas	7	7	7	Ns/Nr	Ns/Nr	7	7	7	7	7	7	Ns/Nr	7	Si	Si	Si	Si	No	Si	Si	Si	7	7	7	7	NA	7	5	5	2.Call center,3.Página Web Entel Empresas	3.Página Web Entel Empresas	2.Call center,3.Página Web Entel Empresas	2.Call center	NA	2.Call center	2.Call center	2.Call center	NA	6	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SI	COBERTURA LAS LLAMADAS SE CORTAN	Cobertura,Problemas con servicio de telefonía	SI	NO	NA	6	Ha empeorado	10	6	DISTRIBUCION DE AGUA	HACE 5 AÑOS	SEXTA REGION COMUNA DE PICHIDEGUA	REPRESANTE LEGAL
ejIpwY8Fw4hq	GGEE	AV	SANTIAGO	Hombre	Sí	Sí	Entel	NA	NA	6	PORQUE EL SERVICIO ES BUENO COBERTURA ADMINISTRACION DE LA LINEAS	Buen servicio / conforme / satisfecho con el servicio,Buena cobertura,Buen servicio de telefonía	7	7	6	6	Ns/Nr	7	7	6	6	6	6	6	6	No	Si	Si	No	No	No	Si	No	NA	6	6	NA	NA	NA	6	NA	NA	3.Página Web Entel Empresas,5.App Administradores Empresa	5.App Administradores Empresa	NA	NA	NA	1.Ejecutivo asignado para su empresa	NA	6	NA	6	NA	6	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Ejecutivo de Atención que atiende sus requerimientos Post-Venta	Sí	Sí	NA	NA	6	7	NA	NA	1: Cumple las necesidades que usted tiene como administrador	NO	NA	NA	NA	NA	NA	7	Está Igual	9	0	CORPORACION DE EDUCACION DON LUIS NO INDICA CANTIDAD DE EMPLEADOS	HACE COMO 8 AÑOS	SANTIAGO COMUNA DE MAIPU	JEFE DE TECNOLOGIA
9b9JOsChiFTw	PEQUEÑA	Mas	REGIONES	Hombre	Sí	Sí	Entel	NA	NA	4	DE PARTIDA CUANDO VAS A A PAGAR PROBLEMA DE OFICINA NO HAY SISTEMA CUANDO PAGAS CON CHEQUE SE CAE SISTEMA Y DEBE PAGAR CON EFECTIVO ENTONCES ME EXTRAÑA LLEVO 15 AÑOS EN VES DE MEJORAR SE PERJUDICA LA EMPRESA LA COBERTURA SE CAE REDES NO SE PUEDE HABLAR PROVINCIA CURICO EN LA OFICINA	Lentitud / ineficiencia en solución de problemas,Mala / poco cobertura	4	4	4	5	5	4	3	5	5	6	5	4	4	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SI	DE QUE NO HAY SEÑAL PARA LOS EQUIPOS DENTRO DE NUESTRA AREA DE TRABAJO ES INSOLITO A DOS KILOMENTROS NO PUEDE ENTRAR EL TELÉFONO DE OTRA PERSONA EN CERCA DE COMALLE QUE SE PREOCUPEN VER LO DEL PAGO DE CHEQUE DE REPENTE VEO DEMASIADO PROBLEMA FIDELIDAD MÍA DE 15 AÑO CON LA COMPAÑÍA SE VA A ENFRIAR ME MOLESTA QUE SI NO LLEGO A PAGAR SERVICIO CORTEN A  LOS DOS DÍAS NO A PASADO PERO RIESGO LATENTE AMENAZAN CON ESO	Caída de señal /señal / interferencias / corte de llamadas,Problemas con servicio de telefonía,Problemas con la facturación / cobros desfasados / cobros poco claros,Facturas no llegan oportunamente,No dan facilidades de pago	SI	SI	4	4	Está Igual	0	2	PRODUCTORES DE AGUA POTABLE	15 AÑOS	RAUCO	PRESIDENTE REPRESENTANTE LEGAL
yKgGmLVRk5xL	MICRO	Mas	REGIONES	Hombre	Sí	Sí	Entel	NA	NA	2	PORQUE EL SERVICIO NO SE CUMPLE COMO CORRESPONDE ,LA SEÑAL MUY MALA	Mal servicio / desconforme con el servicio,Mala señal / pérdida de señal / interferencias	4	5	4	6	2	3	3	4	5	5	2	4	6	No	Si	No	No	No	No	Si	Si	NA	6	NA	NA	NA	NA	2	6	NA	4.En tiendas/ sucursales	NA	NA	NA	NA	4.En tiendas/ sucursales	4.En tiendas/ sucursales	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SI	PROBLEMA DE MALA CONECCION Y PROBLEMA DE INTERNET MUY MALA SEÑAL	Caída de señal /señal / interferencias / corte de llamadas,Caída / Pérdida de señal de Internet / conectividad / sin servicio Internet / navegación	SI	NO	NA	5	Ha empeorado	4	3	AGUA POTABLE	COMO 15 AÑOS	LANCAWUA , CUPILLAI BAJO	OPERADOR Y AMINISTRADOR
uilAJuInDSlh	MEDIANA	MV	REGIONES	Mujer	Sí	Sí	Entel,Movistar	NA	Entel	5	POR QUE HEMOS TENIDO MUCHOS PROBLEMAS CON ENTEL DE COBRO POR LOS COBRO POR QUE SE HACE GESTIÓN POR ABARATAR COSTO Y SIGUEN VINIENDO LAS FACTURAS CON EL MISMO VALOR LA EJECUTIVA NO HACE NADA Y ES MUY DIFÍCIL DE UBICAR O CONTACTARSE CON ELLA	Poca transparencia en cuentas / cobros indebidos / problemas de facturación,No responde / no resuelven requerimientos,Mal ejecutivo / mala atención del ejecutivo / Difícil contactar	6	5	5	6	Ns/Nr	7	7	5	6	7	Ns/Nr	7	6	No	No	No	Si	Si	Si	No	No	NA	NA	NA	6	6	7	NA	NA	NA	NA	NA	3.Página Web Entel Empresas	3.Página Web Entel Empresas	4.En tiendas/ sucursales	NA	NA	NA	NA	5	7	NA	Equipo de ejecutivos llamado Círculo de Atención Preferente  que es el *106 desde móvil y 6003600106 desde red fija que atiende sus requerimientos de post-venta	NA	NA	No	NA	NA	NA	NA	NA	1: Cumple las necesidades que usted tiene como administrador	NO	NA	NA	NA	NA	NA	6	Está Igual	6	90	COLEGIO EDUCACION	HACE 4 O 5 AÑOS MAS O MENOS	LINARES	CONTADORA
FC8gpHg7W3Fv	PEQUEÑA	AP	REGIONES	NA	No	Sí	Entel	NA	NA	5	SON SUPER LENTO EN DAR INFORMACION REQUERIDA	No mantiene bien informado / poca claridad en la información	5	5	5	5	Ns/Nr	5	6	5	5	6	Ns/Nr	5	6	No	No	Si	Si	Si	No	No	No	NA	NA	6	6	5	NA	NA	NA	NA	NA	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	NA	NA	NA	6	NA	NA	NA	NA	Ejecutivo de Atención que atiende sus requerimientos Post-Venta	NA	Sí	NA	NA	NA	6	NA	NA	1: Cumple las necesidades que usted tiene como administrador	NO	NA	NA	NA	NA	NA	6	Ha mejorado	6	150	CORPORACION	8 AÑOS	MAIPU	ADMINISTRACION Y FINANZAS
ALn5ztYe3uPO	MICRO	Mas	REGIONES	Hombre	Sí	Sí	Entel	NA	NA	4	POR EL TEMA AVECES LAS COBERTURAS ESTÁN TERRIBLES, EL TEMA LOS SERVICIOS TODO	Mala / poco cobertura	4	4	4	5	6	5	4	5	5	6	Ns/Nr	5	7	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SI	LA SEÑAL NO HYA AVECES	Caída de señal /señal / interferencias / corte de llamadas	SI	NO	NA	4	Ha empeorado	4	2	COMITEW DE AGUA	NO SABRIA DECIRLE POR QUE TENGO POCO TIEMPO AQUI	RENGO 6TA REGION	PRESIDENTE LEGAL
arjBtfCL6Xrk	PEQUEÑA	Mas	REGIONES	Hombre	Sí	Sí	Entel	NA	NA	6	ULTIMAMENTE HA TENIDO PROBLEMAS DE CONEXION DE TELEFONIA	Mal servicio de telefonía/ se cortan las llamadas	7	7	4	Ns/Nr	6	6	6	6	6	6	6	5	7	No	No	No	No	No	No	Si	No	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	3.Página Web Entel Empresas,5.App Administradores Empresa	NA	NA	NA	7	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	6	Ha empeorado	5	7	FABRICACION DE CECINAS	MAS DE 15 AÑOS	TALCA	PROPIETARIO
06LytERJsJ98	GGEE	AV	REGIONES	Hombre	Sí	Sí	Entel,Movistar	NA	Movistar	6	HA BAJADO EL SERVICIO ES MAS LENTO EN LOS REQUERIMIENTOS HACE 3 AÑOS ERAN MAS RAPIDO, DEBE INSISTIR	Lentitud / ineficiencia en solución de problemas	7	6	6	5	5	6	6	6	6	6	5	6	6	Si	Si	No	Si	No	No	Si	No	6	6	NA	7	NA	NA	6	NA	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	NA	1.Ejecutivo asignado para su empresa	NA	NA	1.Ejecutivo asignado para su empresa	NA	6	NA	NA	NA	NA	Ejecutivo de Atención que atiende sus requerimientos Post-Venta	NA	Sí	NA	NA	NA	7	NA	NA	1: Cumple las necesidades que usted tiene como administrador	NO	NA	NA	NA	NA	NA	7	Está Igual	8	120	EDUCACION	12 AÑOS	ANTOFAGASTA	COORDINADOR DE INFRAESTRUCTURA
P5BEjbsmPIBN	MEDIANA	MP	SANTIAGO	Mujer	Sí	Sí	Entel,WOM (no mencionar)	NA	Entel	7	POR LA BUENA SEÑAL QUE TIENE ENTEL VALPARAISO Y COMUNAS DE SANTIAGO TENEMOS EN DIFERENTES COMUNAS SALAS TAMBIÉN BAJARON LOS COSTOS CON RESPECTO A ENTEL	Buena señal / no hay caídas de la señal / señal nítida,Buenos precios / económicos / barato	7	7	7	7	7	7	7	7	7	7	7	7	7	No	Si	Si	No	No	No	No	No	NA	7	7	NA	NA	NA	NA	NA	NA	1.Ejecutivo asignado para su empresa	3.Página Web Entel Empresas	NA	NA	NA	NA	NA	7	NA	4	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Equipo de ejecutivos llamado Círculo de Atención Preferente  que es el *106 desde móvil y 6003600106 desde red fija que atiende sus requerimientos de post-venta	Sí	NA	Sí	NA	7	NA	7	NA	1: Cumple las necesidades que usted tiene como administrador	NO	NA	NA	NA	NA	NA	7	Ha mejorado	7	27	FUNDACIÓN	HACE 3 MESES	PROVIDENCIA	COORDINADORA ADMINISTRATIVA
iYFCUOLpEVPY	PEQUEÑA	Mas	REGIONES	Hombre	Sí	Sí	Entel	NA	NA	6	PORQUE HE TENIDO ALGUNOS PROBLEMAS CON LA SEÑAL QUE SE CAE	Mala señal / pérdida de señal / interferencias	6	7	6	6	Ns/Nr	6	6	5	5	6	6	6	7	No	Si	Si	Si	No	No	No	No	NA	7	5	6	NA	NA	NA	NA	NA	5.App Administradores Empresa	2.Call center,5.App Administradores Empresa	2.Call center,5.App Administradores Empresa	NA	NA	NA	NA	NA	6	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	6	Está Igual	7	4	AGRICOLA	4 AÑOS	LINARES	ADMINISTRADOR Y DUEÑO
pv6X4GjlGcIv	MICRO	MasPrem	REGIONES	Mujer	Sí	Sí	Entel	NA	NA	6	LAS FORMAS DE PAGO HAY QUE HACER MUCHAS FILAS Y NO MANEJO INTERNE	Lentitud en la atención	7	7	7	7	7	7	5	5	6	6	7	7	7	No	No	No	No	No	No	Si	No	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	4.En tiendas/ sucursales	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	5	Está Igual	8	4	TRANSPORTE	15 AÑOS	LOS ANGELES	DUEÑO Y ADMINISTRADOR
ER0HFFNuiyly	MICRO	Mas	REGIONES	Hombre	Sí	Sí	Entel	NA	NA	6	HAY COMPAÑIAS MAS BARATAS	Precios altos / es caro / alzas de precio	5	6	5	5	6	6	6	5	6	6	Ns/Nr	6	6	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SI	SE HA CAIDO LA SEÑAL	Caída de señal /señal / interferencias / corte de llamadas	NO	NA	NA	7	Ha mejorado	9	2	OPTICA	5 AÑOS	LOTA	CARGO ADMINISTRATIVO, VENTA Y COMPRA DE INSUMOS
zKqFHUk1GVwd	MEDIANA	Mas	REGIONES	NA	No	Sí	Entel,Movistar	NA	Entel	7	PORQUE NO HE TENIDO PROBLEMAS CON EL SERVICIO	Funciona bien /sin problemas,Buen servicio / conforme / satisfecho con el servicio	6	6	6	6	Ns/Nr	6	6	5	5	5	Ns/Nr	6	5	No	Si	No	No	No	No	No	No	NA	6	NA	NA	NA	NA	NA	NA	NA	3.Página Web Entel Empresas	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Está Igual	5	5	TRANSPORTE	3	ANTOFAGASTA	ADMINISTRATIVO
ovN5bjouVirg	MICRO	Mas	REGIONES	Mujer	Sí	Sí	Entel,Otros	VTR	Entel	7	PORQUE LAS VECES QUE E RECURRIDO CAMBIAR O BLOQUEAR O PROGRAMAR O INCLUSO LE INFORMAN DE QUE PLAN SE PUEDE CAMBIAR MENOS LA ORIENTACION NO ME PUEDO QUEJAR SATISFACTORIO NO ASI VTR QUE SI PUDIERA CAMBIARME CON VTR LO HARIA POR TIPO DE CONVENIO	Responden / resuelven requerimientos	7	7	7	7	Ns/Nr	7	7	7	7	7	5	7	7	No	No	Si	Si	No	Si	Si	No	NA	NA	7	7	NA	5	7	NA	NA	NA	5.App Administradores Empresa	3.Página Web Entel Empresas	NA	4.En tiendas/ sucursales	4.En tiendas/ sucursales	NA	NA	NA	7	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Ha mejorado	10	2	DISTRIBUIDOR DE PRODUCTOR DENTALES	28 AÑOS	ANTOFAGASTA	GERENTE COMERCIAL
XWnP8mBv0PGf	GGEE	AV	REGIONES	Hombre	Sí	Sí	Entel	NA	NA	5	FALTAN PROMOCIONES OFERTAS EQUIPOS PLANES	Pocas / malas ofertas,No realizan cambio de equipos/ problemas con cambio de equipos,Malos planes  / planes poco flexibles	6	6	6	7	5	6	5	4	6	4	4	5	6	No	Si	Si	No	Si	No	No	No	NA	6	7	NA	4	NA	NA	NA	NA	3.Página Web Entel Empresas,5.App Administradores Empresa	5.App Administradores Empresa	NA	1.Ejecutivo asignado para su empresa	NA	NA	NA	6	NA	5	NA	6	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Ejecutivo de Atención que atiende sus requerimientos Post-Venta	Sí	Sí	NA	NA	6	6	NA	NA	1: Cumple las necesidades que usted tiene como administrador	NO	NA	NA	NA	NA	NA	6	Está Igual	7	50	INGENIERIA	7 AÑOS	MACHALÍ	GERENTE GENERAL
