encriptado	SEG_CORFO	SEG_GOL	Regionx	sex_enc	P3 Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7 = Muy satisfecho, ¿Cuán satisfecho está usted con Entel?	P4 ¿Por qué evalúa con esa nota?	P4_COD	Ciudad_comuna	Cargo
AtjI1Rx76r8O	GGEE	AP	Santiago	Hombre	7	PORQUE TUVIMOS CON LA EXPERIENCIA CON MOVISTAR Y FUE MUY DESAGRADABLE FUE MUY BUENO EL CAMBIO EN ATENCION POSVENTA COBERTURA EN TODO QUE LA RELACION COSTO BENEFICIO FUE BASTANTE BUENA NO ESO SOLAMENTE	Buen servicio de post venta,Buena cobertura,Buenos precios / económicos / barato	PROVIDENCIA	NA
UMGjx80ycWR1	PYME	Mas	Regiones	Hombre	5	PORQUE LA UNICA EMPRESA QUE HAY COBERTURA DE ENTEL LA COBERTURA ES A MEDIAS A VECES HAY BUENA SEÑAL A VECES HAY MALA SEÑAL PERO ES LA UNICA EMPRESA CLARO NI MOVISTAR NI HAY SEÑAL	Mala / poco cobertura,Mala señal / pérdida de señal / interferencias	COMUNA DE LINARES YERBAS BUENAS	DUEÑO
zO0IQ1j72ugp	PYME	MP	Santiago	Hombre	6	PORQUE DE REPENTE NO ES LO SUFICIENTEMENTE ESTABLE EL INTERNET NO NO TANTO	Internet lento / inestable	VITACURA	NA
mWrqj4bWv0w2	MICRO	Mas	Santiago	Hombre	7	PORQUE NUNCA HE TENIDO NINGUN PROBLEMA CON ENTEL NI COBERTURA NI MALOS COBROS	Funciona bien /sin problemas,Buena cobertura,Transparencia / claridad en las cuentas / facturas / exactitud en cobros	LA CISTERNA	NA
muxkUzwd7EST	PYME	AP	Regiones	Mujer	6	PORQUE PARA TODO LO QUE E S EVENTOS  DE CRIS HA TENIDO PROBLEMA TERREMOTO Y CONTINGENCIA NACIONAL LLAMADA Y CONEXION A INTERNET CUANDO SE CONECTA NO TIENE S CONEXION CUANDO VAS AL NORTE ALGUNA MINERA	Mal servicio de telefonía/ se cortan las llamadas,Internet lento / inestable	CONCEPCION	ADMINISTRATIVA
sylmoI9WNMLH	PYME	Mas	Regiones	Mujer	6	TENGO BUENA SEÑAL Y BUEN PLAN PERO PUEDE MEJORAR LA COBERTURA EN ZONAS RURALES NINGUN SECTOR ESPECIFICO	Buena señal / no hay caídas de la señal / señal nítida,Buen plan / plan conveniente,Mala / poco cobertura	VIÑA DEL MAR	ADMINISTRADORA
bgPctrR60hg6	GGEE	AP	Santiago	Hombre	6	PORQUE IGUAL PERDIDAS DE SEÑAL CONTANTE ES UNA BUENA COMPAÑIA PERO TIENE PERDIDAS DE SEÑAL EN ESTOY TRABAJANDO Y TENGO QUE SALIR AFUERA ESTOY EN LA CASA Y TENGO QUE SALIR AL PATIO DENTRO DE LAS OFICINAS Y EN MOVIMIENTO CUANDO VOY EN AUTO NO	Mala señal / pérdida de señal / interferencias,Poca continuidad del servicio  / se corta el servicio,Buena empresa / es la mejor empresa / es mejor que otras	LA PINTANA	NA
OdsDCfiVpqom	GGEE	MV	Santiago	Hombre	6	PORQUE HAY SIEMPRE RETRASOS EN LAS COSAS QUE HACEMOS, SOBRE TODO CUANDO TIENEN QUE ENVIARNOS ALGO	Lentitud / ineficiencia en solución de problemas	LA CRUZ	NA
EGgXwABRkdmA	PYME	Mas	Santiago	Mujer	6	PORQUE PODRÍA SER MEJOR IGUAL A LA CONEXIÓN DE INTERNET PERO ES BUENO ES LA MEJOR QUE HE TENIDO	Faltan cosas por mejorar / no es perfecta,Internet lento / inestable	SANTIAGO, LA FLORIDA	SOCIA
vq9hIRMZFGFF	PYME	Mas	Santiago	Hombre	7	PORQUE YO EVALUO A LA EMPRESA DE ACUERDO A LOS PROBLEMAS QUE ME DE Y EN CUANTO A PRECIO RELACION SERVICIO DE ACUERDO AL MERCADO LA CONTINUIDAD DE SEÑAL 4 G INTERNET ADEMAS CUANDO HE SOLICITADO CAMBIO DE PLAN HA SIDO BASTANTE EFICIENTE	Funciona bien /sin problemas,Buenos precios / económicos / barato,Continuidad del servicio,Buen funcionamiento de Internet / velocidad / estabilidad,Responden / resuelven requerimientos,Problemas con 4G/ mal servicio	PEÑALOLEN	DUEÑO
b0d4TFMIOtZ2	PYME	MV	Regiones	Mujer	7	NO HEMOS TENIDO UN PROBLEMA, ES RAPIDO SIEMPRE	Funciona bien /sin problemas,Buen funcionamiento de Internet / velocidad / estabilidad	CALAMA	ENCARGADA DE ADMINISTRACION Y FINAZAS
cLQQaCklsd6R	MICRO	Mas	Regiones	Mujer	6	PORQUE BUEN SERVICIO TENGO MINUTOS ILIMITADOS POR EL VALOR TENGO UN TELÉFONO ADICIONAL ESO LO ENCUENTRO QUE ESTÁ SUPER BIEN POR LO QUE PAGO ME ENTREGAN BASTANTE	Buenos servicios/ productos,Buen plan / plan conveniente	CHILLÁN	DUEÑA
Nt1mOwoYebSr	PYME	Mas	Santiago	Hombre	7	POR QUE NO TENGO INCONVENIENTE LE FUNCIONA BIEN Y ESTA CONFORME	Funciona bien /sin problemas,Satisface necesidades	PUDAHUEL	NA
EMNUaFQjQaTh	MICRO	Mas	Santiago	Mujer	7	POR QUE NUNCA HE TENIDO PROBLEMAS.	Funciona bien /sin problemas	PROVIDENCIA.	DIRECTORA
XXYdJrMuRNtM	PYME	Mas	Santiago	Hombre	7	DESDE EL MOMENTO UE CONTRATAMOS EL SERVICIO SE NOS HA DADO LAS FACILIDADES	Son flexibles/ dan facilidades	LAS CONDES SANTIAGO	NA
CQ2xYtL5e6rA	PYME	Mas	Santiago	Hombre	5	PORQUE ME FALTA MAS INFORMACION PARA SABER DE MIS PLANES, LA PAGINA NO ES MUY BUENA, ME LLEGAN BIEN LOS CONSUMOS O EL HISTORIAL	No mantiene bien informado / poca claridad en la información,Página Web poco amigable	VITACURA	NA
gJUgFxPTfnYV	MICRO	Mas	Santiago	Mujer	7	PORQUE LO TENGO HACE MUCHOS AÑOS Y TAMBIEN ADEMAS DE EMPRESA TENGO NUMEROS PERSONALES PARA MI FAMILIA NUNCA ME HA FALLADO LA SEÑAL	Es cliente antiguo/ lleva años,Buena señal / no hay caídas de la señal / señal nítida	PUENTE ALTO	NA
AfiUgn1wUqJX	GGEE	AV	Regiones	Hombre	6	PORQUE ME FALTAN TEMAS PUNTUALES	Faltan cosas por mejorar / no es perfecta	CALAMA	NA
ZPjSGiVbQpo0	PYME	Mas	Santiago	Mujer	7	PORQUE TIENE UN BUEN SERVICIO (NAVEGACION, EQUIPOS, ATENCION AL CLIENTE)	Buen servicio / conforme / satisfecho con el servicio,Buen funcionamiento de Internet / velocidad / estabilidad,Buena calidad de equipos / buenos aparatos,Buena atención / amabilidad	SANTIAGO CENTRO	REPRESENTANTE LEGAL Y DUEÑA DE LA EMPRESA
dcvzmzeTqiuI	PYME	Mas	Santiago	Mujer	6	ME DAN UN BUEN SERVICIO, PERO A VECES TIENE ALGUNAS FALTAS	Buenos servicios/ productos,Faltan cosas por mejorar / no es perfecta	SANTIAGO	DIRECTOR DE LOGISTA
dEnkwj6RZvBC	PYME	MV	Santiago	Hombre	6	HEMOS NOTADO QUE EN ALGUNAS OCASIONES NO SON CONTESTADOAS NUESTRA SOLICITUDES EN OCASIONES CAMBIO D EPLANES O ACTUALIZACION DE PLANES	No responde / no resuelven requerimientos,Malos planes  / planes poco flexibles	LAS CONDES	NA
9KZkiV4wHEQj	GGEE	MV	Regiones	Mujer	6	PORQUE A VECES HAY PROBLEMAS DE CONECTIVIDAD NO HA BUENA SEÑAL EN EL SUR	Mala conectividad,Mala señal / pérdida de señal / interferencias	ANTOFAGASTA	NA
2DVXZZzbAn0a	PYME	MP	Santiago	Mujer	7	PORQUE TENEMOS LUCHISMAS LINEAS Y NUNCA TENEMOS PROBLEMAS DE INTERFERENCIAS NI CAIDAS	Funciona bien /sin problemas,Buen servicio de telefonía,Buena conectividad,Continuidad del servicio	LAS CONDES	ENCARGADA DE FINANZAS
coCeGhcz5Mu7	MICRO	Mas	Regiones	Hombre	6	PORQUE HE TENIDO BASTANTE PROBLEMAS DE COBERTURAS ÚLTIMAMENTE EN ESTE ULTIMO TIEMPO LA VERDAD LA UNICA DESCONFORMIDAD LA COBERTURA	Mala / poco cobertura	CHILLAN	DUEÑO
lOPNzxxbopwV	PYME	Mas	Santiago	Hombre	5	UN PAR DE VECES QUE ME LLEGAN OFERTAS TENGO QUE DECIRLE AL EJECUTIVO QUE ME LLEGO UNA OFERTA PORQUE YO ME PUSE EN CONTACTO CON ENTEL SINO NO  ACTUALIZAN EL PLAN POR PARTE INICIATIVA DE ELLOS	Pocas / malas ofertas,Malos planes  / planes poco flexibles	SAN MIGUEL	NA
5rS42kCnONV4	PYME	MV	Santiago	Hombre	7	PORQUE TIENE BUENA SEÑAL Y ESTABILIDAD DE COBERTURA	Buena señal / no hay caídas de la señal / señal nítida,Continuidad del servicio,Buena cobertura	PEÑALOLEN	NA
YkvzMUpeefNS	PYME	Mas	Santiago	Mujer	6	PORQUE A VECES CUESTA COMUNICARSE Y DE REPENTE NO HAY BUENA COBERTURA EN CIERTAS HORAS EN MELIPILLA DENTRO DEL TODO EL DÍA  CASI SIEMPRE ES MALO NO NADA MAS	Mal ejecutivo / mala atención del ejecutivo / Difícil contactar,Mala / poco cobertura	SANTIAGO CENTRO	NA
d6nqbMB3zuPm	PYME	MP	Santiago	Hombre	6	PORQUE ES MAS CARO	Precios altos / es caro / alzas de precio	SANTIAGO	NA
moyueK87VXLo	PYME	Mas	Santiago	Hombre	7	BUEN ACOBERTURA TENGO SEÑAL EN CASI TODOS LOS SITIOS DONDE VOY	Buena cobertura,Buena señal / no hay caídas de la señal / señal nítida	HUECHURABA	NA
PoMc683xtMoj	S/Info	Mas	Santiago	Hombre	5	PORQUE NO SE COMO NOS VAN A TRATAR AHORA CON EL CORONAVIRUS PORQE NOSOTROS NO HEMOS PODIDO TRABAJAR Y TENDRIAMOS CUENTAS PENDIENTES, GENERALMENTE CORTAN EL SERVICIO ESPECIALMENTE LA TELEFONIA	Poca preocupación por el cliente	LAS CONDES	NA
yA60Wv3HHsnV	MICRO	Mas	Regiones	Hombre	6	PORQUE PRESTA LO REQUIRIMIENTOS,NO ES UNT RAMITE LARGO Y AYUDA BASTAANTE	Buenos servicios/ productos,Satisface necesidades	RANCAGUA	NA
p4gx0cdUgXH7	GGEE	AP	Regiones	Mujer	7	NO HE TENIDO PROBLEMAS	Funciona bien /sin problemas	CONCHALI	CONTADORA
nM9FIfTDSORu	MICRO	Mas	Regiones	Hombre	7	PORQUE RECIBO UN BUEN SERVICIO Y NO TENGO PROBLEMAS DE SEÑAL OPTENEMOS BUENOS BENEFICIOS POR LAS CANTIDADES DE LINEAS CONTRATADAS Y CUANOD  UNO TIENE PRPBLEMAS Y LO SOLUCIONAN	Buen servicio / conforme / satisfecho con el servicio,Buena señal / no hay caídas de la señal / señal nítida,Otorga beneficios,Responden / resuelven requerimientos	QUILPUE	GERENTE GENERAL
GnMv9XxLT3bm	PYME	Mas	Santiago	Hombre	5	PORQUE NO ES FÁCIL COMUNICARSE CON LA EMPRESA CUANDO UNO TIENE PROBLEMA YO TENGO UN PROBLEMA CON LA BANDA ANCHA Y NO SE COMO ARREGLARLO NO ME DAN RESPUESTA	Mal ejecutivo / mala atención del ejecutivo / Difícil contactar,No responde / no resuelven requerimientos	PROVIDENCIA	NA
wHCEntiCQ49p	MICRO	Mas	Regiones	Mujer	7	TODOS LO SERVICIO FUNCIONAN BIEN POR EJ INTERNET LA VELOCIDAD ES BUENA NUNC AHE TENIDO PROBLEMA DE SEÑAL TAMPOCO DE COBERTURA HYA OTRAS CIAS QUE TIENE COBERTURA HE ESCUCHADOQUE NO TOMAN	Buenos servicios/ productos,Buen funcionamiento de Internet / velocidad / estabilidad,Buena señal / no hay caídas de la señal / señal nítida,Buena cobertura	CHILE CHICO	NA
RikPNWEeD7nU	PYME	Mas	Santiago	Hombre	7	TENGO BUENA SEÑAL TENGO BUENOS PRECIOS BUENA ATENCION AL CLIENTE 3 COSAS IMPORTAES	Buena señal / no hay caídas de la señal / señal nítida,Buenos precios / económicos / barato,Buena atención / amabilidad	COLINA	DUEÑO
pf4L83qcL181	MICRO	Mas	Santiago	Hombre	6	PORQUE ES BASTANTE BUENO	Buen servicio / conforme / satisfecho con el servicio	SANTIAGO	NA
pcC0lGx5TZro	GGEE	AP	Regiones	Hombre	7	PORQUE NO HE TENIDO PROBLEMAS, ENCUENTRO SOPORTE Y COBERTURA	Funciona bien /sin problemas,Buen soporte / servicio técnico,Buena cobertura	PUERTO MONT	NA
77R9DTwXOe48	PYME	AV	Santiago	Hombre	6	LA EXCELENCIA ES DIFICIL, LO BUENO ES LA ATENCION ES GENIAL Y LOS REQUERIMIENTOS SE ATIENDEN EN UN TIEMPO ADECUADO	Faltan cosas por mejorar / no es perfecta,Buena atención / amabilidad,Rapidez / eficiencia en solución de problemas	LAS CONDES	NA
n6C3tPuM9mRd	PYME	Mas	Santiago	Mujer	5	PORQUE ENTEL TIENE MUY BUENA SEÑAL NO HAY PROBLEMAS NUNCA CON ESO PERO EL PROBLEMA CON ENTEL ES LA POSVENTA PARA IR A CAMBIAR LOS CELULARES ES UNA ODISEA HAY QUE PEDIR HORA HORAS ESPERANDO EL PROCEDIMIENTO CUANDO ESTAS AHI CON EL EJECUTIVO ES ETERNO PARA CAMBIAR CELULAR UNA HORA ADEMAS QUE TAMPOCO TIENEN UN EJECUTIVO X PARA QUE TE ESTE LLAMANDO A LO MEJOR ES MUCHO PEDIR UNO PARA QUE LLAME 50 COMPAÑIAS EN EL MES IMAGINO QUE PODRAN AHCERLO SABE QUE HACER UN SEGUIMIENTO SABE QUE EL PROXIMO MES SE LES VENCE SU CONTRATO CAMBIAR EL CELULAR TAMBIEN LES CONVEINE PORQUE COBRAN	Buena señal / no hay caídas de la señal / señal nítida,Mala post venta /atención,No realizan cambio de equipos/ problemas con cambio de equipos,No llaman / no se mantienen en contacto / no visitan	LAS CONDES	NA
zh8mEdfZ3nIi	PYME	Mas	Regiones	Hombre	4	ALGUNOS HAY SERVICIOS DE INTERNET MUY BAJOS DE INTERNET ES MUY LENTO EN MI CASA EN COFRI EN DONDE YO TRABAJO NO ESO NO MAS	Internet lento / inestable	IQUIQUE	VENDE AUTOS
cKpTBss4X08Z	PYME	Mas	Santiago	Hombre	5	QUE DEREPENTE ES MUY LENTO LA PARTE DE INTERNET Y DE REPENTE SE CORTA LA COMUNICACIONES LOS CELULARES	Internet lento / inestable,Poca continuidad del servicio  / se corta el servicio	SANTIAGO	DIRECTOR
hsPJdjq1Nwyu	MICRO	Mas	Santiago	Mujer	5	PORQUE DE REPENTE NO TENGO BUENA SEÑAL SE CAE NO TIENE A PESAR DE QUE YO TENGO ILIMITADO TODO NO TIENE BUENA SE CAE SE PIXELAN NO ES SIEMPRE PERO ES EN OCASIONES. EN EL SECTOR RADIAL DE CHICUREO NO HAY SEÑAL DE ENTEL.	Mala señal / pérdida de señal / interferencias,Poca continuidad del servicio  / se corta el servicio,Internet lento / inestable	ÑUÑOA	NA
5a0N17o6n83e	PYME	Mas	Santiago	Hombre	6	PORQUE LA PARTE DE POSTVENTA Y ATENCIÓN AL CLIENTE ESTÁN BAJANDO LA CALIDAD DEL SERVICIO LA ATENCION AL CLIENTE TE SOLUCIONABAN LOS PROBLEMAS SUPER RAPIDO AHORA TE DERIVAN SI SE PASAN LA PELOTA Y NO NO	Mala post venta /atención,Mal ejecutivo / mala atención del ejecutivo / Difícil contactar,Lentitud / ineficiencia en solución de problemas	LA FLORIDA	DUEÑO
spyIfRX50eQR	PYME	AP	Santiago	Hombre	5	PORQUE EN ALGUNOS SECTORES NO TIENE DATOS Y COMUNICACION ES DEBIL SIENDO MEJOR QUE TODAS LAS OTRAS EMPRESAS ENTEL ES LA MEJOR PERO PODRIA SER MEJOR PORQUE TRABAJA EN SECTORES REMOTOS Y ES LA UNICA QUE TIENE COBERTURA LAS FALENCIA QUE TIENE ES LOS DATOS SON LENTOS EN EL SECTOR EN EL NORTE MINERA DONDE TRABAJA Y EN EL SUR SE PIERDE LA SEÑAL TRASLADOS EN PUNTO DE FAENAS DONDE NECESITA TENER COMUNICACION AHI SE PIERDE SEÑAL	Mala conectividad,Mal servicio de telefonía/ se cortan las llamadas,Buena empresa / es la mejor empresa / es mejor que otras,Faltan cosas por mejorar / no es perfecta,Buena cobertura,Internet lento / inestable,Mala señal / pérdida de señal / interferencias	SANTIAGO SAN BERNANDO ANTOFAGASTA	NA
9RClYXwDE6Zf	MICRO	Mas	Regiones	Hombre	5	PORQUE ESTOY TRATANDO DE DAR DE BAJA UNA LINEA TELEFONICA Y NO HAY NINGUN PORTAL DISPONIBLE PARA DAR DE BAJA	No responde / no resuelven requerimientos	SAN FERNANDO	NA
nvJbHg9qAHb7	PYME	MV	Regiones	Hombre	5	POR QUE TENEMOS MALA COBERTURA EVENTUALMENTE HA TENIDO MUCHAS CAÍDAS DE SEÑAL ENTONCES NO HA SIDO LO QUE ESTÁBAMOS ESPERANDO, EN PERIFERIA DE NACIMIENTO EN LAS AFUERAS DEL PUEBLO	Mala / poco cobertura,Poca continuidad del servicio  / se corta el servicio,Mala señal / pérdida de señal / interferencias	NACIMEINTO	ADMINISTRADOR
by5uhDA7laBD	PYME	MV	Santiago	Hombre	6	PORQUE NO HE TENIDO CASI NUNCA LOS PROBLEMAS, NO PUEDO EVALUAR CON 7 A UNA EMPRESA QUE IGUAL HA TENIDO PROBLEMAS DE SEÑAL	Funciona bien /sin problemas,Faltan cosas por mejorar / no es perfecta,Mala señal / pérdida de señal / interferencias	SANTIAGO LA GRANJA	NA
urSgAuw4HKkK	PYME	AP	Santiago	Mujer	5	PORQUE TENGO PROBLEMAS DE COMUNICACION CON LA SEÑAL	Mala señal / pérdida de señal / interferencias	EL BOSQUE	NA
2dsGA2Rv9WsT	PYME	Mas	Santiago	Hombre	6	PORQUE ES BUENA Y SIEMPRE SE PUEDE MEJORAR MAS PERSONALIZADO Y SE REFIERAN DIRECTAMENTE A MI Y NO ME MANDEN AL MONTON	Facilidad para contactarlos,Faltan cosas por mejorar / no es perfecta,Atención poco personalizada/ contestan grabadoras/ ejecutivos virtuales	SANTIAGO PROVIDENCIA	NA
BvKXamToCKq3	PYME	Mas	Regiones	Mujer	7	PORQUE ENCUENTRO BIEN EL PRECIO DEL PLAN QUE TENGO	Buenos precios / económicos / barato	PUNTA ARENAS	REPRESENTANTE LEGAL
NQnusGnflPwR	MICRO	Mas	Regiones	Hombre	7	PORQUE YO RECORRO CHILE EN MUCHAS PARTES MOVISTAR NO TINWEN SEÑAL WOM NO TIENEN SEÑAL Y ENTEL ME HA RESULTADO  BIEN	Buena señal / no hay caídas de la señal / señal nítida	PEUMO VI RANCAGUA	ADMINISTRATIVO
OGxNkh6hxpdM	PYME	MP	Santiago	Mujer	6	POR CAIDA DE SERVICIO	Poca continuidad del servicio  / se corta el servicio	PAINE	NA
CqUlBkFbL5cV	MICRO	Mas	Regiones	Hombre	6	PORQUE NO HE TENIDO INTERRUPCIONES EN EL SERVICIO ME LLEGAN LAS CUENTAS ADECUADAMENTE TENGO UNA FACTURACION QUE ME PARECE ADECUADA	Poca continuidad del servicio  / se corta el servicio,Transparencia / claridad en las cuentas / facturas / exactitud en cobros	PUNTA ARENAS	NA
EoQCQA5vzJi2	PYME	Mas	Regiones	Hombre	3	PORQUE ESTOY INSATISFECHO (MALA CONECTIVIDAD, MALA SEÑAL EN LOS LUGARES QUE YO QUIERA)	Mala conectividad,Mala señal / pérdida de señal / interferencias	SAN CLEMENTE	ADMINISTRADOR GENERAL
JyNpUmamutDr	GGEE	MV	Santiago	Hombre	3	PORQUE LA CALIDAD DE SEÑAL Y LLAMADAS ES BAJA, SE CORTAN LAS LLAMADAS EN LAS OFICINAS. NUNCA RESPONDEN LOS REQUERIMIENTOS	Mala señal / pérdida de señal / interferencias,Mal servicio de telefonía/ se cortan las llamadas,No responde / no resuelven requerimientos	PEÑAFLOR VITACURA	NA
COm99b7Nsxkg	MICRO	Mas	Santiago	Hombre	4	PORQUE HAY MUCHAS PARTES DONDE SE CORTAN LAS LLAMADAS DENTRO DE UNA CIUDAD YO ENTIENDO ATRAS DE UN CERRO PERO NO EN UNA CIUDAD EL MAYOR PROBLEMA ES QUE NO HAY SEÑAL DONDE DEBIERA HABER SEÑAL	Funciona mal /ha tenido problemas,Mal servicio de telefonía/ se cortan las llamadas,Mala señal / pérdida de señal / interferencias	LAS CONDES	NA
ArvkZSaG6gD7	PYME	MP	Santiago	Mujer	7	PORQUE ENTRE TODAS LAS COMPAÑÍAS ENCUENTRO QUE TIENE MEJOR SERVICIO AL USUARIO MEJOR CALIDAD DE SERVICIO MAYOR COBERTURA	Buena empresa / es la mejor empresa / es mejor que otras,Buen ejecutivo / buena atención del ejecutivo,Buena cobertura	SAN JOAQUIN SANTIAGO	NA
Nh5WkzfnTApc	PYME	AP	Santiago	Mujer	6	PORQUE GENERALMENTE LA COBERTURA ES BIEN BUENA EN SECTORES RURALES Y TRABAJO EN SECTORES RURALES Y LA COBERTURA Y SEÑAL ANDA BIEN COBERTURA BUENA Y SERVICIO Y POST VENTA MALO	Buena cobertura,Buena señal / no hay caídas de la señal / señal nítida,Mala post venta /atención	PEÑALOLEN	NA
6z6n1WOZk2uN	MICRO	Mas	Santiago	Mujer	5	PORQUE EL PLAN NO ES ECONOMICO	Precios altos / es caro / alzas de precio	LO BARNECHEA	NA
OfQIBuKr2b9p	PYME	MP	Regiones	Hombre	6	POR QUE CREO QUE SON BUENOS	Buen servicio / conforme / satisfecho con el servicio	HUALPEN CONCEPCION	NA
5EJzVGPRRKdR	PYME	MP	Regiones	Mujer	6	HASTA EL MOMENTO NO HE MOS TENIDO PROBLEMAS	Funciona bien /sin problemas	DECIMA REGION	GERENTE COMERCIAL
MXtYJo49CIRm	MICRO	Mas	Regiones	Hombre	6	PROBLEMA DE COBERTURA NO TENGO COBERTURA EN CIERTOS EDIFICIOS ES NATURAL NO ENTRAN LAS LLAMADAS PERO ES GENERALIZADO DELA COMPAÑIAS SERVICIO APLICATIVO	Mala / poco cobertura,Mal servicio de telefonía/ se cortan las llamadas	TEMUCO	NA
GXfYVLS5NTnq	PYME	Mas	Santiago	Hombre	7	PORQUE LA VERDAD ME PRESTA UN UEN SERVICIO ES TRASPARENTE EN SUS COBROS Y NO TENGO PROBLEMAS DE CONECTIVIDAD	Buen servicio / conforme / satisfecho con el servicio,Transparencia / claridad en las cuentas / facturas / exactitud en cobros,Buena conectividad	PEÑALOLEN	NA
k7NeKeAKu3Z8	PYME	Mas	Regiones	Mujer	7	PORQUE HASTA EL MONENTO NO HA TENIDO PROBLEMAS	Funciona bien /sin problemas	ARICA	ADMINISTRATIVA
InWN2wdzFrZ4	GGEE	AP	Santiago	Hombre	6	PORQUE EL PLAN QUE TENEMOS ACTUALMENTE NO DEJA RENOVAR LOS EQUIPOS	Malos planes  / planes poco flexibles,No realizan cambio de equipos/ problemas con cambio de equipos	SAN BERNARDO	NA
rqvdQOHdLQMv	PYME	Mas	Santiago	Hombre	6	PORQUE A VECES SE CAE UN POCO LA SEÑAL	Mala señal / pérdida de señal / interferencias	MAIPU	NA
W43zfGSsp29K	PYME	MV	Santiago	Mujer	6	PORQUE TENGO TODO BIEN PERO DE REPETENTE EN LUGAR X TIENEN MENOS SEÑAL QUE WOM POR EJEMPLO	Buen servicio / conforme / satisfecho con el servicio,Mala señal / pérdida de señal / interferencias	LAS CONDES	NA
pyJ0ZlhFwDIV	PYME	Mas	Regiones	Hombre	7	NUNCA HE TENIDO PROBLEMAS COMO MALA SEÑAL MALOS COBRO SIEMPRE NOS COBRAN BIEN Y NOS CAMBIAN EQUIPO	Funciona bien /sin problemas,Buena señal / no hay caídas de la señal / señal nítida,Transparencia / claridad en las cuentas / facturas / exactitud en cobros,Buena calidad de equipos / buenos aparatos	ANTOFAGASTA	DUEÑO
9hIKGCIIBpkb	PYME	Mas	Santiago	Hombre	7	PORQUE SIEMPRE TENGO SERVICIO NUNCA SE ME HA CAIDO LA SEÑAL TENGO BUEN INTERNET REDES SOCIALES FUNCIONA PERFECTO EL COSTO PASA A SEGUNDO LUGAR CUANDO UNO TIENE ESAS 3 COSAS BIEN SIEMPRE	Continuidad del servicio,Buena señal / no hay caídas de la señal / señal nítida,Buen funcionamiento de Internet / velocidad / estabilidad	SANTIAGO, QUINTA NORMAL	NA
Ptir5VoM1cvd	MICRO	Mas	Regiones	Hombre	6	LA SEÑAL NO ES TAN BUENA COMO LA SEÑAL QUE TENIA CON MOVISTAR SOLO POR ESE CONCEPTO PERO EN GENERAL ESTOY SATISFECHO POR EL TEMA DE LOS COBROS JAMAS HE TENIDO PROBLEMAS QUE ME COBREN DE MAS	Mala señal / pérdida de señal / interferencias,Transparencia / claridad en las cuentas / facturas / exactitud en cobros	VILLA RICA	NA
c00WL3hvTESN	MICRO	Mas	Santiago	Mujer	7	ME GUSTA EL SERVICIO QUE TIENE ENTEL POR LA ATENCIÓN QUE TIENE AL SOLUCIONAR PROBLEMAS VÍA TELEFÓNICA	Buen servicio / conforme / satisfecho con el servicio,Buena atención / amabilidad,Responden / resuelven requerimientos	SANTOIAGO	REPRESENTANTE LEGAL
ESZQWsrYmIdG	PYME	Mas	Santiago	Mujer	7	PORQUE HEMOS TENIDO BUEN FUNCIONAMIENTO, NINGÚN INCONVENIENTE	Buen servicio / conforme / satisfecho con el servicio	LAS CONDES	NA
Qwjpf5cVotJz	PYME	AP	Regiones	Mujer	7	PORQUE HASTA AHORA NO HEMOS TENIDO NINGUN PROBLEMAS CON ELLOS TODO BIE EL TELEFONO TODO BIEN EL INTERNET LOS MINUTOS TODO BIEN NO	Funciona bien /sin problemas,Buen servicio de telefonía,Buen funcionamiento de Internet / velocidad / estabilidad,Buen plan / plan conveniente	LOS LAGOS	NA
ciUMiUMfNnoc	PYME	Mas	Santiago	Hombre	6	NO EXISTE SERVIOC PERFECTO HAY CIERTO SLUGRES QUE NO HAY SEÑAL CON ENTEL PERO CON ENTEL PERO CON CALRO SI HACE UN M,E SATRAS ANDUVIMOS EN EL SUR	Faltan cosas por mejorar / no es perfecta,Mala señal / pérdida de señal / interferencias	SAN BERNARDO	NA
ZwBSXH3XmRrc	PYME	MV	Santiago	Hombre	6	PORQUE SIEMPRE HAY ALGUNA DIFICULTAD, AVECES CONECCIONES ESTE PROBLEMAS PARA TENER BUENA CAPTACION A PESAR DE QUE ENTEL ES UNA DE LAS MEJORES	Mala conectividad,Buena empresa / es la mejor empresa / es mejor que otras	PROVIDENCIA	NA
xpu9Q5PnRgU3	PYME	Mas	Regiones	Mujer	7	NO HEMOS TENIDO NINGUN PROBLEMA DE CONECTIVIDAD NI DE SEÑAL, PORQUE A VECES SE IBA LA SEÑAL CON OTRAS TENIAMOS PROBLEMA CON CON OTRA COMPAÑIAS  CUANDO  LLAMABAMOS	Buena conectividad,Buena señal / no hay caídas de la señal / señal nítida,Buena empresa / es la mejor empresa / es mejor que otras	SAN FERNANDO	NA
hOqzskRT9ReG	MICRO	Mas	Santiago	Hombre	5	DE REPENTE HAY PROBLEMAS CON LA LINEA Y NO TIENE COBERTURA EN CIERTOS LADOS EN CIERTAS PARTES YO VIAJO Y EN CIERTAS PARTES DE REPENTE EN GENERALMENTE EN EL SUR NO TENGO COBERTURA NO EN ESTE MOMENTO NO ME ACUERDO EN REALIDAD	Mal servicio de telefonía/ se cortan las llamadas,Mala / poco cobertura	CERRO NAVIA	NA
