encriptado	SEG_CORFO	SEG_GOL	Regionx	sex_enc	P3 Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7 = Muy satisfecho, ¿Cuán satisfecho está usted con Entel?	P4 ¿Por qué evalúa con esa nota?	P4_COD	Rubro	Ciudad_comuna	Cargo
FkxSG4AFWKD4	GGEE	AP	SANTIAGO	Hombre	7	PORQUE NO HA TENIDO PROBLEMAS DESTACA RAPIDEZ	Funciona bien /sin problemas,Buena conectividad	CONSTRUCCION	SANTIAGO CENTRO	JEFE ADQUISICION
EZd4R5baWdb4	MEDIANA	Mas	REGIONES	Hombre	7	PORQUE HE PASAO POR TODAS LAS OTRAS EMPRESA Y CADA VEZ QUE UNA HA QUERIDO UNA SOLUCION Y QUE CORRIJAN ALGO SIEMPRE HE TENIDO PROBLEMA Y CON ENTEL NUNCA HEMOS TENIDO PROBLEMA TODO HA SIDO SOLUCIONADO CORRECTAMENTE SI HAY DIFERENCIAS DE PAGO SI HAY CORTE SI HAY CAIDA DE SEÑA O LOS EQUIPOS SI HAY ALGO QUE NO FUNCIONA INMEDIATAMENTE ESTA LA SOLUCION CON ESTA EMPRESA NUNCA HEMOS TENIDO PROBLEMA DE SEÑAL SISTEMAS CPNENTEL CON OTRAS EMPRESA ERAN MAS FRECUENTES LOS PROBLEMAS	Responden / resuelven requerimientos,Buena señal / no hay caídas de la señal / señal nítida	DISTRIBUIDORA DE FRUTAS VERDURAS	PUERTOI VARAS	DUEÑOS
0LWhnITa9J8k	MEDIANA	Mas	REGIONES	Hombre	5	PORQUE CADA VEZ QUE UNO PIDE ALGUNA SUGERENCIA OP QUE LE MEJOREN LOS PLANES, SIEMPRE HAY PROBLEMAS, QUE SE LO VAN A ENTREGAR A UNA PERSONA, LUEGO A OTRA, ETC. HACE POCO PEDI REVISAR UNOS PLANES  ANTIGUOS RESPECTOA  LOS PLANES NUEVOS Y ME DIJERON QUE ME DERIVARIAN A UNA EJECUTIVA. ESTO NUNCA FUE. CAMBIO DE TELEFONO PIDIERON 1.8 AÑOS...SIEMPRE COMIENZA LA BUROCRACIA	Problemas para realizar cambio de plan,Tramitan / Burocracia	MANTENCION DE TELECOMUNICACIONES	OFICINA CENTRAL EN COQUIMBO Y SUCURSAL EN MINERA PELAMBRES	DUEÑO Y ADMINISTRADOR
iAhfXD8TDJeH	GGEE	AV	REGIONES	Mujer	4	DOS MESES Y NO HE TENIDO BUENAS RESPUESTAS MIGRACION DE LINEA TENGO EN TRANSITO	Lentitud / ineficiencia en solución de problemas	SERVICIOS DE PAPELERIA DE OFICINA	TEMUCO 9NA REGION	ASISTENTE DE OPERACIONES Y LOGISTICA
1h8mPI44CEau	PEQUEÑA	Mas	REGIONES	Mujer	4	POR LOS SERVICIO NUNCA APARECEN LOS TRÁFICOS Y CONSUMO NUNCA ESTÁN DISPONIBLE	No mantiene bien informado / poca claridad en la información	CONSTRUCION	LAMPA	ANALISTA AMINISTRATIVA
BZXk3fAeuTZk	MEDIANA	Mas	SANTIAGO	Hombre	5	POR LA MALA COBERTURA QUE TIENE EN ALGUNOS LUGARES, EN SU CASA POR EJEMPLO POR SANTIAGO Y MUCHOS LUGARES	Mala / poco cobertura	INVERSIONES	LAS CONDES	SOCIO
R5ugXhV7Wymq	PEQUEÑA	Mas	REGIONES	Hombre	5	PORQUE HAY COSAS DE REPENTE LA SEÑAL DE REPENTE EL INTERNET ES QUE UNO NO SABE COMO MANEJA LOS GIGAS A VECES NO TIENEN INTERNET EN LA CUARTA REGION OVALLE A VECES ES RAPIDO Y OTRAS VECES ES LENTO NO SE A QUE SE DEBE UNO NO CONOCE PORQUE  ESAS COSAS NO SON CLAROS COBRO DE MAS  EL CLIENTE MAS ANTIGUO NO ES TANTA LA PREFERENCIA QUE TIENE PORQUE DE REPENTE ES MAS LA PREFERENCIA A UN PUBLICO GENERAL QUE AL QUE TIENE AÑOS A LAS OFERTAS QUE HACEN UNO DE REPENTE NO SE DA CUENTA DE LAS OFERTAS QUE HAY UNO COMO CLIENTE ANTIGUO ESTA PAGANDO 20 MIL POR UN PLAN Y HAY GENTE NUEVA QUE ESTA APROCECHANDO UNA OFERTA DE 15 MIL PORQUE UNO NO CONOCE ESTAS OFERTAS DEBERIAN SERT PARA UN CLIENTE ANTIGUIO Y NO PARA UN CLIENTE NUEVO QUE ESTA CAMBIANDOSE A CADA RATO	Mala señal / pérdida de señal / interferencias,Internet lento / inestable,Problemas con 4G/ mal servicio,Poca transparencia en cuentas / cobros indebidos / problemas de facturación,Pocos beneficios para clientes antiguos,Pocas / malas ofertas	TRASPORTE Y MOVIMIENTO DE TIERRA	OVALLE	ADMINISTRADOR GENERAL
7sEeszgfc1Tk	MICRO	Mas	REGIONES	Hombre	5	PORQUE LLEVO POR LO MENOS 15 AÑOS CON ELLOS Y EN 15 AÑOS UNA SOLA VEZ ME LLAMARON PARA DECIRME QUE ME IBA A LLEGAR UN REGALO Y EL REGALO NUNCA LLEGO MALA POST VENTA MALA FIDELIZACION DEL CLIENTE Y SON POCO FLEXIBLES	Pocos beneficios para clientes antiguos,No llaman / no se mantienen en contacto / no visitan,No cumplen con lo que ofrecen,Poca preocupación por el cliente	SERVICIOS DE INTERNET	LA SERENA	ADMINISTRADOR GENERAL
bn2LyoBHyj4v	MEDIANA	AV	REGIONES	Hombre	4	MUY MAL SERVCIO ,  EN ATENCION COMERCIAL EN CALIDAD NO , EN LOS SERVCIOS NO HAY PROBLEMAS.	Mal servicio Call center/ Cuesta contactarlos / Call center no atiende,Buen servicio / conforme / satisfecho con el servicio	INGENIERA Y SERVICIOS	ANTOFOGASTA	GERENTE GENERAL
cdvm3mu56hei	MEDIANA	Mas	SANTIAGO	NA	6	ES BUENO. LA SEÑAL ES BUENO LA ATENCIÓN EN SU LOCAL ES BUENA.	Buena señal / no hay caídas de la señal / señal nítida,Buena atención / amabilidad	CONSTRUCCIÓN	SANTIAGO	DUEÑO
fJ9gnnIytr0m	MICRO	Mas	SANTIAGO	Hombre	5	PORQUE LA CAIDA DE LA SEÑAL Y DA LA IMPRESION DE LA COBERTURA NO ES BUENA	Mala señal / pérdida de señal / interferencias,Mala / poco cobertura	INGENIERIA ELECTRICA	VIÑA DEL MAR Y SANTIAGO	GERENTE GENERAL
1eoxvtlPlbWL	MEDIANA	MP	SANTIAGO	Mujer	7	PORQUE TODO ESTA PERFECTO TIENE BUENA COBERTURA LOS PRECIOS ESTAN BIEN EN TODOS LADOS ESTAN BIEN DEL MERCADO NO SON CAROS	Buen servicio / conforme / satisfecho con el servicio,Buena cobertura,Buenos precios / económicos / barato	TEXTIL	SANTIAGO	GERENTE DE PRODUCCION
UebPPidQjwyW	PEQUEÑA	Mas	SANTIAGO	Hombre	7	POR QUE A PESAR DE LAS DIFICULTADES DEL EQUIPO POR PROBLEMAS TÉCNICO HAN SABIDO RESPONDER DE BUENA MANERA.	Responden / resuelven requerimientos	VENTAS DE PRODUCTOS MINEROS	LA CISTERNA	VENDEDOR
RWtWxAwFyCQP	MICRO	Mas	SANTIAGO	Mujer	7	PORQUE NO HA TENIDO NUNCA PROBLEMAS	Funciona bien /sin problemas	PUBLICIDAD	EN RENCA	EJECUTIVA DE VENTAS
oF5lfKwYBUpW	MEDIANA	AP	REGIONES	NA	6	PORQUE NUNCA HE TENIDO PROBLEMAS Y PORQUE TAMPOCO HE TENIDO SITUACIONES DONDE PUEDA USAR LA INCOFORMIDAD	Funciona bien /sin problemas,Buen servicio / conforme / satisfecho con el servicio	GASTRONOMIA	CONCEPCION	REPRESENTANTE LEGAL
ArEyDa88y1Q2	MICRO	Mas	SANTIAGO	Hombre	6	PORQUE SIEMPRE UNO QUIERE ALGO MAS, ALGO MEJOR EN CUANTO A TYARIFA POR EJEMPLO	Faltan cosas por mejorar / no es perfecta,Precios altos / es caro / alzas de precio	CONSULTORIA	LA FLORIDA, SANTIAGO	DUEÑO
Rid9cUs4yGSc	PEQUEÑA	Mas	REGIONES	Mujer	5	PORQUE ÚLTIMAMENTE EL SERVICIO HA ESTADO MUY MALO EL TEMA DE COBERTURA DE SEÑAL HORRIBLE A VECES MI TELÉFONO NO TIENE SEÑAL ME LLEGAN LOS MENSAJES DESPUÉS EL TEMA DEL INTERNET NO EL TEMA ES NADA MAS DE COBERTURA ESE TEMA PORQUE LO DEMÁS NO DIGAMOS QUE NO HE NECESITADO COMUNICARE CON UN OPERADOR NO PODRÍA CALIFICAR AHÍ	Mala / poco cobertura,Mala señal / pérdida de señal / interferencias,Mal servicio de telefonía/ se cortan las llamadas,Problemas con la comunicación	TRANSPORTE PRESTACIÓN DE SERVICIOS	LA CIUDAD ES CURICÓ Y LA COMUNA DE RAUCO	DUEÑA
mgmSVpI9y2Zr	MEDIANA	MP	REGIONES	NA	6	PORQUE ESTOY SATIFECHO CON EL SERVICO PERO NO PARA SER PERFECTO TENER MEJORAR LA SEÑAL EN LA ZONA	Buen servicio / conforme / satisfecho con el servicio,Faltan cosas por mejorar / no es perfecta,Mala señal / pérdida de señal / interferencias	INGENIERIA	CHILLAN VIEJO	DUEÑA
Fic8puPN2x1D	MEDIANA	MasPrem	SANTIAGO	Mujer	6	ME GUSTARIA QUE ME OFRECIERAN MAS TEMAS DE PRODUCTOS CON EQUIPOS MAS O MENOS EL SERVICIO ESTA BIEN PERO PODRÍA SER MA.	Pocas / malas ofertas,Buen servicio / conforme / satisfecho con el servicio	CAPACITACION	LA FLORIDA	JEFA DE ADMINISTRACION
aYxiAKp7PGOi	GGEE	AV	REGIONES	Hombre	6	PORQUE ES UN BUEN SERVION EN GENERAL PERO NO ESPERFECTO YA QUE A VECES NO DAN RESPUESTAS OPORTUNAS Y NO SE ENCUENTRAN	Buen servicio / conforme / satisfecho con el servicio,Faltan cosas por mejorar / no es perfecta,No responde / no resuelven requerimientos	DISTRIBUIDORA DE ALIMENTOS ANIMALES Y PERSONAS	EN PUNTA ARENAS	JEFE DE OPERACIONES
NYuJJJDOTuBJ	MEDIANA	MP	SANTIAGO	Hombre	6	ESTOY SATISFECHO CON EL SERVICIO CON ENTEL, FUERA DE ESO EL SERVICIO ES BUENO LA CALIDAD DE SEÑAL Y ESTABILIDAD CANTIDAD DE MINUTOS PARA LA CUENTA EMPRESA COMO PARA NAVEGAR.	Buen servicio / conforme / satisfecho con el servicio,Buena señal / no hay caídas de la señal / señal nítida,Continuidad del servicio,Buen plan / plan conveniente	EDUCACION ESCOLAR	PUENTE ALTO	REPRESENTANTE LEGAL
5RrLCMoz12bi	MEDIANA	Mas	SANTIAGO	Mujer	3	POR QUE LA CONECTIVIDAD ES MALA EN EL SECTOR DONDE ESTOY	Mala conectividad	CONSTRUCCION	SAN JOSE DE MAIPO	REPRESENTANTE LEGAL
qQOaCbvfvAD7	PEQUEÑA	MV	REGIONES	Hombre	5	PORQUE TIENE MUY CAROS LOS EQUIPOS EL SERVICIO ES BUENO LA PARTE DE EQUIPOS ESTA FALLANDO CREO YO	Equipos caros,Buen servicio / conforme / satisfecho con el servicio,Equipos de mala calidad / básicos	ARRIENDO DE MAQUINARIA	TEMUCO	GERENTE DE OPERACIONES
mMtcwJdDC4lu	MEDIANA	MV	REGIONES	Mujer	6	POR TARIFA, PODRIA CONSEGUIR PLANES MAS BARATOS.	Precios altos / es caro / alzas de precio	DISTRIBUCION DE PRODUCTOS AGRICOLAS	PUDAHUEL	ENCARGADAD DE ADMINISTRACION Y FINANZAS
dVr4WXCcfkSg	MEDIANA	MP	SANTIAGO	Hombre	5	PORQUE PRINCIPALMENTE NO AVISAN CUANDO VAN A CORTAR EL SERVICIO EL CELULAR	No mantiene bien informado / poca claridad en la información	METAL MECANICO	LO ESPEJO	DUEÑO
jM9b0lspUDAj	MEDIANA	MP	REGIONES	NA	6	PORQUE NO ES TAN BUENO. EN PRIMER LUGAR LA EJECUTIVA NO LLAMA . Y EN COBERTURA NO ANDA MAL , Y SI HA BIEN , LA COMUNICACIÓN ES BUENA.	No llaman / no se mantienen en contacto / no visitan,Buena cobertura,Buen servicio de telefonía	CONSTRUCTORA	CONCEPCION	JEFE DE ADMINISTRATIVO
6QFk8hWIxezn	PEQUEÑA	Mas	REGIONES	Hombre	7	ES MUY BUENA LA EMPRESA EN LA ATENCION TARIGA COBERTURA CALIDAD	Empresa de prestigio / buena imagen,Buena atención / amabilidad,Buenos precios / económicos / barato,Buena cobertura,Buen servicio / conforme / satisfecho con el servicio	PRODUCCION	VIÑA DEL MAR	GERENTE
zGEyWLvm6CcY	MEDIANA	MV	SANTIAGO	Hombre	5	MAS O MENOS SATISFECHO Y NO ES PERFECTO POR ESO NO LE DARIA  UN 7.	Faltan cosas por mejorar / no es perfecta	CONSTRUCCIONES	LAS CONDES	GERENTE DE ADMISNISTRACION Y FINANZAS.
OZZ3yuOkdjAw	MICRO	Mas	SANTIAGO	Hombre	6	NO TENGO PROBLEMAS CON EL SERVICIO QUE ME BRINDAN ES MUY POCO LO QUE USO	Buen servicio / conforme / satisfecho con el servicio	ARRIENDO DE MAQUINARIA	SANTIAGO	DUEÑO
feLej4rdY3Fi	MEDIANA	Mas	SANTIAGO	Mujer	7	SIEMPRE TENEMOS CONECTIVIDAD Y NO HEMSO TENIDO PROBLEMAS CON LOS SERVICIOS	Continuidad del servicio,Buena conectividad,Buen servicio / conforme / satisfecho con el servicio	VENTA DE PRODUCTOS PAR AL MINERIA	SANTIAGO / LO BARNECHEA	ADMINISTRATIVA
cKfu98Qd4hKe	MICRO	Mas	SANTIAGO	Hombre	6	A VECES SE PIERDE SEÑAL EN ALGUNAS PARTES,	Mala señal / pérdida de señal / interferencias	TRANSPORTES.	SANTIAGO.	GERENTE
waXfq7339hZu	PEQUEÑA	Mas	SANTIAGO	Mujer	6	FUNCIONA TODO MAS O MENOS BIEN AVECES LA SEÑAL NO FUNCIONA BIEN	Mala señal / pérdida de señal / interferencias	CONSTRUCCION	INDEPENDENCIA	ENCARGADA RECURSOS HUMANOS Y REPRESENTANTE LEGAL
rwLYE5JuAc23	PEQUEÑA	MasPrem	SANTIAGO	NA	6	PORQUE NO SE PREOCUPAN DE INFORMAR A LOS DUEÑOS DE LOS CAMBIOS DE PLANES A VECES O PARA REBAJAR EL PLAN PERO CUANDO UNO VA PARA ALLA ELLOS SI TE AVISAN SI AUMENTAMOS LOS GIGAS O BAJAS EL PRECIO GENERALMENTE NO LLAMAN PARA OFRECERLOS ES CUANDO UNO VA Y ES QUE ELLOS AVISAN QUE SI HAY UN CAMBIO Y ES MAS CARO QUE WOM POR EJEMPLO PERO ES BUENO	Poca preocupación por el cliente,No mantiene bien informado / poca claridad en la información,Precios altos / es caro / alzas de precio	SERVICIOS MEDICOS	COLINA	MEDICO
KVghw5dJU6XB	PEQUEÑA	MasPrem	SANTIAGO	Hombre	6	POR QUE HAY POCA RETROALIMENTACION DE INFIORMACION	No mantiene bien informado / poca claridad en la información	MAESTRANZA	INDEPENDENCIA	DUEÑO
370tdGvNQXid	MICRO	Mas	REGIONES	Hombre	6	PORQUE CREO QUE TIENE BUENA COBERTURA Y BUEN SERVICIO	Buena cobertura,Buen servicio / conforme / satisfecho con el servicio	SERVICIO ASESORÍAS CONTABLES Y TRIBUTARIAS	WAICHURABA	GERENTE GENERAL
DbEuLM6AfkWh	GGEE	AV	SANTIAGO	Hombre	6	PORQUE EL PRECIO SIEMPRE PUEDE SER MEJOR	Precios altos / es caro / alzas de precio	SERVICIOS FINANCIEROS	SANTIAGO	GERENTE
Yy5p3hahzpi9	PEQUEÑA	MasPrem	SANTIAGO	Hombre	6	PORQUE ES MAS CARO EL PRODUCTO NADA MAS	Precios altos / es caro / alzas de precio	AUTOMOTRIZ	LA REINA	DUEÑO
6EUfkrklJzDu	MICRO	Mas	REGIONES	NA	6	POR ALGUNOS PROBLEMAS DE SEÑAL INTERNET EN LA ZONA DONDE VIVE	Internet lento / inestable	CONSTRUCCION	VALDIVIA	CONSTRUCTOR RESIDENTE DE OBRA
rXGDUtnJOXgJ	PEQUEÑA	Mas	SANTIAGO	Hombre	6	PORQUE NUNCA EVALÚA TODO AL MÁXIMO NADIE HACE TODO AL MAXIMO NO SON CLAROS PONEN UNOS PRECIOS A LOS EQUIPOS Y CUANDO UNO VE YA NO EXISTE PUBLICIDAD ENGAÑOSA CON EQUIPOS 0 COSTO AUNQUE LO HACEN TODOS NO SOLO ENTEL	Faltan cosas por mejorar / no es perfecta,Poca transparencia en cuentas / cobros indebidos / problemas de facturación	EVENTOS Y COMERCIALIZACION	SANTIAGO MAIPU	DUEÑO Y GERENTE GENERAL
53odf8B6vjzP	MICRO	Mas	REGIONES	Hombre	5	PORQUE NO ES DE EXCELENCIA LA ATENCION Y LOS LLAMDOS SE CORTAN	Mal ejecutivo / mala atención del ejecutivo / Difícil contactar,Mal servicio de telefonía/ se cortan las llamadas	TURISMO	PUERTO MONT	REPRESENTANTE
wOJX8q0T9NJG	PEQUEÑA	Mas	REGIONES	Hombre	7	POR LA CALIDAD DE ATENCION AL CLIENTE RESPUESTA A SOLICITUDES Y CALIDAD DEL SERVICIO	Buena atención / amabilidad,Responden / resuelven requerimientos,Buen servicio / conforme / satisfecho con el servicio	SERVICIOS DE ASESORIAS Y CAPACITACIÓN	COQUIMBO	ASESOR COMERCIAL
Y1ygWEmjNAUx	PEQUEÑA	Mas	SANTIAGO	Hombre	6	PORQUE SIEMPRE TIENE FALLAS O DETALLES CON LAS LLAMADAS OCASIONALMENTE	Problemas con la comunicación,Mal servicio de telefonía/ se cortan las llamadas	CENTRO MEDICO	SANTIAGO	GERENTE
xLrkzrzBr9MG	MICRO	Mas	REGIONES	Mujer	7	BUENA COBERTURA, NUNCA HE TENIDO PROBLEMA CON LAS FACTURAS NI NADA TODO CLARO	Buena cobertura,Transparencia / claridad en las cuentas / facturas / exactitud en cobros	SERVICIOS DE SALUD	MACHALI	ADMINISTRATIVA
5SGM5pX3ZsxQ	PEQUEÑA	MP	SANTIAGO	NA	7	NUNCA HE TENIDO PROBLEMA CON LA SEÑAL POR DONDE YO ESTOY TENGO SEÑAL LO QUE ES INTERNET Y ESO JAMAS HE PROBLEMAS	Buena señal / no hay caídas de la señal / señal nítida,Buen funcionamiento de Internet / velocidad / estabilidad	CONTRATISTA MANTENCION	PTE ALTO	REC HUMANOS
8WYpNmCiFiri	PEQUEÑA	Mas	SANTIAGO	Hombre	6	POR QUE NO HAY COBERTURA EN TODOS LADOS, BÁSICAMENTE POR EL TEMA DE LA COBERTURA COMO VIAJO MUCHO POR CHILE Y ME PASA QUE EN ALGUNAS SECTORES NO HAY COBERTURA O ES BAJA.	Mala / poco cobertura	ESTUDIOS CIENTIFICOS, ASESORIAS PROFESIONALES, EXPOSICIONES	SANTIAGO, COLINA	GERENTE
8sFOeoZKyY1k	MEDIANA	MV	REGIONES	Hombre	5	POR PROBLEMAS DE COBERTURA DIARIAMENTE NO ENTRABAN LAS LLAMADAS HACE UN MES QUE ESTAMOS TENIENDO HACE UNA SEMANA SE REGULARIZO EL TEMA	Mala / poco cobertura,Mal servicio de telefonía/ se cortan las llamadas	TRANSPORTE ZARZAR	CHILLAN VIEJO	ADMINISTRACION
QIDahz0duhLu	PEQUEÑA	Mas	SANTIAGO	Hombre	6	PORQUE NO SE MERECEN UN SIETE NI UN CINCO QUE EL SERVICIO ES BUENO PERO NO EXCELENTE NI TAMPOCO TAN MALO BUENO ESCALA DE 1 A 7 NOTA SEIS DAN LO QUE UNO PIDE CONEXIÓN VOZ CONEXIÓN INTERNET TRANSMISIÓN DE VOZ Y DATOS INTERNET CELULAR QUE TRATAN MEJOR A LOS CLIENTES QUE SE CAMBIAN DE PLAN A LAS PERSONAS FIELES QUE HAN ESTADO MUCHO TIEMPO CON SUS SERVICIOS SIGNIFICA QUE TIENEN OFERTAS COMERCIALES SOLAMENTE QUE SE CAMBIAN DE OTRAS COMPAÑÍAS PORTABILIDAD DE COMPAÑÍAS PERO ESOS MISMOS PLANES NO SE LOS DAN A QUIENES SON TITULARES DE LA EMPRESA	Faltan cosas por mejorar / no es perfecta,Buen servicio / conforme / satisfecho con el servicio,Pocos beneficios para clientes antiguos	VENTAS Y SERVICIOS	ÑUÑOA	ASESOR TÉCNICO
645b5NA7UF2U	MEDIANA	AP	REGIONES	Hombre	7	SIEMPRE AH SIDO BUENO SIEMPRE LLEGA A TODAS LAS FANEAS MINERA MEJOR ALCANCE	Buen servicio / conforme / satisfecho con el servicio,Buena cobertura	SERVICIO A LA MINERIA	LA SERENA	GERENTE GENERAL
mgEfsa4JFief	PEQUEÑA	Mas	SANTIAGO	Mujer	6	NO HEMOS TENIDO GRANDES PROBLEMAS DE REPENTE CUANDO ESTAMOS EN CAMPO HAY POCA SEÑAL DEL RESTO NO HEMOS TENIDO PROBLEMAS EN LOS ÁNGELES POR LOS CAMPOS NO HAY SEÑAL	Funciona bien /sin problemas,Mala señal / pérdida de señal / interferencias	EFICIENCIA ENERGÉTICA	SANTIAGO, PROVIDENCIA	ADMINISTRATIVO
vLscY9YgacEH	MEDIANA	Mas	SANTIAGO	Mujer	7	POR QUE NO HAY PROBLEMA SIEMPRE ESTOY EN LINEA CON EL EJECUTIVO LA ACTIVACIÓN DE ROOMING ES FÁCIL Y TIENE COBERTURA	Funciona bien /sin problemas,Apoyan / ayudan,Buena cobertura	LABORATORIO	SANTIAGO COLINA	ASISTENTE DE GERENCIA
g8nFhzCaSWYT	PEQUEÑA	MP	SANTIAGO	Hombre	6	PORQUE A VECES SE QUEDAN SIN SEÑAL IGUAL, PERO NO GENERALMENTE EN ALGUNOS TRAMOS	Mala señal / pérdida de señal / interferencias	MARMOLES Y GRANITOS	COLINA	DUEÑO
bJEoP8xmzD5j	PEQUEÑA	Mas	REGIONES	Hombre	5	POR QUE CUANDO UNO VA A LA OFICINA LA DEMORA ES BASTANTE LARGA, NO TIENE MAS RAZONES	Lentitud / ineficiencia en solución de problemas	CONSTRUCTORA	ANTOFAGASTA	GERENTE
N5gbSolovb4a	MICRO	Mas	REGIONES	Hombre	7	PORQUE RÁPIDAMENTE RESUELVEN LOS REQUERIMIENTOS LAS SEÑAL ES BUENA DONDE ESTOY SIEMPRE TENGO SEÑAL POCAS OCASIONES SE HA CAÍDO ES BUENA	Rapidez / eficiencia en solución de problemas,Buena señal / no hay caídas de la señal / señal nítida	SERVICIO MÉDICO	TALCA	ADMINISTRADOR DE EMPRESA
8LzoFuH1fFB3	GGEE	AP	SANTIAGO	Mujer	7	NO HEMOS PROBLEMAS CON ENTEL	Funciona bien /sin problemas	MINERO	SANTIAGO	ASISTENTE ADMINISTRATIVA
G0ScidJJU7oL	MEDIANA	MV	SANTIAGO	Hombre	7	CALIDAD DE SERVICIO BUENA COMUNICACIÓN TELEFÓNICA	Buen servicio / conforme / satisfecho con el servicio,Buen servicio de telefonía	CENTRO DE CAPACITACIÓN	CERRILLOS	GERENTE GENERAL
HxYBWuwwasyh	MICRO	Mas	SANTIAGO	Hombre	5	PORQUE HE TENIDO MUY SEÑAL CON TODOS LOS MOBILES POR LO GENERAL HACIA EL SECTOR SUR DE SANTIAGO EN PUENTE ALTO EN TODO HORARIO	Mala señal / pérdida de señal / interferencias	ASESORIA	SANTIAGO	GERENTE GENERAL
HefCSXNyk1cV	MICRO	MasPrem	SANTIAGO	Hombre	6	PORQUE ME HA DADO BUEN SERVICIO	Buen servicio / conforme / satisfecho con el servicio	TURISMO	SANTIAGO	PROPIETARIO
c9mDqE8sr2KF	GGEE	AV	SANTIAGO	Hombre	5	PORQUE HEMOS TENIDO REITERADOS CON ENTEL SIN CONEXION SIN VOZ RED CAIDA PROBLEMAS CON LA BANDA ANCHA MOVIL NO FUNCIONA SIN SERVICIO	Poca continuidad del servicio  / se corta el servicio,Problemas con la comunicación,Internet lento / inestable	TELECOMUNICACIONES	PROVIDENCIA	GERENTE DE ADMINISTRACION Y FINANZAS
39qPY1qZG6V5	PEQUEÑA	Mas	REGIONES	Hombre	6	PORQUE NORMALMENTE EL SERVICIO SIEMPRE ESTA BIEN SIEMOPRE COBTAN LO QUE TIENEN QUE CONBRAR	Buen servicio / conforme / satisfecho con el servicio,Transparencia / claridad en las cuentas / facturas / exactitud en cobros	TRANSPORTES DE PERSONAS	COPIAPO	JEFE DE ADMINISTRACION
n5sLwrnQ8Xh6	MICRO	Mas	REGIONES	Hombre	5	POR LAS COMUNICACION TIENEN FALLA EN LA SEÑAL	Mala señal / pérdida de señal / interferencias	SERVICIOS MARITIMOS	PUERTO MONT	GERENTE GENERAL
kCh5uJ9hYIcf	MEDIANA	Mas	SANTIAGO	Mujer	6	PORQUE ANTES ERA MEJOR EN POST VENTA Y SSCC.	Mala post venta /atención	SERVICIOS	PROVIDENCIA	ASISTENCIA DE GERENCIA
23MYdlmjAR8T	MICRO	Mas	REGIONES	NA	7	PORQUE ESMUY BUENO EL PLAN LA INETRNET ES RAPIDA	Buen plan / plan conveniente,Buen funcionamiento de Internet / velocidad / estabilidad	TRANSPORTES DE PERSONAL	ANTOFAGASTA	ADMINISTRADORA
BIEa6BAyzdT8	PEQUEÑA	MP	SANTIAGO	Hombre	6	PORQUE ES MUY CARO	Precios altos / es caro / alzas de precio	INSPECCION TECNICA DE OBRAS INGENIRIA	LAS CONDES	GERENTE GENERAL PROPIETARIO
QeHMJx1e9h9o	MICRO	Mas	SANTIAGO	Mujer	7	PORQUE NO HE PRESENTADO INCONVENIENTE SOLO POR ESO	Funciona bien /sin problemas	CONTABILIDAD	QUILICURA	DUEÑA
ojEPpDeL136h	PEQUEÑA	MV	REGIONES	Hombre	7	POR LA SEÑAL NUNCA HE TENIDO PROBLEMAS CON LA SEÑAL LA OTRA PARTE TUVE UN PROBLEMA CON EL EJECUTIVO ME HICIERON FIRMAR UN PAPEL QUE NO CORRESPONDIA Y ME HICIERON PERDER UNA GARANTIA AL FINAL NADIE RESPONDIO YO MANDE UNA CARTA RECLAMANDO PARA UN CAMBIO DE EQUIPO ME CAMBIARON UN EQUIPO Y CON ESO ME CAMBIARON TODOS LOS PLANES Y ESO NO ERA LO QUE ME ESTABAN DICIENDO ENTONCES SIENTO QUE FUE UN ENGAÑO	Buena señal / no hay caídas de la señal / señal nítida	CONSTRUCCION	RANCAGUA	GERENTE GENERAL
r51C8tvIuxBn	PEQUEÑA	Mas	REGIONES	NA	6	NO TIENE PROBLEMAS, SIETE SERIA LA PERFECCION	Funciona bien /sin problemas,Faltan cosas por mejorar / no es perfecta	ALIMENTOS	IQUIQUE	REPRESENTANTE LEGAL
l4UiQqt3iNfn	PEQUEÑA	Mas	REGIONES	NA	7	POR EL SERVICIO	Buen servicio / conforme / satisfecho con el servicio	INGENIERIA OLIO IDRAULICA	ANTOFAGASTA	PROPIETARIO
oJ2Dy1Hok7yv	PEQUEÑA	Mas	SANTIAGO	Mujer	7	PORQUE NUNCA HE TENIDO PROBLEMAS BUENA SEÑAL BUENA COBERTURA Y BUENOS VALORES DEL PLAN	Funciona bien /sin problemas,Buena señal / no hay caídas de la señal / señal nítida,Buena cobertura,Buenos precios / económicos / barato	AGRICOLA	PEDRO AGUIRRE CERDA	REPRESENTANTE LEGAL
35aFTMaaftKI	PEQUEÑA	Mas	REGIONES	NA	7	PORQUE NO ME HA DADO PROBLEMAS NO	Funciona bien /sin problemas	CLINICA DENTAL	VIÑA DEL MAR	ADMINISTRADOR
