encriptado	SEG_CORFO	SEG_GOL	Regionx	sex_enc	P3 Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7 = Muy satisfecho, ¿Cuán satisfecho está usted con Entel?	P4 ¿Por qué evalúa con esa nota?	Rubro	Ciudad_comuna
zCxLhTDfP68y	Pequeña	MasPrem	Regiones	Mujer	1	MUY MALA LA SEÑAL NO TENEMOS SEÑAL EL INTERNET ES MALISIMO NO SE PUEDEN ABRIR PAGINAS NO PUEDE HACER TRANSFERENCIA HACE COMO 4 MESES ESTOY RECLAMANDO LOS MISMO ESTOY A PUNTO DE CAMBIARME DE CIA	ASESORIAS	COLTAUCO 6 TA REGION
0Iq620T3qe0K	Micro	MasPrem	Regiones	Hombre	7	POR TODO EL TRATO QUE TIENE, EL TRATO ES MUY BUENO	MEDICO	TEMUCO
JqaH97TulUvq	Pequeña	MasPrem	Regiones	Mujer	7	PORQUE NO HEMOS TENIDO PROBLEMAS, Y SIEMPRE NOS HAN RESPONDIDO EN TODO LO QUE NECESITAMOS	INGENERIA	CONCON
kjm40I2OgEwf	Micro	Mas	Regiones	Hombre	6	NO ES LA RAPIDEZ QUE NECESITO DE INTERNET, PERMANENTE	CONSTRUCCIÓN	PAPUDO
zODWyTXvkg6A	Mediana	MV	Regiones	Hombre	7	PORQUE NO HEMOS TENIDO INCONVENIENTES MAYORES	INGENIERIA EN MINERIA	LOS ANDES
BPEw43xkYcwO	Pequeña	MP	Regiones	Hombre	7	PORQUE NUNCA HE TENIDO PROBLEMAS CON ELLOS, Y CUANDO LO HA NECESITADO SIEMPRE ME HAN GUIADO BIEN, NO TENGO NADA QUE DECIR	SEGURIDAD	SAN ANTONIO
8R0QXzF4mwRV	Mediana	MV	Santiago	Hombre	6	LA EMPRESA ES BUENA PERO HA TENIDO PROBLEMAS DE COBERTURA	TRANSPORTES DE MAQUINARIA	LAMPA
9CACP7YdmUym	Mediana	AV	Santiago	Mujer	4	LA VERDAD NOS HEMOS DADO CUENTA HACIENDO UNA EVALUACION QUE HICIMOS QUE LOS PLANES DE ENTEL SON MAS CAROS LES HICE UNA PROPUESTA Y ME BAJARON LOS PRECIOS PERO ME SIENTO ESTAFADA POR QUE  DURANTE UN AÑO Y MEDIO  POR QUE AHORA QUE QUIERO IRME NOS BAJAN EL PRECIO	SERVICIOS	SANTIAGO
zvFMBMjTu0wV	Micro	MasPrem	Regiones	Hombre	5	POR TEMA DE ATENCIÓN EN LA AGENCIA ,HAN MINIMIZADO LOS GASTOS EN PERJUICIO DEL CLIENTE,DESCUENTOS QUE NUNCA HACEN	TELECOMUNICACIONES Y TRANSPORTE	ATACAMA
XwcCcgeGmMZp	Pequeña	Mas	Regiones	Hombre	5	POR LA COBERTURA, DE ECHO YO TRABAJO EN UN COLEGIO Y TENGO QUE SALIR PARA PODER HABLAR, MUY MALA SEÑAL EN EL SECTOR, JUSTAMENTE EN LA POBLACIÓN PEÑA GRANDE CORONEL Y EL OTRO ES EL SECTOR VILLA NORTE EL ESCUADRON TAMBIÉN EL CORONEL, FALLA EN EQUIPO DE EMPRESA, DE ECHO ENTEL ES EL QUE TIENE MAS MALA SEÑAL EN EL SECTOR	EDUCACION	CORONEL
SrRn9eh5ClfZ	Pequeña	MasPrem	Santiago	NA	6	HA VECES SE CAE LA SEÑAL POCO SI PERO SE CAE	NA	NA
N5gbSolovb4a	Micro	MasPrem	Regiones	Hombre	7	PORQUE LA SEÑAL ES BUENA TIENE BUENA COBERTURA DONDE VOY TENGO BUENA SEÑAL	PRESTACIONES MEDICAS	TALCA
C2JcLxBhKLh8	Pequeña	MasPrem	Regiones	Mujer	6	PORQUE ES UN BUEN SERVICIO, PERO ULTIMAMENTE HAN TENIDO PROBLEMA EN LA FACTURACION.	TRANSPORTE	CHILLAN
2GpSE3QFa6Mz	Micro	MP	ns/nr	Hombre	7	A ESTOS MOMENTOS Y LOS REQUERIMIENTOS NO HAN SIDO POSTTERGADOS YO TENGO UN PLAN FIJO DE CUALQUIER INDOLE SE HAN SOLUCIONADO RAPIDO DE FACTURA PLANES	MANTENIMIENTO Y OBRAS CIVILES	LA FLORIDA
3MgGw17HRM2N	Micro	Mas	Regiones	Hombre	4	LOS SERVICIOS QUE BRINDA NO SON TODOS TAN E34XCELENTE COMO YO QUISIERA LA CALIDAD LA ATENCION AL CLIENTE SON EMPRESA QUE NO SE DETACA POR LA ATENCION EN GENERAL	TRANSPORTE	IQUIQUE
c9mDqE8sr2KF	GGEE	AV	Santiago	Hombre	7	PORQUE NO HE TENIDO PROBLEMAS CON ENTEL AL A FECHA	INFORMATICA	PROVIDENCIA
ATgbqKpEmELB	Pequeña	MP	Regiones	Hombre	4	POR QUE EL INTERNET LENTO SOIN APRETDOS CON LOS EQUIPOS MUY MISERABLES A PESAR DE LOS AÑOS  QUE UNO LLEVA CON ELLOS	TRANSPORTE DE CARGAS	MOLINA
6MRIC7EyBxsK	Pequeña	Mas	Santiago	Hombre	7	POIR QUE NO HE TENIDO NINGUN PROBLEMAS YA LAS ATENCION HAN SIDO BUENA EN SUCURSAL EN CALLE ALONZO DE CORDOVA  Y VIA TELEFONICA	OBRAS DE INGENIERIA ELECTRICA	LAS CONDES
ySlSDLrJW6gj	GGEE	MV	Regiones	Hombre	6	PORQUE SON AGIL EN CUANTO A LAS RESPUESTAS A SUS CLIENTES	SERVICIO DE INGENIERÍA	VALPARAISO
Nmn3tK1KAK6J	Pequeña	MasPrem	Santiago	Hombre	7	MUY BUEN SERVICIO CON CUALQUIER PROBLEMAS RESPONDE TECNICO Y COMERCIAL	ASESERIAS	SANTIAGO
0PZXaIZhdWTs	GGEE	MV	ns/nr	Hombre	2	PORQUE EL SERVICIO HA ANDADO MALO ES MALO SE CAE A CADA RATO EL EJECUTIVO LO CONSIDERA NO LE SOLUCIONA LOS PROBLEMAS	TRANSPORTE	SANTIAGO PROVIDENCIA
zWaRWX1n3rB6	Mediana	MP	Regiones	NA	3	PORQUE NO ESTOY MUY SATISFECHO DE ACUERDO AL SERVICIO, COBERTURA, TEMA INTERNET TODO MAL	NA	NA
Gfmqh2GBiq8D	Micro	Mas	ns/nr	Mujer	6	PORQUE LE FALTA COBERTURA	AGRICOLA	NO DA RESPUESTA
rBQW5OYLjEs0	Micro	MasPrem	Santiago	Hombre	5	PORQUE ESTE ULTIMO TIEMPO HAN TENIDO PROBLEMA Y HE VIAJADO POR CHILE  Y HAN TENIDO PROBLEMAS Y LOS EQUIPOS QUE OFRECEN ENTEL NO ES LO ULTIMO QUE ESTAN EN CARTELERA  LA LLEGADA DE SEÑAL  A DISTINTAS PARTES  QUE SEA CAE DE CLARO Y MOVISTAR Y NO SE CAPATA LA SEÑAL Y LOS EQUIPOS QUE QUIERO UN HUAWEI Y NO SON LOS ULTIMOPS Y NO SON LO MAS ADECUADOS	CORREDOR DE PROPIEDADES	PROVIDENCIA
LnR3Cjwfp4yG	Mediana	AP	Regiones	Hombre	7	EN ESTOS ULTIMOS MESES HA TENIDO REQUERIMIENTO TELEFONICOS Y POR CORREO Y HAN SIDO RAPIDOS CONSULTANDO POR RECUPERACION DE CHIP Y TUVO RESPUESTA RAPIDA	SEGURIDAD PRIVADA	PTO MONTT 10 REGION
b13n7WUeNZth	Pequeña	MasPrem	Santiago	Hombre	7	PORQUE FUNCIONA BIEN, LOS DATOS MOVILES FUNCIONAN BIEN, NO TIENE PROBLEMA DE COBERTURA.	SERVICIOS MEDICOS	PEÑALOLEN
pr8qRmZCTqxU	GGEE	AV	Santiago	Mujer	6	EN REALIDAD EL SERVICIO ES BUENO LA RED NO SE CAE TENEMOS SIEMPRE CONEXION ESTA BIEN	TELECOMUNICACIONES	SANTIAGO
cGp4JKPobitZ	Pequeña	Mas	Regiones	Hombre	5	PORQUE SE PIERDE LA SEÑAL FACILMENTE	SERVICIO TECNICO	VALPARAISO
GKmoS11KWaAj	GGEE	AP	Santiago	Hombre	7	PORQUE NO TENGO PROBLEMAS CON INTERNET NO TENGO PROBLEMA CON LA SEÑAL YN TENGO BUENOS EQUIPOS A DISPONIBILIDAD DE LOS EJECUTIVOS 100 POR CIENTO OPERATIVOS A LA HORA QUE LLAMO	CONSTRUCCION	LA CISTERNA
aTfphlSsFc10	Pequeña	MasPrem	Santiago	NA	7	LEGUSTA Y NO HA TENIDO PROBLEMAS	NA	NA
cPWtjrTVarlZ	Pequeña	MV	Santiago	Hombre	7	NUNCA H ETENIDO PROBLE DE NADA BUEN AATENCION EN TAMTO TELEFONICAMNETE COM NE LOCALES	CLIMATIZACION	MACUL
7LHd5wCPIpnv	Mediana	MP	Santiago	Hombre	5	PORQUE TODO LO TIENE QUE VER CON SEÑALES ES BUENO PERO TODO EL RESTO ES CARO	RECICLAJE	LAMPA
0vLLkBEv8Kns	Micro	MasPrem	Regiones	Hombre	4	PORQUE NO TENEMOS BENEFICIOS COMO EMPRESA RESPECTO A SACAR EQUIPOS Y PLANES SI VA ENTEL COMO PERSONA ES MUCHO MAS ECONOMICO AL SER EMPRESA ES MAS CARO	FORESTAL	REION DE LOS RIOS
Kc2VY2oQvU6t	Pequeña	MasPrem	Santiago	Hombre	6	PORQUE CREO QUE HASTA EL MINUTO ME HA FUNCIONADO RELATIVAMENTE BIEN	TRANSPORTE	CERRILLOS
JaWf0qcEpdIG	Micro	Mas	Regiones	Hombre	7	POR LA CALIDAD DEL SERVICIO LOS VALORES Y LA ESTABILIDAD DEL INTERNET POR LO MENOS EN CIUDAD Y ALREDEDOR FUNCIONA SUPER BIEN PERO EN MONTAÑA NO TIENE COBERTURA	SERVICIO	TALCA MAULE
9AAAhfJM0c0d	Pequeña	MasPrem	ns/nr	Hombre	5	POR LOS ALTOS COSTOS DE LOS SERVICIOS ES CARO COMPARADO CON LAS OTRAS COMPAÑIAS LOS PLANES	TRANSPORTE	PUNTA ARENAS
vYBW3y9RafyX	Pequeña	Mas	Santiago	Hombre	5	COSTES, PRECIO.	TRANSPORTE	SANTIAGO
PbIFfPYSRU1w	GGEE	MP	Santiago	NA	6	TENGO UN PROBLEMA DE COBERTURA DE SEÑAL NO ES FRECUENTE A VECES SE NOTA	NA	NA
BjXk4eEaYCth	Mediana	MP	Santiago	NA	7	NUNCA HEMOS TENIDO UN PROBLEMA Y SIEMPRE TENEMOS COBERTURA	NA	NA
FZPlxul3xnSi	Micro	MasPrem	ns/nr	Mujer	7	PORQUE NO TENGO PROBLEMAS CUANDO EXISTEN SE RESUELVEN RAPIDO QUE NO HE TENIDO PROBLEMAS NO HAN FALLADO LOS CELULARES Y NO HA FALLADO LA FACTURACION	INFORMATICA	ÑUÑOA
0IiuzTD86jVX	Mediana	AP	Regiones	Hombre	6	DE REPENTE COMO TENGO CONSTRUCTORA Y VIAJO NO TENGO EN ALGUNOS LUGARES INTERNET	CONSTRUCTORA	CONCEPCION
S8keyLRuo1EG	Micro	MasPrem	Regiones	Mujer	5	PORQUE ME GUSTARIA QUE OFRECIERAN MEJORES PLANES LA SEÑAL HA ESTADO COMPLICADA	SPA	OLMUE 5 REGION
aPLdIm8PDGVF	Mediana	AP	Santiago	NA	6	PORQUE EN GENERAL ANDA BIEN EXCEPTO CUANDO FUE EL TERREMOTO QUEDE INCOMUNICADA NO ASI LOS QUE TENIAS MOVISTAR ESTO EN LA SERENA	NA	NA
S1oM4Setz7VG	Pequeña	MasPrem	Santiago	Hombre	6	PORQUE EN REALIDAD LA TECNICAMENTE LA COBERTURA ES BUENA Y LA INFORMACION  QUE TE ENTERGAN NO ES CLARA Y SE TIENE QUE ACERCAR A LA  OFICIONA Y  SI TUVIERA QUE SEPERAR LA PARTE TECNICA Y LA ADMINISTRATIVA LA EVALURIA CON UN TRES Y CON UN SEIS IGUAL QUE LAS ISAPRES EN ESTE PAIS	ASESORIA Y SERVICIOS	LAS CONDES
jaZyoC5VQEY2	Mediana	MV	Santiago	NA	5	PORQUE SIEMPRE HAY DEFICIENCIAS COBROS QUE NO CORRESPONDEN PROMOCIONES QUE NO SE GENERAN....	NA	NA
JMe045mPG35P	Mediana	MP	Santiago	Hombre	7	NO HE TENIDO NUNCA PROBLEMA ME DAN LA INFORMACION A TIEMPO Y CUANDO HAY PROMMOCIONES EL EJECUTIVO SE COMUNICA CON USTED	EDUCACION	PEDRO AGUIRRE CERDA
OtcjNHqG5bFn	Micro	Mas	Santiago	NA	6	PORQUE DE REPENTE TENGO PROBLEMAS DE COBERTURA	NA	NA
QgfZuMGUZAdK	Pequeña	MP	Santiago	Hombre	7	EN GENERAL NO PRESENTA MUCHOS PROBLEMAS LA CONECCION ES BASTANTE BUENA Y ESTABLE	TRASNPORTE	MAIPU
YBcCSjxRng8A	Mediana	MasPrem	Santiago	Hombre	6	EL SERVICIO ES BUENO PERO A VECES SE CAE LA SEÑAL POCA FRECUENCIA EN SANTIAGO COLINA	CONSTRUCCION	PUDAHUEL
HXwHlh7WLBwM	Pequeña	MP	Regiones	Hombre	7	EL PLAN QUE OFRECE EN RELACION AL PRECIO CALIDAD ES BUENA, PRINCIPALENTE TIENE BUENA COBERTURA NO TIENE PROBLEMA DE SEÑAL, RELATIVAMENTE BIEN	SERVICIO DE INGENERIA	VILLA ALEMANA
laEWa5AMmwMf	Pequeña	MasPrem	ns/nr	Mujer	2	PORQUE TENEMOS MUY MALA SEÑAL EN LUGAR EN DONDE CONTRATAMOS EL SERVICIO ES QUE CONTRAMOS UN SERVICIO DE INTERNET EN LA 11 REGION NO FUNCIONA NO SE PUEDE CONECTAR EN LA COMUNA JOTRAN	PAPELERIA	KOCRAN
6ac5ZqZLswf2	Micro	Mas	Santiago	Hombre	7	NO TENGO NINGUN PROBLEMA ME DAN UN BUEN SERVICIO	HOTELERIA	LAS CONDES
8tGniCSKAvAB	Micro	Mas	ns/nr	Mujer	5	PORQUE SE CAE MUCHO EL INTERNET LA COMUNICACION NO ES BUENA EL ITERNET SE CAE NO FUNCIONA EN EL CENTRO DE LA CIUDAD NO ES FUERA DE LA CIUDAD	SERVICIOS PROFESIONALES JURIDICOS	CONCEPCION
OEvztOMzwUKa	Pequeña	MasPrem	Regiones	Hombre	6	PORQUE EN ALGUN MOMENTO TUVIMOS UN INCOVENIENTE CON ENTEL EN LAS CUENTAS PERO AHORA ESTA TODO NORMAL	SERVICIOS ODONTOLOGICOS	RANCAGUA
p4gx0cdUgXH7	GGEE	AP	Santiago	NA	7	NO TENGO MAYORES PROBLEMAS CON ENTEL COBERTURA SEÑAL	NA	NA
PfHblGVxtIf5	Mediana	MasPrem	Santiago	Mujer	7	PORQUE NO TENGO PROBLEMAS DE NINGUN TIPO CON LA COMPAÑIA NI DE SEÑAL NI DE NADA BUENO EL SERVICIO. LA ATENCION CUANDO VOY A LA SUCURSAL ES BUENA CUANDO LLAMO POR TELEFONO TAMBIEN TENGO BUENA RESPUESTA LA SEÑAL ES BUENA Y EL INTERNTET TAMBIEN	COMPRA DE DESECHOS METALICOS	SANTIAGO, LA PINTANA
G0v70gZpmMqt	Micro	Mas	Santiago	Hombre	5	PORQUE ANDA MAS MENOS LA SEÑAL PERO MAS MALO ES EL INTERNET, OTRAS FALLAS QUE ME LLAMAN Y LA LLAMADAS NO ME LLEGAN ME LLEGAN POR MENSAJES	MANTENCION	PEÑALOLEN
kKPvRjUvf9Eh	Pequeña	MP	Santiago	Hombre	1	PORQUE NUNCA HA TENIDO AYUDA TIENE TRES PALENS EMPRESA CON RESPECTO EN LOS PAGOS Y NO LE DAN TELEFONOS DE CAMBIO	MOVIMIENTO DE TIERRA Y DEMOLICIONES	LA FLORIDA
89aQklKOBENw	Micro	MasPrem	Santiago	Hombre	7	PORQUE ES ESTABLE Y TIENE BUEN SERVICIO COBERTURA  Y SERVICIO AL CLIENTE	SALUD	SANTIAGO LAS CONDES
YXLqABiNlFt4	Mediana	MV	Santiago	Hombre	5	POR LA PARTE DE TELEFONIA FIJA LOS SERVICIOS DE RESPUESTAS SON MUY LENTOS Y EL INTERNET ES MUY INESTABLE	COMERCIALIZACIÓN	PROVIDENCIA SANTIAGO
wLEzTOuVMIbI	Mediana	MP	Santiago	Mujer	7	NO HEMOS TENIDO NUNCA PROBLEMAS QUE NUNCA SE CORTA EL TELEFONO TIENE BUENA SEÑAL	CONSTRUCCION	SANTIAGO
zacbKbUlD9OL	Pequeña	MP	Santiago	Mujer	5	TENGO PROBLEMA CON ALGUNAS ZONAS PARA COMUNICARME LA ZONA NORTE LA SERENA EN SANTIAGO ARAYAN ENTRE SAN ANTONIO Y CARTAGENA Y EL PLAN LIBRE DE GIGAS PERO NO ES ESTABLE SE CAEN CON FACILIDAD SE CONGELA LA IMAGEN	EDUCACION	LA FLORIDA
30l2vzIjOKHs	Pequeña	AP	ns/nr	Mujer	5	PORQUE ULTIMAMENTE PARA INTERNET ESTA MALO LA COBERTURA HA ESTADO MALA NO HAY CONVENIOS PARA SACRA LOS CELULARES NO HAY SEÑAL PARA LLAMAR Y TAMPOCO NO HAY SEÑAL PARA INTERNET EN NACIMIENTO	SERVICIOS INDUSTRIALES	LASA
KADV9Ubgox0I	GGEE	AP	Santiago	Mujer	7	PORQUE ES UNA DE LAS MEJORES COMPAÑIAS QUE HEMOS TENIDO AQUI EN LA EMPRESA EN LA RAPIDEZ DE LA ATENCION Y EN LA SOLUCION DE LOS PROBLEMAS	INFORMATICA	SANTIAGO, PROVIDENCIA
AiX00xoIEvlG	Micro	Mas	ns/nr	Hombre	5	PORQUE ES CARO ES CARO ES MAS CARO QUE LAS OTRAS COMPAÑIAS	IMPORTACIONES	SANTIAGO
Wg9Gc34xp5ez	Mediana	AP	Regiones	Mujer	7	PORQUE NO TENGO NINGUN PROBLEMAS CON ELLOS AL CONTRARIO  SI YO QUIERO CAMBIAR DE PLAN ME LO CAMBIAN RAPIDO Y LA COBERTURA ES BUENA Y NO ME HAN COBRADO DE MAS O COSA RARA EN LA BOLETA TAMPOCO	PANADERIA	VIÑA DEL MAR
2o5AVSpJKSRn	Pequeña	MasPrem	Santiago	Hombre	7	PORQUE ME RESPONDEN RAPIDO LA INTERNET NO SE ME CAE TENGO SEÑAL EN TODAS PARTES Y BUENA COBERTURA  PUEDO ADMINISTRAR TODO LOS MINUTOS Y INTERNET A TRAVES DE LA PAGINA COMO ADMINISTRADOR	PRODUCCION DE EVENTOS	SANTIAGO
qkcwczV8lJI2	Pequeña	MP	Regiones	Hombre	6	PORQUE PROBLEMAS CON LA SEÑAL, ESTUVO LENTO, YO TRABAJO CON ENTEL	TRANSPORTE	SAN JAVIER
4wqDDudS2xKZ	Pequeña	MV	Regiones	Hombre	6	PORQUE HAY COSAS QUE ME GUSTARIA QUE MEJORARAN LOS PRECIOS, YA QUE LA EMPRESA ES CARA PERO EN CUANTO COBERTURA ESTOY SATISFECHO	TRANSPORTE	OLIVAR
CiHB5OTaTbnK	Mediana	AP	Santiago	Mujer	5	ME GUSTARIA QUE FUERA MAS SENCILLO COMUNICARSE CON LA EJECUTIVA ERA QUE LE MANDABA UN MAIL ME CONTESTABA EN DOS DIAS ES BUEN ALA COBETUR ANO SE CORT AY ESO EL TELFONO	SERVICIOS INGENIERIA	STGO CENTRO
wI9RALKz68Ki	Mediana	AP	Regiones	Hombre	5	EL SERVICIO A CLIENTE ES MALO CUANDO SE HACEN SOLICITUDES SE DEMORAN MUCHO	CONTRUCCION	ANDACOLLO REGION DE COQUIMBO
43dc9K5iiDcP	Mediana	MP	Regiones	Mujer	7	ES QUE NO HAY TAMPOCO EXPERIENCIA EN OTRO	FERRETERO	YUMBEL
DtJe75zFeTY1	Pequeña	MasPrem	Santiago	Hombre	7	POR QUE LA SEÑAL ES BUENA Y COMO ANDO ENTERRENO Y HE TENIDO BUENA COBERTURA DE INTERNET O LLAMADAS POR TELEFONO  CUANDO TU TE ATRASAS EN EL PAGO NO TE CORTAN EL SERVICIO	SERVICIO TECNICO	NUÑOA
35YMGBN7UAgF	Pequeña	MV	Regiones	Hombre	4	PORQUE NO TENEMOS ACCESO A PLANES MAS CONVENIENTES, NO NOS ATIENDEN EJECUTIVOS PARA EL PROCESO DE EQUIPOS, NO ACLARAN TEMAS DE FACTURACION	TRANSPORTE DE CARGA	LOS ANGELES
P8A7VHf0CQG7	Mediana	MasPrem	Regiones	Hombre	6	PORQUE HAY A VECES PROBLEMAS DE COBERTURA	RESTAURANT	ANTOFAGASTA
hz2wxyIqvebi	Pequeña	MasPrem	ns/nr	NA	5	PORQUE SE CAE EL SISTEMA SE CAE EL INTERNET FALTA DE SERVIDOR DE TELEFONO ERROR DE LLAMADA ERROR DE LLAMADA ERROR DE LINEA NO SE CONECTA ESTA CONECTANDO DICE CONECTADO Y SE CAE NO HAY SERVIDOR DE RED DESPUES SE CONECTA SOLO O HACER RESTABLECIMIENTO DE RED	NA	NA
JGwlTGnKxh19	Micro	Mas	Santiago	Hombre	7	PORQUE NO TENGO PROBLEMAS HE PROBADO OTRAS COMPAÑÍAS Y ES LA QUE ME HA DADO MEJORES RESULTADOS APROXIMADAMENTE 10 AÑOS	SERVICIO GRÁFICO O IMPRENTA	SANTIAGO-CENTRO
TWlrG1KSA5WP	Micro	Mas	ns/nr	Hombre	6	PORQUE NO TENGO ASIGNADO UN EJECUTIVO PARA MI EMPRESA NO LE ASIGNADO EL EJECUTIVO HAY QUE LLAMAR A LA LINEA 600	CONSTRUCCION	TEMUCO
Oa8iIXpzuvkF	Pequeña	MasPrem	Regiones	Hombre	5	PORQUE NO TIENE COBERTURA EN SIERTOS LUGARES QUE NECESITAMOS NOSOTROS VIAJAMOS A ALGUNOS LUGARES POR EL TRABAJO Y EN ZONAS RURALES NO TIENE SEÑAL	ASESORIAS TRIBUTARIAS	CONCEPCION 8 REGION
Dh89mjzzlIem	Pequeña	MP	Regiones	Mujer	5	PORQUE TIENE MALA COBERTURA Y TIENE MALA SEÑAL	TRANSPORTE	VICTORIA
QhPUHDeP0X4S	Micro	MasPrem	ns/nr	Hombre	6	HEMOS TENIDOS UNOS PEQUEÑOS PROBLEMAS ALGUNA VEZ, NO ME ACUERDO EN ESTOS MOMENTOS, EN LOS ULTIMOS AÑOS, NO NADA MAS	COBRANZA JUDICIAL	VALPARAISO Y SANTIAGO
62bISrZGTLl1	Mediana	MV	Regiones	Hombre	3	PORQUE ESTA MAL EL SERVICIO ME QUEDE SIN INTERNET SE CAE MUY SEGUIDO HAGO LOS RECLAMOS Y DICEN QUE SE SOLUCIONA EL 16 DE NOVIEMBRE Y SEGUIMOS IGUAL EN LA SÉPTIMA REGIÓN SAN JAVIER	MADERAS	VILLA ALEGRE
jEW2InM5LIxr	Mediana	MP	Regiones	Mujer	7	POR YO HE TENIDO PROBLEMAS Y ME LOS SOLUCIONAN ALTIRO NADA DE ESPERA Y CON TELEFONICA HAY PROBLEMAS Y SE DEMOREN EN RESOLVERLOS	COMERCIO DE CONFITES	ARICA
FEHwWraX7pzU	Pequeña	MV	Regiones	Hombre	5	PORQUE DE REPENTE HAY RESPUESTAS QUE SON MUY LENTAS, EL CONVENIO DEBERÍAN DAR MEJORES BENEFICIOS A POSTULARSE, TODOS LOS CONTRATOS SON DE 18 MESES,AL LLEGAR A 6 MESES, NO HAY NINGUNA RENOVACIÓN A 18 MESES	TRANSPORTE	CONCEPCIÓN
vhK9VoldTkTU	Mediana	MP	Santiago	Hombre	6	PORQWUE SIEMPRE SE PUEDE MEJORAR HAY IGUAL PROBLEMAS DE SEÑAL EN ALGUNOS PUNTOS DE AMBOS EN CALAMA	CONSTRUCCION Y MOPNTAJE	PROVIDENCIA STGO
a3q2FPQWUDDR	Pequeña	MP	Regiones	Hombre	5	POR QUE FALTA DE COBERTURA Y BAJA DE INTERNET Y LLAMADAS	SERVICIOS Y EXPENDIO DE COMBUSTIBLE	CHIGUAYANTE CONCEPCION
VrzlGQel0Tim	GGEE	AP	Santiago	Mujer	7	PORQUE LOS EJECUTIVOS ME RESUELVEN RAPIDOS LOS REQUERIMIENTOS	MAQUINARIA	QUILICURA
TFMvlQjoXWSn	Mediana	AP	Santiago	Hombre	6	PORQUE AVECES FALTA UN POCO MAS DE COMUNICACION CON LA EJECUTIVA DE LA CUENTA	AGRICOLA	PROVIDENCIA
a45aL2H2ipWB	Pequeña	MP	Regiones	Hombre	3	PORQUE NO LE TIENEN ASIGNADO UN EJECUTIVO, INTENTA CAMBIAR UN CELULAR Y NO LO DEJARON POR QUE HAY ALGUNOS QUE TODAVIA ESTAN CON PLAN, CON CUOTAS PENDIENTES.	AGRICOLA	MONTE PATRIA
7DvC7HLmaL4J	GGEE	AV	Santiago	Hombre	3	PORQUE ES IMPOSIBLE TENER CONTACTO CON LOS EJECUTIVOS DE CUENTA Y NO SE QUIEN ES, NO TENGO EJECUTIVO DE CUENTA ACCESIBLE	RITAIL TIENDAS	LO BARNECHEA
XPqexGIqrZT2	GGEE	MasPrem	Santiago	Hombre	7	PORQUE NO HEMOS TENIDO NUNGUN PROBLEMAS, LA COMUNICACION ES FLUIDA, EL INTERNET ES BUENO, NO HEMOS TENIDO NINGUN PROBLEMA	COMERCIALIZADORA	QUILICURA
f8lIVGhGEiBT	Mediana	MP	Regiones	Mujer	5	HACE POCO QUE ESTAMOS CON ELLOS HACE 2 MESES	CONTRATISTAS CGE	SAN VICENTE DE TAGUA TAGUA
ak6Xo096qdvs	Pequeña	MP	Santiago	Mujer	5	PORQUE A VECES TENGO PROBLEMAS DE COMUNICACION Y CON LA SEÑAL DEL INTERNET TENGO PROBLEMAS CON LA COBERTURA EN EL SECTOR DE LA FLORIDA EN GENERAL EN LA NOCHE SE CAE EL INTERNET EN ESTACION CENTRAL EL CALL CENTER DE ENTEL ES PESIMO SE DEMORA UN MONTON EN ATENDERTE Y CUANDO ME ATIENDEN LO ATIENDEN EXTRANJEROS Y NO ENTIENDE LO QUE ELLOS DICE POR EL ACENTO	AIRE ACONDICIONADO	ESTACION CENTRAL
JyNpUmamutDr	Mediana	MV	Santiago	Hombre	4	PROBLEMAS DE SEÑAL O COBERTURA EN LA ZONA MONTAÑOSA DE ÑLA REGION METROPOLITANA Y ZONA SUER DE CHILE ATACAMA Y ANTOFAGASTA	FABRICACION DE ESTANQUES ACEITES LUBRICANTES	SANTIAGO
v4vWqq71ykho	Pequeña	MasPrem	Santiago	Hombre	7	SERVICIOS TIENE BUENA ASISTENCIA TECNICO RAPIDA SOLUCION AL REQUERIMIENTOS NO ASI NO LA OTRA COMPAÑIA PUEDO COMPARAR CALIDAD COBERTURA EN TODO CHILE LOS PLANES HAN MEJORADO BASTANTE EL COSTO DE LOS PLANES ALTAMENTE COMPETITIVO	INGENIERIA	MAIPU
wl7TcIkhBCi1	Mediana	AP	Regiones	Hombre	6	POR QUE VIAJO A CIERTOS LUGARES Y NO HAY SERVICIO DE TELEFONIA NI INTERNET YO TRABAJO EN ANTOFAGASTA  Y ES PESIMA LA SEÑAL Y LA DESCARGA DE DATOS ADEMAS VIAJO A LA CUARTA REGION  Y AUN QUE AHY ANTENAS LA SEÑAL ES PESIMA ME REFIERO A QUE SIEMPRE TENGO UNA RAYA Y SE ESCUCHA ENTRECORTADO TENGO 3G Y NO SE DESCARGA NADA	CONSTRUCCION	ANTOFAGASTA
3Z6Zruq7thWD	Mediana	MP	Regiones	NA	5	TIENE MALA SEÑAL A TODO CUANDO NO HAY SEÑAL NO HAY PARA NADA EN ALGUNOS SECTORES	NA	NA
CAnJgaEUizfH	Micro	MasPrem	Santiago	Mujer	5	POR LO COBROS INDEBIDOS	PORTONES AUTOMATICOS	COLINA
