encriptado	SEG_CORFO_FINAL	CL_SEG_GOL_original	Regionx	sex_enc	ISO_FINAL_A	F1	P1	P2[{_1}].Rp	P2[{_2}].Rp	P2[{_3}].Rp	P2[{_1}].Rp._98	P2[{_2}].Rp._98	P2[{_3}].Rp._98	P3	P4	P4_COD	P5[{_a}].Rp	P5[{_b}].Rp	P5[{_c}].Rp	P5[{_d}].Rp	P5[{_e}].Rp	P6_aux	P6	P7[{_1}].Rp	P7[{_2}].Rp	P7[{_3}].Rp	P8	P9	P10[{_1}].Rp	P10[{_2}].Rp	P10[{_3}].Rp	P10[{_4}].Rp	P10[{_5}].Rp	P10[{_6}].Rp	P10[{_7}].Rp	P10[{_8}].Rp	P11[{_1}].Rp	P11[{_2}].Rp	P11[{_3}].Rp	P11[{_4}].Rp	P11[{_5}].Rp	P11[{_6}].Rp	P11[{_7}].Rp	P11[{_8}].Rp	P12[{_1}].Rp	P12[{_2}].Rp	P12[{_3}].Rp	P12[{_4}].Rp	P12[{_5}].Rp	P12[{_6}].Rp	P12[{_7}].Rp	P12[{_8}].Rp	P13[{_1}].Rp	P13[{_2}].Rp	P13[{_3}].Rp	P13[{_4}].Rp	P14	P15[{_1}].Rp	P15[{_2}].Rp	P15[{_3}].Rp	P15[{_4}].Rp	P16[{_1}].Rp	P16[{_2}].Rp	P16[{_3}].Rp	P16[{_4}].Rp	P17	P18	P19	P19_COD	P20	P21	P22	P23	P24	P25	P27	P28	P29	P30	P32
xz3IJwevUE9l	PEQUEÑA	MP	SANTIAGO	Hombre	No	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	3	POR MAL SERVICIO, CALIDAD DEL SERVICIO Y POSVENTA.	Mal servicio,Mal servicio post venta	NS/NR	5	5	5	NS/NR	INTERNET BANDA ANCHA	4	5	6	5	4	3	No	No	Sí	No	No	Sí	Sí	Sí	NA	NA	3	NA	NA	4	2	4	NA	NA	Ejecutivo asignado	NA	NA	Ejecutivo asignado	Ejecutivo asignado	Ejecutivo asignado	4	NA	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios	Sí	NA	NA	NA	3	NA	NA	NA	No cumple las necesidades que usted tiene como administrador	Sí	MAL SERVICIO, NO ENTRAN LAS LLAMADAS, EL INTERNET ES BAJO, MALA CALIDAD DEL SERVICIO.	Malos servicios,Cobertura para hacer y recibir llamadas/ se cortan las llamadas/ caída de líneas,Problemas con internet/ caídas/ internet lento	Sí	No fue solucionado	NA	1	Está Igual	0	99	CONSULTORÍA	1 AÑO	SANTIAGO	DUEÑO
HiMMoFS08Vs9	PEQUEÑA	AP	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	Entel	Entel	Entel	NA	NA	NA	6	PRINCIPALMENTE EN CUANTO A CALIDAD DEL SERVICIO NO HAY NADA QUE DECIR CON RESPECTO A ENTEL PERO SI MUCHOS PROBLEMAS CON EL EJECUTIVO COMERCIAL QUE TENEMOS ASIGNADO. EN CUANTO A LA CALIDAD DE SERVICIO COMO COMPAÑÍA NO TENGO NADA QUE DECIR, NO HAY FALLAS DE PROBLEMAS DE CORTE, LA VELOCIDAD SE MANTIENE CONSTANTE, NO HAY FLUCTUACIONES, TODO ESO FUNCIONA MUY BIEN MI ÚNICO TEMA ES CON EL EJECUTIVO COMERCIAL, EN QUE NO HE TENIDO FLUCTUACIONES COMO HE TENIDO EXPERIENCIAS CON OTRAS COMPAÑÍAS EN OTRAS EMPRESAS DONDE HE TRABAJADO, QUE SON INESTABLES EN CUANTO A LA VELOCIDAD, YO CONTRATO UNA VELOCIDAD ESTIMADA Y SE SUPONE QUE DEBO MEEN ESA VELOCIDAD Y TIENDEN A SER MAS BAJAS DE LO QUE UNO HA CONTRATADO Y TIENE UNO QUE ESTAR RECLAMANDO CONSTANTEMENTE, EN ENTEL ESTO NO ME SUCEDE, SIEMPRE SE MANTIENE CONSTANTE LA VELOCIDAD.	Buen servicio/ eficiente,Servicio estable/ no se cae,Buen servicio de internet/ rápido/ estable,No tiene contacto con los clientes/ difícil contactarse con la cia.	7	7	7	7	7	MPLS	7	7	7	7	6	7	Sí	Sí	No	Sí	Sí	Sí	Sí	No	6	6	NA	5	7	6	7	NA	Ejecutivo asignado	Ejecutivo asignado	NA	Ejecutivo asignado,A través de la web con clave Mi Entel Empresas	Ejecutivo asignado	Ejecutivo asignado,A través de la web con clave Mi Entel Empresas	Ejecutivo asignado	NA	5	NA	7	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Ejecutivo de Atención que atiende sus requerimientos Post-Venta	Sí	Sí	NA	NA	7	5	NA	NA	Cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	NA	7	Está Igual	10	120	INDUSTRIA	MÁS DE 5 AÑOS	LOS ANGELES Y NACIMIENTO	ENCARGADO DE VPI
sCPMbd3WhJ05	PEQUEÑA	AP	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	Entel	Telefónica/ Movistar	Claro/ Telmex	NA	NA	NA	5	PORQUE HEMOS TENIDO VARIOS PROBLEMA EN UN TIEMPO EN LA CONCEPCIÓN.	Ha tenido problemas	6	6	6	6	6	INTERNET BANDA ANCHA	5	6	6	6	5	7	No	No	No	No	Sí	No	Sí	No	NA	NA	NA	NA	5	NA	4	NA	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	A través del Call center, empresa línea 600, línea 800	NA	NA	5	NA	NA	Ejecutivo de Atención que atiende sus requerimientos Post-Venta	NA	Sí	NA	NA	NA	7	NA	NA	Cumple las necesidades que usted tiene como administrador	Sí	PROBLEMA DE CONCEPCIÓN INTERMITENTE LA CONCEPCIÓN CAÍDA DE LA CONCEPCIÓN	Caída del sistema/ servicio	Sí	Si fue solucionado	5	6	Ha empeorado	9	240	ES UNA CLÍNICA SALUD	7 O 8 AÑOS	TEPO	ENCARGADO DE SISTEMA
2f9mIs0DNmkE	PEQUEÑA	Mas	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	6	PORQUE EN GENERAL ESTÁ BIEN, ES DECIR QUE EL SERVICIO ES CORRECTO LA ATENCIÓN ES CORRECTA, SOLO A VECES EL INTERNET ESTÁ MUY LENTO.	Buenos servicios,Buena atención/ amables,Mal servicio internet/ se cae/ lento/ falla	6	6	5	5	NS/NR	INTERNET BANDA ANCHA	5	4	5	4	6	6	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	5	Está Igual	7	5	COMERCIO	6 AÑOS	PROVIDENCIA	GERENTE
cYejN1RgRkfq	MEDIANA	AP	SANTIAGO	Mujer	No	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS)"	Entel,Otra ¿Cuál?	Entel	NA	MUNDO PACIFICO	NA	NA	7	PORQUE HE TENIDO BUENOS SERVICIOS CON ELLOS Y A BUEN PRECIOS EN TELEFONÍA QUE TENEMOS PLAN EMPRESA E INTERNET FIJO QUE TENEMOS TAMBIÉN Y NADA MAS	Buenos servicios,Buenos precios	7	7	6	7	7	MPLS	7	7	7	7	7	7	Sí	No	No	No	No	No	No	No	7	NA	NA	NA	NA	NA	NA	NA	En tienda/ sucursales	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	Ejecutivo de Atención que atiende sus requerimientos Post-Venta	NA	No	NA	NA	NA	NA	NA	NA	Cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	NA	7	Ha mejorado	10	100	CONSTRUCCION	2 AÑOS	LAMPA	ADMINISTRADORA
1CiqXdxMF0r5	PEQUEÑA	AP	SANTIAGO	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	7	PORQUE HASTA EL MOMENTO NO HE TENIDO PROBLEMAS, EN GENERAL, LOS SERVICIOS EN GENERAL, PORQUE HUBO UN TIEMPO QUE SÍ SE CAÍAN MUCHO PERO DESPUÉS DE UN TIEMPO YA SE SOLUCIONÓ, NO HA HABIDO NINGÚN PROBLEMA. EL INTERNET DE BANDA ANCHA ES LA QUE SE CAE. LO QUE PASA ES QUE TRABAJAMOS INFORMÁTICA, ENTONCES, EN GENERAL, EL SERVICIO DE BANDA ANCHA PARA NOSOTROS ES SÚPER IMPORTANTE Y ES LO QUE MÁS NOTAMOS CUANDO TIENE CAÍDAS.	No ha tenido problemas/ conforme/ todo bien,Buenos servicios	7	7	7	7	6	INTERNET BANDA ANCHA	7	7	7	7	7	5	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Ejecutivo de Atención que atiende sus requerimientos Post-Venta	No	No	NA	NA	NA	NA	NA	NA	Cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	NA	7	Ha mejorado	8	90	INFORMÁTICA	UNOS CINCO AÑOS	SANTIAGO	SECRETARIA
dWbzzo0xdIKR	MEDIANA	AV	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	7	"PORQUE ESTOY SATISFECHO; YO CREO QUE LA ATENCIÓN CON LOS EJECUTIVOS SON BUENOS."	No ha tenido problemas/ conforme/ todo bien,Buena atención/ amables	7	7	7	7	4	INTERNET BANDA ANCHA	7	6	6	6	7	7	Sí	No	No	No	Sí	No	No	No	7	NA	NA	NA	7	NA	NA	NA	Ejecutivo asignado	NA	NA	NA	Ejecutivo asignado	NA	NA	NA	7	NA	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Ejecutivo de Atención que atiende sus requerimientos Post-Venta	Sí	No	NA	NA	7	NA	NA	NA	Cumple las necesidades que usted tiene como administrador	Sí	HEMOS TENIDO UN TEMA PROBLEMA CON EL SERVICIO FIJO, UN PROBLEMA QUE HUBO CON EL PAGO DE LA FACTURA, NO SÉ SI NO ME LLEGO LA FACTURA O LA INFORMACIÓN Y ME LOS SUSPENDIERON.	No llegan las facturas/ atraso en la factura,Poco flexible ante atrasos	Sí	Si fue solucionado	7	7	Está Igual	6	75	ASESORIA EN INFORMATICA	5 AÑOS	LAS CONDES	JEFE ADMINISTRATIVO Y DE RECURSOS HUMANOS
76FIFE8MNldd	GGEE	AV	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel,Telefónica/ Movistar	NA	Entel,Telefónica/ Movistar	NA	NA	NA	5	PORQUE DE REPENTE TENGO CITAS DILIGENTES QUE NO SE CUMPLEN, SON LENTOS PORQUE SE DEMORAN EN QUE SE CUMPLA LO QUE ESTOY SOLICITANDO, EN FIJO NO HAY MUCHO MOVIMIENTO EN REALIDAD.	No cumplen lo ofrecido/no respetan valores/ engañan,Demora en soluciones	7	6	6	6	6	INTERNET BANDA ANCHA	7	5	5	4	6	6	No	No	No	Sí	No	No	No	No	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	Ejecutivo asignado	NA	NA	NA	NA	7	NA	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Ejecutivo de Atención que atiende sus requerimientos Post-Venta	Sí	Sí	NA	NA	6	7	NA	NA	Cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	NA	6	Está Igual	8	1700	EPC CONSTRUCCIÓN EPC,SERVICIOS.	4 AÑOS	SANTIAGO	ENCARGADO BTI
ZutXfXM94Nk6	MEDIANA	Mas	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel,VTR	NA	Entel	NA	NA	NA	5	PORQUE A VECES CUESTA COMUNICARSE CON ELLOS.	No tiene contacto con los clientes/ difícil contactarse con la cia.	6	5	5	6	5	INTERNET BANDA ANCHA	5	5	5	3	5	6	No	No	Sí	No	No	No	No	No	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	5	Está Igual	8	5	ENERGÍA SOLAR	6 AÑOS	ANTOFAGASTA	DUEÑO
6klNEIvsRpuf	MEDIANA	Mas	REGIONES	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	5	POR UN LADO ES RÁPIDO, EN WIFI EN COMPARACIÓN  CON OTROS ES MAS RÁPIDO Y MAS ESTABLE  Y POR OTRO LADO ES UN POCO CARO EL PRECIO ES MAS ALTO	Buen servicio de internet/ rápido/ estable,Es caro/ planes caros	6	6	6	6	1	INTERNET BANDA ANCHA	6	5	5	5	5	5	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	5	Está Igual	6	5	IMPORTACION	4 AÑOS	IQUIQUE	ADMINISTRADORA
6bVqxnSxeej0	MEDIANA	MP	REGIONES	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Claro/ Telmex,VTR	NA	NA	NA	6	PORQUE GENERALMENTE ESTÁ BUENA, NO SIEMPRE, PERO GENERALMENTE ESTÁ BUENA LA SEÑAL, EN BANDA ANCHA, ESO NO MÁS ES LO QUE TENGO CON ENTEL. SI ESTUVIERA SIEMPRE LE HUBIERA PUESTO UN 7, PERO COMO NO SIEMPRE ESTÁ BUENA UN 6.	Funciona bien,Buena señal,Se cae el servicio/ se corta/ intermitente	3	3	3	5	3	INTERNET BANDA ANCHA	6	5	NS/NR	5	3	7	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios	No	NA	NA	NA	NA	NA	NA	NA	No cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	NA	5	Está Igual	1	13	TRANSPORTE DE CARGA POR CARRETERA	3 AÑOS	CALAMA, SEGUNDA REGIÓN (REGIONES)	REPRESENTANTE LEGAL
vC70GPDpdzSL	PEQUEÑA	Mas	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel,GTD/ Manquehue,Telefónica/ Movistar	NA	Telefónica/ Movistar	NA	NA	NA	4	PORQUE HA DESMEJORADO SU CALIDAD DE SERVICIO, ES DECIR SU CONEXIÓN ES INTERMITENTE.	Se cae el servicio/ se corta/ intermitente	6	5	5	5	4	INTERNET BANDA ANCHA	4	4	4	4	4	6	Sí	Sí	No	Sí	Sí	No	Sí	Sí	5	5	NA	4	4	NA	4	4	En tienda/ sucursales	En tienda/ sucursales	NA	En tienda/ sucursales	En tienda/ sucursales	NA	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	NA	4	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	INTERMITENCIA EN EL SERVICIO, ES DECIR SE CORTA SE DA, SE CORTA SE DA ESO.	Mala señal/ problemas de señal	Sí	Está en trámite	NA	5	Ha empeorado	5	8	INGENIERA ELÉCTRICA	8 AÑOS	SANTIAGO ITALAGAN	ADMINISTRADOR
fMExxatplOTH	GGEE	AP	NS/NR	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS)"	Entel	Entel	NA	NA	NA	NA	7	PORQUE EN RELACIÓN AL SERVICIO ES ESTABLE, NO TENEMOS INTERMITENCIA, O NO HAY CORTES O CAÍDAS CONSTANTES, O SEA ES BASTANTE ESTABLE Y EN RELACIÓN AL SOPORTE EL TIEMPO DE RESPUESTA ES RÁPIDO, POR EJEMPLO HAY UNOS LOCALES DONDE NO TENGO CONEXIÓN Y EMITO EL REPORTE Y EN UNA HORA A MÁS TARDAR YA ESTÁN LOS TÉCNICOS DE ENTEL HACIENDO LA REVISIÓN, O VISITANDO EL LOCAL,ES EN GENERAL, A NIVEL DE CONEXIÓN, A NIVEL DE DATOS Y A NIVEL DE MPLS.	Servicio estable/ no se cae,Soluciones rápidas	7	7	7	7	7	MPLS	7	7	7	7	7	7	No	Sí	No	No	No	No	No	No	NA	7	NA	NA	NA	NA	NA	NA	NA	Ejecutivo asignado	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Ejecutivo de Atención que atiende sus requerimientos Post-Venta	Sí	Sí	NA	NA	7	7	NA	NA	Cumple las necesidades que usted tiene como administrador	Sí	TUVIMOS UNA CAÍDA O UNA FALLA DE CONEXIÓN CON UNO DE LOS LOCALES, O COMUNICACIÓN CON UNO DE LOS LOCALES SE EMITIÓ EL REPORTE A SOPORTE EN ESTE CASO A ENTEL Y FUE ATENDIDO A LA BREVEDAD.	Conectividad/ conexión	Sí	Si fue solucionado	7	7	Ha mejorado	10	100	COMERCIALIZADORA DE RPODUCTOS	5 AÑOS	CONCEPCION	ENCARGADO DE TI
8MVm9P9setwa	MEDIANA	MP	REGIONES	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel,Telefónica/ Movistar	NA	Entel,Telefónica/ Movistar	NA	NA	NA	7	PORQUE HE TENIDO RAPIDEZ EN SOLUCIÓN DE ALGUNAS SITUACIONES, NO TENGO PROBLEMA CON LA CONECTIVIDAD, COSA QUE NO ME PASA CON OTRA EMPRESA.	Soluciones rápidas,Servicio estable/ no se cae	7	7	NS/NR	6	NS/NR	INTERNET BANDA ANCHA	7	5	6	6	7	7	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios	No	NA	NA	NA	NA	NA	NA	NA	Cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	NA	7	Está Igual	9	12	FARMACIA	2 AÑOS	ATACAMA	ADMINISTRADORA
XkNzPyd645bC	PEQUEÑA	MV	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	7	PORQUE ESTOY SATISFECHO EN LA CUENTA.	No ha tenido problemas/ conforme/ todo bien	7	7	7	7	NS/NR	INTERNET BANDA ANCHA	7	7	7	7	4	7	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios	Sí	NA	NA	NA	4	NA	NA	NA	Cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	NA	7	Está Igual	10	30	VENTAS	8 AÑOS	CONCEPCIÓN	REPRESENTANTE LEGAL
OOnGv4Lka0c5	MEDIANA	AP	REGIONES	Mujer	Sí	Sí	"a.	Internet Banda Ancha"	Entel	NA	NA	NA	NA	NA	6	PORQUE EN GENERAL ES MUY BUENO EN LA SEÑAL, DE REPENTE SE VA LA SEÑAL PERO NO ES MUCHO.	Buena señal	7	7	7	7	7	INTERNET BANDA ANCHA	7	7	7	7	7	7	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios	No	NA	NA	NA	NA	NA	NA	NA	Cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	NA	7	Está Igual	10	20	PARKING GEOGRIFICO	2 AÑOS	SAN JABIER, REGIONES NOBLES.	ASISTENTE CONTABLE
IWMDHFl22RAP	GGEE	AV	REGIONES	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel,VTR	NA	Entel,VTR	NA	NA	NA	6	PORQUE CONSTANTEMENTE VOY VIENDO NUEVOS PLANES QUE VAN SALIENDO Y LA PARTE CUENTA EMPRESA COMO QUE NO HAY INSTANCIA POR PARTE DE ENTEL DE ACCESO A LOS PLANES, NO HAY ACTUALIZACIONES CON LOS NUEVOS BENEFICIOS QUE VAN SALIENDO. UNO TIENE QUE ESTAR ATENTO A HACER LOS CAMBIOS, HAY COMO UN CUIDADO RESPECTO A LA CUENTA EMPRESAS EN ESE SENTIDO. ME REFIERO A QUE UNO VE PLANES QUE SON MUY ATRACTIVOS, MAS BARATOS, TIENEN MAS MINUTOS E INTERNET Y LAS CUENTAS EMPRESAS NO VAN DE LA MANO LAS ACTUALIZACIONES QUE VA HACIENDO LA COMPAÑÍA Y TIENE QUE ESTAR UNO HACIENDO LOS CAMBIOS.	Malos planes,No tiene contacto con los clientes/ difícil contactarse con la cia.,Es caro/ planes caros	7	7	7	6	NS/NR	INTERNET BANDA ANCHA	7	7	7	7	6	6	Sí	Sí	No	No	No	Sí	No	No	7	7	NA	NA	NA	6	NA	NA	Ejecutivo asignado	Ejecutivo asignado	NA	NA	NA	A través de la web con clave Mi Entel Empresas	NA	NA	7	NA	6	NA	Ejecutivo de Atención que atiende sus requerimientos Post-Venta	NA	Sí	NA	NA	NA	7	NA	NA	Cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	NA	7	Está Igual	5	70	SERVICIOS DE INGENIERÍA	MAS DE 8 AÑOS	CUARTA REGION	INGENIERO DE GESTION
flZVCWldVYL6	PEQUEÑA	MV	SANTIAGO	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	7	PORQUE  LA VERDAD NUNCA HE TENIDO NINGÚN PROBLEMA, LAS VECES QUE HE LLAMADO ME RESUELVEN LA DIFICULTAD EN UN MOMENTO, NO HE TENIDO NINGÚN TIPO DE PROBLEMA.	No ha tenido problemas/ conforme/ todo bien,Soluciones rápidas	6	7	5	5	5	INTERNET BANDA ANCHA	6	6	6	6	7	7	No	Sí	No	No	No	Sí	No	No	NA	7	NA	NA	NA	7	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	NA	NA	A través de la web con clave Mi Entel Empresas	NA	NA	NA	7	7	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Equipo de ejecutivos llamado Círculo de Atención Preferente  que es el *106 desde móvil y <br/>6003600106 desde red fija que atiende sus requerimientos de post-venta	No	NA	Sí	NA	NA	NA	7	NA	Cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	NA	7	Está Igual	8	7	ASESORÍAS CONTABLES	8 AÑOS	SANTIAGO	ENCARGADA DE ADMINISTRACIÓN DE FINANZAS
MWrUGqDfqcO5	MEDIANA	AV	SANTIAGO	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	Entel,Telefónica/ Movistar	Entel	Entel	NA	NA	NA	5	POR LA ATENCIÓN A NIVEL EMPRESAS, ÚLTIMO TIEMPO HA BAJADO LA CALIDAD DE LA ATENCIÓN, EN RAPIDEZ, QUE LA ATENCIÓN YA NO ES TAN EFICIENTE COMO ERA HACE DOS AÑOS ATRÁS, YA NO SON TAN EFICIENTES EN EL TEMA DE LA ATENCIÓN DE EMPRESAS, CUANDO UNO SOLICITA ALGO AL EJECUTIVO DE LAS GRANDES EMPRESAS, LA ATENCIÓN NO ES TAN EFICIENTE, NO ES TAN RÁPIDA.	Atención lenta,Demora en soluciones	5	5	5	6	6	MPLS	6	6	5	5	4	4	No	No	No	Sí	Sí	Sí	No	Sí	NA	NA	NA	4	4	5	NA	4	NA	NA	NA	Ejecutivo asignado	NS/NR <b>(NO LEER)</b>	A través de la web con clave Mi Entel Empresas	NA	NS/NR <b>(NO LEER)</b>	4	NA	7	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Ejecutivo de Atención que atiende sus requerimientos Post-Venta	Sí	Sí	NA	NA	4	4	NA	NA	Cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	NA	2	Ha empeorado	4	100	SERVICIOS FINANCIEROS	15 AÑOS	SANTIAGO CENTRO	JEFE DE UNIDAD DE CONTROL Y INSPECCION
5alowSo9n9sl	PEQUEÑA	MV	SANTIAGO	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	7	POR EL SERVICIO POS-VENTA, EL EJECUTIVO ME ATIENDE CUANDO YO LE ESCRIBO, ME MEJORA LOS PLANES CUANDO ENTEL, POR EJEMPLO CUANDO TIENE UNA BAJA EN SUS PLANES, ME OFRECE POR LA MISMA CANTIDAD DE DINERO OFRECE UN MEJOR SERVICIO, EL ME ACTUALIZA, SI YO LE PIDO UNA LINEA, LE ESCRIBO A SU WHATSHAP, ME CONTESTA DE INMEDIATO, 																																																																	
																																																																																
																																																																																
																																																																																
Buen servicio de los ejecutivos/ apoyo/ atención,Solucionan problemas,Soluciones rápidas,No ha tenido problemas/ conforme/ todo bien	7	7	7	7	5	INTERNET BANDA ANCHA	5	7	7	7	7	7	Sí		No	No	No		Sí	No	7	7		NA	NA	NA	7	NA	Ejecutivo asignado	Ejecutivo asignado	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	7	7	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios	Sí	NA	NA	NA	7	NA	NA	NA	Cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	NA	7	Ha mejorado	10	8	PROAU	"4 A;O"	SANTIAGO CENTRO	GETE ANDM IGFN																
42jaRx6mJoAc	PEQUEÑA	MV	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	Entel	Entel	Telefónica del Sur	NA	NA	NA	6	NO LE CUENTO MUCHO PORQUE TENGO POCO TIEMPO. PORQUE ES BUENO, MÁS QUE NADA, FÁCIL PARA COMUNICARSE, MÁS QUE NADA POR ESO, PORQUE EXISTE ESA FACILIDAD EN PODER COMUNICARSE.	Lleva poco tiempo/ esta hace poco,Buenos servicios,Buen servicio de los ejecutivos/ apoyo/ atención	6	7	6	6	6	INTERNET BANDA ANCHA	7	6	6	6	6	7	No	Sí	No	No	No	No	No	No	NA	7	NA	NA	NA	NA	NA	NA	NA	En tienda/ sucursales	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	No tiene Ejecutivo <b>(NO LEER)</b>	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7	Ha mejorado	10	10	ASESORÍAS CONTABLES FIDUCIARIAS.	15 AÑOS.	VALDIVIA.	GERENTE.
