encriptado	P3 Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7 = Muy satisfecho, ¿Cuán satisfecho está usted con Entel?	P4 ¿Por qué evalúa con esa nota?	SEG_CORFO	SEG_GOL	Ciudad_comuna	sex_enc	Regionx	Rubro
xe9AowxOtmWo	6	hay pedido en la señal buena, el servicio posventa es muy lento	MEDIANA	MP	santiago, La Reina	Hombre	SANTIAGO	servicios de ingeniería
wSzZfI7Eosve	6	PORQUE LA CUENTA TIENE DIFERENCIAS EN LOS VALORES, NO SABEN EXPLICAR LA RAZÓN.	PEQUEÑA	Mas	IQUIQUE	Mujer	REGIONES	IMPORTACION Y EXPORTACION
qRXQUGXimDuW	6	"PORQUE EN GENERAL FUNCIONA BIEN CREO QUE HA MEJORADO, SE HA NOTADO UN CAMBIO EN EL ÚLTIMO TIEMPO DE CALIDAD DE ATENCIÓN; O SEA COMUNICARSE CON UN EJECUTIVO DE ENTEL PARA PEDIR ALGO ERA MUY DIFICIL Y EL CANAL DE COMUNICACIÓN HA MEJORADO MUCHO, HEMOS TENIDO PROBLEMAS PERO YO CREO QUE SON NATURALES, LO IMPORTANTE ES QUE HAY PROBLEMAS CON LA CONEXIÓN A INTERNET PERO LA MEDIDA ES QUE HAY RESPUESTA RÁPIDA ENTONCES UNO QUEDA TRANQUILO, EL PORBLEMA ES CUANDO NO HAY RESPUESTA. PERO TUVIMOS UNA HISTORIA CON PROBLEMAS ANTIGUAMENTE POR ESO TODAVIA NO LE PONGO UN SIETE."	MEDIANA	AV	PROVIDENCIA	Hombre	SANTIAGO	INMOBILIARIA
Of9BbYVyK5Yu	7. Muy satisfecho	EN GENERAL LOS TIEMPOS DE RESPUESTA SON RAPIDOS EL SERVICIO ES BASTANTE ESTABLE Y LA RECUPERACION ES RAPIDA, HEMOS TENIDO UN SERVICIO.	MEDIANA	AV	LAS CONDES	Hombre	SANTIAGO	PUBLICIDAD Y MARKETING
ex23dDIq1CvX	6	"PORQUE FALTAN PEQUEÑOS DETALLES. PERO, ES UNA MUY BUENA EMPRESA; TENGO BUEN SERVICIO CON ELLOS EN TELEFONÍA FIJA."	MEDIANA	MP	PROVIDENCIA	Hombre	SANTIAGO	CONSULTORÍA Y ASESORÍAS
zg6q7lFJRdUb	7. Muy satisfecho	PORQUE IGUAL ELLOS REBAJARON LOS VALORES QUE SE HAN COBRADO DURANTE DLA PANDEMIA Y ESO NOS HA AYUDADO VBASNTE NO HEMOS TENDIO PROBELMAS DE CORTE DE COMUNICACION	MEDIANA	MP	PROVIDENCIA  LAS CONDE CHIOLIURA	Mujer	SANTIAGO	CLINICA ODONTOLOGICA
9tEAJ7OeETDF	7. Muy satisfecho	PORQUE DEDSE QUE TENEMOS ENTEL COMO HACE 4 AÑOS NO HEMOS TENIDO FALLAS NI NADA EL COSTO BASTANTE MAS BARATO QUE LA COMPETENCIA	PEQUEÑA	MP	PROVIDENCIA	Hombre	SANTIAGO	ASESORIAS CONTABLES
FIJCwPmpmKx5	6	"PORQUE ESTOY SATISFECHA EN EL SERVICIO; QUE NO TENGO PROBLEMAS Y QUE ME RESULTA. PERO, IGUAL FALLA A VECES EN QUE SE CAE EL INTERNET."	PEQUEÑA	Mas	SANTIAGO, CONCHALI	Mujer	SANTIAGO	FABRICACIÓN DE PUERTAS DE SEGURIDAD
mkjws2bGiQGw	7. Muy satisfecho	POR QUE EL SERVICIO ES CONFIABLE, NO HAY CAIDAS. LA FACTURACION ES TRANSPARENTE.	GGEE	AV	SANTIAGO	Hombre	SANTIAGO	FABRICACION Y COMERCIALIZACION
JXrTqdHJsVCL	5	PORQUE LA VERDAD ES QUE TIENE MUY BUENA CONECTIVIDAD Y TODO PERO NO TIENE COBERTURA EN TODAS LAS ZONAS POR ESO TENEMOS CON 3 SI TUVIESE LA CONECTIVIDAD EN TODOS LOS LUGARES LO TENDRIAMOS CON ELLOS	MEDIANA	AP	TALCA MALHUE	Hombre	NS/NR	ADMINISTRACION DE HOGARES PROTEGIDOS, CLINICA PSIQUIATRICA
DyIMXfy5tAqH	7. Muy satisfecho	PORQUE TIENE BUENA SEÑAL NUNCA FALLA ES RAPIDO, CUMPLE CON LO NECESARIO PARA EMPRESA.	PEQUEÑA	MV	PROVIDENCIA SANTIAGO	Mujer	SANTIAGO	SERVICIOS MEDICOS
RTCLQPIh3tZG	5	"PORQUE QUIERO BAJAR LA CUENTA, EL VALOR DE LA CUENTA; ESTÁMOS BARATANDO COSTOS POR LA SITUACIÓN ECÓNOMICA QUE HAY HOY DÍA EN EL PAÍS, IGUAL ME GUSTA PERO LO ESTOY EVALUANDO PARA BAJAR LOS COSTOS, ESTA MUY ALTO."	PEQUEÑA	MP	PUDAHUEL	Mujer	SANTIAGO	CORTINAS MÉCANICAS DE SEGURIDAD INDUSTRIAL
g1j2bzXz3vtC	7. Muy satisfecho	para lo que lo uso me funciona bien, o sea tengo una oficina a la que no voy siempre, y cuando necesito internet y me fuciona bien,	MEDIANA	Mas	SANTIAGO	Hombre	SANTIAGO	Construccion
SmrWUMJERQHq	7. Muy satisfecho	ENTEL PARA MI OPINION PRESTA  UN BUEN SERVICIO, FUNCIONA MUY BIEN, HABLO BIEN POR TELEFONO, NO TENGO PROBLEMAS ESTAMOS SATISFECHOS//NO DA MAS INFORMACION	PEQUEÑA	Mas	RENCA	Mujer	SANTIAGO	MAESTRANZA
GQClxaqWKEjl	7. Muy satisfecho	"PORQUE SIEMPRE RESPONDEN A TODOS LOS REQUERIMIENTOS Y ES BUENO EL SERVICIO; TIENE BUENA BANDA ANCHA, NUNCA HE TENIDO PROBLEMAS CON ENTEL."	PEQUEÑA	Mas	SANTIAGO PROVIDENCIA	Mujer	SANTIAGO	SERVICIOS MÉDICOS
oktv7M05jL1D	6	PORQUE EL SERVICIO FUNCIONA Y LA ATENCIÓN ES RAZONABLEMENTE BUENA NO HEMOS TENIDO NI UN PROBLEMA	GGEE	AV	PROVIDENCIA SANTIAGO	Hombre	SANTIAGO	INGENIERÍA DE TRANSPORTE
LssfZQlSZ87f	4	PORQUE A VECES SE CORTA SE PONE LENTO, SE PNSE LENTO EL COMPU	MICRO	Mas	SANTIAGO	Hombre	SANTIAGO	PROGRAMAS SOCIALES
NxCdMxuLWGlO	5	DE REPENTE SE CAE, A VECES OFRECEN GIGAS QUE NO CORRESPONDE, INTERNET BANDA ANCHA SE CAE.	PEQUEÑA	MP	PEÑAFLOR	Hombre	SANTIAGO	SERVICIOS DE SEGURIDAD TECNOLOGICA
x46FnMHldL54	6	Porque en general funciona bien, hemos tenido buena relacion comercial, pero, al principio fue horrible, pero ahora funciona bien.	MICRO	Mas	Providencia	Mujer	SANTIAGO	Gestión Inmobiliaria
xFDI3DIf3CZG	7. Muy satisfecho	PORQUE NO HE TENIDO PROBLEMAS CUANDO REQUERIMOS SERVICIOS ACTUAN RAPIDO, SEA REPARACION O CONSULTA ACTUAN RAPIDO, SOLO ESO.	GGEE	AV	COLLIPULLI ARAUCANIA NORTE	Hombre	REGIONES	QUIMICO
MWrUGqDfqcO5	7. Muy satisfecho	"PORQUE ES UNA ATENCIÓN FIABLE, ÓPTIMA EN LA ATENCIÓN DE LOS EJECUTIVOS, LA ASESORÍA, EN TODO ASPECTO, EN LA ASESORÍA TÉCNICA, SON RESPONSABLES LOS PLAZOS QUE ESTIPULAN, EN GENERAL LLEVAMOS MÁS DE 20 AÑOS TRABAJANDO CON ENTEL Y NUNCA HEMOS TENIDO UN PROBLEMA EN ATENCIÓN; POR LA ATENCIÓN DE LOS EJECUTIVOS POR LA ASESORÍA EN RELACIÓN A LOS CAMBIOS QUE HEMOS TENIDO EN LOS ÚLTIMOS TIEMPOS Y ESO MÁS QUE NADA, POR PRECIO TE PODRÍA DECIR QUE NO PORQUE NO HAY MEJOR PRECIO PERO LA MEJOR ATENCIÓN EN RELACIÓN A LA COMPETENCIA."	MEDIANA	AV	SANTIAGO CENTRO	Mujer	SANTIAGO	SERVICIOS FINANCIEROS
HURNRiU0FTv2	4	LA INTERMITENCIA DEL SERVICIO,NO SIEMPRE LA VELOCIDAD ES LA QUE SE CONTRATO.	MEDIANA	MP	CORONEL.	Hombre	REGIONES	EDUCACION.
bnhfKmnjtOkm	1. Muy insatisfecho	"UNO, TIENEN EL MONOPOLIO DEL SECTOR Y NO ME PUEDO CAMBIAR. DOS, ES UN ASCO LA BANDA ANCHA; NO HAY BANDA ANCHA EN QUE EL SERVICIO OFRECIDO NO ES LO QUE REALMENTE ENTREGAN. LAMENTABLEMENTE, EN EL SECTOR INDUSTRIAL ES LO ÚNICO QUE HAY; NO HAY OTRA EMPRESA CON LA CUAL PUDIERA OPTAR, POR EJEMPLO, PUDIERA DECIR: ME CAMBIO A VTR, NO, VTR NO LLEGA PORQUE NO LLEGA NADIE MÁS, SÓLO ENTEL."	GGEE	Mas	SAN BERNARDO	Hombre	SANTIAGO	MINERÍA
4bCfFNPyuNdz	7. Muy satisfecho	PORQUE LA CONECTIVIDAD ES BASTANTE BUENA HACE BASTANTE AÑOS TRABAJAMOS CON ENTEL Y NO HEMOS TENIDO PROBLEMAS. LA EJECUTIVA SIEMPRE HA SIDO BASTANTE SERVICIALES Y LA ATENCION ES PERSONALIZADA, SOLO ESO.	MEDIANA	MP	PUERTO MONT LOS LAGOS	Mujer	REGIONES	INSTALACIONES ELECTRICAS
lvr8xN8OpMNG	6	PORQUE CUANDO NO LO USO ME SIGUEN COBRANDO EXACTAMENTE IGUAL EN QUE ESTUVO 4 MESES CERRADO EL LOCAL Y ME COBRARON LO MISMO.	PEQUEÑA	Mas	LAS CONDES	Hombre	SANTIAGO	COMERCIO
68Cj3u9ohAMK	7. Muy satisfecho	POR ESTABILIDAD, RESPUESTA AL SERVICIO. NO FALLA.	PEQUEÑA	Mas	PROVIDENCIA	Hombre	SANTIAGO	SERVICIO DE ASESORIA
G9tnN9mqyQK2	7. Muy satisfecho	PORQUE FUNCIONA.LO QUE NOS OFRECIERON FUNACIONA Y TIENEN BUEN SERVICIO,LA VEZ QUE FALLO,LLAME Y ME LO SOLUCIONARON AL TIRO.	PEQUEÑA	Mas	PROVIDENCIA	Hombre	SANTIAGO	ESTUDIO JURIDICO
dep4Y0tNfjyt	5	Porque de repente se cae la señal, cae la señal no da en todos los sectores.	PEQUEÑA	Mas	Providencia	Mujer	SANTIAGO	Capacitacion
M0t2DSoe9QHj	6	a veces hay temas de transmisión de datos que tiene fallas, se corta y a veces no funciona pero son pequeños errores y solo sucede a veces	PEQUEÑA	Mas	providencua	Hombre	SANTIAGO	proyectos de arquitectura
S70fR9wemxIp	5	PORQUE PODRIA SER MEJOR, MAS BARATO Y MAS CLARA LA FACTURACION, SOLO ESO.	MICRO	Mas	PROVIDENCIA	Mujer	SANTIAGO	TRANSPORTE INTERNACIONAL
zsFOQPqzdURC	6	ALGUNOS ERRORES EN EL SERVICIO, DEMORA EN TIEMPOS DE RESPUESTA, CORTES EN EL CABLEADO.	GGEE	MP	SAN BERNARDO	Mujer	SANTIAGO	DISTRIBUIDORA DE CARNE
4uyTs2bxhYLB	5	No siempre esta el ancho de banda que tengo contratado, los 300 megas no siempre estan cuando realizo la medición y cuesta mucho contactarse con los canales de comunicacion, cuesta contactarse con algun ejecutivo para resolver un problema	PEQUEÑA	Mas	Santiago	Hombre	SANTIAGO	Servicios de Salud
J3BAZZbx9zlP	6	POR QUE TODOS TIENEN EL MISMO PROBLEMA COLAPSO DE LAS REDES, POR QUE DE MOMENTO SI UNO NECESITA MAS LA TRANSFERENCIA DE DATOS TODO ESTA COLAPSO SE HAN CAIDO  REITERADAS VECES TODAS LAS COMPAÑIAS.	PEQUEÑA	MV	VALPARAISO	Hombre	REGIONES	SERVICIOS RECOGIA DE RECIDUOS NO PELIGROSOS
ixNUylIkWuxm	7. Muy satisfecho	PORQUE TIENEN UN BUEN SERVICIO, CONSTANTE ESTABLE.	MEDIANA	MP	ÑUÑOA	Hombre	SANTIAGO	CONSULTORIA
ivyOKFRLtHgo	3	PORQUE AHORA EL LA PANDEMIA SE HA DESORDENADO LOS PLANES. ME COBRAN COSAS QUE NO TIENEN NADA QUE VER. PARA RESOLVER UN PROBLEMA NO TIENEN OPCIONES. SOLO TIENE OPCIONES PARA CONTRATAR PERO PARA RESOLVER NO ME PESCA. LOS MONTOS SUBIERON POR LA PANDEMIA.	PEQUEÑA	Mas	PROVIDENCIA	Hombre	SANTIAGO	GASTRONOMIA
6C0G91gTu88X	4	PORQUE HA BAJADO LA CAPACIDAD DE LA BANDA ANCHA, ANTES ERA MAS RAPIDA Y EN PANDEMIA MAS LENTA	MICRO	Mas	LAS CONDES	Mujer	SANTIAGO	PUBLICIDAD Y MARKETING
1g6d0ETVDhwH	6	PORQUE NO TENGO LA ATENCION QUE UNO NECESITA LA VELOCIDAD DE RESPUESTA DE LOS DISTINTOS INSTRUMENTOS NO TENGO VELOCIDAD DE RESPUESTA ANTE REQUERIMIENTOS	MEDIANA	MV	PROVIDENCIA	Hombre	SANTIAGO	AUTOMOTRIZ
gEKhzQNQ2ln1	6	100% conforme. esta bien las cosas con entel.	PEQUEÑA	Mas	san miguel	Hombre	SANTIAGO	restaurante
750uzLCzGt1I	7. Muy satisfecho	PORQUE HA ENTENDIDO LA SITUACION, NO HEMOS TENIDO PROBLEMAS CON ELLOS, NO HE TENIDO DRAMAS DE NINGUN TIPO, SOLO ESO.	PEQUEÑA	MP	PROVIDENCIA	Mujer	SANTIAGO	ASESORIA TRIBUTARIA
cduzkOjm5iIy	6	FUNCIONA DENTRO DE TODO BIEN, LA VELOCIDAD ES LA ACORDADA NO SE CAE MUCHO.	GGEE	MP	SANTIAGO	Hombre	SANTIAGO	VENTA AL POR MENOR
kgogvm7UGSeI	7. Muy satisfecho	"PORQUE NO HEMOS TENIDO MAYOR INCONVENIENTE Y HA FUNCIONADO BIEN EN TODO ÁMBITO; TENEMOS BUENA INTERNET, BUENA SEÑAL TELEFÓNICA Y NO SE NOS CAE LA INTERNET CON FRECUENCIA."	PEQUEÑA	Mas	PUERTO MONTT	Hombre	REGIONES	MANTENCIÓN Y VENTA DE EQUIPOS Y MAQUINARIA
4Q714u1GUAmm	7. Muy satisfecho	EN REALIDAD LA CONECTIVIDAD MEJOR ES ENTEL, NOS SUPENDIERON EL SERVICIO SIN PROBLEMA, LA CONECTIVIDAD BIEN, NO NOS COBRARON DURANTE EL TIEMPO QUE ESTUVIMOS CERRADO LOS LOCALES EN CUARENTENA, BUEVA CONECTIVIDAD QUE TIENE	GGEE	AP	ANTOFAGASTA PUERTO MONT	Mujer	REGIONES	VENTA DE CALZADO Y ACCESORIOS
cmgMRnXUlHbY	7. Muy satisfecho	PORQUE ANTES DE QUE EL LOCAL CERRARA ME FUNCIONO BIEN, SOLO ESO.	PEQUEÑA	Mas	PUENTE ALTO	Hombre	SANTIAGO	VENTA DE ACCESORIOS PARA CELULARES
YHk4eBJtmKU9	6	PORQUE EN GENERAL FUNCIONA BIEN PERO LE FALTAL MAS SERVICIO. ESTOY BUSCANCO UN SERVICIO DE TELEFONO IP QUE TENGA PARA CALL CENTER Y ENTEL NO LO TIENE.	PEQUEÑA	Mas	PROVIDENCIA	Hombre	SANTIAGO	TECNOLOGIA
4VoQ8b7XWybK	6	POR HA TENIDO ALGUNAS CAIDAS DE COMUNICACION SON LEVES AL TEMA DE INTERNET	PEQUEÑA	Mas	SANTIAGO	Hombre	SANTIAGO	SERVICIOS DE ASESORIA
uCd5cZDzDxJL	1. Muy insatisfecho	EL SERVICIO ES PESIMO , EL SERVICIO POST VENTA Y LA ATENCION POST VENTA ES PEOR , POR EJEMPLO CUANDO TENGO UN PROBLEMA DE SENAL Y TENGO QUE LLAMAR PARA QUE ME AYUDEN NO LO HACEN , ME DERIVAN ETERNAMENTE ENTRE UNO Y OTRO ,  NO RESUELVEN LOS PROBLEMAS / NO DA MAS INFORMACION	MEDIANA	MV	SANTIAGO LAMPA	Hombre	SANTIAGO	PRODUCCION DE LIQUIDOS DE ASEO
XGTsj73KP0ze	5	principalmente porque a menudo se cae la red y va muy lento el internet. la velocidad es lenta.	MICRO	Mas	Concón, Santiago, Concepción puerto monte	Hombre	SANTIAGO	Importadora de industriales medicinales
DNbFbskcLJUK	7. Muy satisfecho	POR LA CALIDAD DEL SERVICIO NUNCA TENEMOS PROBLEMAS CON EL SERVICIO DE ENTEL	GGEE	AV	SAN BERNADO	Hombre	SANTIAGO	MANUFACTURA
k7XkDmwFqNyj	5	PORQUE ESTAMOS CASI SIEMPRE SIN INTERNET Y SIN TELEFONÍA, PORQUE NO SÉ COMO CONECTAN EL SERVICIO EN LOS PUERTOS QUE SUMINISTRAN AL RECINTO NUESTRO, EL SERVICIO ES INESTABLE, NO SE HA RESUELTO EN EL TIEMPO ESO.	PEQUEÑA	Mas	QUILICURA	Mujer	REGIONES	SERVICIOS DE INGENIERÍA
xwpH22odtAgQ	5	NORMAL, NO ES MAL SERVICIO PERO TAMPOCO EXCELENTE, FUNCIONA EL INTERNET, PLAN BASICO NO ES CARO, INTERNET LLEGA BIEN NO SE CAE PERO TAMPOCO ES TAN RAPIDO. MO ES FIBRA OPTICA, PROBLEMAS DE CONECTIVIDAD	MICRO	Mas	SANTIAGO	Mujer	SANTIAGO	ESTUDIO JURIDICO
Ublre8UBbPPy	7. Muy satisfecho	"PORQUE LA VERDAD QUE CON ENTEL LAS VECES QUE HEMOS TENIDO PROBLEMA LO HAN SOLUCIONADO EL MISMO DIA; ES BASTANTE RAPIDO. EN CUESTION DE HORAS. EN EL TEMA TECNICO; EL TEMA AYUDA CON EL EJECUTIVO TAMBIEN ES RAPIDO."	PEQUEÑA	AP	ESTACION CENTRAL	Hombre	SANTIAGO	SEVICIOS DE ASEO
qD4q7IpKTE61	5	PORQUE HAY FACTORES QUE TIENEN QUE MEJORAR, LA COBERTURA	PEQUEÑA	AV	iquique	Mujer	REGIONES	mayorista en carne
DODjqVKnRnrK	7. Muy satisfecho	PORQUE NO TENGO PROBELMAS  DE CONECTIVIDAD Y CUANOD TENGO ALGUN PROBELMA SOLUCIONAN DE FORMA TELEFONICA	PEQUEÑA	MV	SANTIAGO	Mujer	SANTIAGO	SEGURIDAD
MNQkaENhDAu3	7. Muy satisfecho	PORQUE FUNCIONA BIEN TODO, LA CALIDAD DEL SERVICIO, NO SE CAE LA LINEA TODO BIEN, SOLO ESO.	MICRO	Mas	SANTIAGO LAS CONDES	Hombre	SANTIAGO	NEUMATICOS
TKFoTRJKOZwI	6	no le doy el 7 porque necesito enlace de internet en una nueva oficina que estoy abriendo y no la tienen no han pescao y me dicen de que no tienen fibra y por eso pero por lo menos lo que estan dando funciona perfecto como e decia que tenecmos recien otra oficina que la estamos recien y entel no llega con fibra halla y no nos han dado nunguna alternativa no llegado para cablear con fibra el edificio completo auque priorisan saber cuantos clientes van a tener para tirar la fibra octica para halla, por otra parate estoy super contento con el servicio que ahora tengo pero me a desepcionado, de que no lleguen a un sector urbano.	PEQUEÑA	Mas	la condes	Hombre	SANTIAGO	sofTware y telecomunicaciones
SZ9wOuQuQbmk	7. Muy satisfecho	"PORQUE NO HEMOS TENIDO PROBLEMAS; ESTA AHÍ ESTABLE LA CONEXIÓN, NO HEMOS TENIDO PROBLEMAS DE VELOCIDAD NI ESAS COSAS."	GGEE	AV	PROVIDENCIA	Hombre	SANTIAGO	CONSTRUCTORA INMOBILIARIA
7wMNYJPZDPmN	6	PORQUE LA CALIDAD ES BUENA, EL SERVICIO ES BUENO Y EL PRECIO NO ES BUENO. ES UN SERVICIO QUE ES CARO. EL INTERNET BAJA DE PRECIO PERO YO LO CONTRATE HACE 3 AÑOS. ESTOY DESACTUALIZADO. LOS PRECIO BAJAN Y COMO TENGO UN CONTRATO EL PRECIO SE MANTIENE Y HACE QUE UNO ESTE DESCONFORME QUE PUEDA CONSEGUIR UN SERVICIO POR MENOR VALOR.	MICRO	AV	CABILDO	Hombre	REGIONES	NO RESPONDE
yHVi2fxWkWrY	6	PORQUE A VECES HEMOS TENIDO COMPLICACIONES CON EL TEMA DE LOS PAGOS Y SE JUNTAS VARIOS MESES, SOLO ESO.	PEQUEÑA	MP	TEMUCO	Mujer	REGIONES	JARDIN INFANTIL
FXaMoJhncPzd	7. Muy satisfecho	PORQUE RESPONDEN SUPER RAPIDO CUANDO HACEMOS LOS RECLAMOS VIENEN A INSTALAR	MEDIANA	MV	LAS CONDES	Mujer	SANTIAGO	EMPRESA DE TECNOLOGIA
zMU63goD3Lnz	3	COSTOS QUE LLEVA ASOCIADO, ES MUY CARO EL SERVICIO.	MEDIANA	AV	QUILICURA	Hombre	SANTIAGO	TRANSPORTE
XFpZ9VZV9Tj7	7. Muy satisfecho	PORQUE TENEMOS BUENA RELACION NO HAY PROBLEMA CUANDO HAY ALGUN INCONVENIENTE RESPONDEN A LA BREVEDAD BIEN UNA MUY BUENA RELACION	MEDIANA	AV	PROVIDENCIA	Mujer	SANTIAGO	TECNOLOGIA
B7uWCjGruo6S	7. Muy satisfecho	NUNCA HA TENIDO PROBLEMA Y  LOS SOLUCIONAN SI ES QUE HAY,HAN TENIDO UN BUEN SERVICIO	MICRO	Mas	PROVIDENCIA	Hombre	SANTIAGO	INMOBILIARIA
Bi2mUOhMbb27	6	PORQUE A VECES UNO QUIERE COMUNICARSE Y NO PUEDE PONEN MUSIQUITA PUBLICIDAD QUE UNO NO QUIERE ESCUCHAR CUANDO UNO ESTA ESPERANDO DEBIERA SER RAPIDO	PEQUEÑA	MP	PROVIDENCA	Hombre	SANTIAGO	DISPOSITIVOS MEDICO
XyU7ZbWEympf	6	PORQUE EL SERVICIO ES ESTABLE NO TENGO MAYORES PROBLEMAS Y PERIODICAMENTE ME LLAMA LA EJECUTIVA.	PEQUEÑA	Mas	SANTIAGO	Hombre	SANTIAGO	INFORMATICA CONSULTORIA
cEMxdIubGFP7	7. Muy satisfecho	PORQUE ME ENTREGAN POR LO QUE ESTOY PAGANDO.	MEDIANA	AV	SANTIAGO	Hombre	SANTIAGO	CALL CENTER
GsUQArNUbbL5	6	PORQUE HAY DETALLES QUE HAY QUE MEJORAR EN LA OFERTA DEL PRODUCTO.	GGEE	AP	PROVIDENCIA	Hombre	SANTIAGO	TECNOLOGÍA
VhsWN8POswmP	6	BUENA COMUNICACION CON ENTEL, NO HAY PROBLEMAS DE LATENCIAS, SE SOLCUIONAN RAPIDO LOS PROBLEMAS	MICRO	Mas	SANTIAGO	Hombre	SANTIAGO	INFORMATICA
bIy82AID2jqR	6	PORQUE LE FALTA UN POCO EN LA POST VENTA EN RESOLVER PROBELMAS TUVE UN PROBLEMA CON LA ANTENA Y NO ME LO RESOLVIERON	PEQUEÑA	MP	CONCEPCION	Hombre	SANTIAGO	VENTA DE ABARROTES
g3YcjnPkO5pB	7. Muy satisfecho	Porque nunca fallan y la red es super estable	PEQUEÑA	Mas	Providencia	Hombre	SANTIAGO	Diseño Web
fANJKX3Rwo6H	6	POR ALGUNOS PROBLEMAS QUE TUVIMOS ANTERIORMENTE CON UNA CONTRATACIÓN DE UN INTERNET DEDICADO QUE INTENTAMOS DAR DE BAJA, LA DEMORA PARA DARLO DE BAJA.	PEQUEÑA	Mas	COQUINBO	Mujer	REGIONES	MAESTRANZA
A05xEBBRQ0De	6	TENGO BIUEN SERTVICIO, SIEMRPE CONTESTASN VAN AUSTANDO PLANES DE ACUERDOA  FREALDIAD DE MERCADO	PEQUEÑA	Mas	LAS CONDES	Hombre	REGIONES	ASESORAMIOENTO EMPRESARIAL
kyTBZ9RvD7DA	7. Muy satisfecho	PORQUE ME VA MUY BIEN, NO TENGO NINGUNA QUEJA	MEDIANA	Mas	PROVIDENCIA	Hombre	REGIONES	OBRAS DE INGENIERÍA
ndRwFnZMok7Z	7. Muy satisfecho	FUNCIONA BIEN, CADA VEZ QUE HA TENIDO UN PROBLEMA LO HAN SOLUCIONADO RAPIDAMENTE, TIENE BUENA COBERTURA.	PEQUEÑA	Mas	CURICO	Mujer	REGIONES	EXPORTADORA
StT8P3Izr3jD	7. Muy satisfecho	PORQUE CUANDO HE TENIDO ALGUN INCONVENIENTE HAN RESPONDIDO ANTES DE 24 HORAS, EL SERVICIO ES BUENO Y NO HE TENIDO PROBLEMAS. SOLO ESO.	PEQUEÑA	Mas	SANTIAGO	Hombre	SANTIAGO	EDUCACION
5dnZIrTEukTn	5	a veces la calidad de la conexión no es muy estable, se corta el internet.	MEDIANA	AV	las condes	Hombre	SANTIAGO	consultoria
nBVX3wblSUb3	6	por que siempre le han respondido bien a mis solicitudes q todos los problemas que he tenido me los resuelven rapidamente	PEQUEÑA	Mas	providencia	Hombre	SANTIAGO	farmacia
m1MrvTTnUoKj	6	PPRQUE HAN HABIDO PROBLEMAS PERO SE HAN SOLUCIONADO RAPIDO , CORTES DE INTERNET POR EJEMPLO	PEQUEÑA	Mas	PROVIDENCIA	Mujer	SANTIAGO	CONSULTORA EN INFORMATICA
03c8Ljt4UPO6	4	PORQUE MAS QUE TODO LOS PROBLEMAS DE CONECTIVIDAD, SE CAE LA ANTENA, NO TENGO BUENA SEÑAL EN CUANQUIER PARTE, SOLO ESO.	PEQUEÑA	Mas	RANCAGUA	Mujer	REGIONES	SERVICIOS ODONTOLOGICOS
t8EXsCN1LdoG	7. Muy satisfecho	Porque nunca he tenidos problemas con ella.	PEQUEÑA	AP	Ñuñoa	Mujer	SANTIAGO	Acción industrial
Wi526nwH3OKK	4	CADA VEZ ESTA MAS MALA LA BANDA ANCHA POR MAS QUE COMPRE LOS MEGAS QUE SEA SE CAE A CADA RATO EL SERVICIO, NO ES COMO ANTES. ANTES NUNCA HABIA TANTOS PROBLEMAS A CADA RATO DE CAIDA DE INTETNET. ESTE AÑO ES  CAOTICO, POR UN PLAN MAS ALTO IGUIAL ES MALO	PEQUEÑA	Mas	RANCAGUA	Mujer	REGIONES	HOSTAL
zrlSBex83u3V	5	POR QUE SIEMPRE PUEDEN MEJORAR, NADIE ES PERFECTO POR LO QUE SIEMPRE PUEDEN TRATAR DE HACER ALGO MEJOR.	MEDIANA	MV	COQUIMBO	Hombre	REGIONES	MINERIA
7JmG7egQ7deQ	6	Porque esta bien, no es perfecto, pero esta bien.	PEQUEÑA	Mas	las condes	Hombre	SANTIAGO	Investigaciones energeticas
CI1Tksfgmy1a	7. Muy satisfecho	POR QUE NO HEMOS TENIDO PROBLEMAS DE INTERNET	MEDIANA	MV	HUECHURABA	Mujer	SANTIAGO	ESTUDIO DE MERCADO
d2r5OMHM2Hsw	7. Muy satisfecho	porque pocas veces se cae el servicio , y las veces que se la atienden rapidamente	PEQUEÑA	AV	SANTIAGO	Mujer	SANTIAGO	TRANSPORTE Y LOGISTICA
s8IuMWnY5vNs	5	PORQUE EL SERVICIO NO ES BUENO, NI DE ENTEL NI DE OTRAS COMPAÑIAS, LA VELOCIDAD QUE TE DICEN TENER NO ES LA QUE TIENEN LOS PROBLEMAS QUE TIENEN SON TODOS CLAROS Y PASAN A LA LISTA NO HAY MAS QUE DECIR SERVICIO A LA MITAD DE LO QUE OFRECEN NO QUEDA DE OTRA QUE ESTAR AHI	PEQUEÑA	Mas	PROVUDENCUIA	Hombre	SANTIAGO	ASESORIA TRUBUTARIA Y CONSULTORIA
jIFshcXL0wwG	7. Muy satisfecho	LA VEZ QUE HE TENIDO ALGUN PROBLEMA SE LO HAN  SOLUCIONADO EN FORMA RAPIDA.	MICRO	Mas	VIÑA DEL MAR	Hombre	REGIONES	CORREDORA DE PROPIEDADES
OiTQeK1G2cft	6	POR LO GENERAL FUNCIONA SUPER BIEN EN GENERAL NO TENGO NADA QUE DECIR PODRIA SER UN 7.	GGEE	AP	VITACURA	Mujer	SANTIAGO	PISICULTURA
