...1	ola - Ola Medicion	F1 - FiltroF1.  ¿Es usted la persona que administra la cuenta que su empresa tiene con el/los operadores de productos o servicios fijos?	"P2__1 - a.	Internet Banda Ancha :"	"P2__2 - b.	Red privada de datos/Transmisión de datos (MPLS) :"	"P2__3 - c.	Telefonía Fija :"	"P3 - Ahora hablaremos de su relación con Entel 
    3.	Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7 = Muy satisfecho, ¿Cuán satisfecho está usted con Entel?"	"P4 - 4.	¿Por qué evalúa con esa nota? Sondear y profundizar"	"P5__A - a)	Entel es una empresa con buena imagen en general :"	"P6 - 6.	Pensando en el funcionamiento del servicio… {#P6_aux}, ¿con qué nota de 1 a 7,evalúa el Funcionamiento de este servicio en general?"	"P7__1 - a)	Precio de los servicios en relación al mercado (Competitividad) :"	P7__2 - b) Competitividad de planes en cuanto a Internet banda ancha :	"P8 - 8.	Y en lo que respecta a Servicio a Clientes, en escala de 1 a 7 ¿cuán satisfecho está usted con ENTEL?"	P9__1 - Contratación de nuevos servicios : RU cada una	P9__2 - Solicitar aumentos o disminuciones  de velocidad (cambios de plan) : RU cada una	P9__3 - Consultas del contrato/ alcances del contrato/ condiciones del contrato : RU cada una	P9__4 - 'Consultas de la factura, como fecha pago, montos, detalles de cobros' : RU cada una	P9__5 - Reclamos por fallas técnicas de los servicios fijos : RU cada una	P10__1 - Contratación de nuevos servicios : RU cada una	P10__2 - Solicitar aumentos o disminuciones  de velocidad (cambios de plan) : RU cada una	P10__3 - Consultas del contrato/ alcances del contrato/ condiciones del contrato : RU cada una	P10__4 - 'Consultas de la factura, como fecha pago, montos, detalles de cobros' : RU cada una	P10__5 - Reclamos por fallas técnicas de los servicios fijos : RU cada una	P11__1 - Contratación de nuevos servicios : RM cada una	P11__2 - Solicitar aumentos o disminuciones  de velocidad (cambios de plan) : RM cada una	P11__3 - Consultas del contrato/ alcances del contrato/ condiciones del contrato : RM cada una	P11__4 - 'Consultas de la factura, como fecha pago, montos, detalles de cobros' : RM cada una	P11__5 - Reclamos por fallas técnicas de los servicios fijos : RM cada una	"P11_1__1 - a)	La facilidad para reportar el reclamo a Entel : RU cada una"	"P11_1__2 - b)	la Rapidez de respuesta a su reclamo por parte de Entel : RU cada una"	P12__1 - Ejecutivo asignado :	P12__2 - Equipo de ejecutivos llamado Círculo de Atención Preferente - CAP :	P12__3 - Call Center Empresa :	P12__4 - Página Web Empresa :	P12__5 - Tiendas/ Sucursales :	P13__1 - Ejecutivo asignado :	P13__2 - Equipo de ejecutivos llamado Círculo de Atención Preferente - CAP :	P13__3 - Call Center Empresa :	P13__4 - Página Web Empresa :	P13__5 - Tiendas/ Sucursales :	"P14 - FACTURACIÓN 
       14.	En cuanto a la Facturación de todos los servicios fijos que tiene con ENTEL, en una escala de 1 a 7 ¿Cómo evalúa …? 
        
       El Proceso de Facturación en general"	"P15 - MODULO INCIDENCIAS 
         15. En los últimos 3 meses, ¿ha tenido su empresa algún problema con el servicio entregado por ENTEL?"	P16 - 16. ¿Qué problema ha tenido? Sondear	"P17 - LEALTAD 
         17. Utilizando una escala de 1 a 7, donde 1 significa nada dispuesto y 7 significa muy dispuesto, ¿Qué tan dispuesto estaría usted a continuar con Entel?"	P18 - 18. Pensando en este periodo de crisis Covid-19 ¿Cuan satisfecho está con ENTEL como proveedor de servicios de telecomunicaciones? Escala de 1 a 7, 99= No sabe/no responde	P19 - 19. ¿Aceptaría que Entel conozca sus respuestas y lo contactara para entender en profundidad sus requerimientos/necesidades?	SEG_CORFO	"P22 - 22.	¿Cuál es el rubro de su empresa?"	"P24 - 24.	¿Ciudad o Comuna de Ubicación de su Empresa?"	"P27 - 27.	Sexo  (No preguntar):"	"P28 - 28.	REGION (no preguntar):"	EMPTY LABEL - No Information Provided...52	EMPTY LABEL - No Information Provided...53	EMPTY LABEL - No Information Provided...54	EMPTY LABEL - No Information Provided...55
xhsNnWapd6ne	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	7. Muy satisfecho	"TENGO BUENA SEÑAL, NUNCA SE ME CAE EN EL INTERNET; NO TENGO NI UN PROBLEMA CON EL INTERNET. SERVICIO FIJO NUNCA TENGO PROBLEMA; CUANDO LO OCUPO AHÍ ESTÁ."	7. En absoluto acuerdo	7. Muy satisfecho	NS/NR	NS/NR	7	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	Sí	Sí	Sí	No	NA	7	7	7	NA	7	No	NA	7	7	Sí	PEQUEÑA	CONTADORES Y AUDITORES	PROVIDENCIA	Mujer	SANTIAGO	MV	Mediana	MEDIANAS	Stock Fijo
tNC3f1dWgQ6C	MEDICION SEPTIEMBRE 2020	Sí	Claro/ Telmex,Entel	NA	Entel	5	POR LA DEMORA EN EL TEMA DE MANTENCION.GENERALMENTE CUANDO SE CAE EL INTERNNET NO ACUDEN ENSEGUIDA ,NO DEVUELVEN LA LLAMADA.	4	7. Muy satisfecho	4	3	7	No	No	Sí	No	Sí	NA	NA	2	NA	1	NA	NA	A través del Call Center empresa	NA	A través del Call Center empresa	5	1	No	No	Sí	No	No	NA	NA	7	NA	NA	7	Sí	CUANDO VOLVIMOS DEL TELETRABAJO LA CENTRAL ESTABA MUERTA NO ENTRABA LAS LLAMADAS TELEFONICAS.	4	3	Sí	PEQUEÑA	IMPORTACIONES	QUILICURA	Mujer	SANTIAGO	MV	Mediana	MEDIANAS	Stock Fijo
9NzsbiLLhlPj	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	VTR	6	PORQUE TIENE BUEN SERVICIO LA SEÑAL NO SE CAE NO HE TENIDO GRAN PROBLEMA, POST VENTA, NO HAY CAIDAD DE SERVICIO, CUANDO HEMOS TENIDO INCOVENINTE  LO HAN RESUELTO RAPIDO, ALGUN SERVICIO QUE HE REQERIDO NOS HAN DADO RESPUESTA	6	6	5	5	6	No	Sí	Sí	Sí	No	NA	5	6	6	NA	NA	NS/NR <b>(NO LEER)</b>	NS/NR <b>(NO LEER)</b>	A través de la web con clave	NA	NA	NA	NA	NA	No	Sí	No	NA	NA	NA	6	NA	5	No	NA	7	6	Sí	PEQUEÑA	CONSULTORIA	COPIAPO	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Stock Fijo
hbYtZjOZGZe1	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	5	PORQUE HE TENIDO PROBLEMAS DE SERVICIO TECNICO EN LA RED FIJA.ES MUCHA LA DEMORA PARA CONSEGUIR EL SERVICIO TECNICO.	7. En absoluto acuerdo	6	6	NS/NR	7	Sí	Sí	Sí	No	Sí	7	7	7	NA	5	Ejecutivo asignado	Ejecutivo asignado	Ejecutivo asignado	NA	A través del Call Center empresa	6	5	Sí	NA	Sí	Sí	No	7	NA	7	6	NA	6	Sí	FALLA DE LA RED FIJA.	6	7	Sí	MEDIANA	ADMINISTRACION DE BIENES INMUEBLES.	COLINA.	Mujer	SANTIAGO	AV	GGEE	GRANDES CUENTAS	Stock Fijo
fj1e0grh7ClU	MEDICION SEPTIEMBRE 2020	Sí	Entel	Entel	Entel	6	poe que es bueno el servicio pero nunca faltan las pequeñas fallas especificamente el pago de la cuenta de internet ahora le compica el pago por que cambio el sistema de pago de entel ya no cuenta con servipac	7. En absoluto acuerdo	7. Muy satisfecho	7	7	7	No	No	No	Sí	No	NA	NA	NA	5	NA	NA	NA	NA	Ejecutivo asignado	NA	NA	NA	Sí	NA	No	No	No	7	NA	NA	NA	NA	7	No	NA	7	7	Sí	MEDIANA	asesorias de ingenieria	las condes	Mujer	SANTIAGO	AV	GGEE	GRANDES CUENTAS	Stock Fijo
xe9AowxOtmWo	MEDICION SEPTIEMBRE 2020	Sí	Entel,VTR	NA	VTR	6	hay pedido en la señal buena, el servicio posventa es muy lento	6	6	6	6	4	No	Sí	No	No	No	NA	3	NA	NA	NA	NA	NS/NR <b>(NO LEER)</b>	NA	NA	NA	NA	NA	Sí	No	No	Sí	No	3	NA	NA	4	NA	6	No	NA	6	6	Sí	MEDIANA	servicios de ingeniería	santiago, La Reina	Hombre	SANTIAGO	MP	Mediana	MEDIANAS	Stock Fijo
wSzZfI7Eosve	MEDICION SEPTIEMBRE 2020	Sí	Entel,Telefónica/ Movistar	NA	Entel	6	PORQUE LA CUENTA TIENE DIFERENCIAS EN LOS VALORES, NO SABEN EXPLICAR LA RAZÓN.	6	5	5	5	6	No	No	No	Sí	Sí	NA	NA	NA	7	6	NA	NA	NA	A través del Call Center empresa	A través del Call Center empresa	6	6	NA	NA	Sí	Sí	No	NA	NA	6	5	NA	5	No	NA	5	6	Sí	PEQUEÑA	IMPORTACION Y EXPORTACION	IQUIQUE	Mujer	REGIONES	Mas	Masivo	MICRO Y SOHO	Stock Fijo
qRXQUGXimDuW	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel,Telefónica/ Movistar	6	"PORQUE EN GENERAL FUNCIONA BIEN CREO QUE HA MEJORADO, SE HA NOTADO UN CAMBIO EN EL ÚLTIMO TIEMPO DE CALIDAD DE ATENCIÓN; O SEA COMUNICARSE CON UN EJECUTIVO DE ENTEL PARA PEDIR ALGO ERA MUY DIFICIL Y EL CANAL DE COMUNICACIÓN HA MEJORADO MUCHO, HEMOS TENIDO PROBLEMAS PERO YO CREO QUE SON NATURALES, LO IMPORTANTE ES QUE HAY PROBLEMAS CON LA CONEXIÓN A INTERNET PERO LA MEDIDA ES QUE HAY RESPUESTA RÁPIDA ENTONCES UNO QUEDA TRANQUILO, EL PORBLEMA ES CUANDO NO HAY RESPUESTA. PERO TUVIMOS UNA HISTORIA CON PROBLEMAS ANTIGUAMENTE POR ESO TODAVIA NO LE PONGO UN SIETE."	7. En absoluto acuerdo	6	7	7	6	Sí	Sí	No	No	Sí	7	7	NA	NA	6	Ejecutivo asignado	Ejecutivo asignado	NA	NA	A través del Call Center empresa	7	6	No	NA	No	No	No	NA	NA	NA	NA	NA	7	No	NA	7	NS/NR	Sí	MEDIANA	INMOBILIARIA	PROVIDENCIA	Hombre	SANTIAGO	AV	GGEE	GRANDES CUENTAS	Stock Fijo
Of9BbYVyK5Yu	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy satisfecho	EN GENERAL LOS TIEMPOS DE RESPUESTA SON RAPIDOS EL SERVICIO ES BASTANTE ESTABLE Y LA RECUPERACION ES RAPIDA, HEMOS TENIDO UN SERVICIO.	7. En absoluto acuerdo	7. Muy satisfecho	6	7	7	Sí	Sí	Sí	Sí	Sí	7	6	6	6	7	Ejecutivo asignado	Ejecutivo asignado	Ejecutivo asignado	Ejecutivo asignado	NS/NR <b>(NO LEER)</b>	7	7	Sí	NA	No	Sí	No	7	NA	NA	5	NA	7	No	NA	7	7	Sí	MEDIANA	PUBLICIDAD Y MARKETING	LAS CONDES	Hombre	SANTIAGO	AV	GGEE	GRANDES CUENTAS	Stock Fijo
ex23dDIq1CvX	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	6	"PORQUE FALTAN PEQUEÑOS DETALLES. PERO, ES UNA MUY BUENA EMPRESA; TENGO BUEN SERVICIO CON ELLOS EN TELEFONÍA FIJA."	5	6	6	6	6	No	Sí	No	No	No	NA	6	NA	NA	NA	NA	Ejecutivo asignado	NA	NA	NA	NA	NA	Sí	Sí	Sí	Sí	No	6	6	6	6	NA	6	No	NA	7	7	Sí	MEDIANA	CONSULTORÍA Y ASESORÍAS	PROVIDENCIA	Hombre	SANTIAGO	MP	Mediana	MEDIANAS	Stock Fijo
zg6q7lFJRdUb	MEDICION SEPTIEMBRE 2020	Sí	Claro/ Telmex,Entel,GTD/ Manquehue	NA	Entel,GTD/ Manquehue,Telefónica/ Movistar	7. Muy satisfecho	PORQUE IGUAL ELLOS REBAJARON LOS VALORES QUE SE HAN COBRADO DURANTE DLA PANDEMIA Y ESO NOS HA AYUDADO VBASNTE NO HEMOS TENDIO PROBELMAS DE CORTE DE COMUNICACION	7. En absoluto acuerdo	6	7	7	7	No	Sí	No	Sí	No	NA	7	NA	7	NA	NA	A través de la web con clave	NA	A través de la web con clave	NA	NA	NA	Sí	No	Sí	Sí	No	7	NA	7	7	NA	7	No	NA	7	7	Sí	MEDIANA	CLINICA ODONTOLOGICA	PROVIDENCIA  LAS CONDE CHIOLIURA	Mujer	SANTIAGO	MP	Mediana	MEDIANAS	Stock Fijo
9tEAJ7OeETDF	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	7. Muy satisfecho	PORQUE DEDSE QUE TENEMOS ENTEL COMO HACE 4 AÑOS NO HEMOS TENIDO FALLAS NI NADA EL COSTO BASTANTE MAS BARATO QUE LA COMPETENCIA	7. En absoluto acuerdo	7. Muy satisfecho	7	7	7	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	No	No	No	No	7	NA	NA	NA	NA	7	No	NA	7	7	Sí	PEQUEÑA	ASESORIAS CONTABLES	PROVIDENCIA	Hombre	SANTIAGO	MP	Mediana	MEDIANAS	Stock Fijo
FIJCwPmpmKx5	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	6	"PORQUE ESTOY SATISFECHA EN EL SERVICIO; QUE NO TENGO PROBLEMAS Y QUE ME RESULTA. PERO, IGUAL FALLA A VECES EN QUE SE CAE EL INTERNET."	7. En absoluto acuerdo	6	6	6	7	No	No	No	No	Sí	NA	NA	NA	NA	7	NA	NA	NA	NA	A través del Call Center empresa	6	6	NA	NA	No	No	No	NA	NA	NA	NA	NA	7	No	NA	7	7	Sí	PEQUEÑA	FABRICACIÓN DE PUERTAS DE SEGURIDAD	SANTIAGO, CONCHALI	Mujer	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
mkjws2bGiQGw	MEDICION SEPTIEMBRE 2020	Sí	Entel	Entel	Entel	7. Muy satisfecho	POR QUE EL SERVICIO ES CONFIABLE, NO HAY CAIDAS. LA FACTURACION ES TRANSPARENTE.	7. En absoluto acuerdo	7. Muy satisfecho	7	7	7	Sí	No	No	No	Sí	7	NA	NA	NA	7	Ejecutivo asignado	NA	NA	NA	Ejecutivo asignado	7	7	Sí	NA	No	Sí	No	7	NA	NA	7	NA	7	No	NA	7	7	Sí	GGEE	FABRICACION Y COMERCIALIZACION	SANTIAGO	Hombre	SANTIAGO	AV	GGEE	GRANDES CUENTAS	Stock Fijo
JXrTqdHJsVCL	MEDICION SEPTIEMBRE 2020	Sí	Entel,Telefónica/ Movistar,VTR	NA	Entel,Telefónica/ Movistar,VTR	5	PORQUE LA VERDAD ES QUE TIENE MUY BUENA CONECTIVIDAD Y TODO PERO NO TIENE COBERTURA EN TODAS LAS ZONAS POR ESO TENEMOS CON 3 SI TUVIESE LA CONECTIVIDAD EN TODOS LOS LUGARES LO TENDRIAMOS CON ELLOS	7. En absoluto acuerdo	7. Muy satisfecho	5	5	7	Sí	No	No	No	No	1	NA	NA	NA	NA	A través del Call Center empresa	NA	NA	NA	NA	NA	NA	Sí	NA	Sí	No	No	7	NA	7	NA	NA	7	No	NA	7	7	Sí	MEDIANA	ADMINISTRACION DE HOGARES PROTEGIDOS, CLINICA PSIQUIATRICA	TALCA MALHUE	Hombre	NS/NR	AP	GGEE	EMPRESAS	Stock Fijo
DyIMXfy5tAqH	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	7. Muy satisfecho	PORQUE TIENE BUENA SEÑAL NUNCA FALLA ES RAPIDO, CUMPLE CON LO NECESARIO PARA EMPRESA.	7. En absoluto acuerdo	7. Muy satisfecho	NS/NR	7	7	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	No	No	NA	NA	NA	NA	NA	7	No	NA	7	7	Sí	PEQUEÑA	SERVICIOS MEDICOS	PROVIDENCIA SANTIAGO	Mujer	SANTIAGO	MV	Mediana	MEDIANAS	Stock Fijo
RTCLQPIh3tZG	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	5	"PORQUE QUIERO BAJAR LA CUENTA, EL VALOR DE LA CUENTA; ESTÁMOS BARATANDO COSTOS POR LA SITUACIÓN ECÓNOMICA QUE HAY HOY DÍA EN EL PAÍS, IGUAL ME GUSTA PERO LO ESTOY EVALUANDO PARA BAJAR LOS COSTOS, ESTA MUY ALTO."	7. En absoluto acuerdo	7. Muy satisfecho	6	6	6	No	Sí	Sí	Sí	No	NA	6	6	6	NA	NA	Ejecutivo asignado	Ejecutivo asignado	A través de la web con clave	NA	NA	NA	Sí	No	No	Sí	No	6	NA	NA	6	NA	5	No	NA	7	7	Sí	PEQUEÑA	CORTINAS MÉCANICAS DE SEGURIDAD INDUSTRIAL	PUDAHUEL	Mujer	SANTIAGO	MP	Mediana	MEDIANAS	Stock Fijo
g1j2bzXz3vtC	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	7. Muy satisfecho	para lo que lo uso me funciona bien, o sea tengo una oficina a la que no voy siempre, y cuando necesito internet y me fuciona bien,	6	7. Muy satisfecho	NS/NR	7	7	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	Sí	Sí	NA	NA	NA	7	7	7	No	NA	7	5	Sí	MEDIANA	Construccion	SANTIAGO	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
SmrWUMJERQHq	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	7. Muy satisfecho	ENTEL PARA MI OPINION PRESTA  UN BUEN SERVICIO, FUNCIONA MUY BIEN, HABLO BIEN POR TELEFONO, NO TENGO PROBLEMAS ESTAMOS SATISFECHOS//NO DA MAS INFORMACION	7. En absoluto acuerdo	7. Muy satisfecho	5	5	6	No	No	Sí	Sí	No	NA	NA	7	4	NA	NA	NA	NS/NR <b>(NO LEER)</b>	NS/NR <b>(NO LEER)</b>	NA	NA	NA	NA	NA	Sí	Sí	No	NA	NA	7	7	NA	6	No	NA	7	7	Sí	PEQUEÑA	MAESTRANZA	RENCA	Mujer	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
GQClxaqWKEjl	MEDICION SEPTIEMBRE 2020	Sí	Entel,Telefónica/ Movistar	NA	Entel,Telefónica/ Movistar	7. Muy satisfecho	"PORQUE SIEMPRE RESPONDEN A TODOS LOS REQUERIMIENTOS Y ES BUENO EL SERVICIO; TIENE BUENA BANDA ANCHA, NUNCA HE TENIDO PROBLEMAS CON ENTEL."	7. En absoluto acuerdo	7. Muy satisfecho	7	7	7	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	Sí	No	NA	NA	NA	7	NA	7	No	NA	7	7	Sí	PEQUEÑA	SERVICIOS MÉDICOS	SANTIAGO PROVIDENCIA	Mujer	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
oktv7M05jL1D	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	6	PORQUE EL SERVICIO FUNCIONA Y LA ATENCIÓN ES RAZONABLEMENTE BUENA NO HEMOS TENIDO NI UN PROBLEMA	7. En absoluto acuerdo	7. Muy satisfecho	6	6	6	No	No	No	Sí	No	NA	NA	NA	6	NA	NA	NA	NA	A través del Call Center empresa	NA	NA	NA	Sí	NA	Sí	Sí	No	6	NA	6	6	NA	7	No	NA	6	6	Sí	GGEE	INGENIERÍA DE TRANSPORTE	PROVIDENCIA SANTIAGO	Hombre	SANTIAGO	AV	GGEE	GRANDES CUENTAS	Stock Fijo
LssfZQlSZ87f	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	4	PORQUE A VECES SE CORTA SE PONE LENTO, SE PNSE LENTO EL COMPU	4	4	4	4	4	No	Sí	Sí	Sí	Sí	NA	4	4	4	4	NA	A través de la web con clave	A través de la web con clave	A través de la web con clave	A través del Call Center empresa	1	1	NA	NA	Sí	Sí	No	NA	NA	1	1	NA	7	Sí	YO PEDI QUE ME LO DEJARAN INACTIVO MIETRAS SE REGRESABA A LA OFICINA, SE DEMORARON DOS MESES EN HACERLO .	1	1	Sí	MICRO	PROGRAMAS SOCIALES	SANTIAGO	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
NxCdMxuLWGlO	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Telefónica/ Movistar	5	DE REPENTE SE CAE, A VECES OFRECEN GIGAS QUE NO CORRESPONDE, INTERNET BANDA ANCHA SE CAE.	5	5	3	3	1	No	Sí	Sí	No	Sí	NA	3	3	NA	3	NA	A través del Call Center empresa	A través del Call Center empresa	NA	A través del Call Center empresa	3	3	No	No	Sí	Sí	No	NA	NA	3	5	NA	5	Sí	PROBLEMA DE INTERNET SE LE CAE.	5	5	Sí	PEQUEÑA	SERVICIOS DE SEGURIDAD TECNOLOGICA	PEÑAFLOR	Hombre	SANTIAGO	MP	Mediana	MEDIANAS	Stock Fijo
x46FnMHldL54	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	6	Porque en general funciona bien, hemos tenido buena relacion comercial, pero, al principio fue horrible, pero ahora funciona bien.	7. En absoluto acuerdo	7. Muy satisfecho	5	5	6	No	Sí	Sí	Sí	Sí	NA	7	7	7	7	NA	A través del Call Center empresa	A través del Call Center empresa	A través del Call Center empresa	A través del Call Center empresa	6	6	NA	NA	Sí	Sí	No	NA	NA	7	7	NA	6	Sí	Telefonico	5	7	Sí	MICRO	Gestión Inmobiliaria	Providencia	Mujer	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
xFDI3DIf3CZG	MEDICION SEPTIEMBRE 2020	Sí	Entel	Entel	Entel	7. Muy satisfecho	PORQUE NO HE TENIDO PROBLEMAS CUANDO REQUERIMOS SERVICIOS ACTUAN RAPIDO, SEA REPARACION O CONSULTA ACTUAN RAPIDO, SOLO ESO.	7. En absoluto acuerdo	NS/NR	6	6	7	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	NA	Sí	No	No	7	NA	7	NA	NA	7	No	NA	6	7	Sí	GGEE	QUIMICO	COLLIPULLI ARAUCANIA NORTE	Hombre	REGIONES	AV	GGEE	GRANDES CUENTAS	Stock Fijo
MWrUGqDfqcO5	MEDICION SEPTIEMBRE 2020	Sí	Entel	Entel	Entel	7. Muy satisfecho	"PORQUE ES UNA ATENCIÓN FIABLE, ÓPTIMA EN LA ATENCIÓN DE LOS EJECUTIVOS, LA ASESORÍA, EN TODO ASPECTO, EN LA ASESORÍA TÉCNICA, SON RESPONSABLES LOS PLAZOS QUE ESTIPULAN, EN GENERAL LLEVAMOS MÁS DE 20 AÑOS TRABAJANDO CON ENTEL Y NUNCA HEMOS TENIDO UN PROBLEMA EN ATENCIÓN; POR LA ATENCIÓN DE LOS EJECUTIVOS POR LA ASESORÍA EN RELACIÓN A LOS CAMBIOS QUE HEMOS TENIDO EN LOS ÚLTIMOS TIEMPOS Y ESO MÁS QUE NADA, POR PRECIO TE PODRÍA DECIR QUE NO PORQUE NO HAY MEJOR PRECIO PERO LA MEJOR ATENCIÓN EN RELACIÓN A LA COMPETENCIA."	7. En absoluto acuerdo	7. Muy satisfecho	5	5	7	No	Sí	Sí	No	No	NA	7	7	NA	NA	NA	Ejecutivo asignado	Ejecutivo asignado	NA	NA	NA	NA	Sí	NA	No	Sí	No	7	NA	NA	7	NA	7	No	NA	7	7	Sí	MEDIANA	SERVICIOS FINANCIEROS	SANTIAGO CENTRO	Mujer	SANTIAGO	AV	GGEE	GRANDES CUENTAS	Stock Fijo
HURNRiU0FTv2	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel,Telefónica/ Movistar	4	LA INTERMITENCIA DEL SERVICIO,NO SIEMPRE LA VELOCIDAD ES LA QUE SE CONTRATO.	5	5	6	4	4	No	Sí	No	Sí	Sí	NA	1	NA	4	6	NA	A través del Call Center empresa	NA	A través del Call Center empresa	A través del Call Center empresa	5	4	No	No	Sí	Sí	No	NA	NA	6	6	NA	5	Sí	POR EJEMPLO SE SOLICITO UN CAMBIO DE PLAN.AUMENTAR LA VELOCIDAD,Y CUANDO SE ENVIO TODOS LOS DOCUMENTOS,EL JEFE DE PLATAFORMA DE LA PERSONA QUE ME ESTABA ATENDIENDO LE SEÑALO QUE YA NO SE PODIA HACER ESE CAMBIO DE PLAN POR QUE YA LAS OFERTAS NO ESTABAN VIGENTE.	1	5	Sí	MEDIANA	EDUCACION.	CORONEL.	Hombre	REGIONES	MP	Mediana	MEDIANAS	Stock Fijo
bnhfKmnjtOkm	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	1. Muy insatisfecho	"UNO, TIENEN EL MONOPOLIO DEL SECTOR Y NO ME PUEDO CAMBIAR. DOS, ES UN ASCO LA BANDA ANCHA; NO HAY BANDA ANCHA EN QUE EL SERVICIO OFRECIDO NO ES LO QUE REALMENTE ENTREGAN. LAMENTABLEMENTE, EN EL SECTOR INDUSTRIAL ES LO ÚNICO QUE HAY; NO HAY OTRA EMPRESA CON LA CUAL PUDIERA OPTAR, POR EJEMPLO, PUDIERA DECIR: ME CAMBIO A VTR, NO, VTR NO LLEGA PORQUE NO LLEGA NADIE MÁS, SÓLO ENTEL."	5	1. Muy insatisfecho	1	NS/NR	5	No	No	No	No	Sí	NA	NA	NA	NA	5	NA	NA	NA	NA	A través del Call Center empresa	6	6	NA	NA	Sí	Sí	No	NA	NA	6	6	NA	6	Sí	"TÉCNICOS EN QUE ME QUEDO SIN RED, SIN BANDA ANCHA; LA VELOCIDAD ASQUEROSA, SE PIERDE LA CONEXIÓN Y ME QUEDO SIN TELÉFONO."	1	1	Sí	GGEE	MINERÍA	SAN BERNARDO	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
4bCfFNPyuNdz	MEDICION SEPTIEMBRE 2020	Sí	Entel	Entel	Entel	7. Muy satisfecho	PORQUE LA CONECTIVIDAD ES BASTANTE BUENA HACE BASTANTE AÑOS TRABAJAMOS CON ENTEL Y NO HEMOS TENIDO PROBLEMAS. LA EJECUTIVA SIEMPRE HA SIDO BASTANTE SERVICIALES Y LA ATENCION ES PERSONALIZADA, SOLO ESO.	7. En absoluto acuerdo	6	7	7	7	No	Sí	No	No	No	NA	7	NA	NA	NA	NA	A través del Call Center empresa	NA	NA	NA	NA	NA	Sí	No	Sí	No	No	7	NA	7	NA	NA	7	No	NA	7	7	Sí	MEDIANA	INSTALACIONES ELECTRICAS	PUERTO MONT LOS LAGOS	Mujer	REGIONES	MP	Mediana	MEDIANAS	Stock Fijo
lvr8xN8OpMNG	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	6	PORQUE CUANDO NO LO USO ME SIGUEN COBRANDO EXACTAMENTE IGUAL EN QUE ESTUVO 4 MESES CERRADO EL LOCAL Y ME COBRARON LO MISMO.	6	5	5	5	4	No	No	Sí	Sí	No	NA	NA	3	3	NA	NA	NA	A través del Call Center empresa	A través del Call Center empresa	NA	NA	NA	NA	NA	Sí	No	No	NA	NA	3	NA	NA	7	No	NA	5	5	Sí	PEQUEÑA	COMERCIO	LAS CONDES	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
