encriptado	SEG_CORFO_FINAL	CL_SEG_GOL_original	Regionx	sex_enc	ISO_FINAL_A	F1	P1	P2[{_1}].Rp	P2[{_2}].Rp	P2[{_3}].Rp	P2[{_1}].Rp._98	P2[{_2}].Rp._98	P2[{_3}].Rp._98	P3	P4	P4_COD	P5[{_a}].Rp	P5[{_b}].Rp	P5[{_c}].Rp	P5[{_d}].Rp	P5[{_e}].Rp	P6_aux	P6	P7[{_1}].Rp	P7[{_2}].Rp	P7[{_3}].Rp	P8	P9	P10[{_1}].Rp	P10[{_2}].Rp	P10[{_3}].Rp	P10[{_4}].Rp	P10[{_5}].Rp	P10[{_6}].Rp	P10[{_7}].Rp	P10[{_8}].Rp	P11[{_1}].Rp	P11[{_2}].Rp	P11[{_3}].Rp	P11[{_4}].Rp	P11[{_5}].Rp	P11[{_6}].Rp	P11[{_7}].Rp	P11[{_8}].Rp	P12[{_1}].Rp	P12[{_2}].Rp	P12[{_3}].Rp	P12[{_4}].Rp	P12[{_5}].Rp	P12[{_6}].Rp	P12[{_7}].Rp	P12[{_8}].Rp	P13[{_1}].Rp	P13[{_2}].Rp	P13[{_3}].Rp	P13[{_4}].Rp	P14	P15[{_1}].Rp	P15[{_2}].Rp	P15[{_3}].Rp	P15[{_4}].Rp	P16[{_1}].Rp	P16[{_2}].Rp	P16[{_3}].Rp	P16[{_4}].Rp	P17	P18Aa[{_1}].Rp	P18Aa[{_2}].Rp	P18Aa[{_3}].Rp	P18B[{_1}].Rp	P18B[{_2}].Rp	P18B[{_3}].Rp	P18	P19	P19_COD	P20	P21	P22	P23	P24	P25	P27	P28	P29	P30	P32	Fecha Enc
xrDG10O57P54	PYME	MV	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	3	"POR LA FALTA DE COMPROMISO EN LAS FECHAS DE ENTREGA DE SERVICIOS; EN CUANTO A QUE LLEVAMOS UNA SEMANA ESPERANDO A QUE SE VENGA UNA INSTALACIÓN Y NO HAN VENIDO A INSTALAR POR EJEMPLO."	Demora en soluciones,No solucionan problemas	4	NA	NA	NA	NA	INTERNET BANDA ANCHA	5	5	5	5	2	5	Sí	Sí	NA	Sí	Sí	No	Sí	No	1	1	NA	1	1	NA	1	NA	Ejecutivo asignado	Ejecutivo asignado	NA	Ejecutivo asignado	Ejecutivo asignado	NA	A través del Call center, empresa línea 600, línea 800	NA	1	5	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios	Sí	NA	NA	NA	4	NA	NA	NA	No cumple las necesidades que usted tiene como administrador	NA	NA	NA	NA	NA	NA	Sí	FALLOS EN EL INTERNET Y SUMINISTRO DE NUEVOS SERVICIOS QUE NO DISPONEMOS.	Problemas con internet/ caídas/ internet lento	Sí	No fue solucionado	NA	1. Nada dispuesto	Ha empeorado	0. Nada probable	80	CONSTRUCCIÓN	2 AÑOS 3 AÑOS	LAS CONDES	DIRECTOR GENERAL	V1. PRE CRISIS
ZpWQqcdZtXwZ	PYME	Mas	SANTIAGO	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	6	SOLO PORQUE DE REPENTE SE PONE MUY INESTABLE LA CONEXIÓN, INTERMITENTE, DE INTERNET.	Se cae el servicio/ se corta/ intermitente,Mal servicio internet/ se cae/ lento/ falla	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	6	7	7	7	7	7	No	No	NA	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7. Muy dispuesto	Ha mejorado	10. Muy probable	5	ASESORIAS	5 AÑOS	LAS CONDES	ASISTENTE	V1. PRE CRISIS
CjRPoSdCiWCv	PYME	MV	SANTIAGO	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	5	PORQUE LOS SERVICIOS NO ESTÁN ESTABLES, DE REPENTE ES MUY LENTO  POR ESO BÁSICAMENTE, ESO NO MAS.	Servicio lento	6	NA	NA	NA	NA	INTERNET BANDA ANCHA	4	7	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	Sí	Sí	NA	7	7	Sí	LENTITUD EN EL INTERNET	Problemas con internet/ caídas/ internet lento	Sí	No fue solucionado	NA	6	NA	NA	NA	NA	NA	PROVIDENCIA	NA	V2. POST CRISIS
VRXHLTz3T8hV	PYME	MP	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	1. Muy insatisfecho	ES PÉSIMO EL SERVICIO PORQUE ACÁ SE PASA CORTANDO LA RED, SE LA PASAN CORTANDO LOS CABLES ESTAMOS SIEMPRE UNO O DOS DÍAS SIN INTERNET POR CULPA TAMBIÉN DE LOS CAMONES CUANDO PASAN Y CORTAN LOS CABLES	Mal servicio,Se cae el servicio/ se corta/ intermitente	3	NA	NA	NA	NA	INTERNET BANDA ANCHA	4	5	4	5	4	4	No	Sí	NA	Sí	No	Sí	Sí	Sí	NA	4	NA	4	NA	4	3	5	NA	A través del Call center, empresa línea 600, línea 800	NA	A través del Call center, empresa línea 600, línea 800	NA	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	NA	6	NA	NA	No tiene Ejecutivo <b>(NO LEER)</b>	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	COMO LO MENCIONABA DOS VECES A LA SEMANA MÍNIMO CORTE DE FIBRA ÓPTICA	Con la fibra óptica	Sí	Si fue solucionado	2	4	Ha empeorado	0. Nada probable	50	METALMECANICA	2 AÑOS	PITACURA	ADMINISTRACIÓN	V1. PRE CRISIS
evEDHUpb3Uwx	PYME	MV	REGIONES	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	5	PORQUE LOS EJECUTIVOS QUE SUPUESTAMENTE TIENE ASIGNADOS, NO SEDA EL SERVICIO QUE AL FINAL UNO CONTRATA, EL SERVICIO QUE UNO CONTRATA, AL FINAL NO SEDA COMO TE LO PROMETEN AL PRINCIPIO Y LA INTERNET NO ES MUY BUENA, LA FIBRA ÓPTICA, TIENE POCO ALCANCE, POCA CALIDAD.	Mal servicio internet/ se cae/ lento/ falla,Mal servicio	5	NA	NA	NA	NA	INTERNET BANDA ANCHA	5	5	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	Sí	QUE SE DEMORARON EN CAMBIARNOS COMO DOS AÑOS, DE PERSONA NATURAL A EMPRESA Y AHORA ÚLTIMO ESTABAN COBRANDO LOS DOS LADOS Y SE DEMORARON COMO DOS AÑOS EN HACER EL CAMBIO.	No solucionan problemas	Sí	Si fue solucionado	NA	1. Nada dispuesto	NA	NA	NA	NA	NA	AUTOFAGASTA	NA	V2. POST CRISIS
Ci1Rym4bIMIY	PYME	Mas	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	Entel	Entel	Entel	NA	NA	NA	6	LA ESTABILIDAD, RAPIDEZ ESPECIALMENTE EN BAJADA DE INFORMACIÓN, NO ENTENDÍ LA PREGUNTA, POR LO MISMO ESTABILIDAD BUEN BAJADA INFORMACIÓN, NOSOTROS TRABAJAMOS CON IMPRESIONES DE PLANO Y MUCHAS IMÁGENES Y POR QUE TENGO UNOS PROGRAMAS DE FACTURACIÓN Y SON IGUAL DE ESTABLES NO ESO SERIA TODO.	Buen servicio/ eficiente,Funciona bien	6	NA	NA	NA	NA	INTERNET BANDA ANCHA	6	5	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	NA	NA	NA	No	NA	NA	NA	NA	NA	7. Muy dispuesto	NA	NA	NA	NA	NA	OSORNO  10 REGIÓN	NA	V2. POST CRISIS
QHr5ILheAISJ	GGEE	AV	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	5	HEMOS TENIDO PROBLEMAS CON LA RED FIJA DE TELÉFONO, ESTUVIMOS CASI UNA SEMANA SIN CONEXIÓN, EN LA LINEA	Problemas de conectividad/ conexión/ comunicación	6	NA	NA	NA	NA	INTERNET BANDA ANCHA	6	5	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	Sí	NA	NA	5	Sí	LA TELEFONÍA FIJA, QUE ESTUVIMOS PARADO MAS DE UNA SEMANA, SIN CONEXIÓN	Conectividad/ conexión,Problemas con el servicio telefónico	Sí	Si fue solucionado	NA	5	NA	NA	NA	NA	NA	ÑUÑOA	NA	V2. POST CRISIS
mZsLl5elS5O5	GGEE	AV	SANTIAGO	Hombre	Sí	Sí	"b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	NA	Entel	Entel	NA	NA	NA	5	"PORQUE TÉCNICAMENTE FUNCIONA Y HA OPERADO CON NORMALIDAD LO QUE HEMOS CONTRATADO. LOS TIEMPO DE RESPUESTAS PARA LAS INSTALACIONES Y EL SOPORTE DISTAN MUCHO DE LO QUE UNO DESEARÍA. ME REFIERO CUANDO TIENEN QUE HACER ALGUNA REPARACIÓN O ALGO QUE SEA REACTIVO, POR EJEMPLO UN CORTE; NO CONTAMOS SIEMPRE LA INFORMACIÓN AL TIEMPO QUE NOSOTROS QUEREMOS, Y TAMPOCO VUELVEN LOS SERVICIOS SEGÚN LO DE CLA QUE ESTÁN COMPROMETIDOS. EL TEMAS DE LAS INSTALACIONES, DONDE SE PROYECTAN LOS TIEMPOS DE LOS NUEVOS SERVICIOS Y EN GENERAL NO SE CUMPLE E INCLUSO HAN PASADO MESES. ENTONCES ESO NO CORRESPONDE Y A NOSOTROS TAMBIÉN NOS HA ATRASADO ANTE LOS PROYECTOS."	Funciona bien,Soluciones rápidas	6	NA	NA	NA	NA	MPLS	6	5	NS/NR	6	5	5	Sí	Sí	NA	No	Sí	Sí	Sí	Sí	4	5	NA	NA	6	5	5	5	Ejecutivo asignado	Ejecutivo asignado	NA	NA	A través del Call center, empresa línea 600, línea 800	Ejecutivo asignado	A través del Call center, empresa línea 600, línea 800	Ejecutivo asignado	5	6	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Ejecutivo de Atención que atiende sus requerimientos Post-Venta	Sí	Sí	NA	NA	5	6	NA	NA	Cumple las necesidades que usted tiene como administrador	NA	NA	NA	NA	NA	NA	Sí	CORTE DE SERVICIO EN DASHBOARD	Caída del sistema/ servicio	Sí	Si fue solucionado	6	5	Está Igual	5	160	SALUD	10 AÑOS	LAS CONDES	NO RESPONDE	V1. PRE CRISIS
tBH2iOnCGWHd	PYME	Mas	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	5	PORQUE ME COBRAN MAS CARO, SI HAGO UN RECLAMO NO ME HACEN DESCUENTO Y ENCIMA NO TIENE LA VELOCIDAD QUE DICEN QUE TIENE, 40 LA DE INTERNET.	Es caro/ planes caros,Mal servicio internet/ se cae/ lento/ falla	6	NA	NA	NA	NA	INTERNET BANDA ANCHA	6	5	5	5	6	5	No	No	NA	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	5	Está Igual	5	7	SISTEMAS	5 AÑOS	SANTIAGO	GERENTE GENERAL	V1. PRE CRISIS
vEJ7UtHVM9dE	MICRO	Mas	SANTIAGO	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	Entel	Entel	Entel	NA	NA	NA	6	NO CON SIETE PORQUE LA VERDAD ES QUE TIENEN PROBLEMAS ELLOS DE A VECES SE LE CAEN LOS SISTEMAS DE CABLE SOBRE TODO Y CUESTA QUE RESTABLEZCA LOS SERVICIOS	Se cae el sistema/ tiene problemas con el sistema,Demoran en reponer el servicio	6	NA	NA	NA	NA	INTERNET BANDA ANCHA	6	7	7	7	6	6	Sí	Sí	NA	No	Sí	No	Sí	No	6	6	NA	NA	6	NA	6	NA	En tienda/ sucursales	En tienda/ sucursales	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	A través del Call center, empresa línea 600, línea 800	NA	NA	6	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	CON EL CABLE SOBRE TODO SE LES CAE LAS ANTENAS NO SE QUE SE LES CAE PERO HEMOS QUEDADO SIN CABLE EN VARIAS OPORTUNIDADES	Cortes de cables	Sí	Si fue solucionado	6	7. Muy dispuesto	Está Igual	9	2	CAFETERIA	1 AÑO	LAS CONDES	DUEÑO	V1. PRE CRISIS
gndDLZ9NHJGu	PYME	Mas	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	WOM	NA	NA	1. Muy insatisfecho	PORQUE ATIENDEN COMO LAS PELOTAS EL INTERNET SE CAE ES MAS CARO QUE LA CHUCHAS PESIMO SERVICIO PESIMA POS VENTA EN O QUE ES COBRANZA ME TUVIERON 6 MESES SIN SERVICIO ME COBRARON IGUAL Y AUN NO ME DAN SOLUCION AL CREDITO.	Mala atención,Mal servicio internet/ se cae/ lento/ falla,Mal servicio,Mal servicio post venta,No solucionan problemas	4	NA	NA	NA	NA	INTERNET BANDA ANCHA	5	2	5	7	1	1	No	No	NA	Sí	No	No	Sí	Sí	NA	NA	NA	1	NA	NA	1	1	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	NA	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	NO HAY SERVICIO NO HAY SEÑAL SE CAE FACTURAN MAL, INTERNET, ES CARO Y ES MALO	Mala señal/ problemas de señal,Problemas con internet/ caídas/ internet lento,Facturación/ facturación poco clara,Cobros excesivos	Sí	No fue solucionado	NA	1. Nada dispuesto	Está Igual	0. Nada probable	14	LA VENTA DE ARTICULOS DE ALFACIBILIDAD	1 AÑO Y MEDIO	VITACURA	GERENTE DE FINANZAS	V1. PRE CRISIS
xPV3fxuKbKip	MICRO	Mas	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha"	Entel	NA	NA	NA	NA	NA	7. Muy satisfecho	PORQUE NO HA FALLADO FUNCIONA BIEN LAS CUENTAS CON CLARAS.	Funciona bien,Cuentas claras	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	7. Muy satisfecho	5	7	7	7	7	No	No	NA	No	No	Sí	No	No	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NS/NR <b>(NO LEER)</b>	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7. Muy dispuesto	Está Igual	10. Muy probable	5	CORRETAJE DE PROPIEDADES	2 AÑOS	PROVIDENCIA	GERENTE GENERAL	V1. PRE CRISIS
ZIu3YMLs7n3Y	PYME	Mas	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	7. Muy satisfecho	ES BUEN SERVICIO Y NO HE TENIDO NINGÚN PROBLEMA ASÍ QUE ES BUENO, EN LA VELOCIDAD QUE TENGO CONSTANTEMENTE QUE ES LA QUE QUIERO Y LA CUENTA ME LLEGA A TIEMPO ESO, NO HE TENIDO NINGÚN PROBLEMA	Mal servicio internet/ se cae/ lento/ falla,Es caro/ planes caros	6	NA	NA	NA	NA	INTERNET BANDA ANCHA	7. Muy satisfecho	5	5	5	7	6	No	No	NA	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7. Muy dispuesto	Está Igual	9	7	SERVICIOS MÉDICOS	2 AÑOS	PROVIDENCIA	GERENTE GENERAL	V1. PRE CRISIS
o8SgbT2i8gfS	MICRO	Mas	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha"	Entel	NA	NA	NA	NA	NA	5	SIEMPRE SE PUEDE MEJORAR LA VISITA DEL TÉCNICO EN  LOS TIEMPO DE ESPERA	No es perfecto/ podría ser mejor	5	NA	NA	NA	NA	INTERNET BANDA ANCHA	5	5	5	NS/NR	5	5	No	No	NA	No	No	No	Sí	No	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	NO CARGABA EL INTERNET,NO SE PODÍA USAR	Problemas con internet/ caídas/ internet lento	Sí	Si fue solucionado	5	5	Ha mejorado	7	2	COMERCIO EXTERIOR	8 MESES	ARICA	REPRESENTANTE LEGAL	V1. PRE CRISIS
tAWmPmojNntZ	GGEE	AV	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS)"	Entel	Telefónica/ Movistar	NA	NA	NA	NA	7. Muy satisfecho	PORQUE NO HEMOS TENIDO NINGÚN PROBLEMA EN CAÍDAS DE DATOS INTERLASE DE DATOS NO SE CAE EL INTERNET.	No ha tenido problemas/ conforme/ todo bien,Buen servicio de internet/ rápido/ estable	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	7. Muy satisfecho	5	6	NS/NR	6	6	No	No	NA	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Ejecutivo de Atención que atiende sus requerimientos Post-Venta	No	No	NA	NA	NA	NA	NA	NA	Cumple las necesidades que usted tiene como administrador	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7. Muy dispuesto	Está Igual	10. Muy probable	300	LÁCTEOS	10 AÑOS	TETROSQUEN - NOVENA REGIÓN	ENCARGADO DE INFORMÁTICA	V1. PRE CRISIS
m1YfUUuypUZF	PYME	Mas	SANTIAGO	Mujer	No	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel,VTR	NA	Entel	NA	NA	NA	7. Muy satisfecho	"PORQUE ES UN SERVICIO DE CALIDAD; PORQUE NO NOS HA FALLADO HASTA AHORA, A VECES SE CAE Y ESO PERO ES BIEN."	Buen servicio/ eficiente	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	7. Muy satisfecho	6	7	7	7	7	No	No	NA	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7. Muy dispuesto	Está Igual	10. Muy probable	15	CLIMATIZACION	1 AÑO	NUÑOA	ADMINISTERIO MANAGER	V1. PRE CRISIS
2x8twnf7Wf9Z	PYME	Mas	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	7. Muy satisfecho	PORQUE SON PARA LO QUE LOS NECESITAMOS ESTÁ PERFECTO EL SERVICIO DE INTERNET BANDA ANCHA Y EL SERVICIO DE TELEFONÍA FIJA, FUNCIONA PARA NOSOTROS, BUENA VELOCIDAD, SE PUEDEN HACER LLAMADAS LOCALES E INTERNACIONALES Y  BUENA VELOCIDAD DE INTERNET Y EL SERVICIO HA SIDO CONSTANTE NO ES INTERRUMPIDO	Buen servicio de internet/ rápido/ estable,Buen servicio de telefonía,Buen servicio/ eficiente	6	NA	NA	NA	NA	INTERNET BANDA ANCHA	7. Muy satisfecho	6	7	7	6	7	No	No	NA	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	6	Está Igual	8	8	SERVICIOS	2 AÑOS	VITACURA	GERNETE DE OPERACIONES	V1. PRE CRISIS
Y44da7jXnEVv	PYME	MP	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	7. Muy satisfecho	PORQUE JAMÁS HE TENIDO UN INCONVENIENTE, NUNCA TUVE UN INCONVENIENTE EN EL SERVICIO.	No ha tenido problemas/ conforme/ todo bien,Buen servicio/ eficiente	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	7. Muy satisfecho	5	7	7	7	7	No	No	NA	Sí	No	No	No	No	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	NA	NA	NA	NA	7	NA	NA	No tiene Ejecutivo <b>(NO LEER)</b>	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7. Muy dispuesto	Está Igual	10. Muy probable	15	INFORMÁTICA	2 AÑOS	SANTIAGO, CHILE	GERENTE	V1. PRE CRISIS
TiLBWPANG1JT	PYME	Mas	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	5	PORQUE TENGO PROBLEMAS CON INTERNET, TENGO INTERMITENCIAS TODAVÍA NO TENGO SEGURIDAD NO SÉ SI ES CON ENTEL O CON MI CONEXIÓN INTERNA	Mal servicio internet/ se cae/ lento/ falla	3	NA	NA	NA	NA	INTERNET BANDA ANCHA	5	7	7	7	5	7	No	No	NA	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7. Muy dispuesto	Está Igual	7	25	INMOBILIARIAS	1 AÑO Y MEDIO	SANTIAGO - BITACURA	GERENTE DE FINANZAS	V1. PRE CRISIS
Dex92ignK3G7	PYME	Mas	REGIONES	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	Entel,Telefónica/ Movistar	Entel,Telefónica/ Movistar	Entel,Telefónica/ Movistar	NA	NA	NA	6	PORQUE CUANDO HEMOS TENIDO PROBLEMA SI BIEN NO LO SOLUCIONAN DE FORMA INMEDIATA PERO SI LO SOLUCIONAN AL CONTRARIO DE MOVISTAR QUE SI SE DEMORAN UN MONTÓN	Soluciones rápidas	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	7. Muy satisfecho	5	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	NA	NA	NA	No	NA	NA	NA	NA	NA	7. Muy dispuesto	NA	NA	NA	NA	NA	PRIMERA REGIÓN DE PARACATA IQUIQUE	NA	V2. POST CRISIS
3yLvYLAKTX3O	MICRO	Mas	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	6	DEBERÍAN OFRECER MÁS SERVICIOS, LA VERDAD LA PÁGINA NO ME FALLADO NUNCA, SOLAMENTE ESO.	Servicio estable/ no se cae	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	7. Muy satisfecho	6	7	7	7	7	No	No	NA	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7. Muy dispuesto	Está Igual	7	3	INFORMÁTICA	1 AÑO	PROVIDENCIA	DUEÑO	V1. PRE CRISIS
KOHMU2bmri1D	PYME	Mas	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	6	PORQUE TIENE INTERMITENCIA DE VEZ EN CUANDO EN EL INTERNET.	Mal servicio internet/ se cae/ lento/ falla	5	NA	NA	NA	NA	INTERNET BANDA ANCHA	5	6	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	NA	NA	NA	No	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	PROVIDENCIA	NA	V2. POST CRISIS
