encriptado	SEG_GOL	sex_enc	P3 Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7 = Muy satisfecho, ¿Cuán satisfecho está usted con Entel?	P4 ¿Por qué evalúa con esa nota?
O0IbHOnzRhC6	AP	Hombre	5	PORQUE TIENEN DEMORAS EN RESPUESTA DE LOS REQUERIMIENTOS Y SON MUY DESORDENADOS CON EL TEMA DE LA FACTURACIÓN.
sS9bHIXvzErK	AP	Mujer	7	PORQUE NO HEMOS TENIDO INCONVENIENTES
a5f8WLF5RXz8	AV	Hombre	6	PORQUE EL SERVICIO ES MUY BUENO EN GENERAL, EN LA RESPUESTA DEL EJECUTIVO LA FACILIDAD PARA COMUNICARME CON ELLOS, LA DISPOSICIÓN TODO EL ENJICO PROBLEMAS ES QUE LOS PLANES SON MUY CAROS
nBzY50aW0iR8	AP	Hombre	6	ACTUALMENTE TENEMOS PROBLEMAS CON UNJO DE NUESTROS SERVICIOS, LA VELOCIDAD QUE ESTA CONTRATADA NO ES LA QUE TENÍAMOS DESTINO
D22FCx3fpPsD	AP	Mujer	5	PORQUE CREO QUE PODRÍA SER MEJOR LOS COSTOS SON MUY ALTOS EN CUANTO A TODO, A NIVEL DE TELEFONÍA MÓVIL, RED DE INTERNET TODOS ESOS COSTOS SON MUY ALTOS
GzrKVwmVXQpJ	AP	Mujer	5	POR LA ATENCIÓN QUE TENEMOS CUANDO VAMOS A CANCELAR LOS SERVICIOS EN REALIDAD QUE ES UN POCO AGRESIVA NO SE SI ES LA PALABRA PERO LA PERSONA NO ES MUY CORDIAL PARA ATENDER EN REALIDAD, UN ASPECTO POSITIVO ES EL EJECUTIVO QUE TENEMOS ACÁ EN ARICA NOS RESUELVE LOS PROBLEMAS Y LAS INQUIETUDES QUE TENGAMOS EN EL MOMENTO Y NO HEMOS TENIDO PROBLEMAS CON ESO.
flodAyTKnx5p	MasPrem	Mujer	5	ES MUY MALA LA SEÑAL Y ES MUY LENTO EL INTERNET, HAY OCASIONES DONDE SE CAE LA SEÑAL Y NO LLEGA EL INTERNET
aTFEV3T196Dp	MasPrem	Mujer	6	PORQUE NO ESTA CON BUENA SEÑAL (NO DA MAS INFORMACIÓN).
K7myxQfhJFtd	AV	Hombre	6	POR EL CORTE DEL CABLE. EL SERVICIO, YA QUE RESPONDEN.
hMa4V4gpnlUc	MasPrem	Mujer	6	PORQUE TAMPOCO ES PERFECTA, ME PARECE EN GENERAL TODO BIEN, PERO CUANDO UNO TIENE QUE SOLUCIONAR ALGÚN PROBLEMA CUESTA COMUNICARSE.
Sh8wdNzRTomq	AP	Hombre	7	PORQUE NO HEMOS TENIDO PROBLEMAS DE CONECTIVIDAD ES UNA RED BASTANTE ESTABLE
j3KivNwJVA8Q	AV	Hombre	6	PORQUE SON BASTANTE REGULARES, NO HEMOS TENIDO MAYORES INCIDENCIAS, PORQUE SI BIEN LOS TIEMPOS DE RESPUESTAS NO SON TAN RÁPIDOS, NOS ATIENDEN EN EL TIEMPO QUE NOS ESTIMAN. CON REGULARES ES DECIR QUE NO HAY UN INCREMENTO O UNA MEJORA EN EL SERVICIO NI UNA BAJA TAMPOCO.
U0o2QfK3hOtY	AP	Hombre	7	PORQUE LA RESPUESTA A LOS REQUERIMIENTOS ES RÁPIDA, PORQUE NOS COBRAN LO QUE DICEN QUE NOS VAN A COBRAR, EL SERVICIO ES BUENO. ME REFIERO A QUE CUANDO CONTACTO A LA EJECUTIVA SERVICIOS FIJOS O MÓVILES, ME RESPONDE DURANTE LE MISMO DÍA.
CNHroKoLN7m4	MasPrem	Mujer	6	PORQUE CUMPLEN LOS TIEMPOS, TIENEN BUEN SERVICIO EN CUANTO A LA INSTALACIÓN DE LOS PRODUCTOS Y EN CUANTO A LA ATENCIÓN AL CLIENTE Y LA SEÑAL ES BUENA
9qYWy3ad25WJ	MasPrem	Mujer	4	PORQUE NO SIEMPRE ESTÁ BIEN EL SERVICIO, CUANDO UNO LLAMA A ATENCIÓN AL CLIENTE NUNCA CONTESTAN, SIEMPRE ESTÁN FULL.
FFGMWBY94Sde	AP	Hombre	6	POR LOS TIEMPOS DE RESPUESTA EN CUANTO A CUANDO HAY PROBLEMAS DE COMUNICACIÓN DE BANDA ANCHA, LA CONEXIÓN
NSqBJxWtDHnl	MasPrem	Mujer	6	PORQUE NO HEMOS TENIDO NINGÚN PROBLEMA.
DTH33NL3d82u	MasPrem	Mujer	5	PORQUE ENCUENTRO QUE ES MUY LENTO EL INTERNET SOLAMENTE ESO, ALGO POSITIVO ES QUE CASI NUNCA SE CAE EL SERVICIO ESO ES BUENO.
65neyb9al5E1	AV	Hombre	7	PORQUE EL INTERNET FUNCIONA ESTABLE, EN CASO DE CUALQUIER CONTINGENCIA REACCIONAN INMEDIATAMENTE, Y HASTA EL MOMENTO NO HEMOS TENIDO MAYOR PROBLEMA.
sOA8298CPFiY	MV	Hombre	7	PORQUE TIENE BUENOS SERVICIOS SIEMPRE, SEÑAL, VELOCIDAD, LA POST VENTA, CON EL EJECUTIVO.
M2Y0C2wdq53L	MasPrem	Hombre	6	PORQUE NO ES PARA MÁS, A VECES SE CAE EL INTERNET PARA RESALTAR LA  CALIDAD DEL SERVICIO CUANDO HE LLAMADO HA SIDO RÁPIDA LA RESPUESTA.
y23nGDYRkvCl	AV	Mujer	7	POR LA CALIDAD DEL SERVICIO ES BASTANTE BUENA, EN CUANTO AL NIVEL DE SEÑAL QUE TIENEN.
Abtu2suLgvEC	MV	Hombre	4	ES PROBLEMA DEL SECTOR EN REALIDAD, TIENE MUY MALA SEÑAL. SOLO ESO.
x9elHzKp5dgK	AP	Mujer	7	POR QUE NO HE TENIDO NINGÚN INCONVENIENTE HASTA AHORA.
mzHmDVxzYiIR	MP	Hombre	5	PORQUE HAY MUCHA VARIABILIDAD EN CUANTO A LA CALIDAD DEL SERVICIO EN TÉRMINOS DE VELOCIDAD DE INTERNET
HN0o4ktIEePk	MV	Hombre	6	"POR QUE SON BUENOS, ES RÁPIDO, Y ME GUSTA; TAMBIÉN PORQUE EL PRECIO ES MUY RAZONABLE"
VMgEAYJ1pTvL	MP	Mujer	5	POR QUE DE REPENTE EL INTERNET ES MEDIO BAJO, ESTA UN POCO LENTO, PERO SE RECUPERA.
VakOG76zl4Lg	MV	Mujer	5	PORQUE TIENE UN PROCESO QUE NO  FUNCIONA PARA DAR DE BAJA A LOS NÚMEROS AUN ESTOY PAGANDO LA CUNETA DE UNOS TELÉFONOS QUE DI DE BAJA Y ELLOS NO HAN BAJADO
TMdgDFHRCrJ8	MV	Hombre	6	"PORQUE HEMOS TENIDO ALGUNOS PROBLEMAS DE CORTE DE SERVICIOS, PERO MENORES; TIENE BUENA ESTABILIDAD DE SOFTWARE"
fOnOeG558dac	MV	Hombre	7	PORQUE ME PRESTAN UN BUEN SERVICIO CUANDO TENGO ALGUN PROBLEMA TECNICO ME RESPONDEN DE INMEDIATO LOS COBROS SON LOS QUE CORRESPONDEN
uux6iKoT6bDQ	MP	Hombre	7	PORQUE NO HE TENIDO PROBLEMAS EN CUANTO A NADA DE LOS SERVICIOS CON ENTEL, ADEMAS ENTEL ME SIRVE.
ae5bupoVWb2i	MV	Hombre	6	PORQUE EL INTERNET AVECES FALLA Y AVECES NO ENTONCES POR ESO, APARTE ESTÁN SUBIDOS LOS PRECIOS Y NADA MAS.
UZ2GCkWQMCgZ	MasPrem	Mujer	7	PORQUE TODAS LAS VECES QUE LES HE PEDIDO ALGO FUNCIONA PERFECTO, POR LOS SERVICIOS Y LOS CAMBIOS, EL SERVICIO DE WEB Y EN LA FACTURACIÓN TODO ESTA ORDENADO, NO HEMOS TENIDO PROBLEMAS
7HEI6eTaQw8G	MasPrem	Mujer	7	POR QUE NO HEMOS TENIDO PROBLEMAS CON EL INTERNED ES RÁPIDO NO SE CAE , NO HEMOS TENIDO MAYORES INCONVENIENTE CON LA EMPRESA , Y EL TELÉFONO ES EFICIENTE IGUAL
LSD25udzryMw	AP	Hombre	7	PORQUE LA VERDAD EL SERVICIO ES MUY ESTABLE, Y LAS VECE QUE ME PRESTAN EL SERVICIO TÉCNICO, O COMERCIAL , ESTÁN SIEMPRE ATENTOS, HAY UN EJECUTIVO DISPUESTO A AYUDARME, LA BUENA SEÑAL, TAMBIÉN ES UN BUEN FACTOR
Beduu3SzsLSy	AP	Hombre	5	PORQUE NO HAY MUCHA COMUNICACIÓN DE PARTE DE ELLOS CON LA EMPRESA EN REALIDAD, NO HAY INTERACCIÓN PARA SABER COMO ESTA O SI REQUERIMOS ALGO, NO HAY NADA DE ESO.
EepQ8GBfL0D6	MV	Hombre	7	PORQUE ME HAN SOLUCIONADO LO PROBLEMAS QUE HE TENIDO DE FORMA RÁPIDA EN CUANTO AL PLAN Y EL AUMENTO DE LA LINEA.
uSx6jLqQsw94	AV	Mujer	4	PORQUE LOS PRECIOS NO SON LO SUFICIENTEMENTE COMPETITIVOS Y HAY PROBLEMAS DE SEÑAL EN ALGUNOS SECTORES.
b8Xz81982J8m	AP	Hombre	6	PORQUE FALTA UN POCO PARA QUE SEA 100 POR CIENTO SATISFECHO, INTERRUPCIÓN EN EL SERVICIO ,
RDNToWG4nBQ0	Mas	Mujer	7	NOS PORTAMOS HACE POCO DE MOVISTAR A ENTEL, LA RAPIDEZ CON LA QUE CONTESTAN CUANDO UNO LLAMA POR SI HAY ALGÚN PROBLEMA, EL SISTEMA ES BASTANTE PAREJO Y NO SE CAE, NO SE SUFRE DE ESE PROBLEMA DE DES CONEXIONES EXTRAÑAS Y EL INTERNET ES BASTANTE RÁPIDO
w2SYAvXuHkJd	AP	Hombre	7	"PORQUE EL SERVICIO ES BUENO Y EL PRECIO TAMBIÉN; EL SERVICIO ES BUENO EN LO QUE COBRAN. (NO DA MÁS INFORMACIÓN)."
uaa2qNHBBsrO	AV	Hombre	6	PORQUE TIENE BUENA RESPUESTA EN CASO DE FALLA, UNA RESPUESTA RAPIDA EN REALIDAD.
WOhxpgIvWkD5	Mas	Mujer	6	PORQUE ME HA TOCADO QUE ME HAN ATENDIDO MUY BIEN CUANDO HE TENIDO QUE IR A HABLAR PERSONALMENTE, ES RÁPIDO Y EFICIENTE MÁS QUE MOVISTAR, EN RELACIÓN A MOVISTAR ME HAN ATENDIDO MUY BIEN EN ENTEL, PORQUE HASTA AHORA NOS HAN ATENDIDO BIEN, NO SE HA CAÍDO EL SISTEMA TAMPOCO, NO SE HA CAÍDO EL INTERNET, ES BASTANTE ESTABLE.
HzjgR2vBkEsQ	MasPrem	Mujer	6	PORQUE A VECES COMO ESTAMOS TAN LEJOS A VECES LA CONEXIÓN FALLA
NaAAh5rvvJNJ	MP	Hombre	6	"PORQUE FUNCIONA BIEN; EN LA DISPONIBILIDAD HE TENIDO PROBLEMAS CON CASOS Y EN PRECIOS, NO PUEDO ACCEDER A MEJORES CONDICIONES DE BANDA ANCHA O ROUTER O COSAS ASI, LOS PRECIOS SON DEMASIADO ALTOS."
KQQT4cBDvvyi	Mas	Mujer	5	PORQUE EN GENERAL CUANDO UNO TIENEN QUE COMUNICARSE CON LA EMPRESA NO ES FÁCIL FUNDAMENTALMENTE EN LA POST-VENTA.
e7KJf7BYuWwL	AV	Hombre	6	PORQUE A VECES TIENE UNAS FALLAS PERO FUNCIONA RELATIVAMENTE BIEN EN QUE CASI NUNCA SE CAE LA RED, PERO CUANDO SE CAE ES UN POCO ENGORROSO PERO FUNCIONA BIEN
c2JZilowEgWG	AP	Hombre	7	PORQUE LLEVO TRABAJANDO VARIOS AÑOS Y NUNCA HE TENIDO PROBLEMAS.
XMwptZy2Yc2p	AV	Hombre	6	POR QUE ES BUENO EL SERVICIO, EN TIEMPO DE RESPUESTA, EN CONECTIVIDAD NO TENEMOS MUCHAS CAÍDAS DEL SISTEMA COMO NOS HA OCURRIDO EN ESTOS MOMENTOS. LA COBERTURA QUE TIENE LA COMPAÑÍA ES A NIVEL NACIONAL Y EN ESTE SENTIDO LA POST VENTA, LAS VISITAS TRIMESTRALES DEL EJECUTIVO DE VENTA DE REPENTE PODEMOS COMPRAR EQUIPOS, EN CIERTO MODO TENEMOS UNA CUOTA ASIGNADA DE DEPOSITO ANUAL PARA PODER SACAR EQUIPOS, SON COSAS QUE CON LAS OTRAS COMPAÑÍAS NO SE HAN LOGRADO.
FYLU3PZQcblo	MP	Mujer	6	PORQUE A VECES SE CAE EL SERVICIO, DE INTERNET POR EJEMPLO
amJX6FwaPbfv	MV	Hombre	7	POR LA RAPIDEZ DE LA ATENCIÓN Y POR NO HABER TENDIÓ NINGÚN PROBLEMA CON ELLOS DESDE QUE LO TENEMOS CONTRATADOS
s3S2Tz1JznkD	MP	Mujer	6	PORQUE A VECES TENGO INTERMITENCIA, TIENE UNA BUENA VELOCIDAD.
KMPI1whRfXk8	AV	Hombre	7	HAN TENIDO BUENA DISPOSICION EN SOLUCION A PROBLEMAS QUE HEMOS TENIDO CON FIBRA OPTICA LA CAPACIDAD DE INTERNET ES SUFICIENTE PARA TODOS LOS EQUIPOS DE LA OFICINA HE TENIDO BUEN SERVICIO TECNICO EN CORTES DE FIBRA
saErEhuZ0VrQ	AP	Hombre	5	POR QUE LAS BOLETAS ESTÁN VARIANDO MES A MES.
L9xHOGvNReFu	Mas	Hombre	7	POR EL BUEN SERVICIO EN CUANTO A LA CALIDAD DE LA TRANSMISIÓN DEL SERVICIO DE INTERNET VÍA FIBRA ÓPTICA, COMO ÚLTIMAMENTE SE HAN MODERNIZADO, YA NO ES POR COBRE SINO POR FIBRA ÓPTICA Y LA VELOCIDAD ES BASTANTE BUENA, LA ASISTENCIA TÉCNICA INMEDIATA, ESTÁN SOBRE LOS PROBLEMAS TÉCNICOS Y OBVIAMENTE LA FACILIDAD TAMBIÉN CON QUE NOS OTORGA AL MOMENTO DE CONTRATAR LOS SERVICIOS.
884w6ZZoNI08	AV	Hombre	5	PORQUE HE GENERADO ALGUNOS REQUERIMIENTOS Y NO SEAN COMPLETADO ES LENTA LA REACCIÓN RESPECTO ALGUNOS EVENTOS QUE ME HAN PASADO
Ws1fBBFNzCRb	AP	Mujer	5	PORQUE CREO QUE LOS VALORES POR ALGUNOS SERVICIOS QUE ESTÁN ENTREGANDO CREO QUE NO DEBERÍAN SER POR PARTE DEL CLIENTE, DEBERÍAN SER POR PARTE DEL PROVEEDOR DE SERVICIO,COMO POR EJEMPLO NO TERMINAMOS MIGRANDO LAS COSAS CON ENTEL PORQUE A TRAVÉS DE UN TRÁMITE REQUIERE UN GDT QUE SI NO EXISTE NO LO PUEDEN INSTALAR Y RAÍZ DE ESO NO QUEDAMOS FINALMENTE CON ENTEL Y NOS QUEDAMOS CON OTRAS EMPRESAS QUE NO REQUIEREN ESE DISPOSITIVO O QUE INSTALAN ESE DISPOSITIVO POR EL COSTO DE ELLOS Y NO POR COSTO DE NOSOTROS.
3urQPMyTgMnp	MP	Hombre	7	PORQUE LOS SERVICIOS ME FUNCIONAN PERFECTAMENTE, DE ACUERDO A LO QUE TENGO, INTERNET, TELEFONÍA FIJA
eX9q8xtNV4Cp	AV	Mujer	6	PORQU HE TENIDO FALLAS EN EL SERVCIO NO SON AVITUALES PERO ESO LE QUITA LA PERFECCION DEL 7
lM0jhACWqaVo	MasPrem	Hombre	6	PORQUE LA VELOCIDAD DE INTERNET ES BUENA Y EL TIEMPO DE RESPUESTA, HACE MUCHO TIEMPO QUE NO TENEMOS INCIDENTES PERO FUE BUENA CUANDO TUVIMOS EL INCIDENTE.
Ei07yKDEyvOP	MasPrem	Hombre	7	ES MEJOR SERVICIO YA QUE A DIARIO NO TENEMOS NINGÚN PROBLEMA (NO DA MAS INFORMACIÓN)
iVmuON5oMaFJ	MasPrem	Mujer	6	"PORQUE PRESENTA DE VEZ EN CUANDO ALGUNOS INCONVENIENTES EN LA RED; PRINCIPALMENTE INTERMITENCIA EN LA RED."
qs2YflhTr5JV	AP	Mujer	6	PORQUE DE REPENTE HAY PROBLEMAS DE INCONECTIVIDAD, AUNQUE ES UNA PARTE RURAL, ES POR ESO.
D1QEGKqpj7nz	Mas	Hombre	6	"PORQUE NO ES PERFECTO; PUES SOBRE ENTEL, EN LO DE LA CONEXIÓN A INTERNET. (NO DA MÁS INFORMACIÓN)."
vAIUpsF1uSsZ	AV	Mujer	7	"PORQUE EN CASO DE TENER ALGÚN REQUERIMIENTO O FALLA, LA SOLUCIÓN ES EN BREVE TIEMPO; Y POR LAS TARIFAS."
yObRB5p4XBS1	AV	Mujer	7	POR QUE EL SERVICIO FUNCIONA BIEN, NO TENEMOS CAÍDAS, CUANDO HEMOS TENIDO PROBLEMAS ELLOS FUNCIONAN.
3XNbcxaT9OHU	MP	Mujer	6	BUEN SERVICIO EN GENERAL YA QUE CUANDO UNO NECESITA ALGO ELLOS SIEMPRE NOS SOLUCIONAN LOS TEMAS PUNTUALES
4cAkPuo2RNll	MV	Hombre	7	PORQUE SON ESPECTACULARES Y EFICIENTES. (NO DA MAS INFORMACIÓN)
IDxMvuTjuw5M	MP	Hombre	3	POR QUE NO HAY NINGÚN VALOR AGREGADO AL SERVICIO.
lWHovIXp8mhw	AP	Hombre	5	APARTE DE QUE LOS COSTOS SON ALGO ALTOS.
hKahTGk21dXX	MP	Hombre	6	POR QUE AVECES SE CAE EL SERVICIO, ADEMÁS DE QUE CUESTA COMUNICARSE DE REPENTE CON LA PLATAFORMA. Y LA FACTURA NO LLEGA.
jjdpd8aVD9wA	AP	Hombre	6	LA VERDAD ES QUE TENGO BUEN SERVICIO SOLAMENTE QUE ALGUNAS VECES SE CAE LA RED FIJA QUE TENEMOS PARA EL SERVICIO NGN.
OUKkftWQrUXW	MV	Hombre	5	PORQUE HAN TENIDO TARDANZA EN LA RECUPERACIÓN CUANDO HAN TENIDO PROBLEMA DE ENLACES ASE HAN DEMORADO EN ESE TEMA
IfiNgqt8xHt6	AP	Hombre	6	PORQUE EN ALGUNOS LUGARES NO HAY SEÑAL,POR ESO TENEMOS MOVISTAR (NO DA MAS INFORMACIÓN)
bt7phioBB4MG	AP	Mujer	6	PORQUE AVECES HAY PROBLEMAS EN CUANTO A  CON EL INTERNET DONDE SE PONE MAS LENTO Y ESO.
MAxvlaIl8G3F	AV	Mujer	7	CORPORATIVO ESTA DEDICADO DE SU CLIENTE TODO LO QUE UNO REQUIERA  EN EL ESTABLECIMIENTO
OVQdl3gD5Mrt	MV	Hombre	4	PORQUE LA INTERNET TIENE PROBLEMAS EN CUANTO A QUE AVECES SE PONE INTERMITENTE LA COMUNICACIÓN Y OTRAS VECES ESTA TAN LENTA QUE NO SIRVE.
YKpfWmPQQLWK	AV	Hombre	5	POR QUE AVECES TENEMOS PROBLEMAS CON EL INTERNET.
OEuMwpaUa7uq	MasPrem	Mujer	6	PORQUE LA ATENCIÓN AL CLIENTE DE ENTEL NO ES BUENA, COMO LA POST VENTA Y LA SOLUCIÓN CUANDO NECESITAS, NO TE DAN SOLUCIONES BUENAS.
gfSEskwI5e4k	MasPrem	Hombre	5	PORQUE SE CAE MUCHO LA SEÑAL Y HAY MUY POCAS OFERTAS PARA LOS SERVICIOS.
QA8Fe16rE4vu	MP	Hombre	5	PORQUE LA EMPRESA SALE SIEMPRE MÁS CARA CON POCAS MEGAS, POCAS GIGAS POR EL MISMO PRECIO QUE SALE MÁS O MENOS.
F6VXBBpzYMAS	Mas	Hombre	4	PORQUE EL SERVICIO NO ES LO SUFICIENTEMENTE EXPEDITO EN CUANTO A QUE A VECES SE CORTA, A VECES SE INTERRUMPE Y PORQUE LAS CUENTAS TAMPOCO SON MUY CLARAS.
tDrRup8T9Wob	MP	Mujer	7	POR QUE NO HEMOS TENIDO PROBLEMA Y CADA VEZ QUE OCURRE ALGO YO LLAMO POR TELÉFONO Y LO SOLUCIONAN EN LINEA INMEDIATAMENTE, SIEMPRE UNO SE PUEDE COMUNICAR CON UN EJECUTIVO.
orjZG1FS5vpj	MasPrem	Mujer	7	POR EL SERVICIO, BUENA CALIDAD DEL SERVICIO
gncu83tgdHWJ	MasPrem	Hombre	5	POR SERVICIO, LA CALIFICACIÓN NO LLEGA A MAS PORQUE CUANDO UNO PIDE ALGO NO SE DA LA RESPUESTA RÁPIDO.
AcIPl4NSpZ1F	MasPrem	Hombre	5	PORQUE HAY PROBLEMAS A VECES DE CONECTIVIDAD Y EL SERVICIO EN GENERAL DE EJECUTIVOS Y PAGOS O SERVICIOS TÉCNICOS SON ENGORROSOS (NO DA MAS INFORMACIÓN)
O6CUxY6pCO24	MasPrem	Hombre	6	PORQUE NO HE TENIDO PROBLEMAS, ES BUENO EL SERVICIO YA QUE LLAMAN PARA OFRECER LOS MEJORES PLANES
hmVv8z5SHxAV	AP	Mujer	6	"EL INTERNED ES LENTO;PRINCIPALMENTE ES ESO (NO DA MAS INFORMACIÓN)"
2Pj9B4Lp2ytA	AV	Mujer	7	PORQUE NO HE TENIDO ALGÚN PROBLEMA CON ELLOS Y SE AJUSTAN A NUESTROS REQUERIMIENTOS.
6LZHam4v9NF4	AP	Hombre	6	EL SERVICIO SE CAE, ES FACTIBLE VER LA OFERTA
b0DJp1INv0KN	AV	Hombre	6	A VECES HE TENIDO PROBLEMA, CON LOS DATOS QUE ME LLEGA , YO TENGO UN DATO DE 10 MEGAS Y A VECES TENGO PROBLEMAS DE SATURACIÓN CON LA LINEA
ygAD3cDqrpxF	MasPrem	Mujer	4	PORQUE TENGO PROBLEMAS CON EL INTERNET EN CUANTO A QUE NO ES LA VELOCIDAD DE NAVEGACIÓN, SIEMPRE ES MÁS LENTO Y QUE SE CAE.
wdmXMtu9qiXm	MasPrem	Hombre	6	PORQUE EN GENERAL NO TENGO PROBLEMAS TÉCNICOS Y FUNCIONA BIEN.
ohuaWUZsRnQW	MP	Hombre	7	PORQUE HASTA AQUÍ NO HE TENIDO PROBLEMAS ENTONCES UNO ESTA SATISFECHO.
NKhLwI4Gar6r	Mas	Hombre	5	POR LA MALA RECEPCIÓN DE LA SEÑAL EN DONDE ESTOY YA QUE ESTOY EN UNA LOCALIDAD DEL SUR Y NO RESPONDE BIEN.
bSw2p0lAzUKb	AV	Hombre	6	LA CALIDAD EN GENERAL ES BIEN, PERO HEMOS TENIDO PROBLEMAS CON ALGUNOS EJECUTIVOS. ES DECIR, EN CUANTO A LOS ENLACES NO HEMOS TENIDO PROBLEMAS, NO SE HAN CAÍDO, ACERTARLE LA COMUNICACIÓN.
bKySPOBcIvYR	AP	Hombre	5	PORQUE HAY ALGUNOS INCONVENIENTES DE REPENTE DE INTERNET Y DE VELOCIDAD.
vt4tP3ifSLDN	AP	Mujer	5	PORQUE EL INTERNET  TIENE PROBLEMAS ADMINISTRATIVOS, HAY ALGÚN SERVIO QUE NO LO CORTAN  Y LOS SIGUEN COBRANDO, INSTALAMOS UN SERVICIO NUEVO QUE NO FUNCIONA   AL 100% HAY UN EJECUTIVO QUE TIENE POCA DISPOSICIÓN PARA SOLUCIONAR LOS PROBLEMAS
yeD7orTmAxqZ	AV	Hombre	5	POR QUE NO SIEMPRE ME RESPONDEN LOS REQUERIMIENTOS QUE NECESITO A TIEMPO, LA SEÑAL DEL INTERNET ES PÉSIMA.
DAVVHH9hmHLB	AP	Hombre	7	"PORQUE TODO PERFECTO, NO HAY NINGÚN PROBLEMA; NO TENGO PROBLEMAS DE QUE SE CORTE O PIERDA LA SEÑAL, NADA. TODO PERFECTO."
RJOgzbXrbwDV	MV	Mujer	6	PORQUE ES MI PROVEEDOR DE TODO LO QUE ES TELEFONÍA FIJA Y NO FIJA HACE MUCHOS AÑOS Y NOS HAN PRESTADO UN EXCELENTE SERVICIO.
I37w2hQxK1gz	MP	Hombre	5	PORQUE TIENE PROBLEMAS EN EL SERVICIO ES DECIR QUE SE HA CAÍDO, LA BANDA ANCHA NO SE SI ES REALMENTE EL ADECUADO A PESAR DE QUE LO HALLAMOS SUBIDO (NO DA MAS INFORMACIÓN)
oXHp7NIKGxjn	MP	Hombre	2	PORQUE NO DAN UN SERVICIO COMPLETO Y TAMBIÉN ES MUCHO MAS CARO QUE LA COMPETENCIA Y NO ES MEJOR.
QFRUIg0BEFmJ	AV	Hombre	5	PORQUE  HAY SERVICIOS MUY LENTOS, NO HAY RESPUESTA INMEDIATA DEL REQUERIMIENTO QUE TENEMOS
fj0h7uhOEwc4	MV	Hombre	4	PORQUE NO TENGO UNA RELACIÓN MUY CERCANA CON ENTEL, MUY OCASIONAL Y LOS SERVICIOS DE BANDA ANCHA TAMPOCO SON LOS QUE NOSOTROS DESEÁRAMOS NO TIENEN CALIDAD.
WkhYieH6taa6	MasPrem	Hombre	4	PORQUE OFRECEN COSAS Y DESPUÉS NO LAS CUMPLEN EN CUANTO A QUE ME LLAMARON OFRECIÉNDOME UN SERVICIO DE QUE ME IBAN A REBAJAR LAS TASAS FIJAS MENSUAL, ME OFRECIERON UNA LÍNEA MÁS, Y DESPUÉS ME SIGUIERON COBRANDO LO MISMO, NO ME REBAJARON LO QUE HABÍAN DICHO, TENGO VARIAS PERO LA PRINCIPAL ES QUE NO CUMPLEN LO QUE DICEN, POR ESO TENGO UNA QUEJA PUESTA Y VOY A IR A LA SUPERINTENDENCIA TAMBIÉN A LEGAR ESO PORQUE ELLOS TIENEN LA GRABACIÓN DE QUE ME OFRECIERON ESO.
949By02ERERv	MP	Mujer	7	POR EL BUEN SERVICIO, EN TODO LO QUE SE REFIERE A INTERNET Y TELEFONÍA FIJA.
fatXgJjACeif	MP	Hombre	4	PORQUE LA CALIDAD DE INTERNET QUE ELLOS PROVEEN NO ES SUFICIENTE  ES MENOS VELOCIDAD POR LO GENERAL DE LA QUE A UNO LE OFRECEN
WwL0pRv0n91a	MasPrem	Hombre	4	PORQUE CUANDO LOS NECESITO NO APARECEN, A VECES SE CAE EL INTERNET Y SE DEMORAN UNA SEMANA EN VENIR Y EL COSTO TAMPOCO ES BUENO.
GritgQ38j8re	AP	Hombre	7	PORQUE NO HE TENIDO PROBLEMAS CON LA COMUNICACIÓN, EL EJECUTIVO ESTÁ PENDIENTE EN LLAMARME EN CIERTO TIEMPO Y SE HA PREOCUPADO DE LA EMPRESA, DEL FUNCIONAMIENTO, DE TODO.
rS95aPEF0aBE	MasPrem	Mujer	7	NUNCA HE TENIDO NI UN PROBLEMA Y CADA VEZ QUE LLAMO LA SOLUCIÓN ES INMEDIATA.
9nbjyA5T2uem	AP	Hombre	6	UNAS FALLAS, UNAS CAÍDAS EN ALGUNOS MOMENTOS, TIEMPOS DE RESPUESTA, PERO SOLO ESO.
GpsFDB85FuZ5	AP	Hombre	5	PORQUE LOS SERVICIOS SON UN POCO LENTOS Y LA FACTURACIÓN NO ES MUY CLARA.
AZsOK4NKVcnP	AV	Hombre	5	DE REPENTE SE HAN QUEDADO UN POCO ATRÁS EN RELACIÓN A LA ACTUALIZACIÓN DE CONTRATOS O NUEVAS PROPUESTAS PARA SEGUIR TRABAJANDO ACORDE A LOS TIEMPOS QUE CORREN.  EN LA RELACIÓN QUE SON MAS REACTIVOS QUE PROACTIVOS EN GENERAL HASTA AHORA EN CUANTO A OFRECER SERVICIOS NUEVOS EN RELACION A LO QUE YA TENEMOS CONTRATADOS.
Vo0TrJv4MUew	AP	Hombre	6	PORQUE EL SERVICIO HA ESTADO BUENO ES RÁPIDO TIENE POCAS FALLAS Y LA COBERTURA ES BUENA Y EL PRECIO ES RELATIVAMENTE BUENO
d2J7Qozuxn6c	MasPrem	Mujer	6	PORQUE NO TENGO PROBLEMAS, FUNCIONA BIEN, NO TENGO NINGÚN PROBLEMA CON ELLOS NUNCA.
